obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
433.061,,60,,,,,,,,,,,,,L3475,
435.509,,240,,,,,,,,,,,,,L3475,
436.157,,27,,,,,,,,,,,,,L3475,
436.947,,55,,,,,,,,,,,,,L3475,
437.220,,45w,,,,,,,,,,,,,L3475,
438.317,,75,,,,,,,,,,,,,L3475,
440.527,,21w,,,,,,,,,,,,,L3475,
440.707,,55,,,,,,,,,,,,,L3475,
441.966,,18,,,,,,,,,,,,,L3475,
443.481,,120,,,,,,,,,,,,,L3475,
443.556,443.558+,"14000c,w",3.1e+07,,1669.21,24207.86,4f7.(8S*).6s,a 7S*,3,4f7.(8S*<7/2>).6p<1/2>,"(7/2,1/2)",4,,T6288,L3475,
446.497,,75w,,,,,,,,,,,,,L3475,
448.515,,24,,,,,,,,,,,,,L3475,
452.257,452.258+,3000,9.9e+06,,1669.21,23774.28,4f7.(8S*).6s,a 7S*,3,4f7.(8S*<7/2>).6p<1/2>,"(7/2,1/2)",3,,T6288,L3475,
581.874,,170,,,,,,,,,,,,,L3475,
587.298,,90,,,,,,,,,,,,,L3475,
595.384,,27,,,,,,,,,,,,,L3475,
596.607,,330,,,,,,,,,,,,,L3475,
604.951,,420,,,,,,,,,,,,,L3475,
617.305,,330,,,,,,,,,,,,,L3475,
630.341,,230,,,,,,,,,,,,,L3475,
643.764,,830,,,,,,,,,,,,,L3475,
664.511,,1400,,,,,,,,,,,,,L3475,
707.710,,330,,,,,,,,,,,,,L3475,
719.481,,570,,,,,,,,,,,,,L3475,
721.755,,570,,,,,,,,,,,,,L3475,
730.117,,540,,,,,,,,,,,,,L3475,
737.022,,720,,,,,,,,,,,,,L3475,
742.657,,300,,,,,,,,,,,,,L3475,
