obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,Unnamed: 16
184.309,184.3088,20,1.55e+07,C,25191.51,79448.28,3p6.4p,2P*,1/2,3p6.7s,2S,1/2,,"u7,LS",L7256,
185.069,185.0691,40,3.08e+07,C,25414.40,79448.28,3p6.4p,2P*,3/2,3p6.7s,2S,1/2,,"u7,LS",L7256,
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
210.324,210.3235,,8.2e+07,C,25191.51,72722.23,3p6.4p,2P*,1/2,3p6.5d,2D,3/2,,T8043,L7323,
211.276,211.2757,,9.7e+07,C,25414.40,72730.93,3p6.4p,2P*,3/2,3p6.5d,2D,5/2,,T8043,L7323,
211.315,211.3146,,1.6e+07,C,25414.40,72722.23,3p6.4p,2P*,3/2,3p6.5d,2D,3/2,,T8043,L7323,
212.875,212.8750,,2.0e+05,D,13650.19,60611.28,3p6.3d,2D,3/2,3p6.5p,2P*,3/2,,"u7,LS",L7323,
213.151,213.1505,,1.8e+06,D,13710.88,60611.28,3p6.3d,2D,5/2,3p6.5p,2P*,3/2,,"u7,LS",L7323,
213.230,213.2304,,2.0e+06,D,13650.19,60533.02,3p6.3d,2D,3/2,3p6.5p,2P*,1/2,,"u7,LS",L7323,
219.779,219.7787,,3.1e+07,C,25191.51,70677.62,3p6.4p,2P*,1/2,3p6.6s,2S,1/2,,T8043,L7323,
220.861,220.8611,,6.2e+07,C,25414.40,70677.62,3p6.4p,2P*,3/2,3p6.6s,2S,1/2,,"u7,LS",L7323,
312.518,,10,,,,,,,,,,,,,L6097,
315.887,315.8869,170,3.1e+08,C,25191.51,56839.25,3p6.4p,2P*,1/2,3p6.4d,2D,3/2,,T8043,L7323,
317.933,317.9331,180,3.6e+08,C,25414.40,56858.46,3p6.4p,2P*,3/2,3p6.4d,2D,5/2,,"u7,LS",L7323,
318.128,318.1275,150,5.8e+07,C,25414.40,56839.25,3p6.4p,2P*,3/2,3p6.4d,2D,3/2,,T8043,L7323,
330.802,,10,,,,,,,,,,,,,L6097,
331.651,,20,,,,,,,,,,,,,L6097,
334.704,,10,,,,,,,,,,,,,L7323,
345.266,,10,,,,,,,,,,,,,L7323,
346.187,,20,,,,,,,,,,,,,L7323,
348.561,,10,,,,,,,,,,,,,L6097,
349.516,,10,,,,,,,,,,,,,L7323,
368.370,,30,,,,,,,,,,,,,L7323,
369.411,,40,,,,,,,,,,,,,L7323,
369.436,,10,,,,,,,,,,,,,L7323,
370.603,370.6024,170,8.8e+07,C,25191.51,52166.93,3p6.4p,2P*,1/2,3p6.5s,2S,1/2,,T8043,L7323,
373.690,373.6902,180,1.7e+08,C,25414.40,52166.93,3p6.4p,2P*,3/2,3p6.5s,2S,1/2,,T8043,L7323,
373.938,,10,,,,,,,,,,,,,L7323,
375.567,,20,,,,,,,,,,,,,L7323,
375.839,,30,,,,,,,,,,,,,L7323,
393.366,393.3663,230,1.47e+08,C,0.00,25414.40,3p6.4s,2S,1/2,3p6.4p,2P*,3/2,,T8043,L7323,
396.847,396.8469,220,1.4e+08,C,0.00,25191.51,3p6.4s,2S,1/2,3p6.4p,2P*,1/2,,T8043,L7323,
409.710,409.7098,50,9.9e+06,D,60533.02,84933.65,3p6.5p,2P*,1/2,3p6.7d,2D,3/2,,"T1619CA,LS",L7323,
410.982,410.9815,60,1.2e+07,D,60611.28,84936.41,3p6.5p,2P*,3/2,3p6.7d,2D,5/2,,"T1619CA,LS",L7323,
411.028,411.0282,30,1.9e+06,D,60611.28,84933.65,3p6.5p,2P*,3/2,3p6.7d,2D,3/2,,"T1619CA,LS",L7323,
420.618,420.6176,40,4.3e+06,D,60533.02,84300.89,3p6.5p,2P*,1/2,3p6.8s,2S,1/2,,"T1619CA,LS",L7323,
422.007,422.0071,50,8.5e+06,D,60611.28,84300.89,3p6.5p,2P*,3/2,3p6.8s,2S,1/2,,"T1619CA,LS",L7323,
447.204,,20,,,,,,,,,,,,,L7323,
447.923,,10,,,,,,,,,,,,,L7323,
448.918,,20,,,,,,,,,,,,,L7323,
471.674,,30,,,,,,,,,,,,,L7323,
472.103,,40,,,,,,,,,,,,,L7323,
479.997,,40,,,,,,,,,,,,,L7323,
500.148,500.1479,70,2.0e+07,D,60533.02,80521.53,3p6.5p,2P*,1/2,3p6.6d,2D,3/2,,"T1619CA,LS",L7323,
