Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
3s2.3p4.(1D).4d,2G,7/2,,198594.9984,,0.0004,,L15349
3s2.3p4.(1D).4d,2G,9/2,,198604.1476,,0.0004,,L15349
3s2.3p4.(3P).6s,4P,5/2,,198812.6100,,0.0002,,L15349
3s2.3p4.(3P).6s,4P,3/2,,199138.5106,,0.0002,,L15349
3s2.3p4.(3P).6s,4P,1/2,,200110.4236,,0.0002,,L15349
3s2.3p4.(1D).4d,2P,1/2,,199446.6269,,0.0006,0.670,L15349
3s2.3p4.(1D).4d,2P,3/2,,199525.2465,,0.0003,,L15349
3s2.3p4.(1D).4d,2D,5/2,,199679.8440,,0.0003,1.196,L15349
3s2.3p4.(1D).4d,2D,3/2,,199982.0244,,0.0003,,L15349
3s2.3p4.(3P).5d,4D,7/2,,199879.3828,,0.0002,,L15349
3s2.3p4.(3P).5d,4D,5/2,,199959.6798,,0.0002,,L15349
3s2.3p4.(3P).5d,4D,3/2,,200151.7014,,0.0003,,L15349
3s2.3p4.(3P).5d,4D,1/2,,200406.4358,,0.0004,,L15349
3s2.3p4.(3P).6s,2P,3/2,,200032.2867,,0.0002,,L15349
3s2.3p4.(3P).6s,2P,1/2,,200623.7672,,0.0003,,L15349
3s2.3p4.(1D).4d,2F,7/2,,200138.9307,,0.0002,,L15349
3s2.3p4.(1D).4d,2F,5/2,,200234.9579,,0.0003,0.862,L15349
3s2.3p4.(3P).5d,4F,9/2,,200393.1067,,0.0002,,L15349
3s2.3p4.(3P).5d,4F,7/2,,200880.5857,,0.0003,,L15349
3s2.3p4.(3P).5d,4F,5/2,,201351.6169,,0.0003,,L15349
3s2.3p4.(3P).5d,4F,3/2,,201720.7331,,0.0003,,L15349
3s2.3p4.(3P).5d,4P,1/2,,201030.3698,,0.0007,,L15349
3s2.3p4.(3P).5d,4P,3/2,,201345.2925,,0.0003,,L15349
3s2.3p4.(3P).5d,4P,5/2,,201781.8583,,0.0002,,L15349
3s2.3p4.(3P).5d,2F,7/2,,201608.9017,,0.0002,,L15349
3s2.3p4.(3P).5d,2F,5/2,,202155.9425,,0.0002,,L15349
3s2.3p4.(3P).6p,4P*,5/2,,202149.1571,,0.0002,,L15349
3s2.3p4.(3P).6p,4P*,3/2,,202253.6552,,0.0002,,L15349
3s2.3p4.(3P).6p,4P*,1/2,,202420.5754,,0.0003,,L15349
3s2.3p4.(3P).6p,4D*,7/2,,202429.8993,,0.0002,,L15349
3s2.3p4.(3P).6p,4D*,3/2,,202467.1718,,0.0002,,L15349
3s2.3p4.(3P).6p,4D*,5/2,,202544.4050,,0.0003,,L15349
3s2.3p4.(1D).5p,2P*,3/2,,203007.8061,,0.0002,,L15349
3s2.3p4.(1D).5p,2P*,1/2,,203594.3546,,0.0003,,L15349
3s2.3p4.(1D).5p,2F*,5/2,,203151.2627,,0.0004,,L15349
3s2.3p4.(1D).5p,2F*,7/2,,203197.5711,,0.0002,,L15349
3s2.3p4.(3P).6p,2D*,3/2,,203345.0332,,0.0002,,L15349
3s2.3p4.(3P).6p,2D*,5/2,,203501.8810,,0.0002,,L15349
3s2.3p4.(3P).6p,2P*,3/2,,203730.9181,,0.0002,,L15349
3s2.3p4.(3P).6p,2P*,1/2,,203786.7024,,0.0006,,L15349
3s2.3p4.(3P).6p,4S*,3/2,,203918.1752,,0.0002,,L15349
3s2.3p4.(1D).5p,2D*,3/2,,204113.7598,,0.0003,,L15349
3s2.3p4.(1D).5p,2D*,5/2,,204134.0653,,0.0005,,L15349
3s2.3p4.(3P).5d,2D,3/2,,204417.2985,,0.0020,,L15349
3s2.3p4.(3P).5d,2D,5/2,,204585.664,,0.012,,L15349
3s2.3p4.(3P).5d,2P,1/2,,204515.050,,0.002,,L15349
3s2.3p4.(3P).5d,2P,3/2,,205221.512,,0.002,,L15349
3s2.3p4.(3P).6p,2S*,1/2,,204929.4477,,0.0004,,L15349
3s2.3p4.(3P<2>).5f,2[4]*,9/2,,204937.8473,,0.0003,,L15349
3s2.3p4.(3P<2>).5f,2[4]*,7/2,,204951.1273,,0.0003,,L15349
3s2.3p4.(3P<2>).5f,2[3]*,5/2,,204977.6464,,0.0003,,L15349
3s2.3p4.(3P<2>).5f,2[3]*,7/2,,204996.1739,,0.0003,,L15349
3s2.3p4.(3P<2>).5f,2[2]*,3/2,,205056.3109,,0.0005,,L15349
3s2.3p4.(3P<2>).5f,2[2]*,5/2,,205079.1331,,0.0006,,L15349
3s2.3p4.(3P<2>).5f,2[5]*,11/2,,205100.5847,,0.0005,,L15349
3s2.3p4.(3P<2>).5f,2[5]*,9/2,,205104.4297,,0.0003,,L15349
3s2.3p4.(3P<2>).5f,2[1]*,1/2,,205180.4124,,0.0010,,L15349
3s2.3p4.(3P<2>).5f,2[1]*,3/2,,205194.0978,,0.0008,,L15349
3s2.3p4.(3P<2>).5g,2[5],11/2,,205211.9886,,0.0005,,L15349
3s2.3p4.(3P<2>).5g,2[5],9/2,,205212.1106,,0.0008,,L15349
3s2.3p4.(3P<2>).5g,2[4],7/2,,205214.7991,,0.0009,,L15349
3s2.3p4.(3P<2>).5g,2[4],9/2,,205214.8014,,0.0006,,L15349
3s2.3p4.(1D).4d,2S,1/2,,205243.0497,,0.0014,2.004,L15349
3s2.3p4.(3P<2>).5g,2[3],5/2,,205250.0179,,0.0007,,L15349
3s2.3p4.(3P<2>).5g,2[3],7/2,,205250.1293,,0.0015,,L15349
3s2.3p4.(3P<2>).5g,2[6],11/2,,205273.6921,,0.0004,,L15349
3s2.3p4.(3P<2>).5g,2[6],13/2,,205273.7060,,0.0003,,L15349
3s2.3p4.(3P<2>).5g,2[2],3/2,,205300.9264,,0.0013,,L15349
3s2.3p4.(3P<2>).5g,2[2],5/2,,205301.0773,,0.0012,,L15349
3s2.3p4.(3P<1>).5f,2[2]*,3/2,,206103.4749,,0.0007,,L15349
3s2.3p4.(3P<1>).5f,2[2]*,5/2,,206120.3769,,0.0003,,L15349
3s2.3p4.(3P<1>).5f,2[4]*,9/2,,206132.7924,,0.0003,,L15349
3s2.3p4.(3P<1>).5f,2[4]*,7/2,,206149.0242,,0.0003,,L15349
3s2.3p4.(3P<1>).5f,2[3]*,7/2,,206245.6390,,0.0003,,L15349
3s2.3p4.(3P<1>).5f,2[3]*,5/2,,206255.2684,,0.0004,,L15349
3s2.3p4.(3P<1>).5g,2[3],5/2,,206336.9566,,0.0011,,L15349
3s2.3p4.(3P<1>).5g,2[3],7/2,,206337.0822,,0.0005,,L15349
3s2.3p4.(3P<1>).5g,2[5],11/2,,206347.9267,,0.0003,,L15349
3s2.3p4.(3P<1>).5g,2[5],9/2,,206347.9756,,0.0004,,L15349
3s2.3p4.(3P<1>).5g,2[4],9/2,,206397.3699,,0.0006,,L15349
3s2.3p4.(3P<1>).5g,2[4],7/2,,206397.3813,,0.0006,,L15349
3s2.3p4.(3P<0>).5f,2[3]*,7/2,,206623.9138,,0.0005,,L15349
3s2.3p4.(3P<0>).5f,2[3]*,5/2,,206631.7185,,0.0004,,L15349
3s2.3p4.(3P<0>).5g,2[4],7/2,,206819.407,,0.004,,L15349
3s2.3p4.(3P<0>).5g,2[4],9/2,,206819.4106,,0.0004,,L15349
3s2.3p4.(3P).7s,4P,5/2,,207095.2846,,0.0003,,L15349
3s2.3p4.(3P).7s,4P,3/2,,207277.3869,,0.0003,,L15349
3s2.3p4.(3P).7s,4P,1/2,,208329.1101,,0.0007,,L15349
3s2.3p4.(3P).6d,4D,7/2,,207694.4965,,0.0004,,L15349
3s2.3p4.(3P).6d,4D,5/2,,207746.4757,,0.0012,,L15349
3s2.3p4.(3P).6d,4D,3/2,,208011.8628,,0.0014,,L15349
3s2.3p4.(3P).6d,4F,9/2,,207936.9137,,0.0007,,L15349
3s2.3p4.(3P).6d,4F,7/2,,208143.0731,,0.0005,,L15349
3s2.3p4.(3P).6d,4F,5/2,,208673.3904,,0.0009,,L15349
3s2.3p4.(3P).6d,4F,3/2,,209268.3541,,0.0007,,L15349
3s2.3p4.(3P).7s,2P,3/2,,208249.7978,,0.0003,,L15349
3s2.3p4.(3P).7s,2P,1/2,,208765.8367,,0.0006,,L15349
3s2.3p4.(3P).6d,4P,1/2,,208481.7065,,0.0014,,L15349
3s2.3p4.(3P).6d,4P,3/2,,208695.1309,,0.0008,,L15349
3s2.3p4.(3P).6d,4P,5/2,,209198.6869,,0.0008,,L15349
3s2.3p4.(1D<2>).4f,2[1]*,1/2,,208591.8039,,0.0010,,L15349
3s2.3p4.(1D<2>).4f,2[1]*,3/2,,208592.2016,,0.0006,,L15349
3s2.3p4.(1D<2>).4f,2[5]*,11/2,,208803.3311,,0.0006,,L15349
3s2.3p4.(1D<2>).4f,2[5]*,9/2,,208803.3348,,0.0008,,L15349
3s2.3p4.(3P<2>).7p,2[2]*,5/2,,208914.333,,0.008,,L15349
3s2.3p4.(1D<2>).4f,2[2]*,5/2,,208921.2645,,0.0015,,L15349
3s2.3p4.(1D<2>).4f,2[2]*,3/2,,208923.4846,,0.0015,,L15349
3s2.3p4.(3P).6d,2F,7/2,,209015.7090,,0.0003,,L15349
3s2.3p4.(3P).6d,2F,5/2,,209377.2099,,0.0008,,L15349
3s2.3p4.(1D<2>).4f,2[3]*,7/2,,209248.6316,,0.0009,,L15349
3s2.3p4.(1D<2>).4f,2[3]*,5/2,,209251.5031,,0.0013,,L15349
3s2.3p4.(1D<2>).4f,2[4]*,7/2,,209337.9564,,0.0006,,L15349
3s2.3p4.(1D<2>).4f,2[4]*,9/2,,209338.2903,,0.0006,,L15349
3s2.3p4.(3P).7p,1*,5/2,,209397.76,,0.03,,L15349
3s2.3p4.(3P).7p,1*,3/2,,209397.84,,0.07,,L15349
3s2.3p4.(3P).6d,2D,3/2,,209413.5184,,0.0011,,L15349
3s2.3p4.(3P).6d,2D,5/2,,210125.7255,,0.0018,,L15349
3s2.3p4.(3P).6d,2P,3/2,,209597.4982,,0.0017,,L15349
3s2.3p4.(3P<2>).6f,2[4]*,9/2,,210438.859,,0.014,,L15349
3s2.3p4.(3P<2>).6f,2[4]*,7/2,,210447.1140,,0.0020,,L15349
3s2.3p4.(3P<2>).6f,2[3]*,5/2,,210464.709,,0.004,,L15349
3s2.3p4.(3P<2>).6f,2[3]*,7/2,,210477.822,,0.004,,L15349
3s2.3p4.(3P<2>).6f,2[2]*,3/2,,210513.03,,0.02,,L15349
3s2.3p4.(3P<2>).6f,2[2]*,5/2,,210527.119,,0.014,,L15349
3s2.3p4.(3P<2>).6f,2[5]*,11/2,,210531.77,,0.14,,L15349
3s2.3p4.(3P<2>).6f,2[5]*,9/2,,210534.939,,0.007,,L15349
3s2.3p4.(3P<2>).6f,2[1]*,3/2,,210584.91,,0.03,,L15349
3s2.3p4.(3P<2>).6g,2[5],11/2,,210607.6278,,0.0013,,L15349
3s2.3p4.(3P<2>).6g,2[5],9/2,,210607.7571,,0.0014,,L15349
3s2.3p4.(3P<2>).6g,2[4],9/2,,210609.378,,0.003,,L15349
3s2.3p4.(3P<2>).6g,2[4],7/2,,210609.4258,,0.0007,,L15349
3s2.3p4.(3P<2>).6g,2[3],5/2,,210630.117,,0.002,,L15349
3s2.3p4.(3P<2>).6g,2[3],7/2,,210630.181,,0.004,,L15349
3s2.3p4.(3P<2>).6h,2[5]*,9/2,,210636.7387,,0.0010,,L15349
3s2.3p4.(3P<2>).6h,2[5]*,11/2,,210636.7414,,0.0007,,L15349
3s2.3p4.(3P<2>).6h,2[6]*,11/2,,210637.211,,0.009,,L15349
3s2.3p4.(3P<2>).6h,2[6]*,13/2,,210637.2198,,0.0010,,L15349
3s2.3p4.(3P<2>).6g,2[6],13/2,,210642.4469,,0.0004,,L15349
3s2.3p4.(3P<2>).6g,2[6],11/2,,210642.7273,,0.0008,,L15349
3s2.3p4.(3P<2>).6h,2[4]*,7/2,,210646.9667,,0.0011,,L15349
3s2.3p4.(3P<2>).6h,2[4]*,9/2,,210646.9752,,0.0015,,L15349
3s2.3p4.(3P<2>).6h,2[7]*,13/2,,210655.8214,,0.0004,,L15349
3s2.3p4.(3P<2>).6h,2[7]*,15/2,,210655.8353,,0.0004,,L15349
3s2.3p4.(3P<2>).6g,2[2],3/2,,210658.602,,0.004,,L15349
3s2.3p4.(3P<2>).6g,2[2],5/2,,210658.7338,,0.0016,,L15349
3s2.3p4.(3P<2>).6h,2[3]*,5/2,,210662.605,,0.002,,L15349
3s2.3p4.(3P<2>).6h,2[3]*,7/2,,210662.6177,,0.0015,,L15349
3s2.3p4.(3P<1>).6f,2[2]*,3/2,,211572.2917,,0.0012,,L15349
3s2.3p4.(3P<1>).6f,2[2]*,5/2,,211586.1480,,0.0019,,L15349
3s2.3p4.(3P<1>).6f,2[4]*,9/2,,211593.5615,,0.0004,,L15349
3s2.3p4.(3P<1>).6f,2[4]*,7/2,,211606.5420,,0.0017,,L15349
3s2.3p4.(3P<1>).6f,2[3]*,7/2,,211662.06,,0.05,,L15349
3s2.3p4.(3P<1>).6f,2[3]*,5/2,,211669.17,,0.02,,L15349
3s2.3p4.(3P<1>).6g,2[3],5/2,,211725.660,,0.002,,L15349
3s2.3p4.(3P<1>).6g,2[3],7/2,,211725.7661,,0.0013,,L15349
3s2.3p4.(3P<1>).6g,2[5],11/2,,211732.3605,,0.0011,,L15349
3s2.3p4.(3P<1>).6g,2[5],9/2,,211732.4320,,0.0010,,L15349
3s2.3p4.(3P<1>).6h,2[4]*,7/2,,211751.9642,,0.0012,,L15349
3s2.3p4.(3P<1>).6h,2[4]*,9/2,,211751.9752,,0.0008,,L15349
3s2.3p4.(3P<1>).6h,2[6]*,11/2,,211754.9832,,0.0007,,L15349
3s2.3p4.(3P<1>).6h,2[6]*,13/2,,211754.9991,,0.0005,,L15349
3s2.3p4.(3P<1>).6g,2[4],9/2,,211761.469,,0.002,,L15349
3s2.3p4.(3P<1>).6g,2[4],7/2,,211761.470,,0.002,,L15349
3s2.3p4.(3P<1>).6h,2[5]*,11/2,,211770.9564,,0.0007,,L15349
3s2.3p4.(3P<1>).6h,2[5]*,9/2,,211770.9679,,0.0007,,L15349
3s2.3p4.(3P<0>).6f,2[3]*,7/2,,212071.3657,,0.0011,,L15349
3s2.3p4.(3P<0>).6f,2[3]*,5/2,,212077.0827,,0.0020,,L15349
3s2.3p4.(3P).7d,4D,7/2,,212089.487,,0.002,,L15349
3s2.3p4.(3P<0>).6g,2[4],9/2,,212197.9340,,0.0015,,L15349
3s2.3p4.(3P<0>).6g,2[4],7/2,,212198.0935,,0.0020,,L15349
3s2.3p4.(3P<0>).6h,2[5]*,11/2,,212217.4944,,0.0007,,L15349
3s2.3p4.(3P<0>).6h,2[5]*,9/2,,212217.5053,,0.0005,,L15349
3s2.3p4.(3P).7d,4F,9/2,,212224.389,,0.010,,L15349
3s2.3p4.(3P).7d,4F,7/2,,212342.380,,0.003,,L15349
3s2.3p4.(1D).6s,2D,3/2,,212932.3602,,0.0005,,L15349
3s2.3p4.(1D).6s,2D,5/2,,212933.6439,,0.0004,,L15349
3s2.3p4.(3P).7d,2F,7/2,,213299.665,,0.002,,L15349
3s2.3p4.(3P<2>).7f,2[4]*,9/2,,213749.18,,0.05,,L15349
3s2.3p4.(3P<2>).7f,2[4]*,7/2,,213754.75,,0.10,,L15349
3s2.3p4.(3P<2>).7f,2[5]*,11/2,,213807.62,,0.05,,L15349
3s2.3p4.(3P<2>).7f,2[5]*,9/2,,213809.49,,0.04,,L15349
3s2.3p4.(3P<2>).7g,2[5],11/2,,213859.364,,0.006,,L15349
3s2.3p4.(3P<2>).7g,2[5],9/2,,213859.416,,0.004,,L15349
3s2.3p4.(3P<2>).7g,2[4],9/2,,213860.492,,0.003,,L15349
3s2.3p4.(3P<2>).7g,2[4],7/2,,213860.614,,0.003,,L15349
3s2.3p4.(3P<2>).7g,2[3],7/2,,213873.677,,0.012,,L15349
3s2.3p4.(3P<2>).7g,2[3],5/2,,213873.80,,0.02,,L15349
3s2.3p4.(3P<2>).7h,2[5]*,11/2,,213878.149,,0.004,,L15349
3s2.3p4.(3P<2>).7h,2[5]*,9/2,,213878.197,,0.002,,L15349
3s2.3p4.(3P<2>).7h,2[6]*,11/2,,213878.438,,0.006,,L15349
3s2.3p4.(3P<2>).7h,2[6]*,13/2,,213878.449,,0.004,,L15349
3s2.3p4.(3P<2>).7g,2[6],13/2,,213881.214,,0.004,,L15349
3s2.3p4.(3P<2>).7g,2[6],11/2,,213881.217,,0.006,,L15349
3s2.3p4.(3P<2>).7i,2[6],11/2,,213884.353,,0.007,,L15349
3s2.3p4.(3P<2>).7i,2[6],13/2,,213884.356,,0.006,,L15349
3s2.3p4.(3P<2>).7h,2[4]*,7/2,,213884.608,,0.009,,L15349
3s2.3p4.(3P<2>).7h,2[4]*,9/2,,213884.621,,0.009,,L15349
3s2.3p4.(3P<2>).7i,2[7],13/2,,213884.837,,0.008,,L15349
3s2.3p4.(3P<2>).7i,2[7],15/2,,213884.8430,,0.0010,,L15349
3s2.3p4.(3P<2>).7i,2[5],9/2,,213887.9656,,0.0014,,L15349
3s2.3p4.(3P<2>).7i,2[5],11/2,,213887.9736,,0.0015,,L15349
3s2.3p4.(3P<2>).7h,2[7]*,15/2,,213890.067,,0.010,,L15349
3s2.3p4.(3P<2>).7h,2[7]*,13/2,,213890.067,,0.003,,L15349
3s2.3p4.(3P<2>).7g,2[2],3/2,,213891.30,,0.03,,L15349
3s2.3p4.(3P<2>).7g,2[2],5/2,,213891.504,,0.003,,L15349
3s2.3p4.(3P<2>).7i,2[8],15/2,,213891.8093,,0.0008,,L15349
3s2.3p4.(3P<2>).7i,2[8],17/2,,213891.8233,,0.0007,,L15349
3s2.3p4.(3P<2>).7i,2[4],7/2,,213893.900,,0.004,,L15349
3s2.3p4.(3P<2>).7i,2[4],9/2,,213893.914,,0.004,,L15349
3s2.3p4.(3P<2>).7h,2[3]*,7/2,,213894.433,,0.012,,L15349
