Configuration,Term,J,Prefix,Level (cm-1),Suffix,Lande,Reference
4d.5s.(3D).5p,v 2F*,5/2,,57062.00,,,L3465
4d.5s.(3D).5p,v 2F*,7/2,,57741.16,,1.24,L3465
4d.5s.(3D).5p,v 2P*,1/2,,60814.50,,,L3465
4d.5s.(3D).5p,v 2P*,3/2,,61861.90,,,L3465
4d2.(3F).6s,e 4F,3/2,,63602.64,,,L3465
4d2.(3F).6s,e 4F,5/2,,63868.45,,1.11,L3465
4d2.(3F).6s,e 4F,7/2,,64368.28,,1.205,L3465
4d2.(3F).6s,e 4F,9/2,,64901.71,,1.274,L3465
4d2.(3F).6s,e 2F,5/2,,65872.41,,,L3465
4d2.(3F).6s,e 2F,7/2,,66192.68,,1.18,L3465
4d2.(1D).6s,e 2D,3/2,,66686.25,,,L3465
4d2.(1D).6s,e 2D,5/2,,66868.35,,1.14,L3465
4d2.(1G).6s,e 2G,7/2,,69116.70,,,L3465
4d2.(1G).6s,e 2G,9/2,,69283.38,,,L3465
4d2.(3F).5d,f 2F,5/2,,73852.95,,,L3465
4d2.(3F).5d,f 2F,7/2,,74496.80,,,L3465
4d2.(3F).5d,f 4F,3/2,,74611.28,,,L3465
4d2.(3F).5d,f 4F,5/2,,75343.57,,,L3465
4d2.(3F).5d,f 4F,7/2,,76009.05,,,L3465
4d2.(3F).5d,f 4F,9/2,,76593.58,,,L3465
4d2.(1G).5d,e 2I,11/2,,76395.50,,0.999,L3465
4d2.(1G).5d,e 2I,13/2,,76838.70,,1.081,L3465
4d2.(1G).5d,e 2H,9/2,,77743.00,,,L3465
4d2.(1G).5d,e 2H,11/2,,78280.90,,1.073,L3465
4d2.(3F).5d,e 4H,7/2,,78577.85,,,L3465
4d2.(3F).5d,e 4H,9/2,,78847.67,,,L3465
4d2.(3F).5d,e 4H,11/2,,79198.35,,,L3465
4d2.(3F).5d,e 4H,13/2,,79280.30,,,L3465
4d2.(1G).5d,f 2G,7/2,,79624.60,,,L3465
4d2.(1G).5d,f 2G,9/2,,80311.54,,,L3465
4d2.(3F).5d,g 2G,7/2,,83221.45,,,L3465
4d2.(3F).5d,g 2G,9/2,,83547.45,,,L3465
4d2.(3F).5d,f 2H,9/2,,90986.50,,,L3465
4d2.(3F).5d,f 2H,11/2,,91737.40,,,L3465
Zr III (4d2 3F<2>),Limit,---,,105900,,,L272
