Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d10.10d,2D,5/2,,142712.211,,0.008,                                                  ,
5d10.8g,2G,9/2,,144403.510,,0.014,                                                  ,
5d10.8g,2G,7/2,,144403.864,,0.020,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",3/2,,144559.816,,0.018,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",9/2,,144619.360,,0.012,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",5/2,,145859.294,,0.014,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,3/2]",7/2,,145968.295,,0.016,                                                  ,
5d10.11d,2D,3/2,,144653.677,,0.033,                                                  ,
5d10.11d,2D,5/2,,144686.984,,0.009,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",3/2,,144911.731,,0.016,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",5/2,,145171.560,,0.018,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",1/2,,145246.433,,0.024,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",11/2,,146062.814,,0.011,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",7/2,,146505.679,,0.012,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<3>,5/2]",9/2,,146727.968,,0.008,                                                  ,
5d10.9g,2G,7/2,,145849.294,,0.016,                                                  ,
5d10.9g,2G,9/2,,145849.628,,0.033,                                                  ,
5d9.6p2,"(2D<5/2>,3P<0>)",5/2,,146652.263,,0.014,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",1/2,,148133.339,,0.024,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<2>,3/2]",3/2,,148222.473,,0.028,                                                  ,
5d9.6s.7p,"[(2D<5/2>,1/2)<2>,3/2]*",5/2?,,148820.8,,0.4,                                                  ,
5d8.6s2.6p,"(3F<4>,3/2)*",5/2?,,149494.8,,0.4,                                                  ,
5d9.6s.6d,"[(2D<5/2>,1/2)<2>,5/2]",7/2,,149633.577,,0.044,                                                  ,
5d8.6s2.6p,"(3P<2>,3/2)*",5/2?,,150361.0,,0.4,                                                  ,
5d8.6s2.6p,"(3P<2>,3/2)*",3/2,,165335.3,,0.8,                                                  ,
Hg III (5d10 1S<0>),Limit,---,,151284.4,,0.3,                                                  ,L11760
5d9.6p2,"(2D<5/2>,3P<1>)",7/2,,152053.602,,0.049,                                                  ,
5d9.6p2,"(2D<5/2>,3P<1>)",5/2,,155288.900,,0.044,                                                  ,
5d8.6s2.6p,"(3F<2>,1/2)*",3/2?,,152981.0,,0.5,                                                  ,
5d8.6s2.6p,"(3F<2>,1/2)*",5/2?,,157327.5,,0.5,                                                  ,
5d8.6s2.6p,"(3P<2>,1/2)*",3/2,,153766.4,,0.4,                                                  ,
5d9.6p2,"(2D<5/2>,3P<2>)",9/2,,157905.52,,0.13,                                                  ,
5d9.6p2,"(2D<5/2>,3P<2>)",5/2,,157925.207,,0.066,                                                  ,
5d9.6p2,"(2D<5/2>,3P<2>)",7/2,,158408.647,,0.041,                                                  ,
5d8.6s2.6p,"(3F<3>,3/2)*",5/2?,,158656.3,,0.5,                                                  ,
5d8.6s2.6p,"(3F<3>,3/2)*",3/2?,,161506.6,,0.5,                                                  ,
5d9.6s.6d,"[(2D<3/2>,1/2)<1>,3/2]",5/2,,161137.50,,0.17,                                                  ,
5d9.6s.6d,"[(2D<3/2>,1/2)<1>,5/2]",5/2,,162043.299,,0.035,                                                  ,
5d9.6s.7p,"[(2D<3/2>,1/2)<2>,3/2]*",3/2?,,164616.0,,0.8,                                                  ,
5d9.6s.6d,"[(2D<3/2>,1/2)<2>,5/2]",7/2,,164916.716,,0.035,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,7/2]*",13/2,,165270.619,,0.011,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,7/2]*",11/2,,165661.563,,0.011,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,7/2]*",9/2,,165700.298,,0.015,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,5/2]*",11/2,,165336.537,,0.011,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,5/2]*",9/2,,165670.728,,0.010,                                                  ,
5d9.6s.5f,"[(2D<5/2>,1/2)<3>,5/2]*",7/2,,165931.728,,0.013,                                                  ,
5d8.6s2.6p,"(3P<0>,3/2)*",3/2?,,165642.6,,0.6,                                                  ,
5d9.6p2,"(2D<5/2>,1D<2>)",7/2,,169124.734,,0.054,                                                  ,
5d8.6s2.6p,"(3P<1>,3/2)*",5/2?,,170811.1,,0.8,                                                  ,
5d8.6s2.6p,"(1D<2>,1/2)*",3/2?,,174426.0,,0.7,                                                  ,
