Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d8.(3F).4p,2G*,9/2,,55299.65,,,1.152,  58             :    32  3d8.(3F).4p          4G*   ,
3p6.3d8.(3F).4p,2G*,7/2,,56371.41,,,0.940,  84             :     8  3d8.(3F).4p          4G*   ,
3p6.3d8.(3F).4p,2F*,7/2,,57080.55,,,1.154,  81             :    11  3d8.(3F).4p          4F*   ,
3p6.3d8.(3F).4p,2F*,5/2,,58493.21,,,0.946,  74             :    20  3d8.(3F).4p          2D*   ,
3p6.3d8.(3F).4p,2D*,5/2,,57420.16,,,1.116,  74             :    20  3d8.(3F).4p          2F*   ,
3p6.3d8.(3F).4p,2D*,3/2,,58705.95,,,0.795,  89             :     7  3d8.(1D).4p          2D*   ,
3p6.3d8.(3P).4p,4P*,5/2,,66571.34,,,1.48,  73             :    20  3d8.(1D).4p          2D*   ,
3p6.3d8.(3P).4p,4P*,3/2,,66579.71,,,1.550,  73             :    12  3d8.(1D).4p          2P*   ,
3p6.3d8.(3P).4p,4P*,1/2,,67031.02,,,2.331,  85             :    11  3d8.(1D).4p          2P*   ,
3p6.3d8.(1D).4p,2F*,5/2,,67694.64,,,0.960,  84             :     8  3d8.(3P).4p          4P*   ,
3p6.3d8.(1D).4p,2F*,7/2,,68131.21,,,1.200,  86             :     9  3d8.(3P).4p          4D*   ,
3p6.3d7.4s2,4P,5/2,,67880.16,,,, 100                                                 ,
3p6.3d7.4s2,4P,3/2,,68156.57,,,,  94             :     6  3d7.4s2              2P    ,
3p6.3d7.4s2,4P,1/2,,68709.76,,,,  98             :     2  3d7.4s2              2P    ,
3p6.3d8.(1D).4p,2D*,3/2,,68154.31,,,1.02,  65             :    18  3d8.(3P).4p          4P*   ,
3p6.3d8.(1D).4p,2D*,5/2,,68735.98,,,1.264,  74             :    19  3d8.(3P).4p          4P*   ,
3p6.3d8.(1D).4p,2P*,1/2,,68281.62,,,1.008,  61             :    23  3d8.(3P).4p          2P*   ,
3p6.3d8.(1D).4p,2P*,3/2,,68965.65,,,1.305,  64             :    15  3d8.(1D).4p          2D*   ,
3p6.3d7.4s2,2G,9/2,,70358.94,,,,  97             :     3  3d7.4s2              2H    ,
3p6.3d7.4s2,2G,7/2,,71457.74,,,, 100                                                 ,
3p6.3d8.(3P).4p,4D*,5/2,,70635.46,,,1.325,  83             :     9  3d8.(3P).4p          2D*   ,
3p6.3d8.(3P).4p,4D*,3/2,,70706.77,,,1.190,  91             :     4  3d8.(3F).4p          4D*   ,
3p6.3d8.(3P).4p,4D*,1/2,,70748.70,,,,  95             :     4  3d8.(3F).4p          4D*   ,
3p6.3d8.(3P).4p,4D*,7/2,,70778.12,,,1.385,  87             :     9  3d8.(1D).4p          2F*   ,
3p6.3d8.(3P).4p,2D*,5/2,,71770.83,,,1.240,  87             :    10  3d8.(3P).4p          4D*   ,
3p6.3d8.(3P).4p,2D*,3/2,,72375.42,,,0.844,  82             :    11  3d8.(3P).4p          2P*   ,
3p6.3d8.(3P).4p,2P*,3/2,,72985.65,,,1.326,  67             :    16  3d8.(1D).4p          2P*   ,
3p6.3d8.(3P).4p,2P*,1/2,,73903.25,,,1.039,  70             :    24  3d8.(1D).4p          2P*   ,
3p6.3d7.4s2,2P,3/2,,73893.73,,,,  85             :     8  3d7.4s2              2D2   ,
3p6.3d8.(3P).4p,2S*,1/2,,74283.33,,,,  94             :     4  3d8.(1D).4p          2P*   ,
3p6.3d8.(3P).4p,4S*,3/2,,74300.93,,,,  97                                                 ,
3p6.3d8.(1G).4p,2H*,9/2,,75149.48,,,0.903, 100                                                 ,
3p6.3d8.(1G).4p,2H*,11/2,,75721.68,,,1.119, 100                                                 ,
3p6.3d8.(1G).4p,2F*,7/2,,75917.63,,,1.165,  94             :     4  3d8.(1D).4p          2F*   ,
3p6.3d8.(1G).4p,2F*,5/2,,76402.03,,,,  95                                                 ,
3p6.3d7.4s2,2H,11/2,,76727.36,,,, 100                                                 ,
3p6.3d7.4s2,2H,9/2,,77736.79,,,,  97             :     3  3d7.4s2              2G    ,
3p6.3d7.4s2,2D2,5/2,,77332.47,,,,  77             :    23  3d7.4s2              2D1   ,
3p6.3d7.4s2,2D2,3/2,,78955.45,,,,  72             :    18  3d7.4s2              2D1   ,
3p6.3d8.(1G).4p,2G*,7/2,,79823.03,,,,  99                                                 ,
3p6.3d8.(1G).4p,2G*,9/2,,79923.88,,,, 100                                                 ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,11/2,,86343.21,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,9/2,,86870.03,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,7/2,,87538.09,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,5/2,,88128.56,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,3/2,,88582.01,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6F*,1/2,,88881.59,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6D*,9/2,,88171.88,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6D*,7/2,,89100.49,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,11/2,,89460.35,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,9/2,,89918.47,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,7/2,,90275.30,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),6G*,5/2,,90526.18,?,,,                                                     ,
3p6.3d8.(3F).5s,4F,9/2,,91800.05,,,1.350, 100                                                 ,
3p6.3d8.(3F).5s,4F,7/2,,92325.85,,,1.188,  61             :    39  3d8.(3F).5s          2F    ,
3p6.3d8.(3F).5s,4F,5/2,,93390.06,,,1.02,  88             :    12  3d8.(3F).5s          2F    ,
3p6.3d8.(3F).5s,4F,3/2,,94067.14,,,0.392,  99             :     1  3d8.(1D).5s          2D    ,
3p6.3d7.4s2,2F,5/2,,92373.45,,,, 100                                                 ,
3p6.3d7.4s2,2F,7/2,,92792.08,,,, 100                                                 ,
3p6.3d8.(3F).5s,2F,7/2,,93528.44,,,1.166,  61             :    39  3d8.(3F).5s          4F    ,
3p6.3d8.(3F).5s,2F,5/2,,94729.25,,,0.865,  87             :    12  3d8.(3F).5s          4F    ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,9/2,,94283.94,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,7/2,,94705.93,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,5/2,,95332.53,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,3/2,,95893.76,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,11/2,,94396.74,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,9/2,,95017.71,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,7/2,,95573.39,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,5/2,,96052.48,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,7/2,,96535.87,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,5/2,,97273.83,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,3/2,,97799.66,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,1/2,,98122.63,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2G*,9/2,,98276.70,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2G*,7/2,,99844.13,,,,                                                     ,
3p6.3d8.(3F).4d,4D,7/2,,98467.25,,,,  90             :     7  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,4D,5/2,,99559.33,,,,  42             :    39  3d8.(3F).4d          4P    ,
3p6.3d8.(3F).4d,4D,1/2,,100010.17,,,,  69             :    16  3d8.(3F).4d          4P    ,
3p6.3d8.(3F).4d,4D,3/2,,100078.78,,,,  49             :    45  3d8.(3F).4d          2P    ,
3p6.3d8.(3F).4d,4P,5/2,,98561.22,,,,  57             :    40  3d8.(3P).4d          4D    ,
3p6.3d8.(3F).4d,4P,3/2,,100490.95,,,,  73             :    12  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,4P,1/2,,100845.41,,,,  66             :    26  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,4H,13/2,,98822.55,,,, 100                                                 ,
3p6.3d8.(3F).4d,4H,11/2,,100309.29,,,,  54             :    32  3d8.(3F).4d          2H    ,
3p6.3d8.(3F).4d,4H,9/2,,100332.09,,,,  52             :    22  3d8.(3F).4d          2H    ,
3p6.3d8.(3F).4d,4H,7/2,,101144.63,,,,  62             :    28  3d8.(3F).4d          4G    ,
3p6.3d8.(3F).4d,2H,11/2,,98969.44,,,,  47             :    45  3d8.(3F).4d          4H    ,
3p6.3d8.(3F).4d,2H,9/2,,101357.20,,,,  55             :    19  3d8.(3F).4d          4H    ,
3p6.3d8.(3F).4d,2P,3/2,,99040.75,,,,  44             :    29  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,2P,1/2,,101246.16,,,,  77             :    18  3d8.(3F).4d          4P    ,
3p6.3d8.(3F).4d,4G,11/2,,99132.78,,,,  78             :    21  3d8.(3F).4d          2H    ,
3p6.3d8.(3F).4d,4G,5/2,,101366.14,,,,  68             :    28  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,4F,9/2,,99154.81,,,,  63             :    31  3d8.(3F).4d          4G    ,
3p6.3d8.(3F).4d,4F,7/2,,100592.98,,,,  40             :    27  3d8.(3F).4d          4H    ,
3p6.3d8.(3F).4d,4F,3/2,,101258.01,,,,  89             :     8  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,2F,7/2,,99340.55,,,,  58             :    23  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,2F,5/2,,101247.37,,,,  47             :    31  3d8.(3F).4d          4F    ,
3p6.3d7.(4F).4s.4p.(3P*),2F*,7/2,,99418.61,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2F*,5/2,,100609.01,,,,                                                     ,
3p6.3d8.(3F).4d,2G,9/2,,99442.86,,,,  45             :    21  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,2G,7/2,,101740.27,,,,  72             :    13  3d8.(3F).4d          4G    ,
3p6.3d8.(3F).4d,,5/2,,100389.52,,,,  42  2F         :    25  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,,7/2,,100475.82,,,,  34  4G         :    34  3d8.(3F).4d          2F    ,
3p6.3d8.(3F).4d,,9/2,,100619.26,,,,  32  2G         :    30  3d8.(3F).4d          4G    ,
3p6.3d7.(4F).4s.4p.(3P*),2D*,5/2,,101754.80,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2D*,3/2,,102742.74,,,,                                                     ,
3p6.3d8.(3F).4d,2D,5/2,,103025.58,,,,  85             :     9  3d8.(3F).4d          2F    ,
3p6.3d8.(3F).4d,2D,3/2,,103663.50,,,,  90             :     4  3d8.(1D).4d          2D    ,
3p6.3d8.(3F).5p,4D*,7/2,,103653.03,,,,                                                     ,
3p6.3d8.(3F).5p,4D*,5/2,,104503.22,,,,                                                     ,
3p6.3d8.(3F).5p,4D*,3/2,,105439.85,,,,                                                     ,
3p6.3d8.(3F).5p,4D*,1/2,,106022.79,,,,                                                     ,
3p6.3d8.(3F).5p,2G*,9/2,,104081.04,,,,  60             :    32  3d8.(3F).5p          4G*   ,
3p6.3d8.(3F).5p,2G*,7/2,,106620.53,,,,  58             :    24  3d8.(3F).5p          4G*   ,
3p6.3d8.(3F).5p,4G*,11/2,,104147.29,,,,                                                     ,
3p6.3d8.(3F).5p,4G*,7/2,,105499.05,,,,  55             :    24  3d8.(3F).5p          2G*   ,
3p6.3d8.(3F).5p,4G*,9/2,,105588.89,,,,  41             :    38  3d8.(3F).5p          2G*   ,
3p6.3d8.(3F).5p,4G*,5/2,,106283.16,,,,                                                     ,
3p6.3d8.(3F).5p,4F*,9/2,,104298.23,,,,                                                     ,
3p6.3d8.(3F).5p,4F*,5/2,,105668.78,,,,  53             :    24  3d8.(3F).5p          4G*   ,
3p6.3d8.(3F).5p,4F*,3/2,,106369.30,,,,                                                     ,
3p6.3d8.(3F).5p,*,7/2,,104646.52,,,,  39  4F*        :    33  3d8.(3F).5p          2F*   ,
3p6.3d8.(3F).5p,2F*,7/2,,105838.06,,,,  46             :    32  3d8.(3F).5p          4F*   ,
3p6.3d8.(3F).5p,2F*,5/2,,107082.21,,,,                                                     ,
3p6.3d8.(3F).5p,2D*,5/2,,105861.19,,,,                                                     ,
3p6.3d8.(3F).5p,2D*,3/2,,107142.12,,,,                                                     ,
3p6.3d7.(4P).4s.4p.(3P*),6D*,9/2,,105981.50,?,,,                                                     ,
3p6.3d8.(1D).5s,2D,5/2,,106007.89,,,,  80             :    20  3d8.(3P).5s          4P    ,
3p6.3d8.(1D).5s,2D,3/2,,106133.14,,,,  87             :     9  3d8.(3P).5s          2P    ,
3p6.3d7.(4P).4s.4p.(3P*),4S*,3/2,,107737.81,,,,                                                     ,
3p6.3d8.(3P).5s,4P,5/2,,108368.05,,,,  80             :    20  3d8.(1D).5s          2D    ,
3p6.3d8.(3P).5s,4P,3/2,,108548.61,,,,  94             :     5  3d8.(1D).5s          2D    ,
3p6.3d8.(3P).5s,4P,1/2,,108763.32,,,,  98             :     2  3d8.(3P).5s          2P    ,
3p6.3d7.(4P).4s.4p.(3P*),6P*,3/2,,109038.84,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,9/2,,109148.05,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,7/2,,109846.00,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,5/2,,110573.36,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,3/2,,111120.54,,,,                                                     ,
3p6.3d8.(3P).5s,2P,3/2,,109269.83,,,,  90             :     7  3d8.(1D).5s          2D    ,
3p6.3d8.(3P).5s,2P,1/2,,109675.72,,,,  98             :     2  3d8.(3P).5s          4P    ,
,*,9/2,,110021.92,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4G*,7/2,,111783.79,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(1P*),4G*,11/2,,112422.19,?,,,                                                     ,
3p6.3d7.(4F).4s.4p.(1P*),4G*,9/2,,113753.04,,,,  67             :    28  3d7.(4F).4s.4p.(1P*) 4F*   ,
3p6.3d7.(4F).4s.4p.(1P*),4G*,5/2,,115108.09,,,,  50             :    28  3d7.(4F).4s.4p.(1P*) 2F*   ,
3p6.3d8.(1D).4d,2F,5/2,,112686.30,,,,  66             :    13  3d8.(1D).4d          2D    ,
3p6.3d8.(1D).4d,2F,7/2,,112719.75,,,,  77             :    19  3d8.(3P).4d          4D    ,
3p6.3d8.(1D).4d,2D,3/2,,112906.93,,,,  62             :    22  3d8.(3P).4d          2D    ,
3p6.3d8.(1D).4d,2D,5/2,,113407.31,,,,  55             :    25  3d8.(1D).4d          2F    ,
3p6.3d8.(1D).4d,2G,9/2,,113172.96,,,,  84             :    15  3d8.(3P).4d          4F    ,
3p6.3d8.(1D).4d,2G,7/2,,113177.61,,,,  86             :    10  3d8.(3P).4d          2F    ,
3p6.3d8.(1D).4d,2P,1/2,,113225.06,,,,  78             :    13  3d8.(3P).4d          4D    ,
3p6.3d8.(1D).4d,2P,3/2,,113408.71,,,,  77             :    13  3d8.(3P).4d          4D    ,
3p6.3d7.(4F).4s.4p.(1P*),4F*,9/2,,113321.95,,,,  63             :    34  3d7.(4F).4s.4p.(1P*) 4G*   ,
3p6.3d7.(4F).4s.4p.(1P*),4F*,5/2,,115120.00,?,,,  61             :    16  3d7.(4F).4s.4p.(1P*) 2F*   ,
3p6.3d7.(4F).4s.4p.(1P*),4F*,3/2,,115592.25,?,,,  42             :    30  3d7.(4F).4s.4p.(1P*) 4D*   ,
3p6.3d8.(1D).4d,2S,1/2,,113623.10,,,,  85             :    10  3d8.(3P).4d          4P    ,
3p6.3d7.4s.4p,*,7/2,,114052.04,,,,  29  4G*        :    28  3d7.4s.4p            4F*   ,
3p6.3d8.(3P).4d,4D,7/2,,114836.63,,,,  79             :    20  3d8.(1D).4d          2F    ,
3p6.3d8.(3P).4d,4D,5/2,,114874.88,,,,  72             :    19  3d8.(1D).4d          2D    ,
3p6.3d8.(3P).4d,4D,3/2,,114942.42,,,,  79             :    11  3d8.(1D).4d          2P    ,
3p6.3d8.(3P).4d,4D,1/2,,114970.19,,,,  87             :    12  3d8.(1D).4d          2P    ,
3p6.3d7.(2H).4s.4p.(3P*),4G*,11/2,,114858.88,,,,                                                     ,
3p6.3d7.(2H).4s.4p.(3P*),4G*,9/2,,115612.88,,,,                                                     ,
3p6.3d7.(2H).4s.4p.(3P*),4G*,7/2,,116275.81,,,,                                                     ,
3p6.3d7.(2H).4s.4p.(3P*),4G*,5/2,,116754.93,,,,                                                     ,
3p6.3d7.(2P).4s.4p.(3P*),2D*,3/2,,114869.35,,,,  62                                                 ,
3p6.3d7.(2P).4s.4p.(3P*),2D*,5/2,,116893.98,,,,  50             :    33  3d7.(2P).4s.4p.(3P*) 4D*   ,
3p6.3d7.(2G).4s.4p.(3P*),2F*,7/2,,115000.25,,,,  51             :    22  3d7.(2G).4s.4p.(3P*) 4D*   ,
3p6.3d8.(1G).5s,2G,9/2,,115081.36,,,, 100                                                 ,
3p6.3d8.(1G).5s,2G,7/2,,115085.36,,,, 100                                                 ,
3p6.3d7.4s.4p,4D*,7/2,,115209.85,,,,  55             :    18  3d7.4s.4p            2F*   ,
3p6.3d7.4s.4p,4D*,7/2,,116512.06,,,,                                                     ,
3p6.3d7.4s.4p,*,5/2,,115565.98,,,,  32  4D*        :    25  3d7.4s.4p            4F*   ,
3p6.3d8.(3P).4d,4F,9/2,,115739.15,,,,  84             :    15  3d8.(1D).4d          2G    ,
3p6.3d8.(3P).4d,4F,7/2,,115827.12,,,,  82             :     8  3d8.(1D).4d          2G    ,
3p6.3d8.(3P).4d,4F,5/2,,115956.71,,,,  68             :    13  3d8.(3P).4d          2F    ,
3p6.3d8.(3P).4d,4F,3/2,,116167.76,,,,  97             :     1  3d8.(3P).4d          4P    ,
,*,3/2,,115785.06,,,,                                                     ,
3p6.3d7.4s2,2D1,5/2,,115870.28,,,,  77             :    23  3d7.4s2              2D2   ,
3p6.3d8.(3P).4d,2F,7/2,,116145.69,,,,  82             :    11  3d8.(3P).4d          4F    ,
3p6.3d8.(3P).4d,,5/2,,116191.47,,,,  38  2D         :    24  3d8.(3P).4d          4F    ,
3p6.3d8.(3P).4d,4P,1/2,,116261.81,,,,  86             :    11  3d8.(1D).4d          2S    ,
3p6.3d8.(3P).4d,4P,3/2,,116312.34,,,,  85             :     8  3d8.(1D).4d          2P    ,
3p6.3d8.(3P).4d,4P,5/2,,116732.51,,,,  41             :    28  3d8.(3P).4d          2D    ,
3p6.3d8.(3P).4d,2P,1/2,,116786.42,,,,  89             :     7  3d8.(1D).4d          2P    ,
3p6.3d8.(3P).4d,2P,3/2,,116838.33,,,,  91             :     4  3d8.(3P).4d          2D    ,
3p6.3d8.(3F).6s,4F,9/2,,116833.15,,,,                                                     ,
3p6.3d8.(3F).6s,4F,7/2,,117074.70,,,,                                                     ,
3p6.3d8.(3F).6s,4F,5/2,,118314.82,,,,                                                     ,
3p6.3d8.(3F).6s,4F,3/2,,119100.06,,,,                                                     ,
3p6.3d7.(a 2D).4s.4p.(3P*),4F*,9/2,,117573.68,,,,                                                     ,
3p6.3d7.(a 2D).4s.4p.(3P*),4F*,7/2,,117972.47,,,,                                                     ,
3p6.3d7.(2P).4s.4p.(3P*),*,3/2,,117662.11,,,,  37  4S*        :    12  3d7.(2P).4s.4p.(3P*) 2D*   ,
3p6.3d8.(1D).5p,*,3/2,,117763.91,,,,  36  2D*        :    12  3d8.(1D).5p          2P*   ,
3p6.3d8.(1D).5p,2D*,5/2,,117872.78,,,,  65                                                 ,
3p6.3d7.(2H).4s.4p.(3P*),2I*,11/2,,118248.98,,,,                                                     ,
3p6.3d7.(2H).4s.4p.(3P*),2I*,13/2,,119010.21,,,,                                                     ,
3p6.3d8.(3F).6s,2F,7/2,,118294.17,,,,                                                     ,
3p6.3d8.(3F).6s,2F,5/2,,119315.44,,,,                                                     ,
3p6.3d8.(1D).5p,2F*,5/2,,118379.11,,,,                                                     ,
3p6.3d8.(1D).5p,2F*,7/2,,118563.39,,,,                                                     ,
3p6.3d8.(1D).5p,*,3/2,,118442.81,,,,  37  2P*        :    35  3d8.(1D).5p          2D*   ,
3p6.3d8.(1D).5p,2P*,1/2,,118631.95,,,,  50             :    29  3d7.4s.4p            4D*   ,
3p6.3d8.(3F<4>).4f,2[1]*,1/2,,118774.76,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[1]*,3/2,,118809.34,?,,,  87             :    13  3d8.(3F<4>).4f       2[2]* ,
3p6.3d8.(3F<4>).4f,2[7]*,13/2,,118803.82,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[7]*,15/2,,118848.92,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[2]*,5/2,,118828.61,,,,  92             :     8  3d8.(3F<4>).4f       2[3]* ,
3p6.3d8.(3F<4>).4f,2[2]*,3/2,,118877.09,,,,  87             :    13  3d8.(3F<4>).4f       2[1]* ,
3p6.3d8.(3F<4>).4f,2[3]*,7/2,,118874.11,,,,  97             :     3  3d8.(3F<4>).4f       2[4]* ,
3p6.3d8.(3F<4>).4f,2[3]*,5/2,,118897.94,,,,  92             :     8  3d8.(3F<4>).4f       2[2]* ,
3p6.3d8.(3F<4>).4f,2[6]*,11/2,,118892.99,,,,  99                                                 ,
3p6.3d8.(3F<4>).4f,2[6]*,13/2,,118893.24,,,, 100                                                 ,
3p6.3d8.(3F<4>).4f,2[4]*,9/2,,118914.34,,,,  99                                                 ,
3p6.3d8.(3F<4>).4f,2[4]*,7/2,,118923.20,,,,  97             :     3  3d8.(3F<4>).4f       2[3]* ,
3p6.3d8.(3F<4>).4f,2[5]*,9/2,,118927.02,,,,  99                                                 ,
3p6.3d8.(3F<4>).4f,2[5]*,11/2,,118939.53,,,,  99                                                 ,
3p6.3d8.(3F).5d,4D,7/2,,119656.25,,,,  84             :    13  3d8.(3F).5d          4F    ,
3p6.3d8.(3F).5d,4D,1/2,,121111.90,,,,  48             :    30  3d8.(3F).5d          2P    ,
3p6.3d8.(3F).5d,4D,3/2,,121115.59,,,,  44             :    34  3d8.(3F).5d          2P    ,
3p6.3d8.(3F).5d,4P,5/2,,119665.29,,,,  67             :    30  3d8.(3F).5d          4D    ,
3p6.3d8.(3F).5d,4P,1/2,,121925.16,,,,  51             :    43  3d8.(3F).5d          4D    ,
3p6.3d8.(3F).5d,4H,13/2,,119773.60,,,, 100                                                 ,
3p6.3d8.(3F).5d,4H,11/2,,121180.55,,,,  59             :    30  3d8.(3F).5d          2H    ,
3p6.3d8.(3F).5d,4H,9/2,,121190.34,,,,  59             :    27  3d8.(3F).5d          2H    ,
3p6.3d8.(3F).5d,4H,7/2,,122047.29,,,,  77             :    18  3d8.(3F).5d          4G    ,
3p6.3d8.(3P).5p,4P*,5/2,,119796.98,,,,  51             :    19  3d8.(1D).5p          2D*   ,
3p6.3d8.(3P).5p,4P*,3/2,,120166.52,,,,  36             :    17  3d8.(1D).5p          2D*   ,
3p6.3d8.(3P).5p,4P*,1/2,,120316.02,,,,                                                     ,
3p6.3d8.(3F).5d,4G,11/2,,119833.00,,,,  53             :    34  3d8.(3F).5d          4H    ,
3p6.3d8.(3F).5d,4G,7/2,,121240.90,,,,  42             :    30  3d8.(3F).5d          2F    ,
3p6.3d8.(3F).5d,4G,9/2,,121294.67,,,,  43             :    25  3d8.(3F).5d          2G    ,
3p6.3d8.(3F).5d,4G,5/2,,122144.99,,,,  59             :    35  3d8.(3F).5d          4F    ,
3p6.3d8.(3F).5d,2H,11/2,,119889.47,,,,  56             :    36  3d8.(3F).5d          4G    ,
3p6.3d8.(3F).5d,2H,9/2,,122140.71,,,,  59             :    25  3d8.(3F).5d          4H    ,
