Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3s2.3p2.(1D).5s,2D,3/2,,161737.99,,,  99         :     1  3s2.3p2.(1D).4d 2D   ,
3s2.3p2.(1D).4d,2G,7/2,,164181.17,,,  87         :    10  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(1D).4d,2G,9/2,,164268.79,,, 100                                       ,
3s2.3p2.(1D).4d,2F,5/2,,164232.36,,,  65         :    25  3s2.3p2.(3P).5d 2F   ,
3s2.3p2.(1D).4d,2F,7/2,,164337.61,,,  59         :    19  3s2.3p2.(3P).5d 2F   ,
3s2.3p2.(3P).6s,4P,1/2,,165719.23,,,  95         :     5  3s2.3p2.(3P).6s 2P   ,
3s2.3p2.(3P).6s,4P,3/2,,165991.35,,,  95         :     5  3s2.3p2.(3P).6s 2P   ,
3s2.3p2.(3P).6s,4P,5/2,,166479.82,,,  99         :     1  3s2.3p2.(3P).5d 4P   ,
3s2.3p2.(1D).4d,2P,1/2,,166151.61,,,  80         :    17  3s2.3p2.(3P).5d 2P   ,
3s2.3p2.(1D).4d,2P,3/2,,166185.47,,,  63         :    18  3s2.3p2.(3P).5d 2P   ,
3s2.3p2.(3P).6s,2P,1/2,,166331.19,,,  94         :     5  3s2.3p2.(3P).6s 4P   ,
3s2.3p2.(3P).6s,2P,3/2,,166862.71,,,  93         :     4  3s2.3p2.(3P).6s 4P   ,
3s2.3p2.(3P).5d,4F,3/2,,166591.08,,,  79         :    13  3s2.3p2.(1D).4d 2P   ,
3s2.3p2.(3P).5d,4F,5/2,,166709.27,,,  87         :    11  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4F,7/2,,166918.27,,,  85         :    13  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4F,9/2,,167269.15,,,  98         :     1  3s2.3p2.(3P).4d 4F   ,
3s2.3p2.(3P).5d,4D,1/2,,167254.84,,,  98         :     1  3s2.3p2.(1D).4d 2P   ,
3s2.3p2.(3P).5d,4D,3/2,,167291.84,,,  91         :     5  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(3P).5d,4D,5/2,,167364.98,,,  83         :    11  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(3P).5d,4D,7/2,,167575.23,,,  86         :    13  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(1D).4d,2D,3/2,,167472.42,,,  83         :     6  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(1D).4d,2D,5/2,,167506.39,,,  80         :     7  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(3P).5d,4P,5/2,,168217.10,,,  89         :     5  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4P,3/2,,168397.89,,,  94         :     3  3s2.3p2.(3P).5d 4D   ,
3s2.3p2.(3P).5d,4P,1/2,,168490.43,,,  96         :     1  3s2.3p2.(3P).6d 4P   ,
3s2.3p2.(1D).5p,2F*,5/2,,168443.14,,,  98         :     1  3s2.3p2.(1D).5p 2D*  ,
3s2.3p2.(1D).5p,2F*,7/2,,168473.48,,, 100                                       ,
3s2.3p2.(1D).4d,2S,1/2,,169109.54,,,  80         :     6  3s2.3p2.(1D).5d 2S   ,
3s2.3p2.(3P).5d,2F,5/2,,169283.54,,,  62         :    15  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(3P).5d,2F,7/2,,169702.32,,,  72         :    14  3s2.3p2.(1D).4d 2F   ,
3s2.3p2.(3P).5d,2P,3/2,,169340.39,,,  37         :    28  3s2.3p2.(3P).5d 2D   ,
3s2.3p2.(3P).5d,2P,1/2,,169687.52,,,  66         :    12  3s2.3p2.(1D).4d 2P   ,
3s2.3p2.(3P).5d,2D,3/2,,169922.27,,,  49         :    24  3s2.3p2.(3P).5d 2P   ,
3s2.3p2.(3P).5d,2D,5/2,,170015.23,,,  70         :     6  3s2.3p2.(3P).6d 2D   ,
3s2.3p2.(3P<0>).5f,2[3]*,5/2,,170254.81,,,  97     or  :    61  3s2.3p2.(3P).5f 4G*  ,
3s2.3p2.(3P<0>).5f,2[3]*,7/2,,170298.18,,,  97     or  :    29  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<1>).5f,2[3]*,5/2,,170497.03,,,  98     or  :    49  3s2.3p2.(3P).5f 2D*  ,
3s2.3p2.(3P<1>).5f,2[3]*,7/2,,170504.91,,,  97     or  :    58  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<1>).5f,2[4]*,9/2,,170587.24,,,  97     or  :    66  3s2.3p2.(3P).5f 4G*  ,
3s2.3p2.(3P<1>).5f,2[4]*,7/2,,170620.00,,,  93     or  :    50  3s2.3p2.(3P).5f 2G*  ,
3s2.3p2.(3P<0>).5g,2[4],7/2,,170621.45,,,                                           ,
3s2.3p2.(3P<0>).5g,2[4],9/2,,170621.87,,,                                           ,
3s2.3p2.(3P<1>).5f,2[2]*,3/2,,170647.95,,,  95     or  :    36  3s2.3p2.(3P).5f 2D*  ,
3s2.3p2.(3P<1>).5f,2[2]*,5/2,,170663.13,,,  93     or  :    56  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<1>).5g,2[4],7/2,,170872.25,,,                                           ,
3s2.3p2.(3P<1>).5g,2[4],9/2,,170872.45,,,                                           ,
3s2.3p2.(3P<1>).5g,2[5],11/2,,170935.64,,,                                           ,
3s2.3p2.(3P<1>).5g,2[5],9/2,,170936.19,,,                                           ,
3s2.3p2.(3P<1>).5g,2[3],5/2,,170950.25,,,                                           ,
3s2.3p2.(3P<1>).5g,2[3],7/2,,170950.51,,,                                           ,
3s2.3p2.(1D<2>).4f,2[4]*,9/2,,170965.87,,,  50     or  :    50  3s2.3p2.(1D).4f 2G*  ,
3s2.3p2.(1D<2>).4f,2[4]*,7/2,,171007.91,,,  97     or  :    97  3s2.3p2.(1D).4f 2G*  ,
3s2.3p2.(3P<2>).5f,2[1]*,3/2?,,171000.19,,,  99     or  :    50  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<2>).5f,2[1]*,1/2?,,171000.19,,,  99     or  :   100  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<2>).5f,2[5]*,11/2,,171015.64,,,  99     or  :   100  3s2.3p2.(3P).5f 4G*  ,
3s2.3p2.(3P<2>).5f,2[5]*,9/2,,171125.40,,,  49     or  :    48  3s2.3p2.(1D).4f 2G*  ,
3s2.3p2.(3P<2>).5f,2[2]*,3/2,,171182.67,,,  94     or  :    70  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(3P<2>).5f,2[2]*,5/2,,171204.27,,,  82     or  :    57  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(1D<2>).4f,2[3]*,5/2,,171188.98,,,  99     or  :   100  3s2.3p2.(1D).4f 2F*  ,
3s2.3p2.(1D<2>).4f,2[3]*,7/2,,171189.39,,,  99     or  :   100  3s2.3p2.(1D).4f 2F*  ,
3s2.3p2.(3P<2>).5f,2[4]*,7/2,,171263.87,,,  79     or  :    81  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(3P<2>).5f,2[4]*,9/2,,171281.29,,,  96     or  :    83  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(3P<2>).5f,2[3]*,5/2,,171304.92,,,  85     or  :    64  3s2.3p2.(3P).5f 2F*  ,
3s2.3p2.(3P<2>).5f,2[3]*,7/2,,171358.13,,,  77     or  :    84  3s2.3p2.(3P).5f 2F*  ,
3s2.3p2.(3P<2>).5g,2[6],13/2,,171420.85,,,                                           ,
3s2.3p2.(3P<2>).5g,2[6],11/2,,171421.02,,,                                           ,
3s2.3p2.(3P<2>).5g,2[5],9/2,,,,,                                           ,
3s2.3p2.(3P<2>).5g,2[5],11/2,,171495.44,,,                                           ,
3s2.3p2.(1D<2>).4f,2[2]*,3/2,,171778.83,,,  99     or  :   100  3s2.3p2.(1D).4f 2D*  ,
3s2.3p2.(1D<2>).4f,2[2]*,5/2,,171778.83,,,  99     or  :   100  3s2.3p2.(1D).4f 2D*  ,
3s2.3p2.(1D<2>).4f,2[5]*,11/2,,171821.87,,,  99     or  :   100  3s2.3p2.(1D).4f 2H*  ,
3s2.3p2.(1D<2>).4f,2[5]*,9/2,,171821.87,,,  99     or  :   100  3s2.3p2.(1D).4f 2H*  ,
3s2.3p2.(1D<2>).4f,2[1]*,3/2,,172363.71,,,  99     or  :   100  3s2.3p2.(1D).4f 2P*  ,
3s2.3p2.(1D<2>).4f,2[1]*,1/2,,172363.71,,,  99     or  :   100  3s2.3p2.(1D).4f 2P*  ,
3s2.3p2.(3P).7s,4P,1/2,,173316.83,,,  89         :    10  3s2.3p2.(3P).7s 2P   ,
3s2.3p2.(3P).7s,4P,3/2,,173595.77,,,  92         :     8  3s2.3p2.(3P).7s 2P   ,
3s2.3p2.(3P).7s,4P,5/2,,174098.10,,,  98         :     1  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).7s,2P,1/2,,173749.01,,,  89         :    10  3s2.3p2.(3P).7s 4P   ,
3s2.3p2.(3P).7s,2P,3/2,,174274.52,,,  84         :     7  3s2.3p2.(3P).7s 4P   ,
3s2.3p2.(3P).6d,4D,7/2,,,,,  75         :    24  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).6d,4D,1/2,,,,,  96         :     2  3s2.3p2.(3P).6d 2P   ,
3s2.3p2.(3P).6d,4D,3/2,,174329.31,,,  76         :     9  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).6d,4D,5/2,,174360.92,,,  61         :    20  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).6d,4F,5/2,,,,,  75         :    20  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4F,3/2,,,,,  88         :     9  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4F,7/2,,,,,  74         :    23  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4F,9/2,,174529.27,,,  99         :     1  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(3P).6d,4P,5/2,,174892.75,,,  78         :    17  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4P,3/2,,175019.78,,,  80         :     8  3s2.3p2.(3P).6d 2P   ,
3s2.3p2.(3P).6d,4P,1/2,,175083.51,,,  95         :     2  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P<2>).6f,2[5]*,11/2,,176559.84,,,                                           ,
3s2.3p2.(3P<2>).6f,2[5]*,9/2,,176614.70,,,                                           ,
3s2.3p2.(3P<2>).6f,2[4]*,7/2,,176701.13,,,                                           ,
3s2.3p2.(3P<2>).6f,2[4]*,9/2,,176712.51,,,                                           ,
3s2.3p2.(1D).6s,2D,5/2,,177076.28,,,  99         :     1  3s2.3p2.(1D).5d 2D   ,
3s2.3p2.(1D).6s,2D,3/2,,177077.02,,,  99         :     1  3s2.3p2.(1D).5d 2D   ,
3s2.3p2.(1D).5d,2G,7/2,,178173.39,,,  89         :     9  3s2.3p2.(1D).5d 2F   ,
3s2.3p2.(1D).5d,2G,9/2,,178240.64,,,                                           ,
3s2.3p2.(3P).7d,4D,7/2,,,,,                                           ,
3s2.3p2.(3P).7d,4D,1/2,,,,,                                           ,
3s2.3p2.(3P).7d,4D,3/2,,,,,                                           ,
3s2.3p2.(3P).7d,4D,5/2,,178344.36,,,                                           ,
3s2.3p2.(3P).7d,4P,5/2,,178848.96,,,                                           ,
3s2.3p2.(3P).7d,4P,3/2,,178915.20,,,                                           ,
3s2.3p2.(3P).7d,4P,1/2,,178969.32,,,                                           ,
3s2.3p2.(3P<2>).7f,2[5]*,9/2,,,,,                                           ,
3s2.3p2.(3P<2>).7f,2[5]*,11/2,,179899.86,,,                                           ,
3s2.3p2.(1D<2>).5f,2[4]*,9/2,,181340.51,,,  99     or  :   100  3s2.3p2.(1D).5f 2G*  ,
3s2.3p2.(1D<2>).5f,2[4]*,7/2,,181340.51,,,  99     or  :   100  3s2.3p2.(1D).5f 2G*  ,
3s2.3p2.(1D<2>).5f,2[3]*,7/2,,181457.92,,,  99     or  :   100  3s2.3p2.(1D).5f 2F*  ,
3s2.3p2.(1D<2>).5f,2[3]*,5/2,,181457.92,,,  99     or  :   100  3s2.3p2.(1D).5f 2F*  ,
3s2.3p2.(1D<2>).5f,2[5]*,9/2,,181732.04,,,  99     or  :   100  3s2.3p2.(1D).5f 2H*  ,
3s2.3p2.(1D<2>).5f,2[5]*,11/2,,181732.04,,,  99     or  :   100  3s2.3p2.(1D).5f 2H*  ,
3s2.3p2.(1D<2>).5f,2[2]*,3/2,,181770.40,,,  99     or  :   100  3s2.3p2.(1D).5f 2D*  ,
3s2.3p2.(1D<2>).5f,2[2]*,5/2,,181770.40,,,  99     or  :   100  3s2.3p2.(1D).5f 2D*  ,
3s2.3p2.(1D<2>).5f,2[1]*,1/2,,182120.47,,,  99     or  :   100  3s2.3p2.(1D).5f 2P*  ,
3s2.3p2.(1D<2>).5f,2[1]*,3/2,,182120.47,,,  99     or  :   100  3s2.3p2.(1D).5f 2P*  ,
3s2.3p2.(1D).7s,2D,5/2,,184642.76,,,  99         :     1  3s2.3p2.(1D).6d 2D   ,
3s2.3p2.(1D).7s,2D,3/2,,184642.76,,,  99         :     1  3s2.3p2.(1D).6d 2D   ,
3s2.3p2.(1S<0>).4f,2[3]*,7/2,,187205.63,?,, 100     or  :   100  3s2.3p2.(1S).4f 2F*  ,
3s2.3p2.(1S<0>).4f,2[3]*,5/2,,187205.63,?,, 100     or  :   100  3s2.3p2.(1S).4f 2F*  ,
S III (3p2 3P<0>),Limit,---,,188232.7,,2.0,                                           ,"L7237,L5883"
S III (3p2 3P<1>),Limit,---,,188531.6,,,                                           ,
S III (3p2 3P<2>),Limit,---,,189066.0,,,                                           ,
S III (3p2 1D<2>),Limit,---,,199555,,,                                           ,
S III (3p2 1S<0>),Limit,---,,215394,,,                                           ,
