Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5s2.5p2.(3P).7s,4P,5/2,,120617.13,,0.20,1.51,  71         :    22  5s2.5p2.(1D).7s  2D   ,L3546
5s2.5p2.(1D).6p,2P*,1/2,,114068.52,,0.20,0.77,  89         :     5  5s2.5p2.(3P).6p  2S*  ,L3546
5s2.5p2.(1D).6p,2P*,3/2,,116101.71,,0.20,1.29,  54         :    20  5s2.5p2.(3P).6p  2P*  ,L3546
5s2.5p2.(3P).6d,2P,3/2,,115700.56,,0.20,0.91,  21         :    28  5s2.5p2.(3P).6d  4F   ,L3546
5s2.5p2.(3P).6d,2P,1/2,,128082.5,,0.9,,  35         :    25  5s.(2S).5p4.(3P) 2P   ,L15043
5s2.5p2.(3P).6d,4P,5/2,,116837.31,,0.20,1.20,  15         :    32  5s2.5p2.(3P).6d  4F   ,L3546
5s2.5p2.(3P).6d,4P,3/2,,125066.06,,0.20,1.52,  56         :    21  5s2.5p2.(3P).6d  4D   ,L3546
5s2.5p2.(3P).6d,4P,1/2,,125477.6,,0.9,,  74         :     6  5s.(2S).5p4.(1S) 2S   ,L15043
5s.(2S).5p4.(3P),2P,1/2,,117192.38,,0.20,,  27         :    22  5s2.5p2.(3P).6d  2P   ,L3546
5s.(2S).5p4.(3P),2P,3/2,,124082.07,,0.20,1.10,  19         :    28  5s2.5p2.(3P).6d  2P   ,L3546
5s2.5p2.(3P).6d,4F,3/2,,117264.02,,0.20,0.98,  33         :    24  5s.(2S).5p4.(3P) 2P   ,L3546
5s2.5p2.(3P).6d,4F,7/2,,120667.5,,1.3,,  61         :    31  5s2.5p2.(3P).6d  4D   ,L15043
5s2.5p2.(3P).6d,4F,5/2,,121063.80,,0.20,1.2,  51         :    24  5s2.5p2.(3P).6d  4P   ,L3546
5s2.5p2.(3P).6d,4F,9/2,,123649.92,,0.20,1.30,  80         :    20  5s2.5p2.(1D).6d  2G   ,L3546
5s2.5p2.(3P).4f,4G*,5/2,,117685.83,,0.20,0.85,  45         :    19  5s2.5p2.(3P).4f  2D*  ,L3546
5s2.5p2.(3P).4f,4G*,7/2,,117859.06,,0.20,1.13,  20         :    27  5s2.5p2.(3P).4f  4D*  ,L3546
5s2.5p2.(3P).4f,4G*,9/2,,122427.00,,0.20,1.25,  58         :    26  5s2.5p2.(3P).4f  4F*  ,L3546
5s2.5p2.(3P).4f,4G*,11/2,,125495.39,,0.25,1.31,  82         :    17  5s2.5p2.(1D).4f  2H*  ,L3546
5s2.5p2.(3P).7s,2P,1/2,,118009.02,,0.20,1.16,  59         :    21  5s2.5p2.(3P).7s  4P   ,L3546
5s2.5p2.(3P).7s,2P,3/2,,121173.94,,0.20,1.23,  55         :    22  5s2.5p2.(1D).7s  2D   ,L3546
5s2.5p2.(1S).5d,2D,3/2,,118325.5,,0.6,,  58         :    13  5s2.5p2.(3P).6d  2D   ,L15043
5s2.5p2.(1S).5d,2D,5/2,,118420.6,,0.8,,  73         :     6  5s.(2S).5p4.(1D) 2D   ,L15043
5s2.5p2.(3P).6d,4D,1/2,,121106.21,,0.20,0.52,  71         :     6  5s.(2S).5p4.(1S) 2S   ,L3546
5s2.5p2.(3P).6d,4D,3/2,,121518.93,,0.20,1.20,  45         :    21  5s2.5p2.(3P).6d  4P   ,L3546
5s2.5p2.(3P).6d,4D,7/2,,123654.56,,0.20,1.26,  36         :    28  5s2.5p2.(3P).6d  4F   ,L3546
5s2.5p2.(3P).6d,4D,5/2,,124646.39,,0.20,1.32,  47         :    20  5s2.5p2.(3P).6d  4P   ,L3546
5s2.5p2.(3P).4f,2D*,5/2,,122027.77,,0.20,0.95,  39         :    44  5s2.5p2.(3P).4f  4G*  ,L3546
5s2.5p2.(3P).4f,2D*,3/2,,125442.46,,0.20,1.21,  25         :    35  5s2.5p2.(3P).4f  4D*  ,L3546
5s2.5p2.(3P).4f,4D*,7/2,,122137.90,,0.20,1.18,  49         :    34  5s2.5p2.(3P).4f  4G*  ,L3546
5s2.5p2.(3P).4f,4D*,5/2,,122887.62,,0.20,1.16,  40         :    21  5s2.5p2.(3P).4f  2F*  ,L3546
5s2.5p2.(3P).4f,4D*,1/2,,125287.32,,0.20,0.86,  46         :    30  5s2.5p2.(1S).6p  2P*  ,L3546
5s2.5p2.(3P).4f,4D*,3/2,,126138.35,,0.20,0.91,  22         :    36  5s2.5p2.(3P).4f  4F*  ,L3546
5s2.5p2.(3P).6d,2F,5/2,,122196.84,,0.20,1.07,  61         :    20  5s2.5p2.(3P).6d  4P   ,L3546
5s2.5p2.(3P).6d,2F,7/2,,125967.10,,0.20,1.15,  56         :    18  5s2.5p2.(1D).6d  2G   ,L3546
5s2.5p2.(3P).4f,2G*,7/2,,122616.65,,0.20,0.98,  50         :    28  5s2.5p2.(3P).4f  4G*  ,L3546
5s2.5p2.(3P).4f,4F*,3/2,,122775.20,,0.20,0.71,  48         :    26  5s2.5p2.(3P).4f  4D*  ,L3546
5s2.5p2.(3P).4f,4F*,9/2,,125644.34,,0.20,1.19,  25         :    30  5s2.5p2.(3P).4f  4G*  ,L3546
5s2.5p2.(3P).4f,4F*,7/2,,125983.78,,0.20,1.20,  56         :    18  5s2.5p2.(1D).4f  2F*  ,L3546
5s2.5p2.(3P).4f,4F*,5/2,,126063.01,,0.20,1.11,  49         :    24  5s2.5p2.(3P).4f  4D*  ,L3546
5s.(2S).5p4.(1S),2S,1/2,,123657.46,,0.20,1.15,  23         :    17  5s2.5p2.(3P).6d  4D   ,L3546
5s2.5p2.(3P).7p,4D*,5/2,,123885.43,,0.20,1.38,  64         :    22  5s2.5p2.(3P).7p  4P*  ,L3546
5s2.5p2.(3P).6d,2D,5/2,,125906.03,,0.20,1.17,  45         :    21  5s2.5p2.(1D).6d  2F   ,L3546
5s2.5p2.(3P).6d,2D,3/2,,126516.86,,0.20,0.98,  36         :    15  5s2.5p2.(3P).6d  2P   ,L3546
5s2.5p2.(1S).6p,2P*,1/2,,126047.99,,0.20,0.29,  46         :    39  5s2.5p2.(3P).4f  4D*  ,L3546
5s2.5p2.(1S).6p,2P*,3/2,,126309.55,,0.20,1.02,  50         :    26  5s2.5p2.(3P).4f  2D*  ,L3546
5s2.5p2.(3P).4f,2F*,7/2,,126164.22,,0.20,1.12,  52         :    21  5s2.5p2.(1D).4f  2G*  ,L3546
