Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,4*,3,7,,55193.08,,,,                                                        ,
,5*,3,7,,55559.02,,,,                                                        ,
4f8?,z 7F,6,13,,55651.82,,,1.490,                                                        ,
4f8?,z 7F,3,7,,55967.88,,,1.460,                                                        ,
4f8?,z 7F,0,1,,55986.45,,,,                                                        ,
4f8?,z 7F,5,11,,55991.33,,,1.460,                                                        ,
4f8?,z 7F,4,9,,56067.39,,,1.466,                                                        ,
4f8?,z 7F,1,3,,56245.61,,,1.494,                                                        ,
4f8?,z 7F,2,5,,56571.04,,,1.451,                                                        ,
,159,2,5,,55693.94,,,1.115,                                                        ,
,160,2,5,,55807.25,,,1.090,                                                        ,
,6*,3 or 4,7,,56158.66,,,,                                                        ,
,161,3,7,,56229.17,,,1.381,                                                        ,
,f 7D*?,5,11,,56271.40,,,1.662,                                                        ,
,f 7D*?,4,9,,56293.33,,,1.649:,                                                        ,
,f 7D*?,3,7,,56309.21,,,,                                                        ,
,f 7D*?,1,3,,56310.89,,,2.962,                                                        ,
,f 7D*?,2,5,,56321.27,,,1.792,                                                        ,
,7*,2 or 3,5,,56421.62,,,1.844,                                                        ,
,8*,5,11,,56781.20,,,1.454,                                                        ,
,9*,3 or 4,7,,57127.26,,,,                                                        ,
,10*,4,9,,57270.14,,,,                                                        ,
,11*,3 or 4,7,,57360.05,,,,                                                        ,
,162,1 or 2,3,,57363.68,,,,                                                        ,
,163,3,7,,57388.87,,,1.736:,                                                        ,
,164,2 or 3,5,,57415.06,,,,                                                        ,
,165,3 or 4,7,,57634.02,,,,                                                        ,
,166,2,5,,58920.64,,,1.502,                                                        ,
,12*,3,7,,59045.49,,,2.061,                                                        ,
,167,1,3,,59145.26,,,1.486,                                                        ,
,168,2,5,,59334.70,,,,                                                        ,
,169,4 or 5,9,,59343.45,,,,                                                        ,
,13*,3,7,,59765.77,,,,                                                        ,
,170,3 or 4,7,,59995.34,,,,                                                        ,
4f7.(8S*).8s,f 9S*,4,9,,66598.00,,,,                                                        ,
4f7.(8S*).8s,f 7S*,3,7,,66836.16,?,,,                                                        ,
Eu III (4f7.5s2.5p6 8S*<7/2>),Limit,---,,[,90660,],50,,                                                        ,L19870
