Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""3""","=""""","=""109276.015""","=""""","=""0.006""","=""""","=""  91                                    :     4  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""2""","=""""","=""110363.725""","=""""","=""0.008""","=""""","=""  91                                    :     5  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5D*""","=""1""","=""""","=""111124.39""","=""""","=""0.14""","=""""","=""  93                                    :     5  3d8.(3P).4s.4p.(3P*) 5D*      ""","=""L19804"""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""3""","=""""","=""108014.8372""","=""""","=""0.0012""","=""""","="" 100                                    :                                      ""","=""L19804"""
"=""3d9.(2D<5/2>).5s""","=""2[5/2]""","=""2""","=""""","=""108335.6078""","=""""","=""0.0012""","=""""","=""  98                                    :     2  3d9.(2D<3/2>).5s     2[3/2]   ""","=""L19804"""
"=""3d9.(2D<3/2>).5s""","=""2[3/2]""","=""1""","=""""","=""110084.4773""","=""""","=""0.0011""","=""""","="" 100                                    :                                      ""","=""L19804"""
"=""3d9.(2D<3/2>).5s""","=""2[3/2]""","=""2""","=""""","=""110366.1542""","=""""","=""0.0011""","=""""","=""  98                                    :     2  3d9.(2D<5/2>).5s     2[5/2]   ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""5""","=""""","=""110631.196""","=""""","=""0.009""","=""""","=""  82                                    :    13  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""4""","=""""","=""111218.705""","=""""","=""0.008""","=""""","=""  83                                    :    10  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""3""","=""""","=""111876.412""","=""""","=""0.008""","=""""","=""  89                                    :     7  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5G*""","=""2""","=""""","=""112424.679""","=""""","=""0.023""","=""""","=""  95                                    :     3  3d8.(3F).4s.4p.(3P*) 5F*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""5""","=""""","=""112401.632""","=""""","=""0.022""","=""""","=""  86                                    :    12  3d8.(3F).4s.4p.(3P*) 5G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""4""","=""""","=""113302.823""","=""""","=""0.006""","=""""","=""  84                                    :     9  3d8.(3F).4s.4p.(3P*) 5G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""3""","=""""","=""114000.452""","=""""","=""0.007""","=""""","=""  86                                    :     7  3d8.(3F).4s.4p.(3P*) 5G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""2""","=""""","=""114481.674""","=""""","=""0.006""","=""""","=""  92                                    :     3  3d8.(3F).4s.4p.(3P*) 5G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""5F*""","=""1""","=""""","=""114755.953""","=""""","=""0.011""","=""""","=""  97                                                                           ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[1/2]""","=""1""","=""""","=""114511.2386""","=""""","=""0.0012""","=""""","=""  91                                    :     7  3d9.(2D<3/2>).4d     2[1/2]   ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[1/2]""","=""0""","=""""","=""116576.5758""","=""""","=""0.0018""","=""""","=""  53                                    :    45  3d9.(2D<3/2>).4d     2[1/2]   ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""4""","=""""","=""115359.532""","=""""","=""0.005""","=""""","=""  71                                    :    20  3d8.(3F).4s.4p.(3P*) 1G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""5""","=""""","=""115546.114""","=""""","=""0.011""","=""""","=""  93                                    :     6  3d8.(3F).4s.4p.(3P*) 5G*      ""","=""L19804"""
"=""3d8.(3F).4s.4p.(3P*)""","=""3G*""","=""3""","=""""","=""116643.960""","=""""","=""0.003""","=""""","=""  57                                    :    36  3d8.(3F).4s.4p.(3P*) 3D*      ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[9/2]""","=""5""","=""""","=""115568.99497""","=""""","=""0.0012""","=""""","=""  99                                    :                                      ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[9/2]""","=""4""","=""""","=""115662.5622""","=""""","=""0.0014""","=""""","=""  97                                    :     1  3d9.(2D<5/2>).4d     2[7/2]   ""","=""L19804"""
"=""3d9.(2D<5/2>).4d""","=""2[3/2]""","=""2""","=""""","=""115638.8036""","=""""","=""0.0011""","=""""","=""  93                                    :     4  3d9.(2D<5/2>).4d     2[5/2]   ""","=""L19804"""
