Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4p5.(2P*<3/2>).8d,2[3/2]*,1,3,,210581.8,,1.3,,                                  ,L9039
4p5.(2P*<3/2>).7f,2[9/2],5,11,,210950.62,,0.030,1.20,                                  ,L9039
4p5.(2P*<3/2>).7f,2[9/2],4,9,,210956.96,,0.040,1.04,                                  ,L9039
4p5.(2P*<3/2>).7f,2[5/2],3,7,,210996.25,,0.110,,                                  ,L9039
4p5.(2P*<3/2>).7f,2[5/2],2,5,,211018.29,,0.140,,                                  ,L9039
4p5.(2P*<3/2>).7f,2[7/2],3,7,,211031.37,,0.110,,                                  ,L9039
4p5.(2P*<3/2>).7f,2[7/2],4,9,,211033.62,,0.140,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[5/2]*,2,5,,211097.79,,0.02,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[5/2]*,3,7,,211098.10,,0.02,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[11/2]*,5,11,,211107.81,,0.03,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[11/2]*,6,13,,211107.81,,0.11,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[7/2]*,4,9,,211129.392,,0.019,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[7/2]*,3,7,,211129.509,,0.019,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[9/2]*,4,9,,211139.95,,0.02,,                                  ,L9039
4p5.(2P*<3/2>).7g,2[9/2]*,5,11,,211139.98,,0.02,,                                  ,L9039
4p5.(2P*<3/2>).9d,2[7/2]*,4,9,,212415.88,,0.15,,                                  ,L9039
4p5.(2P*<3/2>).9d,2[7/2]*,3,7,,212447.48,,0.16,,                                  ,L9039
4p5.(2P*<3/2>).8f,2[9/2],4,9,,213115.12,,0.22,,                                  ,L9039
4p5.(2P*<3/2>).8f,2[5/2],2,5,,213154.95,,0.5,,                                  ,L9039
4p5.(2P*<3/2>).8f,2[7/2],3,7,,213162.90,,0.21,,                                  ,L9039
4p5.(2P*<3/2>).8f,2[7/2],4,9,,213164.59,,0.19,,                                  ,L9039
4p5.(2P*<3/2>).8g,2[11/2]*,5,11,,213219.39,,0.03,,                                  ,L9039
4p5.(2P*<3/2>).8g,2[11/2]*,6,13,,213219.39,,0.11,,                                  ,L9039
4p5.(2P*<3/2>).8g,2[7/2]*,4,9,,213233.34,,0.02,,                                  ,L9039
4p5.(2P*<3/2>).8g,2[7/2]*,3,7,,213233.39,,0.02,,                                  ,L9039
4p5.(2P*<1/2>).7d,2[3/2]*,1,3,,214522.4,,1.4,,                                  ,L9039
4p5.(2P*<3/2>).9f,2[7/2],3,7,,214622.34,,0.44,,                                  ,L9039
4p5.(2P*<3/2>).9f,2[7/2],4,9,,214623.65,,0.4,,                                  ,L9039
4p5.(2P*<1/2>).6f,2[5/2],3,7,,215030.17,,0.13,, 100                              ,L9039
4p5.(2P*<1/2>).6f,2[5/2],2,5,,215061.54,,0.09,, 100                              ,L9039
4p5.(2P*<1/2>).6f,2[7/2],3,7,,215032.18,,0.03,, 100                              ,L9039
4p5.(2P*<1/2>).6f,2[7/2],4,9,,215036.94,,0.03,, 100                              ,L9039
4p5.(2P*<1/2>).6g,2[9/2]*,4,9,,215245.42,,0.030,,                                  ,L9039
4p5.(2P*<1/2>).6g,2[9/2]*,5,11,,215245.54,,0.030,,                                  ,L9039
4p5.(2P*<1/2>).6g,2[7/2]*,3,7,,215246.60,,0.030,,                                  ,L9039
4p5.(2P*<1/2>).6g,2[7/2]*,4,9,,215246.61,,0.020,,                                  ,L9039
Rb III (4p5 2P*<3/2>),Limit,---,,,220105.0,,0.5,,                                  ,L2590
