Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
"=""4d4.(a 1D).5p""","=""w 2P*""","=""1/2""","=""""","=""73546.75""","=""""","=""""","=""""","="""""
"=""4d4.(a 1D).5p""","=""w 2P*""","=""3/2""","=""""","=""74050.37""","=""""","=""""","=""1.289""","="""""
"=""4d4.(1F).5p""","=""u 2F*""","=""5/2""","=""""","=""74146.50""","=""""","=""""","=""""","="""""
"=""4d4.(1F).5p""","=""u 2F*""","=""7/2""","=""""","=""74491.54""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""t 2F*""","=""7/2""","=""""","=""74749.55""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""t 2F*""","=""5/2""","=""""","=""74926.17""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""5/2""","=""""","=""74858.86""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""7/2""","=""""","=""75834.37""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""9/2""","=""""","=""76584.60""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""w 4G*""","=""11/2""","=""""","=""77663.92""","=""""","=""""","=""""","="""""
"=""4d4.(1F).5p""","=""v 2G*""","=""7/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(1F).5p""","=""v 2G*""","=""9/2""","=""""","=""75685.65""","=""""","=""""","=""1.140""","="""""
"=""4d4.(b 3F).5p""","=""v 4F*""","=""3/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""v 4F*""","=""5/2""","=""""","=""75810.62""","=""?""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""v 4F*""","=""9/2""","=""""","=""76637.38""","=""""","=""""","=""""","="""""
"=""4d4.(b 3F).5p""","=""v 4F*""","=""7/2""","=""""","=""76667.03""","=""""","=""""","=""""","="""""
"=""4d4.(b 3P).5p""","=""v 2D*""","=""3/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 3P).5p""","=""v 2D*""","=""5/2""","=""""","=""75819.80""","=""""","=""""","=""""","="""""
"=""4d4.(b 3P).5p""","=""4D*""","=""1/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 3P).5p""","=""4D*""","=""3/2""","=""""","=""""","=""""","=""""","=""""","="""""
"=""4d4.(b 3P).5p""","=""4D*""","=""5/2""","=""""","=""76206.57""","=""""","=""""","=""""","="""""
"=""4d4.(b 3P).5p""","=""4D*""","=""7/2""","=""""","=""76325.00""","=""""","=""""","=""""","="""""
"=""4d4.(1F).5p""","=""u 2D*""","=""3/2""","=""""","=""""","=""""","=""""","=""""","="""""
