Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""","=""""","=""220130.86""","=""""","=""0.07""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4D*""","=""5/2""","=""""","=""220139.42""","=""""","=""0.07""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""","=""""","=""220150.51""","=""""","=""0.08""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""2D*""","=""3/2""","=""""","=""220601.47""","=""""","=""0.13""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""","=""""","=""220614.45""","=""""","=""0.10""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4P*""","=""5/2""","=""""","=""220811.68""","=""""","=""0.08""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""","=""""","=""220832.17""","=""""","=""0.08""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""4P*""","=""1/2""","=""""","=""220845.09""","=""""","=""0.08""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""2F""","=""5/2""","=""""","=""221088.89""","=""""","=""0.05""","=""""","=""  60         :    39  2s.2p.(3P*).4f        4F   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""2F""","=""7/2""","=""""","=""221105.73""","=""""","=""0.05""","=""""","=""  73         :    26  2s.2p.(3P*).4f        4F   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4F""","=""3/2""","=""""","=""221093.94""","=""""","=""0.05""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4F""","=""7/2""","=""""","=""221097.91""","=""""","=""0.05""","=""""","=""  73         :    26  2s.2p.(3P*).4f        2F   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4F""","=""5/2""","=""""","=""221099.16""","=""""","=""0.05""","=""""","=""  60         :    39  2s.2p.(3P*).4f        2F   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4F""","=""9/2""","=""""","=""221109.74""","=""""","=""0.07""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""","=""""","=""221460.89""","=""""","=""0.11""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""","=""""","=""221503.27""","=""""","=""0.11""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4G""","=""5/2""","=""""","=""221544.80""","=""""","=""0.06""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4G""","=""7/2""","=""""","=""221554.04""","=""""","=""0.05""","=""""","=""  91         :     9  2s.2p.(3P*).4f        2G   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4G""","=""9/2""","=""""","=""221575.56""","=""""","=""0.05""","=""""","=""  95         :     5  2s.2p.(3P*).4f        2G   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4G""","=""11/2""","=""""","=""221604.86""","=""""","=""0.07""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""2G""","=""7/2""","=""""","=""221587.20""","=""""","=""0.09""","=""""","=""  91         :     9  2s.2p.(3P*).4f        4G   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""2G""","=""9/2""","=""""","=""221625.69""","=""""","=""0.09""","=""""","=""  95         :     5  2s.2p.(3P*).4f        4G   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4D""","=""7/2""","=""""","=""221698.46""","=""""","=""0.05""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4D""","=""5/2""","=""""","=""221707.69""","=""""","=""0.07""","=""""","=""  70         :    30  2s.2p.(3P*).4f        2D   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4D""","=""3/2""","=""""","=""221729.73""","=""""","=""0.06""","=""""","=""  91         :     9  2s.2p.(3P*).4f        2D   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""4D""","=""1/2""","=""""","=""221742.84""","=""""","=""0.06""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""2D""","=""5/2""","=""""","=""221729.86""","=""""","=""0.08""","=""""","=""  70         :    30  2s.2p.(3P*).4f        4D   ""","=""L22145"""
"=""2s.2p.(3P*).4f""","=""2D""","=""3/2""","=""""","=""221752.33""","=""""","=""0.06""","=""""","=""  91         :     9  2s.2p.(3P*).4f        4D   ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""2P*""","=""3/2""","=""""","=""222258.6""","=""""","=""1.6""","=""""","=""  89         :     3  2s.2p.(1P*).3s        2P*  ""","=""L22145"""
"=""2s.2p.(3P*).4d""","=""2P*""","=""1/2""","=""""","=""222285.5""","=""""","=""1.6""","=""""","=""  90         :     3  2s.2p.(1P*).3s        2P*  ""","=""L22145"""
"=""2s.2p.(3P*).5s""","=""4P*""","=""1/2""","=""""","=""225748.3""","=""""","=""0.4""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5s""","=""4P*""","=""3/2""","=""""","=""225771.76""","=""""","=""0.23""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5s""","=""4P*""","=""5/2""","=""""","=""225817.93""","=""""","=""0.23""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""2P""","=""1/2""","=""""","=""227881.25""","=""""","=""0.07""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""2P""","=""3/2""","=""""","=""227907.67""","=""""","=""0.08""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4D""","=""1/2""","=""""","=""228178.6""","=""""","=""1.2""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4D""","=""3/2""","=""""","=""228191.9""","=""""","=""0.9""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4D""","=""5/2""","=""""","=""228211.7""","=""""","=""0.8""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4D""","=""7/2""","=""""","=""228246.84""","=""""","=""0.18""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4S""","=""3/2""","=""""","=""228656.82""","=""""","=""0.07""","=""""","=""  92         :     7  2s.2p.(3P*).5p        4P   ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""2D""","=""3/2""","=""""","=""228797""","=""""","=""11""","=""""","=""  95         :     3  2s.2p.(1P*).3p        2D   ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""2D""","=""5/2""","=""""","=""228839""","=""""","=""11""","=""""","=""  95         :     3  2s.2p.(1P*).3p        2D   ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4P""","=""1/2""","=""[""","=""228932.5""","=""]""","=""2.0""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4P""","=""3/2""","=""""","=""228946.9""","=""""","=""0.4""","=""""","=""  92         :     7  2s.2p.(3P*).5p        4S   ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""4P""","=""5/2""","=""""","=""228967.46""","=""""","=""0.11""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5p""","=""2S""","=""1/2""","=""""","=""229520""","=""""","=""30""","=""""","=""  92         :     3  2s.2p.(1P*).3p        2S   ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4F*""","=""3/2""","=""""","=""230419""","=""""","=""3""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4F*""","=""5/2""","=""""","=""230433""","=""""","=""2""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4F*""","=""7/2""","=""""","=""230458.4""","=""""","=""2.0""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4F*""","=""9/2""","=""""","=""230485.36""","=""""","=""0.11""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4D*""","=""1/2""","=""""","=""230749.2""","=""""","=""2.0""","=""""","="" 100                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4D*""","=""3/2""","=""""","=""230754.8""","=""""","=""0.8""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4D*""","=""5/2""","=""""","=""230762.7""","=""""","=""0.6""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4D*""","=""7/2""","=""""","=""230774.7""","=""""","=""1.3""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""","=""""","=""231052.9""","=""""","=""0.6""","=""""","=""  97                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4P*""","=""3/2""","=""""","=""231072.2""","=""""","=""0.9""","=""""","=""  98                                             ""","=""L22145"""
"=""2s.2p.(3P*).5d""","=""4P*""","=""1/2""","=""""","=""231086.5""","=""""","=""0.9""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""2F""","=""5/2""","=""""","=""231209.30""","=""""","=""0.09""","=""""","=""  70         :    29  2s.2p.(3P*).5f        4F   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""2F""","=""7/2""","=""""","=""231225.09""","=""""","=""0.09""","=""""","=""  71         :    27  2s.2p.(3P*).5f        4F   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4F""","=""3/2""","=""""","=""231212.3""","=""""","=""1.1""","=""""","=""  99                                             ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4F""","=""5/2""","=""""","=""231216.81""","=""""","=""0.22""","=""""","=""  69         :    29  2s.2p.(3P*).5f        2F   ""","=""L22145"""
"=""2s.2p.(3P*).5f""","=""4F""","=""7/2""","=""""","=""231217.13""","=""""","=""0.09""","=""""","=""  71         :    27  2s.2p.(3P*).5f        2F   ""","=""L22145"""
