Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5s2.5p.7p,1D,2,5,,114586.6,,,                                     ,L16370
5s2.5p.5f,1F,3,7,,116022.9,,,                                     ,L16370
5s2.5p.5f,3F,3,7,,116073.8,,,                                     ,L16370
5s2.5p.5f,3F,4,9,,116107.9,,,                                     ,L16370
5s2.5p.5f,3F,2,5,,116115.4,,,                                     ,L16370
5s2.5p.7p,1S,0,1,,116157.0,,,                                     ,L16370
5s2.5p.8p,3D,1,3,,116879.8,,,                                     ,L16370
5s2.5p.8p,3D,2,5,,117222.1,,,                                     ,L16370
5s2.5p.8p,3D,3,7,,123575.1,,,                                     ,L16370
5s2.5p.8p,1P,1,3,,117155.6,,,                                     ,L16370
5s2.5p.8p,3P,0,1,,117192.0,,,                                     ,L16370
5s2.5p.8p,3P,1,3,,123164.2,,,                                     ,L16370
5s2.5p.8p,3P,2,5,,123547.3,,,                                     ,L16370
5p4,1D,2,5,,118938.8,,,                                     ,L16370
5s2.5p.5f,3D,3,7,,122142.5,,,                                     ,L16370
5s2.5p.5f,3D,2,5,,122468.5,,,                                     ,L16370
5s2.5p.5f,3D,1,3,,122695.4,,,                                     ,L16370
5s2.5p.5f,1D,2,5,,122212.1,,,                                     ,L16370
5s.5p2.(4P).6s,5P,1,3,,123083.6,,,                                     ,L16370
5s.5p2.(4P).6s,5P,2,5,,123789.3,,,                                     ,L16370
5s.5p2.(4P).6s,5P,3,7,,124693.2,,,                                     ,L16370
5s2.5p.8p,3S,1,3,,123614.3,,,                                     ,L16370
5s2.5p.8p,1D,2,5,,123830.0,,,                                     ,L16370
5s2.5p.8p,1S,0,1,,124642.7,,,                                     ,L16370
5s.5p2.(4P).6s,3P,2,5,,127170.8,,,                                     ,L16370
5s.5p2.(4P).6s,3P,0,1,,127381.9,,,                                     ,L16370
5s.5p2.(4P).6s,3P,1,3,,127385.2,,,                                     ,L16370
5p4,1S,0,1,,131700.5,,,                                     ,L16370
Sb III (5s2.5p 2P<1/2>),Limit,---,,,134100,,200,                                     ,"L16370,L8844"
5s.5p2.(2D).6s,3D,1,3,,144564.5,,,                                     ,L16370
5s.5p2.(2D).6s,3D,2,5,,145164.5,,,                                     ,L16370
5s.5p2.(2D).6s,3D,3,7,,145273.3,,,                                     ,L16370
5s.5p2.(2D).6s,1D,2,5,,146931.1,,,                                     ,L16370
