Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""1s2.2p.3p""","=""3D""","=""1""","=""""","=""191034.8""","=""""","=""0.4""","=""  85                      :    13  1s2.2s.6d  3D   ""","=""L12120"""
"=""1s2.2p.3p""","=""3D""","=""2""","=""""","=""191044.6""","=""""","=""0.4""","=""  85                      :    13  1s2.2s.6d  3D   ""","=""L12120"""
"=""1s2.2p.3p""","=""3D""","=""3""","=""""","=""191063.4""","=""""","=""0.4""","=""  86                      :    12  1s2.2s.6d  3D   ""","=""L12120"""
"=""1s2.2s.7s""","=""3S""","=""1""","=""""","=""192240""","=""""","=""120""","=""  83                      :    15  1s2.2p.3p  3S   ""","=""L12120"""
"=""1s2.2s.7s""","=""1S""","=""0""","=""[""","=""192513""","=""]""","=""""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.3p""","=""3S""","=""1""","=""""","=""193226.5""","=""""","=""1.0""","=""  76                      :    17  1s2.2s.7s  3S   ""","=""L12120"""
"=""1s2.2s.7f""","=""3F*""","=""2,3,4""","=""""","=""193577.1""","=""""","=""0.4""","=""  91                      :     6  1s2.2p.3d  3F*  ""","=""L12120"""
"=""1s2.2s.7p""","=""1P*""","=""1""","=""""","=""193594""","=""""","=""13""","=""  30  1s2.2p.3s 1P*       :    20  1s2.2s.6p  1P*  ""","=""L12120"""
"=""1s2.2s.7d""","=""3D""","=""1,2,3""","=""""","=""193698""","=""""","=""24""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.7d""","=""1D""","=""2""","=""""","=""193863.8""","=""""","=""0.5""","=""  96                                               ""","=""L12120"""
"=""1s2.2s.7g""","=""3G""","=""3,4,5""","=""""","=""193898.2""","=""""","=""0.4""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.8s""","=""1S""","=""0""","=""[""","=""194943""","=""]""","=""""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.8s""","=""3S""","=""1""","=""""","=""194980""","=""""","=""120""","=""  96                                               ""","=""L12120"""
"=""1s2.2s.8p""","=""1P*""","=""1""","=""""","=""195580""","=""""","=""190""","=""  76                      :    10  1s2.2s.9p  1P*  ""","=""L12120"""
"=""1s2.2p.3p""","=""3P""","=""0""","=""""","=""195601.7""","=""""","=""0.3""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.3p""","=""3P""","=""1""","=""""","=""195608.22""","=""""","=""0.3""","=""  99                                               ""","=""L12120"""
"=""1s2.2p.3p""","=""3P""","=""2""","=""""","=""195619.05""","=""""","=""0.3""","=""  99                                               ""","=""L12120"""
"=""1s2.2s.8d""","=""1D""","=""2""","=""""","=""195645.4""","=""""","=""0.6""","=""  88                      :     9  1s2.2p.3p  1D   ""","=""L12120"""
"=""1s2.2s.8d""","=""3D""","=""1,2,3""","=""""","=""195830""","=""""","=""130""","="" 100                                               ""","=""L12120"""
"=""1s2.2p.3p""","=""1D""","=""2""","=""""","=""196979.6""","=""""","=""0.5""","=""  40                      :    32  1s2.2s.9d  1D   ""","=""L12120"""
"=""1s2.2s.9p""","=""1P*""","=""1""","=""""","=""197120""","=""""","=""190""","=""  86                      :     6  1s2.2p.3s  1P*  ""","=""L12120"""
"=""1s2.2s.9d""","=""3D""","=""1,2,3""","=""""","=""197350""","=""""","=""130""","="" 100                                               ""","=""L12120"""
"=""1s2.2s.9d""","=""1D""","=""2""","=""""","=""197644.7""","=""""","=""0.7""","=""  64                      :    23  1s2.2s.10d 1D   ""","=""L12120"""
"=""1s2.2p.3d""","=""3F*""","=""2""","=""""","=""197694.7""","=""""","=""0.4""","=""  76                      :    14  1s2.2s.8f  3F*  ""","=""L12120"""
"=""1s2.2p.3d""","=""3F*""","=""3""","=""""","=""197703.7""","=""""","=""0.4""","=""  76                      :    14  1s2.2s.8f  3F*  ""","=""L12120"""
"=""1s2.2p.3d""","=""3F*""","=""4""","=""""","=""197718.7""","=""""","=""0.4""","=""  76                      :    14  1s2.2s.8f  3F*  ""","=""L12120"""
"=""1s2.2p.3d""","=""1D*""","=""2""","=""""","=""197720.14""","=""""","=""0.20""","="" 100                                               ""","=""L12120"""
