Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,*,11/2,12,,35617.906,,,1.150,                                   ,
,*,13/2,14,,35671.599,,,1.190,                                   ,
,*,7/2,8,,35819.939,,,1.185,                                   ,
,*,9/2,10,,35877.083,,,1.155,                                   ,
,*,11/2,12,,35885.232,,,0.975,                                   ,
,*,9/2,10,,35899.232,,,1.050,                                   ,
,*,7/2,8,,35927.604,,,0.915,                                   ,
,*,9/2,10,,36007.182,,,1.020,                                   ,
,*,11/2,12,,36147.709,,,1.155,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",19/2,20,,36192.206,,,1.235,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",17/2,18,,36861.561,,,1.250,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",15/2,16,,37321.029,,,1.275,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",13/2,14,,37634.115,,,1.165,                                   ,
4f11.(4I*<15/2>).6s.6p.(3P*<2>),"(15/2,2)",11/2,12,,37669.560,,,1.160,                                   ,
,*,9/2,10,,36322.233,,,1.075,                                   ,
,*,3/2,4,,36464.008,,,1.070,                                   ,
,*,7/2,8,,36470.944,,,0.800,                                   ,
,*,7/2,8,,36471.984,,,1.105,                                   ,
,*,11/2,12,,36643.232,,,1.095,                                   ,
,*,7/2,8,,36738.247,,,1.080,                                   ,
,*,9/2,10,,36761.150,,,1.000,                                   ,
,*,7/2,8,,36825.194,,,1.160,                                   ,
,*,11/2,12,,36863.932,,,1.055,                                   ,
,*,5/2,6,,36932.273,,,1.495,                                   ,
,*,9/2,10,,37038.764,,,1.145,                                   ,
,*,7/2,8,,37057.724,,,1.150,                                   ,
,*,11/2,12,,37098.956,,,1.250,                                   ,
,*,9/2,10,,37110.402,,,1.065,                                   ,
,*,5/2,6,,37126.953,,,1.205,                                   ,
,*,11/2,12,,37146.674,,,1.150,                                   ,
,*,3/2,4,,37357.383,,,0.755,                                   ,
,*,9/2,10,,37438.656,,,1.060,                                   ,
,*,9/2,10,,37483.090,,,1.175,                                   ,
,*,7/2,8,,37527.159,,,1.150,                                   ,
,*,9/2,10,,37617.073,,,0.920,                                   ,
,*,7/2,8,,37698.823,,,1.115,                                   ,
,*,5/2,6,,37712.008,,,1.245,                                   ,
,*,9/2,10,,37736.569,,,1.020,                                   ,
,*,7/2,8,,37747.938,,,0.915,                                   ,
,*,9/2,10,,37959.624,,,1.115,                                   ,
,*,5/2,6,,38204.486,,,0.990,                                   ,
,*,11/2,12,,38310.987,,,1.075,                                   ,
,*,7/2,8,,38318.204,,,0.925,                                   ,
,*,9/2,10,,38363.814,,,1.075,                                   ,
4f11.(4I*).5d.6p?,,11/2,12,,38438.391,,,1.350,                                   ,
,*,3/2,4,,38470.551,,,1.380,                                   ,
,*,9/2,10,,38477.809,,,1.110,                                   ,
