Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4d7.(2P).5s.5p.(3P*),4P*,3/2,4,,125254.353,,,,  20         :    15  4d7.(4P).5s.5p.(3P*)   4S*  ,L11817
4d8.(3P).5d,4F,3/2,4,,124283.245,,,,  88         :     6  4d8.(3P).5d            2D   ,L11817
4d8.(3P).5d,2P,3/2,4,,124932.960,,,,  69         :    22  4d8.(3P).5d            2D   ,L11817
4d8.(1D).5d,2F,7/2,8,,125074.821,,,,  54         :    25  4d8.(3P).5d            4F   ,L11817
4d8.(1D).5d,2F,5/2,6,,125139.810,,,,  51         :    16  4d8.(3P).5d            2D   ,L11817
4d8.(1D).5d,2G,7/2,8,,125481.725,,,,  50         :    38  4d8.(3P).5d            2F   ,L11817
4d7.(4P).5s.5p.(3P*),4D*,3/2,4,,125515.495,,,,  20         :    14  4d7.(2P).5s.5p.(3P*)   4D*  ,L11817
4d8.(1D).5d,2D,5/2,6,,125609.834,,,,  45         :    35  4d8.(3P).5d            4P   ,L11817
4d8.(1D).5d,2D,3/2,4,,126269.218,,,,  48         :    15  4d8.(1G).5d            2D   ,L11817
4d8.(1D).5d,2P,3/2,4,,125761.212,,,,  53         :    31  4d8.(3P).5d            4P   ,L11817
4d7.(2H).5s.5p.(3P*),4G*,7/2,8,,127754.251,,,,  29         :    13  4d7.(2G).5s.5p.(3P*)   4G*  ,L11817
4d7.(2H).5s.5p.(3P*),4G*,5/2,6,,128190.801,,,,  20         :     9  4d7.(2D2).5s.5p.(3P*)  4F*  ,L11817
4d8.(1G).5d,2I,11/2,12,,127829.457,,,,  99                                              ,L11817
4d8.(1G).5d,2I,13/2,14,,127946.273,,,,  99                                              ,L11817
4d7.(2D2).5s.5p.(3P*),4D*,1/2,2,,128329.417,,,,  21         :    15  4d7.(4F).).5s.5p.(3P*) 4D*  ,L11817
4d7.(2D2).5s.5p.(3P*),4D*,3/2,4,,128422.639,,,,  17         :    16  4d7.(4F).).5s.5p.(3P*) 2D*  ,L11817
4d8.(1G).5d,2D,5/2,6,,128388.018,,,,  56         :    35  4d8.(1G).5d            2F   ,L11817
4d8.(1G).5d,2D,3/2,4,,129152.145,,,,  76         :    11  4d8.(3P).5d            2D   ,L11817
4d8.(1G).5d,2F,7/2,8,,128626.405,,,,  97                                              ,L11817
4d8.(1G).5d,2F,5/2,6,,128667.231,,,,  62         :    32  4d8.(1G).5d            2D   ,L11817
4d8.(1G).5d,2H,9/2,10,,129312.189,,,,  91                                              ,L11817
4d8.(1G).5d,2H,11/2,12,,129434.117,,,,  98                                              ,L11817
4d8.(1G).5d,2G,7/2,8,,129384.469,,,,  96                                              ,L11817
4d8.(1G).5d,2G,9/2,10,,129428.819,,,,  90                                              ,L11817
Pd III (4d8 3F<4>),Limit,---,,[,156700,],1000,,                                                  ,"L3466,L17501"
