Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3s2.3p2.(3P).5d,2D,5/2,6,,170015.23,,,  70         :     6  3s2.3p2.(3P).6d 2D   ,
3s2.3p2.(3P<0>).5f,2[3]*,5/2,6,,170254.81,,,  97     or  :    61  3s2.3p2.(3P).5f 4G*  ,
3s2.3p2.(3P<0>).5f,2[3]*,7/2,8,,170298.18,,,  97     or  :    29  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<1>).5f,2[3]*,5/2,6,,170497.03,,,  98     or  :    49  3s2.3p2.(3P).5f 2D*  ,
3s2.3p2.(3P<1>).5f,2[3]*,7/2,8,,170504.91,,,  97     or  :    58  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<1>).5f,2[4]*,9/2,10,,170587.24,,,  97     or  :    66  3s2.3p2.(3P).5f 4G*  ,
3s2.3p2.(3P<1>).5f,2[4]*,7/2,8,,170620.00,,,  93     or  :    50  3s2.3p2.(3P).5f 2G*  ,
3s2.3p2.(3P<0>).5g,2[4],7/2,8,,170621.45,,,                                           ,
3s2.3p2.(3P<0>).5g,2[4],9/2,10,,170621.87,,,                                           ,
3s2.3p2.(3P<1>).5f,2[2]*,3/2,4,,170647.95,,,  95     or  :    36  3s2.3p2.(3P).5f 2D*  ,
3s2.3p2.(3P<1>).5f,2[2]*,5/2,6,,170663.13,,,  93     or  :    56  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<1>).5g,2[4],7/2,8,,170872.25,,,                                           ,
3s2.3p2.(3P<1>).5g,2[4],9/2,10,,170872.45,,,                                           ,
3s2.3p2.(3P<1>).5g,2[5],11/2,12,,170935.64,,,                                           ,
3s2.3p2.(3P<1>).5g,2[5],9/2,10,,170936.19,,,                                           ,
3s2.3p2.(3P<1>).5g,2[3],5/2,6,,170950.25,,,                                           ,
3s2.3p2.(3P<1>).5g,2[3],7/2,8,,170950.51,,,                                           ,
3s2.3p2.(1D<2>).4f,2[4]*,9/2,10,,170965.87,,,  50     or  :    50  3s2.3p2.(1D).4f 2G*  ,
3s2.3p2.(1D<2>).4f,2[4]*,7/2,8,,171007.91,,,  97     or  :    97  3s2.3p2.(1D).4f 2G*  ,
3s2.3p2.(3P<2>).5f,2[1]*,3/2?,4,,171000.19,,,  99     or  :    50  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<2>).5f,2[1]*,1/2?,2,,171000.19,,,  99     or  :   100  3s2.3p2.(3P).5f 4D*  ,
3s2.3p2.(3P<2>).5f,2[5]*,11/2,12,,171015.64,,,  99     or  :   100  3s2.3p2.(3P).5f 4G*  ,
3s2.3p2.(3P<2>).5f,2[5]*,9/2,10,,171125.40,,,  49     or  :    48  3s2.3p2.(1D).4f 2G*  ,
3s2.3p2.(3P<2>).5f,2[2]*,3/2,4,,171182.67,,,  94     or  :    70  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(3P<2>).5f,2[2]*,5/2,6,,171204.27,,,  82     or  :    57  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(1D<2>).4f,2[3]*,5/2,6,,171188.98,,,  99     or  :   100  3s2.3p2.(1D).4f 2F*  ,
3s2.3p2.(1D<2>).4f,2[3]*,7/2,8,,171189.39,,,  99     or  :   100  3s2.3p2.(1D).4f 2F*  ,
3s2.3p2.(3P<2>).5f,2[4]*,7/2,8,,171263.87,,,  79     or  :    81  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(3P<2>).5f,2[4]*,9/2,10,,171281.29,,,  96     or  :    83  3s2.3p2.(3P).5f 4F*  ,
3s2.3p2.(3P<2>).5f,2[3]*,5/2,6,,171304.92,,,  85     or  :    64  3s2.3p2.(3P).5f 2F*  ,
3s2.3p2.(3P<2>).5f,2[3]*,7/2,8,,171358.13,,,  77     or  :    84  3s2.3p2.(3P).5f 2F*  ,
3s2.3p2.(3P<2>).5g,2[6],13/2,14,,171420.85,,,                                           ,
3s2.3p2.(3P<2>).5g,2[6],11/2,12,,171421.02,,,                                           ,
3s2.3p2.(3P<2>).5g,2[5],9/2,10,,,,,                                           ,
3s2.3p2.(3P<2>).5g,2[5],11/2,12,,171495.44,,,                                           ,
3s2.3p2.(1D<2>).4f,2[2]*,3/2,4,,171778.83,,,  99     or  :   100  3s2.3p2.(1D).4f 2D*  ,
3s2.3p2.(1D<2>).4f,2[2]*,5/2,6,,171778.83,,,  99     or  :   100  3s2.3p2.(1D).4f 2D*  ,
3s2.3p2.(1D<2>).4f,2[5]*,9/2,10,,171821.87,,,  99     or  :   100  3s2.3p2.(1D).4f 2H*  ,
3s2.3p2.(1D<2>).4f,2[5]*,11/2,12,,171821.87,,,  99     or  :   100  3s2.3p2.(1D).4f 2H*  ,
3s2.3p2.(1D<2>).4f,2[1]*,1/2,2,,172363.71,,,  99     or  :   100  3s2.3p2.(1D).4f 2P*  ,
3s2.3p2.(1D<2>).4f,2[1]*,3/2,4,,172363.71,,,  99     or  :   100  3s2.3p2.(1D).4f 2P*  ,
3s2.3p2.(3P).7s,4P,1/2,2,,173316.83,,,  89         :    10  3s2.3p2.(3P).7s 2P   ,
3s2.3p2.(3P).7s,4P,3/2,4,,173595.77,,,  92         :     8  3s2.3p2.(3P).7s 2P   ,
3s2.3p2.(3P).7s,4P,5/2,6,,174098.10,,,  98         :     1  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).7s,2P,1/2,2,,173749.01,,,  89         :    10  3s2.3p2.(3P).7s 4P   ,
3s2.3p2.(3P).7s,2P,3/2,4,,174274.52,,,  84         :     7  3s2.3p2.(3P).7s 4P   ,
3s2.3p2.(3P).6d,4D,1/2,2,,,,,  96         :     2  3s2.3p2.(3P).6d 2P   ,
3s2.3p2.(3P).6d,4D,7/2,8,,,,,  75         :    24  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).6d,4D,3/2,4,,174329.31,,,  76         :     9  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).6d,4D,5/2,6,,174360.92,,,  61         :    20  3s2.3p2.(3P).6d 4F   ,
3s2.3p2.(3P).6d,4F,3/2,4,,,,,  88         :     9  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4F,5/2,6,,,,,  75         :    20  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4F,7/2,8,,,,,  74         :    23  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4F,9/2,10,,174529.27,,,  99         :     1  3s2.3p2.(3P).5d 4F   ,
3s2.3p2.(3P).6d,4P,5/2,6,,174892.75,,,  78         :    17  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P).6d,4P,3/2,4,,175019.78,,,  80         :     8  3s2.3p2.(3P).6d 2P   ,
3s2.3p2.(3P).6d,4P,1/2,2,,175083.51,,,  95         :     2  3s2.3p2.(3P).6d 4D   ,
3s2.3p2.(3P<2>).6f,2[5]*,11/2,12,,176559.84,,,                                           ,
3s2.3p2.(3P<2>).6f,2[5]*,9/2,10,,176614.70,,,                                           ,
3s2.3p2.(3P<2>).6f,2[4]*,7/2,8,,176701.13,,,                                           ,
3s2.3p2.(3P<2>).6f,2[4]*,9/2,10,,176712.51,,,                                           ,
3s2.3p2.(1D).6s,2D,5/2,6,,177076.28,,,  99         :     1  3s2.3p2.(1D).5d 2D   ,
3s2.3p2.(1D).6s,2D,3/2,4,,177077.02,,,  99         :     1  3s2.3p2.(1D).5d 2D   ,
3s2.3p2.(1D).5d,2G,7/2,8,,178173.39,,,  89         :     9  3s2.3p2.(1D).5d 2F   ,
3s2.3p2.(1D).5d,2G,9/2,10,,178240.64,,,                                           ,
3s2.3p2.(3P).7d,4D,1/2,2,,,,,                                           ,
3s2.3p2.(3P).7d,4D,3/2,4,,,,,                                           ,
3s2.3p2.(3P).7d,4D,7/2,8,,,,,                                           ,
3s2.3p2.(3P).7d,4D,5/2,6,,178344.36,,,                                           ,
3s2.3p2.(3P).7d,4P,5/2,6,,178848.96,,,                                           ,
3s2.3p2.(3P).7d,4P,3/2,4,,178915.20,,,                                           ,
3s2.3p2.(3P).7d,4P,1/2,2,,178969.32,,,                                           ,
3s2.3p2.(3P<2>).7f,2[5]*,9/2,10,,,,,                                           ,
3s2.3p2.(3P<2>).7f,2[5]*,11/2,12,,179899.86,,,                                           ,
3s2.3p2.(1D<2>).5f,2[4]*,7/2,8,,181340.51,,,  99     or  :   100  3s2.3p2.(1D).5f 2G*  ,
3s2.3p2.(1D<2>).5f,2[4]*,9/2,10,,181340.51,,,  99     or  :   100  3s2.3p2.(1D).5f 2G*  ,
3s2.3p2.(1D<2>).5f,2[3]*,5/2,6,,181457.92,,,  99     or  :   100  3s2.3p2.(1D).5f 2F*  ,
3s2.3p2.(1D<2>).5f,2[3]*,7/2,8,,181457.92,,,  99     or  :   100  3s2.3p2.(1D).5f 2F*  ,
3s2.3p2.(1D<2>).5f,2[5]*,9/2,10,,181732.04,,,  99     or  :   100  3s2.3p2.(1D).5f 2H*  ,
3s2.3p2.(1D<2>).5f,2[5]*,11/2,12,,181732.04,,,  99     or  :   100  3s2.3p2.(1D).5f 2H*  ,
3s2.3p2.(1D<2>).5f,2[2]*,3/2,4,,181770.40,,,  99     or  :   100  3s2.3p2.(1D).5f 2D*  ,
3s2.3p2.(1D<2>).5f,2[2]*,5/2,6,,181770.40,,,  99     or  :   100  3s2.3p2.(1D).5f 2D*  ,
3s2.3p2.(1D<2>).5f,2[1]*,1/2,2,,182120.47,,,  99     or  :   100  3s2.3p2.(1D).5f 2P*  ,
3s2.3p2.(1D<2>).5f,2[1]*,3/2,4,,182120.47,,,  99     or  :   100  3s2.3p2.(1D).5f 2P*  ,
3s2.3p2.(1D).7s,2D,3/2,4,,184642.76,,,  99         :     1  3s2.3p2.(1D).6d 2D   ,
3s2.3p2.(1D).7s,2D,5/2,6,,184642.76,,,  99         :     1  3s2.3p2.(1D).6d 2D   ,
