Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4d8.(3F).5s.5p.(3P*),3G*,3,7,,140598.68,,0.06,,  51         :    22  4d8.(3F).5s.5p.(3P*) 3D*     ,L18362
4d8.(3P).5s.5p.(3P*),5P*,2,5,,140964.44,,0.06,,  58         :    18  4d8.(3F).5s.5p.(3P*) 3D*     ,L18362
4d8.(3P).5s.5p.(3P*),5P*,1,3,,140988.36,,0.06,,  50         :    16  4d8.(3F).5s.5p.(3P*) 5F*     ,L18362
4d8.(3P).5s.5p.(3P*),5P*,3,7,,141152.11,,0.06,,  62         :    21  4d8.(3F).5s.5p.(3P*) 3G*     ,L18362
4d8.(3F).5s.5p.(3P*),3F*,3,7,,141920.32,,0.06,,  33         :    29  4d8.(3F).5s.5p.(3P*) 1F*     ,L18362
4d8.(3F).5s.5p.(3P*),3F*,2,5,,143743.90,,0.06,,  55         :    19  4d8.(3F).5s.5p.(3P*) 3D*     ,L18362
4d9.(2D<5/2>).7s,2[5/2],3,7,,144478.44,,0.09,, 100                                               ,L18362
4d9.(2D<5/2>).7s,2[5/2],2,5,,144624.16,,0.07,, 100                                               ,L18362
4d9.(2D<5/2>).4f,2[1/2]*,1,3,,145014.040,,0.004,,  82         :    17  4d9.(2D<5/2>).4f     2[3/2]* ,L18362
4d8.(3F).5s.5p.(3P*),1D*,2,5,,145035.112,,0.006,,  34         :    13  4d9.4f               3P*     ,L18362
4d9.(2D<5/2>).4f,2[11/2]*,6,13,,145181.205,,0.004,, 100                                               ,L18362
4d9.(2D<5/2>).4f,2[11/2]*,5,11,,145182.054,,0.004,, 100                                               ,L18362
4d9.(2D<5/2>).4f,2[3/2]*,2,5,,145197.750,,0.004,,  70         :    14  4d9.(2D<5/2>).4f     2[5/2]* ,L18362
4d9.(2D<5/2>).4f,2[3/2]*,1,3,,145242.847,,0.005,,  83         :    16  4d9.(2D<5/2>).4f     2[1/2]* ,L18362
4d9.(2D<5/2>).4f,2[5/2]*,2,5,,145309.528,,0.006,,  74         :     9  4d9.(2D<5/2>).4f     2[3/2]* ,L18362
4d9.(2D<5/2>).4f,2[9/2]*,5,11,,145389.480,,0.003,,  99                                               ,L18362
4d9.(2D<5/2>).4f,2[9/2]*,4,9,,145497.860,,0.003,,  49         :    48  4d9.(2D<5/2>).4f     2[7/2]* ,L18362
4d9.(2D<5/2>).4f,2[7/2]*,3,7,,145408.300,,0.003,,  93                                               ,L18362
4d9.(2D<5/2>).4f,2[7/2]*,4,9,,145427.113,,0.003,,  50         :    49  4d9.(2D<5/2>).4f     2[9/2]* ,L18362
4d8.(3F).5s.5p.(3P*),1F*,3,7,,145558.556,,0.006,,  27         :    13  4d9.4f               3D*     ,L18362
4d8.(1D).5s.5p.(3P*),3F*,2,5,,146123.25,,0.06,,  46         :    12  4d8.(3P).5s.5p.(3P*) 5D*     ,L18362
4d9.(2D<3/2>).7s,2[3/2],1,3,,149082.86,,0.09,, 100                                               ,L18362
4d9.(2D<3/2>).7s,2[3/2],2,5,,149182.18,,0.08,, 100                                               ,L18362
4d9.(2D<5/2>).8s,2[5/2],3,7,,155088.95,,0.23,, 100                                               ,L18362
4d9.(2D<5/2>).8s,2[5/2],2,5,,155161.42,,0.22,, 100                                               ,L18362
4d9.(2D<3/2>).8s,2[3/2],1,3,,159695.21,,0.24,, 100                                               ,L18362
4d9.(2D<3/2>).8s,2[3/2],2,5,,159740.36,,0.24,, 100                                               ,L18362
Ag III (4d9 2D<5/2>),Limit,---,,,173283,,7,,                                                   ,L18362
