Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d8.(3F).6p,"(2,3/2)*",1/2,2,,74754.886,,0.013,                                                              ,"L10146,L9479"
5d8.(1G).6p,"(4,1/2)*",9/2,10,,73431.392,,0.019,                        or  :    58                      2H*  ,"L10146,L9479"
5d8.(1G).6p,"(4,1/2)*",7/2,8,,75184.933,,0.011,                        or  :    33                      2F*  ,"L10146,L9479"
5d7.6s.6p,73761*,7/2,8,,73761.781,,0.013,                                                              ,"L10146,L9479"
5d7.6s.6p,73999*,5/2,6,,73999.874,,0.014,                                                              ,"L11531,L9479"
5d7.6s.6p,74241*,3/2,4,,74241.517,,0.010,                                                              ,"L10146,L9479"
5d7.(4F).6s.6p.(3P*),"(9/2,2)*",11/2,12,,74409.511,,0.018,                        or  :    36  5d7.(4F).6s.(5F).6p 6F*  ,"L11531,L9479"
5d7.(4F).6s.6p.(3P*),"(9/2,2)*",9/2,10,,78906.53,,0.03,                                                              ,"L10146,L9479"
5d8.6p,74619*,5/2,6,,74619.157,,0.009,                                                              ,"L10146,L9479"
5d8.6p,74745*,7/2,8,,74745.974,,0.008,                                                              ,"L10146,L9479"
5d7.6s.6p,75365*,5/2,6,,75365.892,,0.008,                                                              ,"L11531,L9479"
5d8.6p,75581*,3/2,4,,75581.466,,0.008,                                                              ,"L10146,L9479"
5d7.6s.6p,76461*,5/2,6,,76461.582,,0.023,                                                              ,"L10146,L9479"
5d8.6p,76610*,3/2,4,,76610.092,,0.009,                                                              ,"L10146,L9479"
5d7.6s.6p,76908*,1/2,2,,76908.06,,0.06,                                                              ,L9479
5d7.6s.6p,77519*,9/2,10,,77519.775,,0.017,                                                              ,"L10146,L9479"
5d7.(4F).6s.6p.(3P*),77538*,3/2,4,,77538.29,,0.03,                        or  :    39  5d7.(4F).6s.(5F).6p 6G*  ,"L11531,L9479"
5d8.(3P).6p,77763*,1/2,2,,77763.611,,0.021,                        or  :    35                      2S*  ,"L11531,L9479"
5d7.6s.6p,78043*,7/2,8,,78043.083,,0.012,                                                              ,"L11531,L9479"
5d8.6p,78254*,5/2,6,,78254.830,,0.008,                                                              ,"L11531,L9479"
5d7.6s.6p,78452*,3/2,4,,78452.536,,0.014,                                                              ,"L11531,L9479"
5d8.(3P).6p,79092*,3/2,4,,79092.198,,0.008,                        or  :    49                      2D*  ,"L11531,L9479"
5d7.6s.6p,79607*,5/2,6,,79607.522,,0.009,                                                              ,"L10146,L9479"
5d7.(4P).6s.6p.(3P*),79683*,1/2,2,,79683.43,,0.04,                        or  :    44  5d7.(4P).6s.(5P).6p 6D*  ,"L11531,L9479"
5d8.(1G).6p,"(4,3/2)*",7/2,8,,80197.371,,0.033,                        or  :        5d7.6s.6p                ,"L11531,L9479"
5d8.(1G).6p,"(4,3/2)*",11/2,12,,81083.9686,,0.0063,                        or  :    79                      2H*  ,"L11531,L9479"
5d7.6s.6p,80858*,5/2,6,,80858.512,,0.016,                                                              ,"L10146,L9479"
5d7.6s.6p,81897*,7/2,8,,81897.754,,0.007,                                                              ,"L11531,L9479"
5d7.6s.6p,82535*,5/2,6,,82535.842,,0.009,                                                              ,"L11531,L9479"
5d7.6s.6p,82692*,9/2,10,,82692.28,,0.06,                                                              ,"L11531,L9479"
5d8.(3F).6p,82824*,3/2,4,,82824.016,,0.035,                        or  :    37                      2D*  ,"L11531,L9479"
5d7.6s.6p,82972*,3/2,4,,82972.777,,0.012,                                                              ,"L11531,L9479"
5d7.6s.6p,83352*,7/2,8,,83352.33,,0.04,                                                              ,"L10146,L9479"
5d7.(4F).6s.6p.(3P*),83538*,11/2,12,,83538.58,,0.03,                        or  :    44  5d7.(4F).6s.(5F).6p 6G*  ,"L11531,L9479"
5d8.6p,84030*,3/2,4,,84030.32,,0.10,                                                              ,L9479
5d8.(1G).6p,84182*,9/2,10,,84182.738,,0.007,                        or  :    46                      2G*  ,"L10146,L9479"
5d7.(4F).6s.6p.(3P*),84226*,5/2,6,,84226.67,,0.06,                        or  :    33  5d7.(4F).6s.(5F).6p 6D*  ,L9479
5d8.(1D).6p,85292*,7/2,8,,85292.77,,0.05,                        or  :    31                      2F*  ,L9479
5d7.6s.6p,85700*,9/2,10,,85700.33,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,85701*,5/2,6,,85701.61,,0.05,                                                              ,L9479
5d7.6s.6p,85775*,11/2,12,,85775.68,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,85826*,7/2,8,,85826.635,,0.009,                                                              ,"L11531,L9479"
5d7.6s.6p,85866*,3/2,4,,85866.64,,0.18,                                                              ,L9479
5d7.6s.6p,86489*,5/2,6,,86489.79,,0.04,                                                              ,"L11531,L9479"
5d7.(4P).6s.6p.(3P*),86544*,9/2,10,,86544.70,,0.11,                        or  :    60  5d7.(4P).6s.(5P).6p 6D*  ,L9479
5d7.6s.6p,86624*,1/2,2,,86624.52,,0.12,                                                              ,L9479
5d7.6s.6p,86786*,7/2,8,,86786.70,,0.05,                                                              ,L9479
5d7.6s.6p,87204*,3/2,4,,87204.39,,0.07,                                                              ,"L11531,L9479"
5d7.6s.6p,88029*,1/2,2,,88029.12,,0.07,                                                              ,L9479
5d7.6s.6p,88110*,3/2,4,,88110.30,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,88173*,7/2,8,,88173.38,,0.09,                                                              ,"L11531,L9479"
5d7.6s.6p,88341*,1/2,2,,88341.63,,0.06,                                                              ,L9479
5d7.6s.6p,88359*,9/2,10,,88359.32,,0.12,                                                              ,L9479
5d7.(4P).6s.6p.(3P*),88589*,7/2,8,,88589.58,,0.04,                        or  :    31  5d7.(4P).6s.(5P).6p 6P*  ,"L11531,L9479"
5d7.6s.6p,89095*,3/2,4,,89095.09,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,89607*,5/2,6,,89607.98,,0.03,                                                              ,"L10146,L9479"
5d7.6s.6p,89863*,9/2,10,,89863.29,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,90173*,7/2,8,,90173.30,,0.04,                                                              ,"L11531,L9479"
5d7.(2H).6s.6p.(3P*),90384*,11/2,12,,90383.96,,0.15,                        or  :    70  5d7.(2H).6s.(3H).6p 4G*  ,L9479
5d7.6s.6p,90746*,5/2,6,,90746.68,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,91016*,1/2,2,,91016.67,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,91271*,5/2,6,,91271.24,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,91669*,7/2,8,,91669.99,,0.05,                                                              ,"L11531,L9479"
5d7.(2H).6s.6p.(3P*),92526*,11/2,12,,92526.98,,0.04,                        or  :    38  5d7.(2H).6s.(3H).6p 4I*  ,"L11531,L9479"
5d7.6s.6p,92537*,9/2,10,,92537.11,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,92749*,3/2,4,,92749.08,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,92767*,3/2,4,,92767.98,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,93197*,5/2,6,,93197.54,,0.04,                                                              ,"L11531,L9479"
5d7.(4F).6s.6p,93322*,11/2,12,,93322.215,,0.024,                        or  :    37  5d7.(4F).6s.(5F).6p 4G*  ,"L11531,L9479"
5d7.6s.6p,93336*,7/2,8,,93336.37,,0.04,                                                              ,"L10146,L9479"
5d7.6s.6p,93482*,7/2,8,,93482.030,,0.021,                                                              ,"L10146,L9479"
5d7.6s.6p,94022*,9/2,10,,94022.425,,0.023,                                                              ,"L11531,L9479"
5d7.6s.6p,94271*,5/2,6,,94271.54,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,94330*,3/2,4,,94329.96,,0.06,                                                              ,L9479
5d7.6s.6p,94633*,5/2,6,,94633.282,,0.029,                                                              ,"L11531,L9479"
5d7.6s.6p,94829*,1/2,2,,94829.77,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,94842*,7/2,8,,94842.54,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,95226*,9/2,10,,95226.05,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,95557*,3/2,4,,95557.72,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,95617*,7/2,8,,95617.09,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,95754*,5/2,6,,95754.09,,0.03,                                                              ,"L11531,L9479"
5d8.(3F).7s,"(4,1/2)",9/2,10,,95803.401,,0.007,  95  5d8.7s 4F                                               ,L10146
5d8.(3F).7s,"(4,1/2)",7/2,8,,96614.398,,0.007,  66  5d8.7s 2F                                               ,L10146
5d7.(4F).6s.6p,96109*,11/2,12,,96109.74,,0.06,                        or  :    30  5d7.(4F).6s.(5F).6p 4G*  ,"L11531,L9479"
5d7.(2H).6s.6p.(3P*),96131*,9/2,10,,96131.29,,0.03,                        or  :    35  5d7.(2H).6s.(3H).6p 4H*  ,"L11531,L9479"
5d7.6s.6p,96403*,5/2,6,,96403.39,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,96443*,1/2,2,,96443.96,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,97183*,3/2,4,,97183.42,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,97630*,7/2,8,,97630.608,,0.021,                                                              ,"L10146,L9479"
5d7.6s.6p,97786*,3/2,4,,97786.57,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,97792*,5/2,6,,97792.836,,0.027,                                                              ,"L11531,L9479"
5d7.6s.6p,98186*,7/2,8,,98187.017,,0.022,                                                              ,"L10146,L9479"
5d7.6s.6p,98817*,7/2,8,,98817.807,,0.022,                                                              ,"L10146,L9479"
5d7.6s.6p,99068*,3/2,4,,99068.777,,0.024,                                                              ,"L11531,L9479"
5d7.6s.6p,99209*,5/2,6,,99209.06,,0.03,                                                              ,"L10146,L9479"
5d7.6s.6p,99471*,1/2,2,,99471.02,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,99797*,5/2,6,,99797.827,,0.022,                                                              ,"L10146,L9479"
5d7.6s.6p,100232*,9/2,10,,100232.71,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,100239*,5/2,6,,100239.486,,0.025,                                                              ,"L10146,L9479"
5d7.6s.6p,100611*,3/2,4,,100611.739,,0.022,                                                              ,"L10146,L9479"
5d7.6s.6p,100795*,3/2,4,,100795.772,,0.019,                                                              ,"L10146,L9479"
5d7.6s.6p,100903*,7/2,8,,100903.50,,0.03,                                                              ,"L10146,L9479"
5d7.6s.6p,101113*,1/2,2,,101113.09,,0.03,                                                              ,"L11531,L9479"
5d8.(3P).7s,"(2,1/2)",5/2,6,,101199.134,,0.006,  43  5d8.7s 2D                                               ,L10146
5d8.(3P).7s,"(2,1/2)",3/2,4,,101517.630,,0.007,  46  5d8.7s 2D                                               ,L11531
5d7.6s.6p,101341*,7/2,8,,101341.90,,0.03,                                                              ,"L10146,L9479"
5d7.6s.6p,101394*,1/2,2,,101394.094,,0.025,                                                              ,"L11531,L9479"
5d7.6s.6p,101397*,5/2,6,,101397.91,,0.03,                                                              ,"L10146,L9479"
5d7.6s.6p,101549*,9/2,10,,101549.185,,0.024,                                                              ,"L11531,L9479"
5d7.(2H).6s.6p.(3P*),101618*,11/2,12,,101618.52,,0.03,                        or  :    42  5d7.(2H).6s.(3H).6p 4H*  ,"L10146,L9479"
5d7.6s.6p,101916*,5/2,6,,101917.00,,0.03,                                                              ,"L10146,L9479"
5d7.6s.6p,102086*,9/2,10,,102086.09,,0.04,                                                              ,"L10146,L9479"
5d7.6s.6p,102414*,5/2,6,,102414.933,,0.037,                                                              ,"L10146,L9479"
5d7.(2G).6s.6p.(3P*),102520*,7/2,8,,102520.85,,0.03,                        or  :    30  5d7.(2G).6s.(3G).6p 4G*  ,"L11531,L9479"
5d7.6s.6p,102613*,11/2,12,,102613.07,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,102678*,3/2,4,,102678.346,,0.033,                                                              ,"L11531,L9479"
5d7.6s.6p,102872*,7/2,8,,102872.25,,0.03,                                                              ,"L11531,L9479"
5d7.6s.6p,103060*,9/2,10,,103060.59,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,103421*,3/2,4,,103421.21,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,103463*,5/2,6,,103463.35,,0.05,                                                              ,"L10146,L9479"
5d7.6s.6p,103517*,7/2,8,,103517.21,,0.04,                                                              ,"L10146,L9479"
5d7.(4P).6s.6p,103637*,1/2,2,,103637.29,,0.04,                        or  :    31  5d7.(4P).6s.(3P).6p 2S*  ,"L11531,L9479"
5d8.(3F).6d,"(4,3/2)",7/2,8,,104090.737,,0.024,  62  5d8.(3F).6d 4D                                          ,L11531
5d8.(3F).6d,"(4,3/2)",11/2,12,,104410.071,,0.029,  46  5d8.(3F).6d 2H                                          ,L11531
5d8.(3F).6d,"(4,3/2)",9/2,10,,104636.952,,0.018,  36  5d8.(3F).6d 4F                                          ,L11531
5d7.6s.6p,104092*,3/2,4,,104092.11,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,104158*,5/2,6,,104158.73,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,104548*,3/2,4,,104548.17,,0.04,                                                              ,"L11531,L9479"
5d6.6s2.6p,104625*,9/2,10,,104625.31,,0.06,                                                              ,"L11531,L9479"
5d8.(3F).6d,"(4,5/2)",13/2,14,,104763.48,,0.04,  95  5d8.(3F).6d 4H                                          ,L11531
5d8.(3F).6d,"(4,5/2)",3/2,4,,104930.311,,0.021,  58  5d8.(3F).6d 2P                                          ,L11531
5d8.(3F).6d,"(4,5/2)",11/2,12,,105066.393,,0.017,  72  5d8.(3F).6d 4G                                          ,L10146
5d8.(3F).6d,"(4,5/2)",7/2,8,,105086.890,,0.012,  61  5d8.(3F).6d 2F                                          ,L11531
5d8.(3F).6d,"(4,5/2)",9/2,10,,105388.167,,0.019,  48  5d8.(3F).6d 2G                                          ,L10146
5d8.(3F).6d,"(4,5/2)",5/2,6,,106434.974,,0.013,  39  5d8.(3F).6d 2D                                          ,L11531
5d7.6s.6p,104831*,11/2,12,,104831.67,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,105018*,3/2,4,,105018.18,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,105042*,5/2,6,,105042.43,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,105554*,7/2,8,,105554.37,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,105562*,9/2,10,,105562.48,,0.05,                                                              ,L9479
5d7.6s.6p,105597*,5/2,6,,105597.34,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,105726*,1/2,2,,105726.11,,0.05,                                                              ,"L11531,L9479"
5d8.(3F).7s,"(3,1/2)",7/2,8,,105794.571,,0.009,  69  5d8.7s 4F                                               ,L11531
5d8.(3F).7s,"(3,1/2)",5/2,6,,105962.560,,0.010,  59  5d8.7s 4F                                               ,L11531
5d7.6s.6p,105896*,3/2,4,,105896.56,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,106229*,7/2,8,,106229.91,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,106852*,3/2,4,,106852.89,,0.04,                                                              ,"L11531,L9479"
5d8.7p,106995*,9/2,10,,106995.25,,0.06,                                                              ,"L11531,L9479"
5d8.7p,106996*,7/2,8,,106996.57,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,107191*,5/2,6,,107191.52,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,107386*,9/2,10,,107386.31,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,107588*,3/2,4,,107588.16,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,108037*,7/2,8,,108037.31,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,108038*,5/2,6,,108038.11,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,108155*,3/2,4,,108155.58,,0.05,                                                              ,"L11531,L9479"
5d7.6s.6p,108322*,7/2,8,,108322.45,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,108385*,11/2,12,,108385.91,,0.13,                                                              ,L9479
5d7.6s.6p,108639*,5/2,6,,108639.29,,0.04,                                                              ,"L11531,L9479"
5d7.6s.6p,108672*,1/2,2,,108672.55,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,108727*,7/2,8,,108727.54,,0.05,                                                              ,"L11531,L9479"
5d7.(2F).6s.6p,108802*,9/2,10,,108802.27,,0.05,                        or  :    39  5d7.(2F).6s.(3F).6p 4G*  ,"L11531,L9479"
5d7.(2H).6s.6p,109040*,13/2,14,,109040.88,,0.08,                        or  :    51  5d7.(2H).6s.(1H).6p 2I*  ,L9479
5d7.6s.6p,109307*,7/2,8,,109307.92,,0.05,                                                              ,"L11531,L9479"
5d8.(3P).6d,"(2,3/2)",3/2,4,,109346.358,,0.023,  37  5d8.(1D).6d 2D                                          ,L11531
5d8.(3P).6d,"(2,3/2)",1/2,2,,109508.042,,0.012,  32  5d8.7s 4F                                               ,L11531
5d8.(3P).6d,"(2,3/2)",5/2,6,,109527.947,,0.022,  37  5d8.(1D).6d 2F                                          ,L11531
5d8.(3P).6d,"(2,3/2)",7/2,8,,109676.241,,0.021,  24  5d8.(1D).6d 2G                                          ,L11531
5d7.6s.6p,109528*,3/2,4,,109528.25,,0.04,                                                              ,"L11531,L9479"
5d8.(3F).7p,4D*,7/2,8,,109733.11,,0.05,  39                                                          ,"L11531,L9479"
5d7.6s.6p,109753*,5/2,6,,109753.71,,0.05,                                                              ,"L11531,L9479"
5d8.(3P).6d,"(2,5/2)",1/2,2,,110020.912,,0.020,  40  5d8.(1D).6d 2P                                          ,L11531
5d8.(3P).6d,"(2,5/2)",7/2,8,,110146.852,,0.017,  23  5d8.(1D).6d 2F                                          ,L11531
5d8.(3P).6d,"(2,5/2)",9/2,10,,110257.536,,0.018,  45  5d8.(1D).6d 2G                                          ,L11531
5d8.(3F).7p,4F*,9/2,10,,110066.76,,0.05,  32                                                          ,"L11531,L9479"
5d8.(3F).7p,4F*,9/2,10,,110762.83,,0.04,  43                                                          ,"L11531,L9479"
5d7.6s.6p,110085*,3/2,4,,110085.74,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,110133*,1/2,2,,110134.11,,0.11,                                                              ,L9479
5d8.(3F).7s,"(2,1/2)",5/2,6,,110158.213,,0.008,  44  5d8.7s 4P                                               ,L11531
5d8.(3F).7s,"(2,1/2)",3/2,4,,110258.220,,0.009,  42  5d8.7s 4F                                               ,L11531
5d6.6s2.6p,110196*,5/2,6,,110196.43,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,110202*,7/2,8,,110202.38,,0.04,                                                              ,"L11531,L9479"
5d8.(3F).6d,"(2,5/2)",3/2,4,,110408.1257,,0.0058,  39  5d8.(1D).6d 2P                                          ,L11531
5d8.(3F).6d,"(2,5/2)",5/2,6,,111162.724,,0.015,  32  5d8.(1D).6d 2D                                          ,L11531
5d7.6s.6p,110609*,9/2,10,,110609.16,,0.06,                                                              ,"L11531,L9479"
5d6.6s2.6p,110638*,5/2,6,,110638.02,,0.04,                                                              ,"L11531,L9479"
5d6.6s2.6p,110684*,3/2,4,,110684.49,,0.05,                                                              ,"L11531,L9479"
5d8.(3F).7p,2D*,5/2,6,,111320.56,,0.06,  47                                                          ,"L11531,L9479"
5d7.6s.6p,111354*,7/2,8,,111354.73,,0.05,                                                              ,"L11531,L9479"
5d8.(3P).7s,"(0,1/2)",1/2,2,,111371.761,,0.022,  33  5d8.7s 4P                                               ,L11531
5d8.7p,111716*,7/2,8,,111716.47,,0.06,                                                              ,"L11531,L9479"
5d7.6s.6p,111853*,3/2,4,,111853.37,,0.08,                                                              ,L9479
5d7.6s.6p,112247*,9/2,10,,112247.74,,0.05,                                                              ,"L11531,L9479"
5d8.(3P).7s,"(1,1/2)",3/2,4,,112433.359,,0.012,  65  5d8.7s 4P                                               ,L11531
5d8.(3P).7s,"(1,1/2)",1/2,2,,113119.666,,0.014,  76  5d8.7s 2P                                               ,L11531
5d7.(2F).6s.6p,112723*,11/2,12,,112723.22,,0.07,                        or  :    36  5d7.(2F).6s.(3F).6p 4G*  ,L9479
5d6.(5D).6s2.6p,6D*,1/2,2,,113785.75,,0.06,  57                                                          ,"L11531,L9479"
5d8.(3F).6d,"(3,3/2)",9/2,10,,114127.648,,0.022,  58  5d8.(3F).6d 4H                                          ,L11531
5d8.(3F).6d,"(3,3/2)",7/2,8,,114256.361,,0.018,  48  5d8.(3F).6d 4G                                          ,L11531
5d8.(3F).6d,"(3,3/2)",5/2,6,,114455.123,,0.029,  40  5d8.(3F).6d 4D                                          ,L11531
5d6.(5D).6s2.6p,6F*,7/2,8,,114442.59,,0.07,  37                                                          ,L9479
5d6.(5D).6s2.6p,6F*,11/2,12,,116897.05,,0.09,  70                                                          ,L9479
5d8.(3F).6d,"(3,5/2)",11/2,12,,114539.265,,0.022,  63  5d8.(3F).6d 4H                                          ,L11531
5d8.(3F).6d,"(3,5/2)",9/2,10,,114861.35,,0.03,  54  5d8.(3F).6d 4G                                          ,L11531
5d8.(3F).6d,"(3,5/2)",5/2,6,,115060.908,,0.018,  31  5d8.(3F).6d 2D                                          ,L11531
