Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d8.(3F).5s,4F,7/2,8,,92325.85,,,1.188,  61             :    39  3d8.(3F).5s          2F    ,
3p6.3d8.(3F).5s,4F,5/2,6,,93390.06,,,1.02,  88             :    12  3d8.(3F).5s          2F    ,
3p6.3d8.(3F).5s,4F,3/2,4,,94067.14,,,0.392,  99             :     1  3d8.(1D).5s          2D    ,
3p6.3d7.4s2,2F,5/2,6,,92373.45,,,, 100                                                 ,
3p6.3d7.4s2,2F,7/2,8,,92792.08,,,, 100                                                 ,
3p6.3d8.(3F).5s,2F,7/2,8,,93528.44,,,1.166,  61             :    39  3d8.(3F).5s          4F    ,
3p6.3d8.(3F).5s,2F,5/2,6,,94729.25,,,0.865,  87             :    12  3d8.(3F).5s          4F    ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,9/2,10,,94283.94,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,7/2,8,,94705.93,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,5/2,6,,95332.53,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4F*,3/2,4,,95893.76,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,11/2,12,,94396.74,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,9/2,10,,95017.71,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,7/2,8,,95573.39,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4G*,5/2,6,,96052.48,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,7/2,8,,96535.87,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,5/2,6,,97273.83,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,3/2,4,,97799.66,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),4D*,1/2,2,,98122.63,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2G*,9/2,10,,98276.70,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2G*,7/2,8,,99844.13,,,,                                                     ,
3p6.3d8.(3F).4d,4D,7/2,8,,98467.25,,,,  90             :     7  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,4D,5/2,6,,99559.33,,,,  42             :    39  3d8.(3F).4d          4P    ,
3p6.3d8.(3F).4d,4D,1/2,2,,100010.17,,,,  69             :    16  3d8.(3F).4d          4P    ,
3p6.3d8.(3F).4d,4D,3/2,4,,100078.78,,,,  49             :    45  3d8.(3F).4d          2P    ,
3p6.3d8.(3F).4d,4P,5/2,6,,98561.22,,,,  57             :    40  3d8.(3P).4d          4D    ,
3p6.3d8.(3F).4d,4P,3/2,4,,100490.95,,,,  73             :    12  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,4P,1/2,2,,100845.41,,,,  66             :    26  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,4H,13/2,14,,98822.55,,,, 100                                                 ,
3p6.3d8.(3F).4d,4H,11/2,12,,100309.29,,,,  54             :    32  3d8.(3F).4d          2H    ,
3p6.3d8.(3F).4d,4H,9/2,10,,100332.09,,,,  52             :    22  3d8.(3F).4d          2H    ,
3p6.3d8.(3F).4d,4H,7/2,8,,101144.63,,,,  62             :    28  3d8.(3F).4d          4G    ,
3p6.3d8.(3F).4d,2H,11/2,12,,98969.44,,,,  47             :    45  3d8.(3F).4d          4H    ,
3p6.3d8.(3F).4d,2H,9/2,10,,101357.20,,,,  55             :    19  3d8.(3F).4d          4H    ,
3p6.3d8.(3F).4d,2P,3/2,4,,99040.75,,,,  44             :    29  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,2P,1/2,2,,101246.16,,,,  77             :    18  3d8.(3F).4d          4P    ,
3p6.3d8.(3F).4d,4G,11/2,12,,99132.78,,,,  78             :    21  3d8.(3F).4d          2H    ,
3p6.3d8.(3F).4d,4G,5/2,6,,101366.14,,,,  68             :    28  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,4F,9/2,10,,99154.81,,,,  63             :    31  3d8.(3F).4d          4G    ,
3p6.3d8.(3F).4d,4F,7/2,8,,100592.98,,,,  40             :    27  3d8.(3F).4d          4H    ,
3p6.3d8.(3F).4d,4F,3/2,4,,101258.01,,,,  89             :     8  3d8.(3F).4d          4D    ,
3p6.3d8.(3F).4d,2F,7/2,8,,99340.55,,,,  58             :    23  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,2F,5/2,6,,101247.37,,,,  47             :    31  3d8.(3F).4d          4F    ,
3p6.3d7.(4F).4s.4p.(3P*),2F*,7/2,8,,99418.61,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2F*,5/2,6,,100609.01,,,,                                                     ,
3p6.3d8.(3F).4d,2G,9/2,10,,99442.86,,,,  45             :    21  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,2G,7/2,8,,101740.27,,,,  72             :    13  3d8.(3F).4d          4G    ,
3p6.3d8.(3F).4d,,5/2,6,,100389.52,,,,  42  2F         :    25  3d8.(3F).4d          4F    ,
3p6.3d8.(3F).4d,,7/2,8,,100475.82,,,,  34  4G         :    34  3d8.(3F).4d          2F    ,
3p6.3d8.(3F).4d,,9/2,10,,100619.26,,,,  32  2G         :    30  3d8.(3F).4d          4G    ,
3p6.3d7.(4F).4s.4p.(3P*),2D*,5/2,6,,101754.80,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(3P*),2D*,3/2,4,,102742.74,,,,                                                     ,
3p6.3d8.(3F).4d,2D,5/2,6,,103025.58,,,,  85             :     9  3d8.(3F).4d          2F    ,
3p6.3d8.(3F).4d,2D,3/2,4,,103663.50,,,,  90             :     4  3d8.(1D).4d          2D    ,
3p6.3d8.(3F).5p,4D*,7/2,8,,103653.03,,,,                                                     ,
3p6.3d8.(3F).5p,4D*,5/2,6,,104503.22,,,,                                                     ,
3p6.3d8.(3F).5p,4D*,3/2,4,,105439.85,,,,                                                     ,
3p6.3d8.(3F).5p,4D*,1/2,2,,106022.79,,,,                                                     ,
3p6.3d8.(3F).5p,2G*,9/2,10,,104081.04,,,,  60             :    32  3d8.(3F).5p          4G*   ,
3p6.3d8.(3F).5p,2G*,7/2,8,,106620.53,,,,  58             :    24  3d8.(3F).5p          4G*   ,
3p6.3d8.(3F).5p,4G*,11/2,12,,104147.29,,,,                                                     ,
3p6.3d8.(3F).5p,4G*,7/2,8,,105499.05,,,,  55             :    24  3d8.(3F).5p          2G*   ,
3p6.3d8.(3F).5p,4G*,9/2,10,,105588.89,,,,  41             :    38  3d8.(3F).5p          2G*   ,
3p6.3d8.(3F).5p,4G*,5/2,6,,106283.16,,,,                                                     ,
3p6.3d8.(3F).5p,4F*,9/2,10,,104298.23,,,,                                                     ,
3p6.3d8.(3F).5p,4F*,5/2,6,,105668.78,,,,  53             :    24  3d8.(3F).5p          4G*   ,
3p6.3d8.(3F).5p,4F*,3/2,4,,106369.30,,,,                                                     ,
3p6.3d8.(3F).5p,*,7/2,8,,104646.52,,,,  39  4F*        :    33  3d8.(3F).5p          2F*   ,
3p6.3d8.(3F).5p,2F*,7/2,8,,105838.06,,,,  46             :    32  3d8.(3F).5p          4F*   ,
3p6.3d8.(3F).5p,2F*,5/2,6,,107082.21,,,,                                                     ,
3p6.3d8.(3F).5p,2D*,5/2,6,,105861.19,,,,                                                     ,
3p6.3d8.(3F).5p,2D*,3/2,4,,107142.12,,,,                                                     ,
3p6.3d7.(4P).4s.4p.(3P*),6D*,9/2,10,,105981.50,?,,,                                                     ,
3p6.3d8.(1D).5s,2D,5/2,6,,106007.89,,,,  80             :    20  3d8.(3P).5s          4P    ,
3p6.3d8.(1D).5s,2D,3/2,4,,106133.14,,,,  87             :     9  3d8.(3P).5s          2P    ,
3p6.3d7.(4P).4s.4p.(3P*),4S*,3/2,4,,107737.81,,,,                                                     ,
3p6.3d8.(3P).5s,4P,5/2,6,,108368.05,,,,  80             :    20  3d8.(1D).5s          2D    ,
3p6.3d8.(3P).5s,4P,3/2,4,,108548.61,,,,  94             :     5  3d8.(1D).5s          2D    ,
3p6.3d8.(3P).5s,4P,1/2,2,,108763.32,,,,  98             :     2  3d8.(3P).5s          2P    ,
3p6.3d7.(4P).4s.4p.(3P*),6P*,3/2,4,,109038.84,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,9/2,10,,109148.05,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,7/2,8,,109846.00,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,5/2,6,,110573.36,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4F*,3/2,4,,111120.54,,,,                                                     ,
3p6.3d8.(3P).5s,2P,3/2,4,,109269.83,,,,  90             :     7  3d8.(1D).5s          2D    ,
3p6.3d8.(3P).5s,2P,1/2,2,,109675.72,,,,  98             :     2  3d8.(3P).5s          4P    ,
,*,9/2,10,,110021.92,,,,                                                     ,
3p6.3d7.(2G).4s.4p.(3P*),4G*,7/2,8,,111783.79,,,,                                                     ,
3p6.3d7.(4F).4s.4p.(1P*),4G*,11/2,12,,112422.19,?,,,                                                     ,
3p6.3d7.(4F).4s.4p.(1P*),4G*,9/2,10,,113753.04,,,,  67             :    28  3d7.(4F).4s.4p.(1P*) 4F*   ,
3p6.3d7.(4F).4s.4p.(1P*),4G*,5/2,6,,115108.09,,,,  50             :    28  3d7.(4F).4s.4p.(1P*) 2F*   ,
3p6.3d8.(1D).4d,2F,5/2,6,,112686.30,,,,  66             :    13  3d8.(1D).4d          2D    ,
3p6.3d8.(1D).4d,2F,7/2,8,,112719.75,,,,  77             :    19  3d8.(3P).4d          4D    ,
3p6.3d8.(1D).4d,2D,3/2,4,,112906.93,,,,  62             :    22  3d8.(3P).4d          2D    ,
3p6.3d8.(1D).4d,2D,5/2,6,,113407.31,,,,  55             :    25  3d8.(1D).4d          2F    ,
3p6.3d8.(1D).4d,2G,9/2,10,,113172.96,,,,  84             :    15  3d8.(3P).4d          4F    ,
3p6.3d8.(1D).4d,2G,7/2,8,,113177.61,,,,  86             :    10  3d8.(3P).4d          2F    ,
3p6.3d8.(1D).4d,2P,1/2,2,,113225.06,,,,  78             :    13  3d8.(3P).4d          4D    ,
3p6.3d8.(1D).4d,2P,3/2,4,,113408.71,,,,  77             :    13  3d8.(3P).4d          4D    ,
3p6.3d7.(4F).4s.4p.(1P*),4F*,9/2,10,,113321.95,,,,  63             :    34  3d7.(4F).4s.4p.(1P*) 4G*   ,
3p6.3d7.(4F).4s.4p.(1P*),4F*,5/2,6,,115120.00,?,,,  61             :    16  3d7.(4F).4s.4p.(1P*) 2F*   ,
3p6.3d7.(4F).4s.4p.(1P*),4F*,3/2,4,,115592.25,?,,,  42             :    30  3d7.(4F).4s.4p.(1P*) 4D*   ,
3p6.3d8.(1D).4d,2S,1/2,2,,113623.10,,,,  85             :    10  3d8.(3P).4d          4P    ,
3p6.3d7.4s.4p,*,7/2,8,,114052.04,,,,  29  4G*        :    28  3d7.4s.4p            4F*   ,
3p6.3d8.(3P).4d,4D,7/2,8,,114836.63,,,,  79             :    20  3d8.(1D).4d          2F    ,
3p6.3d8.(3P).4d,4D,5/2,6,,114874.88,,,,  72             :    19  3d8.(1D).4d          2D    ,
3p6.3d8.(3P).4d,4D,3/2,4,,114942.42,,,,  79             :    11  3d8.(1D).4d          2P    ,
3p6.3d8.(3P).4d,4D,1/2,2,,114970.19,,,,  87             :    12  3d8.(1D).4d          2P    ,
3p6.3d7.(2H).4s.4p.(3P*),4G*,11/2,12,,114858.88,,,,                                                     ,
3p6.3d7.(2H).4s.4p.(3P*),4G*,9/2,10,,115612.88,,,,                                                     ,
3p6.3d7.(2H).4s.4p.(3P*),4G*,7/2,8,,116275.81,,,,                                                     ,
