Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p4.(1D).3p,2D*,5/2,6,,277344.2675,,0.002, 100                                                              ,L9088
2s2.2p4.(3P).3d,4D,7/2,8,,279137.6053,,0.003,  96                                                              ,L9088
2s2.2p4.(3P).3d,4D,5/2,6,,279218.6416,,0.002,  94                                                              ,L9088
2s2.2p4.(3P).3d,4D,3/2,4,,279324.8733,,0.002,  95                                                              ,L9088
2s2.2p4.(3P).3d,4D,1/2,2,,279422.869,,0.003,  97                                                              ,L9088
2s2.2p4.(3P).3d,4F,9/2,10,,280172.9854,,0.003, 100                                                              ,L9088
2s2.2p4.(3P).3d,4F,7/2,8,,280700.7426,,0.002,  52                            :    44  2s2.2p4.(3P).3d    2F    ,L9088
2s2.2p4.(3P).3d,4F,5/2,6,,280797.2387,,0.002,  72                            :    24  2s2.2p4.(3P).3d    2D    ,L9088
2s2.2p4.(3P).3d,4F,3/2,4,,280947.0768,,0.002,  63                            :    27  2s2.2p4.(3P).3d    4P    ,L9088
2s2.2p4.(3P).3d,2F,7/2,8,,280262.3163,,0.003,  55                            :    45  2s2.2p4.(3P).3d    4F    ,L9088
2s2.2p4.(3P).3d,2F,5/2,6,,281025.9326,,0.002,  67                            :    19  2s2.2p4.(3P).3d    4P    ,L9088
2s2.2p4.(3P).3d,2D,5/2,6,,280268.9453,,0.003,  58                            :    21  2s2.2p4.(3P).3d    2F    ,L9088
2s2.2p4.(3P).3d,2D,3/2,4,,280473.5550,,0.002,  68                            :    18  2s2.2p4.(3P).3d    4F    ,L9088
2s2.2p4.(3P).3d,4P,1/2,2,,280768.508,,0.002,  96                                                              ,L9088
2s2.2p4.(3P).3d,4P,3/2,4,,280989.5229,,0.002,  58                            :    21  2s2.2p4.(3P).3d    2D    ,L9088
2s2.2p4.(3P).3d,4P,5/2,6,,281171.3566,,0.002,  64                            :    12  2s2.2p4.(3P).3d    2D    ,L9088
2s2.2p4.(3P).3d,2P,1/2,2,,281332.521,,0.003,  96                                                              ,L9088
2s2.2p4.(3P).3d,2P,3/2,4,,281720.2755,,0.002,  88                            :     7  2s2.2p4.(3P).3d    2D    ,L9088
