Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
11s,2S,1/2,2,,72705.28,,,,L6094
10d,2D,3/2,4,,73101.58,,,,L6094
10d,2D,5/2,6,,73122.35,,,,L6094
11p,2P*,1/2,2,,73436.0,,,,L3726
11p,2P*,3/2,4,,73506.7,,,,L3726
8g,2G,7/2,8,,73795.87,u,,,L6094
8g,2G,9/2,10,,73795.87,u,,,L6094
9f,2F*,5/2,6,,74091.05,,,,L6094
9f,2F*,7/2,8,,74108.92,,,,L6094
12s,2S,1/2,2,,74491.63,,,,L6094
11d,2D,3/2,4,,74765.50,,,,L6094
11d,2D,5/2,6,,74779.78,,,,L6094
12p,2P*,1/2,2,,74997.4,,,,L3726
12p,2P*,3/2,4,,75046.9,,,,L3726
9g,2G,9/2,10,,75244.13,u,,,L6094
9g,2G,7/2,8,,75244.13,u,,,L6094
10f,2F*,5/2,6,,75447.5,,,,L3726
10f,2F*,7/2,8,,75459.0,,,,L3726
12d,2D,5/2,6,,75945.97,,,,L6094
10g,2G,9/2,10,,76279.68,u,,,L6094
10g,2G,7/2,8,,76279.68,u,,,L6094
11f,2F*,5/2,6,,76425.6,,,,L3726
11f,2F*,7/2,8,,76433.7,,,,L3726
12f,2F*,5/2,6,,77154.3,,,,L3726
12f,2F*,7/2,8,,77160.6,,,,L3726
13f,2F*,5/2,6,,77710,,,,L3726
13f,2F*,7/2,8,,77715,,,,L3726
14f,2F*,5/2,6,,78163,u,,,L3726
14f,2F*,7/2,8,,78163,u,,,L3726
20s,2S,1/2,2,,79059.04,,,,L6737
19d,2D,3/2,4,,79096.95,,,,L6737
19d,2D,5/2,6,,79098.85,,,,L6737
21s,2S,1/2,2,,79240.50,,,,L6737
20d,2D,3/2,4,,79272.22,,,,L6737
20d,2D,5/2,6,,79273.91,,,,L6737
22s,2S,1/2,2,,79393.13,,,,L6737
21d,2D,3/2,4,,79420.04,,,,L6737
21d,2D,5/2,6,,79421.43,,,,L6737
23s,2S,1/2,2,,79522.98,,,,L6737
22d,2D,3/2,4,,79545.81,,,,L6737
22d,2D,5/2,6,,79546.54,,,,L6737
24s,2S,1/2,2,,79634.08,,,,L6737
23d,2D,3/2,4,,79653.97,,,,L6737
23d,2D,5/2,6,,79654.96,,,,L6737
25s,2S,1/2,2,,79730.02,,,,L6737
24d,2D,3/2,4,,79747.22,,,,L6737
24d,2D,5/2,6,,79748.14,,,,L6737
26s,2S,1/2,2,,79813.37,,,,L6737
25d,2D,3/2,4,,79828.32,,,,L6737
25d,2D,5/2,6,,79829.11,,,,L6737
27s,2S,1/2,2,,79886.33,,,,L6737
26d,2D,3/2,4,,79899.47,,,,L6737
26d,2D,5/2,6,,79900.23,,,,L6737
28s,2S,1/2,2,,79950.51,,,,L6737
27d,2D,3/2,4,,79962.1,,,,L6737
27d,2D,5/2,6,,79962.71,,,,L6737
29s,2S,1/2,2,,80007.22,,,,L6737
28d,2D,3/2,4,,80017.50,,,,L6737
28d,2D,5/2,6,,80018.02,,,,L6737
30s,2S,1/2,2,,80057.61,,,,L6737
29d,2D,3/2,4,,80066.83,,,,L6737
29d,2D,5/2,6,,80067.24,,,,L6737
31s,2S,1/2,2,,80102.69,,,,L6737
30d,2D,5/2,6,,80111.09,u,,,L6737
30d,2D,3/2,4,,80111.09,u,,,L6737
32s,2S,1/2,2,,80142.89,,,,L6737
31d,2D,5/2,6,,80150.56,u,,,L6737
31d,2D,3/2,4,,80150.56,u,,,L6737
33s,2S,1/2,2,,80179.29,,,,L6737
32d,2D,3/2,4,,80186.13,u,,,L6737
32d,2D,5/2,6,,80186.13,u,,,L6737
34s,2S,1/2,2,,80212.13,,,,L6737
33d,2D,3/2,4,,80218.25,u,,,L6737
33d,2D,5/2,6,,80218.25,u,,,L6737
35s,2S,1/2,2,,80241.77,,,,L6737
34d,2D,3/2,4,,80247.37,u,,,L6737
34d,2D,5/2,6,,80247.37,u,,,L6737
36s,2S,1/2,2,,80268.78,,,,L6737
35d,2D,5/2,6,,80273.88,u,,,L6737
35d,2D,3/2,4,,80273.88,u,,,L6737
37s,2S,1/2,2,,80293.35,,,,L6737
36d,2D,5/2,6,,80298.01,u,,,L6737
36d,2D,3/2,4,,80298.01,u,,,L6737
38s,2S,1/2,2,,80315.93,,,,L6737
37d,2D,5/2,6,,80320.15,u,,,L6737
37d,2D,3/2,4,,80320.15,u,,,L6737
39s,2S,1/2,2,,80336.50,,,,L6737
38d,2D,5/2,6,,80340.44,u,,,L6737
38d,2D,3/2,4,,80340.44,u,,,L6737
40s,2S,1/2,2,,80355.35,,,,L6737
39d,2D,5/2,6,,80358.91,u,,,L6737
39d,2D,3/2,4,,80358.91,u,,,L6737
41s,2S,1/2,2,,80372.80,,,,L6737
40d,2D,3/2,4,,80376.10,u,,,L6737
40d,2D,5/2,6,,80376.10,u,,,L6737
42s,2S,1/2,2,,80388.86,,,,L6737
41d,2D,3/2,4,,80391.94,u,,,L6737
41d,2D,5/2,6,,80391.94,u,,,L6737
43s,2S,1/2,2,,80403.73,,,,L6737
42d,2D,3/2,4,,80406.64,u,,,L6737
42d,2D,5/2,6,,80406.64,u,,,L6737
44s,2S,1/2,2,,80417.53,,,,L6737
43d,2D,5/2,6,,80420.16,u,,,L6737
43d,2D,3/2,4,,80420.16,u,,,L6737
45s,2S,1/2,2,,80430.41,,,,L6737
44d,2D,5/2,6,,80432.86,u,,,L6737
44d,2D,3/2,4,,80432.86,u,,,L6737
46s,2S,1/2,2,,80442.31,,,,L6737
45d,2D,5/2,6,,80444.57,u,,,L6737
45d,2D,3/2,4,,80444.57,u,,,L6737
47s,2S,1/2,2,,80453.47,,,,L6737
46d,2D,5/2,6,,80455.67,u,,,L6737
46d,2D,3/2,4,,80455.67,u,,,L6737
48s,2S,1/2,2,,80463.86,,,,L6737
47d,2D,5/2,6,,80465.79,u,,,L6737
47d,2D,3/2,4,,80465.79,u,,,L6737
49s,2S,1/2,2,,80473.48,,,,L6737
48d,2D,3/2,4,,80475.41,u,,,L6737
48d,2D,5/2,6,,80475.41,u,,,L6737
50s,2S,1/2,2,,80482.60,,,,L6737
Ba III (5s2.5p6 1S<0>),Limit,---,,,80686.30,,0.10,,L9224
