Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5p5.(2P*<3/2>).9d,2[7/2]*,3,7,,176830.3772,,0.0013,,  87                    ,L6838
5p5.(2P*<3/2>).9d,2[3/2]*,2,5,,176824.9052,,0.0011,,  98                    ,L6838
5p5.(2P*<3/2>).9d,2[3/2]*,1,3,,177255.7884,,0.0010,,  60                    ,L6838
5p5.(2P*<3/2>).9d,2[5/2]*,2,5,,176895.2448,,0.0014,,  98                    ,L6838
5p5.(2P*<3/2>).9d,2[5/2]*,3,7,,176948.2651,,0.0015,,  87                    ,L6838
5p5.(2P*<3/2>).10p,2[5/2],2,5,,177338.587,,0.007,,                        ,L6838
5p5.(2P*<3/2>).10p,2[3/2],2,5,,177494.098,,0.014,,                        ,L6838
5p5.(2P*<3/2>).7g,2[5/2]*,2,5,,177737.737,,0.007,,                        ,L6838
5p5.(2P*<3/2>).7g,2[5/2]*,3,7,,177737.996,,0.004,,                        ,L6838
5p5.(2P*<3/2>).7g,2[11/2]*,6,13,,177752.2552,,0.0017,,                        ,L6838
5p5.(2P*<3/2>).7g,2[11/2]*,5,11,,177752.5319,,0.0017,,                        ,L6838
5p5.(2P*<3/2>).7g,2[7/2]*,4,9,,177782.1908,,0.0021,,                        ,L6838
5p5.(2P*<3/2>).7g,2[7/2]*,3,7,,177782.6761,,0.0016,,                        ,L6838
5p5.(2P*<3/2>).7h,2[7/2],3,7,,177789.0466,,0.0017,,                        ,L6838
5p5.(2P*<3/2>).7h,2[7/2],4,9,,177789.1189,,0.0020,,                        ,L6838
5p5.(2P*<3/2>).7h,2[13/2],7,15,,177795.1496,,0.0021,,                        ,L6838
5p5.(2P*<3/2>).7h,2[13/2],6,13,,177795.152,,0.003,,                        ,L6838
5p5.(2P*<3/2>).7g,2[9/2]*,4,9,,177797.2403,,0.0016,,                        ,L6838
5p5.(2P*<3/2>).7g,2[9/2]*,5,11,,177797.3274,,0.0016,,                        ,L6838
5p5.(2P*<3/2>).7i,2[9/2]*,4,9,,177804.539,,0.004,,                        ,L6838
5p5.(2P*<3/2>).7i,2[9/2]*,5,11,,177804.555,,0.004,,                        ,L6838
5p5.(2P*<3/2>).7i,2[15/2]*,"7,8",32,,177808.040,,0.005,,                        ,L6838
5p5.(2P*<3/2>).7h,2[9/2],4,9,,177812.720,,0.003,,                        ,L6838
5p5.(2P*<3/2>).7h,2[9/2],5,11,,177812.721,,0.006,,                        ,L6838
5p5.(2P*<3/2>).7i,2[11/2]*,"5,6",24,,177819.214,,0.004,,                        ,L6838
5p5.(2P*<3/2>).7h,2[11/2],5,11,,177819.274,,0.005,,                        ,L6838
5p5.(2P*<3/2>).7h,2[11/2],6,13,,177819.283,,0.005,,                        ,L6838
5p5.(2P*<3/2>).7i,2[13/2]*,"6,7",28,,177822.575,,0.004,,                        ,L6838
5p5.(2P*<1/2>).8s,2[1/2]*,0,1,,178301.7795,,0.0015,, 100                    ,L6838
5p5.(2P*<1/2>).8s,2[1/2]*,1,3,,178374.2662,,0.0012,, 100                    ,L6838
5p5.(2P*<3/2>).8f,2[3/2],1,3,,178739.8932,,0.0018,, 100                    ,L6838
5p5.(2P*<3/2>).8f,2[3/2],2,5,,178774.162,,0.005,,  61                    ,L6838
5p5.(2P*<3/2>).8f,2[5/2],3,7,,178850.7883,,0.0015,, 100                    ,L6838
5p5.(2P*<3/2>).8f,2[5/2],2,5,,179390.434,,0.005,,  61                    ,L6838
5p5.(2P*<3/2>).11s,2[3/2]*,2,5,,178870.780,,0.006,, 100                    ,L6838
5p5.(2P*<3/2>).11s,2[3/2]*,1,3,,178911.554,,0.012,, 100                    ,L6838
5p5.(2P*<3/2>).8f,2[9/2],5,11,,178931.7741,,0.0019,, 100                    ,L6838
5p5.(2P*<3/2>).8f,2[9/2],4,9,,178981.3633,,0.0016,,  62                    ,L6838
5p5.(2P*<3/2>).8f,2[7/2],3,7,,179115.9215,,0.0021,, 100                    ,L6838
