Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p5.(2P*<3/2>).5f,2[5/2],2,5,,169538.9794,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[7/2]*,3,7,,169540.8092,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[7/2]*,4,9,,169540.8134,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[9/2]*,4,9,,169542.1973,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[9/2]*,5,11,,169542.2039,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[7/2],3,7,,169542.9742,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[7/2],4,9,,169542.9772,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6s,2[1/2]*,0,1,,169705.9275,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6s,2[1/2]*,1,3,,169727.6312,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6p,2[1/2],1,3,,169748.1423,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6p,2[1/2],0,1,,169976.7100,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6p,2[5/2],3,7,,169797.1890,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6p,2[5/2],2,5,,169814.642,,0.002,L8826
2s2.2p5.(2P*<3/2>).6p,2[3/2],1,3,,169839.4581,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6p,2[3/2],2,5,,169843.7973,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5d,2[3/2]*,2,5,,170288.9415,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5d,2[3/2]*,1,3,,170296.0099,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5d,2[5/2]*,2,5,,170289.3243,,0.0012,L8826
2s2.2p5.(2P*<1/2>).5d,2[5/2]*,3,7,,170289.6782,,0.0012,L8826
2s2.2p5.(2P*<1/2>).5f,2[7/2],3,7,,170317.6829,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5f,2[7/2],4,9,,170317.6884,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5f,2[5/2],3,7,,170317.7465,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5f,2[5/2],2,5,,170317.7594,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5g,2[9/2]*,5,11,,170320.1034,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5g,2[9/2]*,4,9,,170320.1041,,0.0011,L8826
2s2.2p5.(2P*<1/2>).5g,2[7/2]*,4,9,,170320.1185,,0.0011,L8826
2s2.2p5.(2P*<1/2>).5g,2[7/2]*,3,7,,170320.1301,,0.0011,L8826
2s2.2p5.(2P*<3/2>).7s,2[3/2]*,2,5,,170532.7169,,0.0010,L8826
2s2.2p5.(2P*<3/2>).7s,2[3/2]*,1,3,,170557.0484,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6p,2[1/2],1,3,,170578.3503,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6p,2[1/2],0,1,,170689.3736,,0.0015,L8826
2s2.2p5.(2P*<1/2>).6p,2[3/2],1,3,,170585.10,,0.03,L8826
2s2.2p5.(2P*<1/2>).6p,2[3/2],2,5,,170597.2023,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6d,2[1/2]*,0,1,,170848.274,,0.005,L8826
2s2.2p5.(2P*<3/2>).6d,2[1/2]*,1,3,,170851.3105,,0.0012,L8826
2s2.2p5.(2P*<3/2>).6d,2[7/2]*,4,9,,170858.4673,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6d,2[7/2]*,3,7,,170858.8729,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6d,2[3/2]*,2,5,,170862.9893,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6d,2[3/2]*,1,3,,170867.923,,0.002,L8826
2s2.2p5.(2P*<3/2>).6d,2[5/2]*,2,5,,170872.8524,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6d,2[5/2]*,3,7,,170873.2327,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[3/2],1,3,,170875.7397,,0.0014,L8826
2s2.2p5.(2P*<3/2>).6f,2[3/2],2,5,,170875.7516,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[9/2],4,9,,170878.0021,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[9/2],5,11,,170878.0047,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6g,2[5/2]*,2,5,,170879.4716,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6g,2[5/2]*,3,7,,170879.490,,0.005,L8826
2s2.2p5.(2P*<3/2>).6g,2[11/2]*,5,11,,170880.2759,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6g,2[11/2]*,6,13,,170880.2830,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6f,2[5/2],3,7,,170880.7022,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[5/2],2,5,,170880.7114,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6g,2[7/2]*,4,9,,170881.7588,,0.0012,L8826
2s2.2p5.(2P*<3/2>).6g,2[7/2]*,3,7,,170881.7732,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6g,2[9/2]*,4,9,,170882.5960,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6g,2[9/2]*,5,11,,170882.6023,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[7/2],3,7,,170883.0200,,0.0012,L8826
2s2.2p5.(2P*<3/2>).6f,2[7/2],4,9,,170883.0230,,0.0013,L8826
2s2.2p5.(2P*<3/2>).7p,2[1/2],1,3,,171009.21,,0.18,L8826
2s2.2p5.(2P*<3/2>).7p,2[1/2],0,1,,171148.750,,0.012,L8826
2s2.2p5.(2P*<3/2>).7p,2[5/2],3,7,,171032.821,,0.014,L8826
2s2.2p5.(2P*<3/2>).7p,2[5/2],2,5,,171043.69,,0.17,L8826
2s2.2p5.(2P*<3/2>).7p,2[3/2],1,3,,171058.0,,0.2,L8826
2s2.2p5.(2P*<3/2>).7p,2[3/2],2,5,,171060.19,,0.13,L8826
2s2.2p5.(2P*<1/2>).7s,2[1/2]*,0,1,,171312.8413,,0.0010,L8826
2s2.2p5.(2P*<1/2>).7s,2[1/2]*,1,3,,171324.0107,,0.0010,L8826
2s2.2p5.(2P*<3/2>).8s,2[3/2]*,2,5,,171473.311,,0.004,L8826
2s2.2p5.(2P*<3/2>).8s,2[3/2]*,1,3,,171489.486,,0.005,L8826
2s2.2p5.(2P*<1/2>).6d,2[3/2]*,2,5,,171639.9741,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6d,2[3/2]*,1,3,,171644.882,,0.003,L8826
2s2.2p5.(2P*<1/2>).6d,2[5/2]*,2,5,,171642.1580,,0.0013,L8826
2s2.2p5.(2P*<1/2>).6d,2[5/2]*,3,7,,171642.4494,,0.0015,L8826
2s2.2p5.(2P*<1/2>).6f,2[5/2],3,7,,171659.7487,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6f,2[5/2],2,5,,171659.7595,,0.0012,L8826
2s2.2p5.(2P*<1/2>).6f,2[7/2],3,7,,171659.9337,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6f,2[7/2],4,9,,171659.9376,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6g,2[7/2]*,4,9,,171661.4853,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6g,2[7/2]*,3,7,,171661.4969,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6g,2[9/2]*,4,9,,171661.5046,,0.0011,L8826
