Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.32d,2D,"3/2,5/2",10,,66821.07,,0.18,                                          ,L12312
2s2.33d,2D,"3/2,5/2",10,,66827.07,,0.22,                                          ,L12312
2s2.34d,2D,"3/2,5/2",10,,66832.74,,0.22,                                          ,L12312
2s2.35d,2D,"3/2,5/2",10,,66838.36,,0.22,                                          ,L12312
2s2.36d,2D,"3/2,5/2",10,,66843.32,,0.22,                                          ,L12312
2s2.37d,2D,"3/2,5/2",10,,66847.83,,0.22,                                          ,L12312
2s2.38d,2D,"3/2,5/2",10,,66852.03,,0.22,                                          ,L12312
2s2.39d,2D,"3/2,5/2",10,,66855.60,,0.22,                                          ,L12312
B II (2s2 1S<0>),Limit,---,,,66928.040,,0.022,                                          ,L12312
2s.2p2,2P,1/2,2,,72522.90,,0.18,  85         :    12  2s.2p.(3P*).3p 2P   ,L12312
2s.2p2,2P,3/2,4,,72534.55,,0.18,  85         :    12  2s.2p.(3P*).3p 2P   ,L12312
2s.2p.(3P*).3s,4P*,1/2,2,,77011.2,+x,1.8,  99                                      ,L12312
2s.2p.(3P*).3s,4P*,3/2,4,,77017.64,+x,1.8,  99                                      ,L12312
2s.2p.(3P*).3s,4P*,5/2,6,,77030.44,+x,1.8,  99                                      ,L12312
2s.2p.(3P*).3p,2P,1/2,2,,86859.6,,0.4,  86         :    12  2s.2p2         2P   ,L12312
2s.2p.(3P*).3p,2P,3/2,4,,86864.9,,0.4,  86         :    12  2s.2p2         2P   ,L12312
2s.2p.(3P*).3p,2D,3/2,4,,87557.7,,0.6,  95                                      ,L12312
2s.2p.(3P*).3p,2D,5/2,6,,87560.3,,0.6,  95                                      ,L12312
2s.2p.(3P*).3p,2S,1/2,2,,88519.6,,0.4,  83         :    10  2s.2p.(3P*).4p 2S   ,L12312
2s.2p.(3P*).3d,2D*,3/2,4,,89705.19,,0.4,  91         :     6  2p3            2D*  ,L12312
2s.2p.(3P*).3d,2D*,5/2,6,,89708.49,,0.4,  91         :     6  2p3            2D*  ,L12312
2s.2p.(3P*).3d,4D*,3/2,4,,90850.15,+x,1.8,  99                                      ,L12312
2s.2p.(3P*).3d,4D*,5/2,6,,90851.58,+x,1.8,  99                                      ,L12312
2s.2p.(3P*).3d,4D*,7/2,8,,90854.4,+x,1.8,  99                                      ,L12312
2s.2p.(3P*).3d,4P*,5/2,6,,91640.6,+x,1.8,  82         :    17  2s.2p.(3P*).4s 4P*  ,L12312
2s.2p.(3P*).3d,4P*,3/2,4,,91644.26,+x,1.8,  81         :    18  2s.2p.(3P*).4s 4P*  ,L12312
2s.2p.(3P*).3d,4P*,1/2,2,,91646.02,+x,1.8,  81         :    18  2s.2p.(3P*).4s 4P*  ,L12312
2s.2p.(3P*).4s,4P*,5/2,6,,92155.8,+x,1.8,  82         :    17  2s.2p.(3P*).3d 4P*  ,L12312
2s.2p.(3P*).4p,2P,1/2,2,,95447.4,,0.5,  98                                      ,L12312
2s.2p.(3P*).4p,2P,3/2,4,,95451.5,,0.5,  98                                      ,L12312
2s.2p.(3P*).4d,4D*,3/2,4,,96718.2,+x,1.8,  96                                      ,L12312
2s.2p.(3P*).4d,4D*,5/2,6,,96724.9,+x,1.8,  95         :     5  2s.2p.(3P*).4d 4F*  ,L12312
2s.2p.(3P*).4d,4D*,7/2,8,,96728.7,+x,1.8,  95         :     4  2s.2p.(3P*).4d 4F*  ,L12312
2p3,4S*,3/2,4,,96880.8,+x,1.8, 100                                      ,L12312
2s.2p.(3P*).5p,2P,3/2,4,,98921.6,,0.8,  99                                      ,L12312
2s.2p.(3P*).5d,4D*,7/2,8,,99382.8,+x,1.8,  53         :    47  2s.2p.(3P*).5d 4F*  ,L12312
2s.2p.(3P*).6p,2P,3/2,4,,100681.7,,0.8,  98                                      ,L12312
B II (2s.2p 3P*<0>),Limit,---,,,104263.58,,0.06,                                          ,L12312
B II (2s.2p 3P*<1>),Limit,---,,,104269.69,,0.05,                                          ,L12312
B II (2s.2p 3P*<2>),Limit,---,,,104285.84,,0.05,                                          ,L12312
B II (2s.2p 1P*<1>),Limit,---,,,140324.55,,0.05,                                          ,L12312
1s.(2S).2s2.2p2.(3P),2P,"1/2,3/2",6,,1537100,,700,                                          ,L12312
1s.(2S).2s2.2p2.(1D),2D,"3/2,5/2",10,,1538200,,700,                                          ,L12312
1s.(2S).2s2.2p2.(1S),2S,1/2,2,,1547500,,700,                                          ,L12312
1s.(2S).2s2.2p.(3P*).3p,2P,"1/2,3/2",6,,1598500,,800,                                          ,L12312
1s.(2S).2s2.2p.(3P*).3p,2D,"3/2,5/2",10,,1601300,,800,                                          ,L12312
1s.(2S).2s2.2p.(3P*).3p,2S,1/2,2,,1604100,,800,                                          ,L12312
1s.(2S).2s2.2p.(3P*).4p,,1/2 or 3/2,2,,1609500,,800,                                          ,L12312
1s.(2S).2s2.2p.(1P*).3p,2P,"1/2,3/2",6,,1614200,,800,                                          ,L12312
B II (1s.2s2.2p 3P*),Limit,---,,,1618600,,800,                                          ,L12312
1s.(2S).2s2.2p.(1P*).4p,,1/2 or 3/2,2,,1625500,,800,                                          ,L12312
B II (1s.2s2.2p 1P*),Limit,---,,,1634540,,800,                                          ,L12312
