Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f.5d.(3H*).6s,*,9/2,10,,25089.35,,,0.94,  42  2H*        :    33  5d2.6p                 ,
5d2.(3P).6p,*,5/2,6,,25218.27,,,1.244,  21  4P*        :    26  4f.5d.6s               ,
5d3,2D1,3/2,4,,,,,,  56             :    32                2D2      ,
5d3,2D1,5/2,6,,25414.63,,,,  64             :    23                2D2      ,
5d.6s.(3D).6p,*,1/2,2,,25453.95,,,0.984,  31  2P*        :    35  5d2.6p                 ,
5d2.(3P).6p,4P*,1/2,2,,25616.95,,,2.274,  62             :    13  5d.6s.6p               ,
5d2.(3P).6p,4P*,3/2,4,,25643.00,,,1.59,  65             :    13  4f.5d.6s               ,
5d2.(3P).6p,4P*,5/2,6,,26338.93,,,1.524,  60             :    18  4f.5d.6s               ,
5d2.(1G).6p,*,11/2,12,,25874.52,,,1.082,  47  2H*        :    52  4f.5d.6s               ,
5d2.(3P).6p,*,3/2,4,,25950.32,,,1.433,  33  4S*        :    19  4f.5d.6s               ,
4f.5d.(3G*).6s,4G*,5/2,6,,27022.62,,,0.58,  78                                             ,
4f.5d.(3G*).6s,4G*,7/2,8,,27455.31,,,0.976,  86             :    11  5d2.6p                 ,
4f.5d.(3G*).6s,4G*,9/2,10,,28089.17,,,1.163,  95                                             ,
4f.5d.(3G*).6s,4G*,11/2,12,,28743.24,,,1.27,  96                                             ,
5d2.(1G).6p,*,9/2,10,,27054.96,,,0.91,  49  2H*        :    49  4f.5d.6s               ,
5d2.(1G).6p,2G*,7/2,8,,27132.44,,,0.94,  48             :    38  4f.5d.6s               ,
5d2.(1G).6p,2G*,9/2,10,,27619.54,,,1.12,  62             :    30  4f.5d.6s               ,
5d2.(3P).6p,2P*,3/2,4,,27225.26,,,1.31,  50             :    13  4f.5d.6s               ,
5d2.(3P).6p,2P*,1/2,2,,27748.97,,,0.682,  48             :    19  4f.5d.6s               ,
5d2.(1D).6p,*,5/2,6,,27393.04,,,0.888,  32  2F*        :    31  5d.6s.6p               ,
4f.5d.(3F*).6s,2F*,5/2,6,,27669.37,,,0.88,  57             :    31  5d2.6p                 ,
4f.5d.(3F*).6s,2F*,7/2,8,,28543.08,,,1.12,  57             :    36  5d2.6p                 ,
4f.5d.(3D*).6s,*,3/2,4,,27968.54,,,0.836,  33  2D*        :    32  5d2.6p                 ,
5d.6s.(1D).6p,*,7/2,8,,28039.45,,,1.14,  31  2F*        :    45  5d2.6p                 ,
4f.5d.(3H*).6s,2H*,11/2,12,,28179.07,,,1.098,  57             :    39  5d2.6p                 ,
5d.6s.(3D).6p,*,5/2,6,,28506.41,,,1.20,  21  2D*        :    45  5d2.6p                 ,
4f.6s.(3F*).6p,4F,9/2,10,,,,,,  91             :     3                (3F*) 2G ,
4f.6s.(3F*).6p,4F,3/2,4,,28742.34,,,0.45,  96             :     2                (3F*) 2D ,
4f.6s.(3F*).6p,4F,5/2,6,,28754.96,,,0.93,  64             :    15                (1F*) 2F ,
4f.6s.(3F*).6p,4F,7/2,8,,30055.05,,,1.19,  54             :    15                (1F*) 2F ,
4f.5d.(3D*).6s,4D*,1/2,2,,28893.51,,,0.018,  84             :    11  5d2.6p                 ,
4f.5d.(3D*).6s,*,3/2,4,,28971.84,,,0.884,  46  4D*        :    22  5d2.6p                 ,
4f.6s.(3F*).6p,,7/2,8,,29045.86,,,1.15,  40  4F         :    33                (1F*) 2F ,
4f.5d.(3D*).6s,*,3/2,4,,29199.57,,,1.106,  36  4D*        :    20  5d2.6p                 ,
,*,7/2,8,,29466.67,,,0.93,                                                 ,
4f.5d.(3D*).6s,*,5/2,6,,29502.18,o,,1.263,  41  4D*        :    19  5d2.6p                 ,
4f.5d.(3P*).6s,*,1/2,2,,29564.70,,,0.78,  35  2P*        :    19  5d2.6p                 ,
4f.6s.(3F*).6p,4G,11/2,12,,,,,, 100                                             ,
4f.6s.(3F*).6p,4G,5/2,6,,29578.82,,,0.78,  62             :    23                (3F*) 4F ,
4f.6s.(3F*).6p,4G,7/2,8,,30401.70,,,1.03,  77             :    15                (1F*) 2F ,
4f.6s.(3F*).6p,4G,9/2,10,,30934.76,,,1.16,  78             :    18                (1F*) 2G ,
4f.5d.(3D*).6s,*,5/2,6,,29775.58,o,,1.253,  36  4D*        :    20  5d2.6p                 ,
5d2.(3F).7s,,3/2,4,,29874.97,,,0.70,  42  4F         :    30  5d.6s.(3D).7s 4D       ,
4f.5d.(3D*).6s,*,7/2,8,,29894.91,,,1.352,  34  4D*        :    21  5d2.6p                 ,
5d2.(3F).7s,,5/2,6,,29905.33,,,1.14,  20  4F         :    20  5d.6s.(1D).7s 2D       ,
4f.5d.(3P*).6s,*,3/2,4,,29936.74,o,,1.492,  44  2P*        :    14  5d.6s.6p               ,
4f.5d.(3P*).6s,4P*,1/2,2,,29985.46,,,2.534,  50             :    17  5d2.6p                 ,
4f.5d.(3P*).6s,4P*,3/2,4,,30417.46,o,,1.533,  49             :    15  5d2.6p                 ,
4f.5d.(3P*).6s,4P*,5/2,6,,30896.84,,,1.424,  67             :    17  5d2.6p                 ,
5d.6s.(3D).7s,4D,1/2,2,,30019.24,,,0.00, 100                                             ,
5d.6s.(3D).7s,4D,3/2,4,,30169.82,,,0.91,  58             :    39  5d2.(3F).7s   4F       ,
5d.6s.(3D).7s,4D,5/2,6,,30354.28,,,1.07,  44             :    30  5d2.(3F).7s   4F       ,
5d.6s.(3D).7s,4D,7/2,8,,31287.59,,,1.41,  85             :     7                (3F*) 4D ,
4f.6s.(1F*).6p,2F,5/2,6,,30305.61,,,0.84,  49             :    25                (3F*) 4G ,
,*,9/2,10,,30650.28,,,1.08,                                                 ,
,*,5/2,6,,30788.45,,,1.04,                                                 ,
4f.6s.(3F*).6p,4D,5/2,6,,30908.86,,,1.25,  58             :    23                (1F*) 2D ,
4f.6s.(3F*).6p,4D,3/2,4,,30988.36,,,1.12,  85             :     7                (1F*) 2D ,
4f.6s.(3F*).6p,4D,1/2,2,,31061.85,,,0.00, 100                                             ,
4f.6s.(3F*).6p,4D,7/2,8,,31925.00,,,1.27,  63             :    14                (1F*) 2G ,
,*,7/2,8,,30964.71,,,1.15,                                                 ,
5d2.(3F).7s,4F,7/2,8,,31059.69,,,1.22,  83             :    17                (3F) 2F  ,
5d2.(3F).7s,,5/2,6,,31119.02,,,0.98,  48  4F         :    46                (3F) 2F  ,
5d.6s.(1D).7s,,3/2,4,,31247.78,,,0.78,  33  2D         :    30  5d2.(1D).7s   2D       ,
5d.6s.(3D).7s,,5/2,6,,31351.60,,,1.18,  34  4D         :    21                (1D) 2D  ,
,*,5/2,6,,31477.22,,,0.90,                                                 ,
5d.6s.(3D).7s,2D,3/2,4,,31688.66,,,0.81,  78             :     9  5d3           2D1      ,
5d.6s.(3D).7s,2D,5/2,6,,32872.94,,,1.19,  74             :    10  5d2.(1D).7s   2D       ,
,*,3/2,4,,31751.48,,,0.832,                                                 ,
5d2.(3F).7s,4F,9/2,10,,31923.96,,,1.34,  99             :     1                (1G) 2G  ,
5d2.(3F).7s,2F,7/2,8,,32108.48,,,1.13,  82             :    17                (3F) 4F  ,
,*,7/2,8,,32140.55,,,1.15,                                                 ,
4f.6s.(1F*).6p?,2G?,9/2,10,,,,,,  50             :    22                (3F*) 2G ,
4f.6s.(1F*).6p?,2G?,7/2,8,,32219.53,,,1.06,  46             :    19                (3F*) 4D ,
4f.5d.(1P*).6s,2P*,3/2,4,,,,,,  69             :    16  5d2.6p                 ,
4f.5d.(1P*).6s,2P*,1/2,2,,32290.16,,,0.67,  72             :    13  5d2.6p                 ,
4f.6s.(1F*).6p,,5/2,6,,32348.34,,,1.23,  44  2D         :    36                (3F*) 4D ,
,*,9/2,10,,32415.73,,,0.92,                                                 ,
,*,5/2,6,,32492.76,,,1.145,                                                 ,
,,1/2,2,,33143.55,,,1.39,                                                 ,
,*,3/2,4,,33204.05,,,1.324,                                                 ,
5d2.(3F).6d,4H,13/2,14,,,,,,                                                 ,
5d2.(3F).6d,4H,11/2,12,,,,,,                                                 ,
5d2.(3F).6d,4H,7/2,8,,33286.50,,,0.78,                                                 ,
5d2.(3F).6d,4H,9/2,10,,33753.41,,,1.02,                                                 ,
5d2.(3F).6d,4G,5/2,6,,33350.00,,,0.68,                                                 ,
5d2.(3F).6d,4G,7/2,8,,33756.45,,,0.99,                                                 ,
5d2.(3F).6d,4G,9/2,10,,34526.69,,,,                                                 ,
5d2.(3F).6d,4G,11/2,12,,35236.20,,,1.21,                                                 ,
,,1/2,2,,33419.48,,,1.03,                                                 ,
,,3/2,4,,33657.05,,,1.17,                                                 ,
,,5/2,6,,33678.21,,,0.99,                                                 ,
,*,5/2,6,,33799.23,,,1.25,                                                 ,
,*,1/2,2,,33820.31,,,0.617,                                                 ,
5d2.(3F).7p?,4F*?,3/2,4,,34015.76,,,0.60,                                                 ,
5d2.(3F).7p?,4F*?,5/2,6,,34213.53,,,,                                                 ,
5d2.(3F).7p?,4F*?,7/2,8,,34988.17,?,,,                                                 ,
5d2.(3F).7p?,4F*?,9/2,10,,35888.45,,,,                                                 ,
,,7/2,8,,34032.72,,,0.90,                                                 ,
,,5/2,6,,34124.64,,,0.89,                                                 ,
4f.5d.(1H*).6s,2H*,9/2,10,,34239.61,,,0.90,  89                                             ,
4f.5d.(1H*).6s,2H*,11/2,12,,34245.05,,,1.06,  89             :    10  5d2.6p                 ,
,,1/2,2,,34249.24,,,0.97,                                                 ,
,,7/2,8,,34272.48,,,0.84,                                                 ,
,*,3/2,4,,34299.11,,,1.01,                                                 ,
5d2.(3F).7p?,4G*?,5/2,6,,34358.60,,,,                                                 ,
5d2.(3F).7p?,4G*?,7/2,8,,34380.86,,,,                                                 ,
5d2.(3F).7p?,4G*?,9/2,10,,35236.06,,,1.13,                                                 ,
5d2.(3F).7p?,4G*?,11/2,12,,36074.74,,,,                                                 ,
,,3/2,4,,34369.05,,,1.62,                                                 ,
,,5/2,6,,34400.06,,,1.21,                                                 ,
,,7/2,8,,34482.28,,,1.21,                                                 ,
,,1/2,2,,34488.22,,,1.75,                                                 ,
,,5/2,6,,34529.88,,,0.88,                                                 ,
,,3/2,4,,34545.80,,,0.83,                                                 ,
,,1/2,2,,34590.09,,,1.32,                                                 ,
,,9/2,10,,34634.98,,,1.07,                                                 ,
,,7/2,8,,34663.99,,,1.10,                                                 ,
4f.(2F*).5d2.(3F)?,4H*?,9/2,10,,34714.73,,,1.02,                                                 ,
,,1/2,2,,34752.58,,,1.33,                                                 ,
,,3/2,4,,34758.54,,,1.28,                                                 ,
,,5/2,6,,34787.23,,,1.01,                                                 ,
5d.6s.(3D).7p?,4F*?,3/2,4,,34850.38,,,0.58,                                                 ,
,,1/2,2,,34860.96,,,0.95,                                                 ,
,,5/2,6,,34880.63,,,0.91,                                                 ,
,,3/2,4,,34906.89,,,1.07,                                                 ,
,,7/2,8,,34968.73,,,1.05,                                                 ,
,*,5/2,6,,34982.43,,,0.9,                                                 ,
,,3/2,4,,35009.99,,,1.22,                                                 ,
,,7/2,8,,35096.10,,,1.20,                                                 ,
,,5/2,6,,35117.70,,,1.20,                                                 ,
,,9/2,10,,35169.58,,,0.95,                                                 ,
,*,5/2,6,,35232.81,,,,                                                 ,
4f.(2F*).5d2.(3F)?,2G*?,7/2,8,,35253.10,,,0.89,                                                 ,
4f.(2F*).5d2.(3F)?,2G*?,9/2,10,,35450.47,,,1.09,                                                 ,
,*,5/2,6,,35275.16,,,1.2,                                                 ,
,,3/2,4,,35280.42,,,0.94,                                                 ,
,,7/2,8,,35298.12,,,1.09,                                                 ,
,,3/2,4,,35308.40,,,1.04,                                                 ,
,,5/2,6,,35393.38,,,1.28,                                                 ,
,,5/2,6,,35414.45,,,1.10,                                                 ,
,,9/2,10,,35445.98,,,1.11,                                                 ,
,*,3/2,4,,35470.85,,,1.42,                                                 ,
,*,1/2,2,,35482.70,,,,                                                 ,
,,3/2,4,,35494.05,,,0.83,                                                 ,
,,9/2,10,,35552.32,,,1.15,                                                 ,
,,7/2,8,,35570.48,,,1.11,                                                 ,
,,1/2,2,,35581.78,,,1.80,                                                 ,
,,3/2,4,,35628.33,,,1.13,                                                 ,
,*,5/2,6,,35780.10,,,,                                                 ,
,*,1/2,2,,35860.64,,,2.2,                                                 ,
,,3/2,4,,35875.99,,,1.78,                                                 ,
,,7/2,8,,35907.05,,,1.19,                                                 ,
,,7/2,8,,35931.75,,,1.28,                                                 ,
,*,7/2,8,,35956.72,,,,                                                 ,
,*,7/2,8,,35999.06,,,1.03,                                                 ,
,,1/2,2,,36027.41,,,2.17,                                                 ,
,,9/2,10,,36034.60,,,1.10,                                                 ,
,,3/2,4,,36065.91,,,0.96,                                                 ,
,*,5/2?,6,,36081.09,,,,                                                 ,
,,5/2,6,,36109.65,,,1.28,                                                 ,
,,11/2,12,,36159.90,,,1.28,                                                 ,
,,3/2,4,,36172.80,,,1.24,                                                 ,
,,7/2,8,,36220.33,,,1.13,                                                 ,
,,5/2,6,,36258.93,,,1.40,                                                 ,
,,9/2,10,,36265.28,,,1.22,                                                 ,
,,7/2,8,,36292.96,,,1.23,                                                 ,
,*,3/2,4,,36333.08,,,1.57,                                                 ,
,*,1/2,2,,36358.96,,,0.40,                                                 ,
