Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""6d2.7s.7p""","=""5D*""","=""1""","=""""","=""18614.33811""","=""""","=""0.00005""","=""1.400""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5D*""","=""2""","=""""","=""19516.98043""","=""""","=""0.00006""","=""1.365""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""20214.92997""","=""""","=""0.00003""","=""1.180""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""20566.62381""","=""""","=""0.00004""","=""1.235""","=""                                                        ""","=""L18702,L16199"""
"=""5f.7s2.7p""","=""3G""","=""3""","=""""","=""18431.686609""","=""""","=""0.00004""","=""""","=""                                                        ""","=""L18702,L2105"""
"=""5f.7s2.7p""","=""3G""","=""4""","=""""","=""23032.986182""","=""""","=""0.00005""","=""1.085""","=""                                                        ""","=""L18702,u39"""
"=""5f.7s2.7p""","=""3G""","=""5""","=""""","=""28342.50330""","=""""","=""0.00006""","=""1.095""","=""                                                        ""","=""L18702,u39"""
"=""6d3.(4P).7s""","=""""","=""2""","=""""","=""18549.40528""","=""""","=""0.00011""","=""1.210""","=""  44  6d3.(4P).7s 3P         :    18  6d3.(2F).7s  1F   ""","=""L18702,L3552"""
"=""6d3.(2P).7s""","=""""","=""1""","=""""","=""18574.61019""","=""""","=""0.00017""","=""1.365""","=""  46  6d3.(2P).7s 3P         :    28  6d3.(2P).7s  1P   ""","=""L18702,L3552"""
"=""5f.7s2.7p""","=""3F""","=""2""","=""""","=""18699.62342""","=""""","=""0.00005""","=""""","=""                                                        ""","=""L18702,u39"""
"=""5f.7s2.7p""","=""3F""","=""3""","=""""","=""22637.46361""","=""""","=""0.00006""","=""1.130""","=""                                                        ""","=""L18702,L16199"""
"=""5f.7s2.7p""","=""3F""","=""4""","=""""","=""28227.93504""","=""""","=""0.00007""","=""1.125""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""18930.29333""","=""""","=""0.00003""","=""0.975""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""26878.16179""","=""""","=""0.00008""","=""0.905""","=""                                                        ""","=""L18702,L16199"""
"=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""19039.153374""","=""""","=""0.00003""","=""1.090""","=""                                                        ""","=""L18702,u39"""
"=""6d.7s2.7p""","=""3P*""","=""1""","=""""","=""20423.494218""","=""""","=""0.00003""","=""1.430""","=""                                                        ""","=""L18702,L17451"""
"=""6d.7s2.7p""","=""3P*""","=""0""","=""""","=""20543.84624""","=""""","=""0.00005""","=""0.0""","=""                                                        ""","=""L18702,u39"""
"=""6d3.(2P).7s""","=""""","=""2""","=""""","=""19273.28060""","=""""","=""0.00009""","=""1.195""","=""  24  6d3.(2P).7s 3P         :    21  6d3.(2D2).7s 1D   ""","=""L18702,L16199"""
"=""6d3.(2F).7s""","=""3F""","=""4""","=""""","=""19532.41646""","=""""","=""0.00011""","=""1.204""","=""  69                         :     7  6d4          3F2  ""","=""L18702,L16199"""
"=""6d3.(2F).7s""","=""3F""","=""3""","=""""","=""19713.03109""","=""""","=""0.00012""","=""1.110""","=""  74                         :     8  6d3.(2D1).7s 3D   ""","=""L18702,L16199"""
"=""6d3.(2F).7s""","=""3F""","=""2""","=""""","=""20054.77119""","=""""","=""0.00006""","=""0.875""","=""  59                         :    20  6d3.(4P).7s  3P   ""","=""L18702,L3552"""
"=""6d2.7s.7p""","=""5P*""","=""1""","=""""","=""19817.18191""","=""""","=""0.00004""","=""1.575""","=""                                                        ""","=""L18702,u39"""
"=""6d2.7s.7p""","=""5P*""","=""1""","=""""","=""21668.957072""","=""""","=""0.00003""","=""1.575""","=""                                                        ""","=""L18702,L17451"""
"=""6d2.7s.7p""","=""5P*""","=""2""","=""""","=""22508.04658""","=""""","=""0.00003""","=""1.380""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""""","=""1""","=""""","=""19832.1144""","=""""","=""0.0004""","=""""","=""                                                        ""","=""L18702,u39"""
"=""5f.6d.7s2""","=""1H*""","=""5""","=""""","=""20322.26571""","=""""","=""0.00004""","=""1.060""","=""                                                        ""","=""L18702,L3552"""
"=""6d2.7s.7p""","=""3F*""","=""2""","=""""","=""20522.71449""","=""""","=""0.00005""","=""0.820""","=""                                                        ""","=""L18702,u39"""
"=""""","=""*""","=""0""","=""""","=""20724.39599""","=""""","=""0.00005""","=""0.0""","=""                                                        ""","=""L18702,L17451"""
"=""""","=""*""","=""1""","=""""","=""20737.28686""","=""""","=""0.00005""","=""1.360""","=""                                                        ""","=""L18702,L16199"""
"=""""","=""*""","=""2""","=""""","=""20922.12244""","=""""","=""0.00004""","=""1.170""","=""                                                        ""","=""L18702,L17451"""
"=""6d3.(2H).7s""","=""1H""","=""5""","=""""","=""21143.42198""","=""""","=""0.00014""","=""1.030""","=""  94                         :     5  6d3.(2G).7s  3G   ""","=""L18702,L3552"""
"=""6d4""","=""5D""","=""0""","=""""","=""21176.0061""","=""""","=""0.0004""","=""0.0""","=""  66                         :    25  6d3.(4P).7s  3P   ""","=""L18702,L19205"""
"=""6d4""","=""5D""","=""1""","=""""","=""21578.61445""","=""""","=""0.0003""","=""""","=""  72                         :    10  6d3.(2P).7s  3P   ""","=""L18702,u39"""
"=""6d4""","=""5D""","=""2""","=""""","=""22515.88404""","=""""","=""0.00022""","=""1.390""","=""  91                         :     2  6d4          3P1  ""","=""L18702,u39"""
"=""6d4""","=""5D""","=""3""","=""""","=""23355.37327""","=""""","=""0.00024""","=""""","=""  89                         :     3  6d4          3D   ""","=""L18702,u39"""
"=""6d4""","=""5D""","=""4""","=""""","=""24210.80979""","=""""","=""0.0003""","=""""","=""  75                         :     6  6d4          3F2  ""","=""L18702,u39"""
