Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5s.20s,3S,1,3,,45535.32,,0.01,L11277
5s.20s,1S,0,1,,45540.2024,,0.0010,L5644
5s.19d,1D,2,5,,45542.2955,,0.0010,L5644
5s.17f,3F*,2,5,,45547.30,,0.04,L15350
5s.17f,3F*,4,9,,45547.39,,0.04,L15350
5s.17f,3F*,3,7,,45547.41,,0.04,L15350
5s.17f,1F*,3,7,,45548.76,,0.03,L15350
5s.20p,3P*,1,3,,45557.62,,0.02,L4542
5s.20p,3P*,2,5,,45558.00,,0.02,L4542
5s.20p,1P*,1,3,,45565.00,,0.03,L15350
5s.20d,3D,1,3,,45570.97,,0.04,L5578
5s.20d,3D,2,5,,45573.28,,0.04,L5578
5s.20d,3D,3,7,,45582.36,,0.04,L11277
5s.20d,1D,2,5,,45584.1831,,0.0010,L5644
5s.18f,3F*,2,5,,45589.11,,0.04,L15350
5s.18f,3F*,4,9,,45589.23,,0.04,L15350
5s.18f,3F*,3,7,,45589.25,,0.04,L15350
5s.18f,1F*,3,7,,45590.32,,0.03,L15350
5s.19f,3F*,4,9,,45624.43,,0.04,L15350
5s.19f,3F*,2,5,,45624.48,,0.04,L15350
5s.19f,3F*,3,7,,45624.53,,0.04,L15350
5s.19f,1F*,3,7,,45625.48,,0.03,L15350
5s.20f,3F*,3,7,,45654.56,,0.04,L15350
5s.20f,3F*,4,9,,45654.70,,0.04,L15350
5s.20f,1F*,3,7,,45655.49,,0.03,L15350
Sr II (5s 2S<1/2>),Limit,---,,,45932.2036,,0.0010,"L15350,L5644"
5p2,1D,2,5,,46380.1,,2.0,L9352
4d.6p,3D*,1,3,,49409.86,,0.14,L15350
4d.6p,3D*,2,5,,49558.30,,0.12,L15350
4d.6p,3D*,3,7,,49665.77,,0.14,L15350
4d.6p,3P*,1,3,,49547,,5.,L7603
4d.6p,3P*,2,5,,49732.0,,0.5,L15350
4d.5d,3F,2,5,,51036.49,,0.05,L2631
4d.5d,3F,3,7,,51150.30,,0.05,L2631
4d.5d,3F,4,9,,51254.06,,0.05,L2631
4d.6p,1P*,1,3,,51099,,5.,L7603
4d.5d,1D,2,5,,51356.00,,0.24,L2631
4d.5d,3P,1,3,,51439.66,,0.17,L2631
4d.5d,3P,2,5,,51555.06,,0.10,L2631
4d.(2D<3/2>).4f,2[3/2]*,1,3,,53253.0,,0.6,L7603
4d.(2D<3/2>).4f,2[7/2]*,3,7,,53294.4,,0.2,L13135
4d.(2D<3/2>).4f,2[5/2]*,3,7,,53392.6,,0.2,L13135
4d.(2D<5/2>).4f,2[3/2]*,1,3,,53546.2,,0.6,L7603
4d.(2D<5/2>).4f,2[7/2]*,3,7,,53572.3,,0.2,L13135
4d.(2D<5/2>).4f,2[5/2]*,3,7,,53632.8,,0.2,L13135
4d.6d,"(3/2,3/2)",1,3,,54139.2,,0.2,L16320
4d.6d,"(3/2,3/2)",2,5,,54891.30,,0.20,L2631
4d.6d,"(3/2,3/2)",0,1,,54999.9,,0.2,L10938
4d.6d,"(3/2,5/2)",2,5,,54140.5,,0.2,L16320
4d.6d,"(3/2,5/2)",1,3,,54308.5,,0.2,L16320
4d.6d,"(5/2,5/2)",1,3,,54469.5,,0.2,L16320
4d.6d,"(5/2,5/2)",4,9,,55119.40,,0.15,L2631
4d.6d,"(5/2,5/2)",2,5,,55234.2,,0.2,L16320
4d.6d,"(5/2,5/2)",0,1,,55428.3,,0.2,L10938
4d.(2D<3/2>).7p,2[3/2]*,1,3,,54728.7,,0.6,L7603
4d.6d,"(5/2,3/2)",3,7,,55033.33,,0.05,L2631
4d.6d,"(5/2,3/2)",2,5,,55088.2,,0.2,L16320
4d.6d,"(5/2,3/2)",1,3,,55113.7,,0.2,L16320
4d.(2D<5/2>).7p,2[3/2]*,1,3,,55195.6,,1.2,L413
4d.8s,"(3/2,1/2)",1,3,,55557.5,,0.6,L16321
4d.8s,"(3/2,1/2)",2,5,,55560,,5.,L16320
4d.8s,"(5/2,1/2)",2,5,,55802,,30,L16320
4d.8s,"(5/2,1/2)",3,7,,55824.4,,0.6,L14119
4d.5f,"(3/2,5/2)*",1,3,,55847.3,,0.6,L7603
4d.5f,"(3/2,5/2)*",3,7,,55873.6,,0.2,L13135
4d.5f,"(3/2,7/2)*",3,7,,55972.5,,0.2,L13135
4d.(2D<3/2>).5g,2[5/2],2,5,,56063.0,,0.2,L16320
4d.5f,"(5/2,5/2)*",1,3,,56107.7,,0.6,L7603
4d.5f,"(5/2,5/2)*",3,7,,56145.4,,0.2,L13135
4d.5f,"(5/2,7/2)*",1,3,,56169.6,,0.6,L7603
4d.5f,"(5/2,7/2)*",3,7,,56211.9,,0.2,L13135
4d.(2D<5/2>).5g,2[5/2],2,5,,56341.9,,0.2,L16320
4d.(2D<5/2>).5g,2[3/2],2,5,,56352.4,,0.2,L16320
4d.7d,"(3/2,3/2)",1,3,,56366.9,,0.2,L16320
4d.7d,"(3/2,3/2)",2,5,,56769.0,,0.2,L16320
4d.7d,"(3/2,3/2)",0,1,,56795.4,,0.2,L10938
4d.(2D<3/2>).8p,2[3/2]*,1,3,,56408.2,,0.6,L7603
4d.7d,"(3/2,5/2)",2,5,,56485.4,,0.2,L16320
4d.(2D<3/2>).8p,2[1/2]*,1,3,,56610.1,,0.6,L7603
4d.7d,"(5/2,5/2)",1,3,,56676.0,,0.2,L16320
4d.7d,"(5/2,5/2)",2,5,,57069.6,,0.2,L16320
4d.7d,"(5/2,5/2)",0,1,,57142.9,,0.2,L10938
4d.(2D<5/2>).8p,2[5/2]*,3,7,,56721.0,,0.2,L13135
4d.(2D<5/2>).8p,2[3/2]*,1,3,,56940.5,,1.8,L413
4d.7d,"(5/2,3/2)",2,5,,56950.5,,0.2,L16320
4d.6f,"(3/2,5/2)*",1,3,,57235.5,,0.7,L7603
4d.6f,"(3/2,5/2)*",3,7,,57269.8,,0.2,L13135
4d.6f,"(3/2,7/2)*",3,7,,57364.1,,0.2,L13135
4d.(2D<3/2>).6g,2[5/2],2,5,,57409.9,,0.2,L16320
4d.6f,"(5/2,5/2)*",1,3,,57477.1,,0.7,L7603
4d.6f,"(5/2,5/2)*",3,7,,57535.3,,0.2,L13135
4d.6f,"(5/2,7/2)*",1,3,,57569.5,,0.7,L7603
4d.6f,"(5/2,7/2)*",3,7,,57591.9,,0.2,L13135
4d.8d,"(3/2,5/2)",1,3,,57639.3,,0.2,L16320
4d.8d,"(3/2,5/2)",2,5,,57658.5,,0.2,L16320
4d.9p,"(3/2,3/2)*",1,3,,57646.7,,0.7,L7603
4d.8d,"(3/2,3/2)",1,3,,57683.8,,0.2,L16320
4d.8d,"(3/2,3/2)",2,5,,57819.9,,0.2,L16320
4d.8d,"(3/2,3/2)",0,1,,57844.2,,0.2,L10938
4d.(2D<5/2>).6g,2[5/2],2,5,,57691.4,,0.2,L16320
4d.(2D<5/2>).6g,2[3/2],2,5,,57695.3,,0.2,L16320
4d.(2D<5/2>).6g,2[3/2],1,3,,57699.5,,0.2,L16320
4d.9p,"(3/2,1/2)*",1,3,,57743.2,,0.7,L7603
4d.8d,"(5/2,5/2)",1,3,,57836.4,,0.2,L16320
