Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d6.(3P).6s,b 4P,3/2,4,,30526.60,,,,
5d6.(3H).6s,a 4H,13/2,14,,27130.14,,,1.208,
5d6.(3H).6s,a 4H,9/2,10,,27161.35,,,,
5d6.(3H).6s,a 4H,11/2,12,,27243.88,,,1.18,
5d6.(3H).6s,a 4H,7/2,8,,28809.87,,,0.93,
5d6.(5D).6s,b 4D,7/2,8,,27141.13,,,1.34,
5d6.(5D).6s,b 4D,3/2,4,,27827.65,,,0.888,
5d6.(5D).6s,b 4D,5/2,6,,29800.38,,,1.17,
5d6.(5D).6s,b 4D,1/2,2,,30131.57,,,,
5d5.6s2,a 2S,1/2,2,,27384.80,,,,
5d5.6s.(7S).6p,z 6P*,5/2,6,,28854.18,,,1.871,
5d5.6s.(7S).6p,z 6P*,7/2,8,,28889.72,,,1.709,
5d5.6s.(7S).6p,z 6P*,3/2,4,,28961.55,,,2.333,
5d5.6s2,a 2H,11/2,12,,30559.91,,,1.07,
5d5.6s2,a 2H,9/2,10,,31399.30,,,,
5d6.(3F).6s,b 4F,7/2,8,,,,,,
5d6.(3F).6s,b 4F,9/2,10,,30645.33,,,,
5d6.(3F).6s,b 4F,5/2,6,,31186.08,,,1.17,
5d6.(3F).6s,b 4F,3/2,4,,31460.62,,,,
5d5.6s2,b 2F,7/2,8,,31982.99,,,,
5d5.6s2,b 2F,5/2,6,,32435.14,,,,
5d4.6s2.(5D).6p,z 6D*,1/2,2,,32443.61,,,1.762,
5d4.6s2.(5D).6p,z 6D*,3/2,4,,32591.63,,,1.500,
5d4.6s2.(5D).6p,z 6D*,5/2,6,,33408.73,,,1.454,
5d4.6s2.(5D).6p,z 6D*,7/2,8,,34520.25,,,1.440,
5d4.6s2.(5D).6p,z 6D*,9/2,10,,35923.02,,,,
5d6.(3G).6s,b 4G,5/2,6,,33281.65,,,,
5d6.(3G).6s,b 4G,11/2,12,,33317.57,,,,
5d6.(3G).6s,b 4G,7/2,8,,33823.66,,,,
5d6.(3G).6s,b 4G,9/2,10,,34194.27,,,,
5d4.6s2.(5D).6p,y 6P*,5/2,6,,,,,,
5d4.6s2.(5D).6p,y 6P*,7/2,8,,,,,,
5d4.6s2.(5D).6p,y 6P*,3/2,4,,33589.12,,,2.335,
5d5.6s.(5S).6p,z 4P*,5/2,6,,35267.94,,,1.385,
5d5.6s.(5S).6p,z 4P*,1/2,2,,37797.95,,,2.620,
5d5.6s.(5S).6p,z 4P*,3/2,4,,37915.87,,,1.495,
5d5.6s.(5G).6p,z 6G*,3/2,4,,37063.65,,,0.626,
5d5.6s.(5G).6p,z 6G*,5/2,6,,37381.41,,,0.990,
5d5.6s.(5G).6p,z 6G*,7/2,8,,38520.74,,,1.216,
5d5.6s.(5G).6p,z 6G*,9/2,10,,38994.73,,,1.25,
5d5.6s.(5G).6p,z 6G*,11/2,12,,39916.39,,,1.314,
5d5.6s.(5G).6p,z 6G*,13/2,14,,40493.34,,,1.364,
5d4.6s2.(5D).6p,z 6F*,1/2,2,,37381.41,,,,
5d4.6s2.(5D).6p,z 6F*,7/2,8,,37765.65,,,1.335,
5d4.6s2.(5D).6p,z 6F*,5/2,6,,39064.92,,,1.335,
5d4.6s2.(5D).6p,z 6F*,11/2,12,,39196.74,,,1.405,
5d4.6s2.(5D).6p,z 6F*,9/2,10,,39655.99,,,1.444,
5d4.6s2.(5D).6p,z 6F*,3/2,4,,39926.75,,,0.745,
,376*,5/2,6,,37697.66,,,1.219,
,396*,5/2,6,,39670.52,,,1.107,
5d5.6s.(5S).6p,x 6P*,7/2,8,,39844.75,,,1.223,
5d5.6s.(5S).6p,x 6P*,5/2,6,,43569.36,,,1.504,
5d5.6s.(5S).6p,x 6P*,3/2,4,,43702.20,,,1.962,
,408*,3/2,4,,40808.85,,,1.351,
,408*,1/2,2,,40810.17,,,,
,408*,5/2,6,,40821.83,,,1.126,
5d5.6s.(5P).6p,y 6D*,9/2,10,,,,,,
5d5.6s.(5P).6p,y 6D*,1/2,2,,,,,,
5d5.6s.(5P).6p,y 6D*,7/2,8,,40946.53,,,1.534,
5d5.6s.(5P).6p,y 6D*,5/2,6,,41313.02,,,1.278,
5d5.6s.(5P).6p,y 6D*,3/2,4,,41557.08,,,1.655,
,411*,7/2,8,,41163.91,,,1.325,
,414*,9/2,10,,41453.18,,,1.372,
,418*,7/2,8,,41843.85,,,1.190,
5d5.6s.(5P).6p,z 4D*,1/2,2,,41991.56,,,0.61,
5d5.6s.(5P).6p,z 4D*,3/2,4,,42254.19,,,1.578,
5d5.6s.(5P).6p,z 4D*,5/2,6,,43044.02,,,1.449,
5d5.6s.(5P).6p,z 4D*,7/2,8,,43407.87,,,1.368,
,421*,9/2,10,,42140.06,,,1.249,
5d5.6s.(7S).7s,e 8S,7/2,8,,42598.27,,,1.957,
,433*,3/2,4,,43341.85,,,0.975,
,434*,3/2?,4,,43409.11,,,,
,434*,9/2,10,,43453.30,,,1.336,
,438*,7/2,8,,43815.01,,,1.348,
,439*,5/2,6,,43949.98,,,1.385,
,439*,11/2,12,,43996.30,,,1.26,
,440,5/2,6,,44054.21,,,,
,441*,3/2,4,,44148.45,,,1.573,
,442*,9/2,10,,44224.58,,,1.244,
,443*,5/2,6,,44308.73,,,1.223,
,4D*,1/2,2,,44416.33,,,0.15,
5d5.6s.(7S).7s,e 6S,5/2,6,,44703.37,,,1.866,
,447*,3/2,4,,44720.09,,,1.330,
,4490*,7/2,8,,44901.15,,,1.253,
,449,5/2,6,,44902.60,,,,
,4494*,7/2,8,,44946.12,,,0.905,
5d6.(5D).6p,y 6F*,11/2,12,,45082.63,,,1.40,
5d6.(5D).6p,y 6F*,9/2,10,,46374.25,,,1.341,
5d6.(5D).6p,y 6F*,7/2,8,,47932.55,,,1.31,
5d6.(5D).6p,y 6F*,5/2,6,,49022.77,,,1.495,
5d6.(5D).6p,y 6F*,3/2,4,,49667.25,,,1.27,
5d6.(5D).6p,y 6F*,1/2,2,,49859.53,,,0.410,
,451*,3/2,4,,45121.81,,,0.674,
,453*,5/2,6,,45332.03,,,1.088,
,453*,9/2,10,,45343.57,,,1.131,
,454*,7/2,8,,45462.83,,,1.300,
,4P*,1/2,2,,45817.26,,,2.197,
,458*,3/2,4,,45876.34,,,1.384,
,459*,11/2,12,,45904.25,,,1.175,
,459*,7/2,8,,45937.18,,,1.298,
,461*,5/2,6,,46112.24,,,1.405,
,461*,3/2,4,,46141.11,,,0.716,
,463*,7/2,8,,46352.99,,,1.271,
,465*,5/2,6,,46509.40,,,1.371,
,466*,5/2,6,,46649.42,,,1.334,
,467*,3/2,4,,46733.38,,,1.858,
,470*,3/2,4,,47004.34,,,1.285,
,471*,5/2,6,,47101.61,,,0.893,
,471*,3/2,4,,47172.1,,,,
,471*,1/2,2,,47172.9,,,2.215,
,472*,9/2,10,,47205.73,,,1.106,
,473*,7/2,8,,47358.36,,,1.151,
,475*,13/2,14,,47506.79,,,1.26,
,476*,1/2,2,,47664.74,,,1.50,
,476*,7/2,8,,47669.01,,,1.196,
,4770*,3/2,4,,47703.78,,,1.443,
,4777*,3/2,4,,47779.91,,,1.362,
,478*,11/2,12,,47859.93,,,1.20,
,478*,5/2,6,,47899.22,,,1.217,
,479*,5/2,6,,47970.82,,,1.169,
,481*,7/2,8,,48184.20,,,1.252,
,485*,11/2,12,,48569.63,,,1.27,
,487*,7/2,8,,48786.35,,,1.53,
,488*,7/2,8,,48857.60,,,1.24,
,490*,7/2,8,,49027.85,,,1.499,
,491*,9/2,10,,49170.76,,,1.135,
,492*,3/2,4,,49250.02,,,1.263,
,492*,11/2,12,,49286.07,,,1.075,
,4954*,5/2,6,,49540.96,,,,
,4957*,5/2,6,,49573.11,,,1.344,
,4958*,9/2,10,,49582.61,,,1.058,
,498*,7/2,8,,49863.22,,,1.175,
,498*,3/2,4,,49895.57,,,1.989,
,5011*,5/2,6,,50110.28,,,1.765,
,5015*,5/2,6,,50158.87,,,1.422,
,5019*,9/2,10,,50196.94,,,1.345,
,502*,3/2,4,,50263.22,,,1.234,
,503*,7/2,8,,50310.70,,,1.170,
5d5.6s.(7S).6d,e 8D,3/2,4,,50332.60,,,,
5d5.6s.(7S).6d,e 8D,5/2,6,,50340.62,,,2.027,
5d5.6s.(7S).6d,e 8D,7/2,8,,50359.23,,,1.820,
5d5.6s.(7S).6d,e 8D,9/2,10,,50395.72,,,1.690,
5d5.6s.(7S).6d,e 8D,11/2,12,,50464.34,,,1.629,
,504*,9/2,10,,50401.01,,,1.055,
,504*,5/2,6,,50463.80,,,1.144,
,505*,3/2,4,,50571.02,,,0.935,
,506*,11/2,12,,50663.51,,,1.220,
,508*,7/2,8,,50869.00,,,1.240,
,509*,5/2,6,,50934.18,,,1.385,
,509,5/2,6,,50973.17,,,1.489,
5d5.6s.(7S).6d,e 6D,7/2,8,,50988.47,,,1.558,
5d5.6s.(7S).6d,e 6D,9/2,10,,50994.15,,,1.548,
5d5.6s.(7S).6d,e 6D,3/2,4,,51030.73,,,,
5d5.6s.(7S).6d,e 6D,5/2,6,,51035.56,,,1.546,
5d5.6s.(7S).6d,e 6D,1/2,2,,51049.87,,,,
,510*,9/2,10,,51027.96,,,,
,511*,3/2,4,,51183.00,,,1.456,
,511*,9/2,10,,51193.49,,,,
,512*,7/2,8,,51229.64,,,1.231,
,514*,5/2,6,,51477.15,,,0.97,
,514*,9/2,10,,51486.29,,,1.20,
,515*,3/2,4,,51578.05,,,0.92,
,515*,5/2,6,,51590.08,,,1.02,
,516*,7/2,8,,51647.82,,,1.139,
,518*,3/2,4,,51874.43,,,1.29,
,519*,11/2,12,,51945.94,,,,
,519*,7/2,8,,51955.02,,,1.200,
,520*,9/2,10,,52001.37,,,1.357,
,521*,13/2,14,,52122.35,,,1.17,
,522*,5/2,6,,52218.11,,,1.208,
,522*,13/2,14,,52227.20,,,,
,522*,3/2,4,,52278.28,,,1.422,
,523*,7/2,8,,52373.12,,,,
,524*,1/2,2,,52469.45,,,1.315,
,524*,5/2,6,,52472.31,,,,
,526*,7/2,8,,52610.01,,,,
,527*,9/2,10,,52741.30,,,,
,528*,7/2,8,,52857.44,,,1.30,
,528*,5/2,6,,52881.34,,,1.05,
,52951*,3/2,4,,52951.59,,,1.14,
,52954*,3/2,4,,52954.46,,,,
,530*,5/2,6,,53058.74,,,1.184,
,531*,1/2,2,,53125.19,,,1.145,
,532*,1/2,2,,53288.28,,,1.372,
,532*,3/2,4,,53293.72,,,1.323,
,5332*,9/2,10,,53320.95,,,1.38,
,5333*,7/2,8,,53335.94,,,1.290,
,5337*,9/2,10,,53379.35,,,1.09,
,5338*,5/2,6,,53389.73,,,1.19,
5d5.6s.(7S).8s,f 8S,7/2,8,,53392.00,,,,
,534*,11/2,12,,53467.57,,,1.20,
,537*,7/2,8,,53738.46,,,1.203,
,538*,3/2,4,,53842.53,,,1.169,
,539*,1/2,2,,53928.90,,,1.113,
,539*,11/2,12,,53948.73,,,1.13,
,5401*,7/2,8,,54018.19,,,0.723,
,5408*,7/2,8,,54086.69,,,1.22,
,541*,7/2,8,,54177.25,,,1.270,
,542*,5/2,6,,54268.18,,,1.290,
,544*,5/2,6,,54409.61,,,1.069,
,544*,3/2,4,,54467.40,,,1.361,
,545*,7/2,8,,54513.84,,,,
,545*,11/2,12,,54554.61,,,,
,547*,13/2,14,,54729.52,,,,
,548*,9/2,10,,54813.12,,,1.185,
,548*,5/2,6,,54823.02,,,1.183,
,549*,1/2,2,,54968.85,,,1.314,
,552*,11/2,12,,55223.85,,,1.149,
,554*,7/2,8,,55454.48,,,1.17,
,557*,13/2,14,,55776.51,,,1.056,
,559*,7/2,8,,55901.20,,,1.22,
,559*,3/2,4,,55902.01,,,0.447,
,559*,9/2,10,,55912.42,,,1.06,
,563*,9/2,10,,56307.97,,,,
,564*,9/2,10,,56411.22,,,,
,564*,1/2,2,,56451.87,,,1.287,
,565*,13/2,14,,56523.41,,,,
,566*,7/2,8,,56699.41,,,1.25,
,568*,5/2,6,,56822.75,,,,
,568*,3/2,4,,56866.06,,,0.479,
,570*,1/2,2,,57073.31,,,0.94,
,570*,7/2,8,,57090.29,,,,
,571*,7/2,8,,57172.70,,,1.19,
,572*,9/2,10,,57280.86,,,1.19,
,573*,7/2,8,,57371.75,,,,
,573*,11/2,12,,57391.44,,,1.30,
,574*,13/2,14,,57452.83,,,,
,575*,5/2,6,,57524.31,,,1.40,
,576*,9/2,10,,57656.85,,,1.19,
5d4.6s2.(5D).7s,f 6D,1/2,2,,,,,,
5d4.6s2.(5D).7s,f 6D,3/2,4,,57665.43,,,,
5d4.6s2.(5D).7s,f 6D,7/2,8,,58060.64,,,,
5d4.6s2.(5D).7s,f 6D,9/2,10,,58368.90,,,,
5d4.6s2.(5D).7s,f 6D,5/2,6,,59268.79,,,,
,580*,3/2,4,,58050.58,,,1.111,
,582*,7/2,8,,58260.03,,,1.43,
,582*,9/2,10,,58279.31,,,,
,583*,5/2,6,,58332.42,,,,
,584*,3/2,4,,58442.51,,,1.32,
,585*,1/2,2,,58541.88,,,,
,586*,11/2,12,,58619.32,,,1.165,
,591*,3/2,4,,59127.30,,,1.20,
,591*,5/2,6,,59171.73,,,,
,592*,3/2,4,,59293.45,,,,
,593*,9/2,10,,59394.29,,,,
,594*,11/2,12,,59412.46,,,1.15,
,597*,7/2,8,,59784.67,,,,
,599*,7/2,8,,59926.91,,,1.100,
,607*,5/2,6,,60737.28,,,,
,608*,5/2,6,,60837.10,,,1.22,
,621*,11/2,12,,62142.97,,,,
,623*,7/2,8,,62350.13,,,,
,624*,7/2,8,,62493.51,,,1.17,
Re II (5d5.6s 7S<3>),Limit,---,,,63181.6,,0.9,,L11604
,632*,11/2,12,,63267.63,,,1.135,
,637*,13/2,14,,63772.40,,,,
,639*,13/2,14,,63934.76,,,1.07,
