Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d5.(4D).5p,x 5F*,3,7,,43245.567,,,1.248,
4d5.(4D).5p,x 5F*,5,11,,43299.059,,,1.363,
4d5.(4D).5p,x 5F*,4,9,,43529.884,,,1.365,
,3.4*,5,11,,43566.437,,,,
4d4.5s.(4H).5p,z 5I*,4,9,,43598.471,,,0.779,
4d4.5s.(4H).5p,z 5I*,5,11,,44330.156,,,0.956,
4d4.5s.(4H).5p,y 5H*,3,7,,43697.423,,,0.554,
4d4.5s.(4H).5p,y 5H*,4,9,,44012.319,,,0.867,
4d4.5s.(4H).5p,y 5H*,5,11,,44444.51,?,,,
4d4.5s.(4H).5p,y 5H*,6,13,,44694.826,,,,
4d4.5s.(4H).5p,y 5H*,7,15,,45405.90,?,,,
,3.5*,5,11,,43967.098,,,,
4d4.5s.(4H).5p,y 3G*,3,7,,43975.441,,,,
4d4.5s.(4H).5p,y 3G*,4,9,,44460.583,,,1.075,
4d4.5s.(4H).5p,y 3G*,5,11,,44759.769,,,1.170,
4d5.(4D).5p,y 3D*,1,3,,44041.026,,,,
4d5.(4D).5p,y 3D*,2,5,,44524.504,,,1.123,
4d5.(4D).5p,y 3D*,3,7,,44921.172,,,,
4d5.(6S).5d,e 7D,1,3,,44935.711,,,,
4d5.(6S).5d,e 7D,2,5,,44940.344,,,,
4d5.(6S).5d,e 7D,3,7,,44947.356,,,1.94,
4d5.(6S).5d,e 7D,4,9,,44957.079,,,1.650,
4d5.(6S).5d,e 7D,5,11,,44970.159,,,1.605,
,3.6*,4,9,,44951.544,,,,
,3.7*,1,3,,45081.071,,,,
,4*,2,5,,45388.700,,,,
4d5.(2G).5p,x 3G*,3,7,,45414.779,,,0.794,
4d5.(2G).5p,x 3G*,4,9,,45556.237,,,1.108,
4d5.(2G).5p,x 3G*,5,11,,45835.526,,,1.100,
4d4.5s.(4F).5p,w 5F*,2,5,,45425.123,,,1.286,
4d4.5s.(4F).5p,w 5F*,1,3,,45457.767,,,0.104,
4d4.5s.(4F).5p,w 5F*,3,7,,45634.691,,,1.162,
4d4.5s.(4F).5p,w 5F*,4,9,,45869.523,,,1.334,
4d5.(4D).5p,x 3F*,2,5,,45709.998,,,0.890,
4d5.(4D).5p,x 3F*,3,7,,45938.514,,,1.110,
4d5.(4D).5p,x 3F*,4,9,,45969.168,,,1.135,
4d5.(6S).5d,e 5D,4,9,,45785.593,,,,
4d5.(6S).5d,e 5D,3,7,,45792.737,,,,
4d5.(6S).5d,e 5D,2,5,,45800.131,,,,
4d5.(6S).5d,e 5D,1,3,,45805.377,,,,
4d5.(6S).5d,e 5D,0,1,,45807.37,?,,,
4d5.(4P).5p,z 3S*,1,3,,45834.721,,,2.048,
4d5.(4F).5p,x 3D*,1,3,,45974.34,?,,,
4d5.(4F).5p,x 3D*,2,5,,46301.842,,,1.078,
4d5.(4F).5p,x 3D*,3,7,,46808.367,,,1.275,
,5*,4,9,,46135.945,,,,
4d5.(4F).5p,v 5F*,1,3,,46447.893,,,,
4d5.(4F).5p,v 5F*,2,5,,46452.405,,,,
4d5.(4F).5p,v 5F*,3,7,,46453.388,,,,
4d5.(4F).5p,v 5F*,4,9,,46756.458,,,1.304,
,5.1*,2,5,,46539.301,,,,
,6*,4,9,,46590.034,,,1.160,
,7*,1,3,,46720.024,,,,
,8*,2,5,,46754.734,,,,
4d5.(2I).5p,z 3I*,5,11,,46861.000,,,0.937,
4d5.(2I).5p,z 3I*,6,13,,47171.708,,,1.13,
4d5.(2I).5p,z 3I*,7,15,,47492.90,?,,1.14,
4d5.(2D).5p,w 3F*,2,5,,46874.412,,,,
4d5.(2D).5p,w 3F*,3,7,,46926.304,,,1.093,
4d5.(2D).5p,w 3D*,1,3,,46894.990,,,,
4d5.(2D).5p,w 3D*,2,5,,47110.181,,,1.156,
4d5.(2D).5p,w 3D*,3,7,,47184.522,,,1.290,
,9*,3,7,,46955.834,,,1.66,
