Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
4d10.5s.5f,3F*,"2,3,4",21,,68093.7,,2.5,L3466
4d10.5s.9s,3S,1,3,,68682.325,,0.002,L3486
4d10.5s.9s,1S,0,1,,68798.760,,0.010,L3486
4d10.5s.8d,1D,2,5,,69297.084,,0.016,L3486
4d10.5s.9p,3P*,0,1,,69314.0,,0.3,L9542
4d10.5s.9p,3P*,1,3,,69320.9,,0.3,L9542
4d10.5s.9p,3P*,2,5,,69339.8,,0.3,L9542
4d10.5s.8d,3D,1,3,,69400.900,,0.020,L3486
4d10.5s.8d,3D,2,5,,69402.583,,0.015,L3486
4d10.5s.8d,3D,3,7,,69405.160,,0.020,L3486
4d10.5s.9p,1P*,1,3,,69439.13,,0.18,L3641
4d10.5s.6f,3F*,"2,3,4",21,,69456.4,,0.3,L9542
4d10.5s.10s,3S,1,3,,69806.814,,0.002,L3486
4d10.5s.10s,1S,0,1,,69875.238,,0.010,L3486
4d10.5s.9d,1D,2,5,,70169.52,,0.18,L3641
4d10.5s.10p,3P*,0,1,,70191.4,,0.3,L9542
4d10.5s.10p,3P*,1,3,,70195.7,,0.3,L9542
4d10.5s.10p,3P*,2,5,,70207.5,,0.3,L9542
4d10.5s.9d,3D,1,3,,70244.09,,0.020,L3486
4d10.5s.9d,3D,2,5,,70245.060,,0.015,L3486
4d10.5s.9d,3D,3,7,,70246.742,,0.020,L3486
4d10.5s.10p,1P*,1,3,,70267.37,,0.18,L3641
4d10.5s.7f,3F*,"2,3,4",21,,70277.4,,0.3,L9542
4d10.5s.11s,3S,1,3,,70502.04,,0.020,L3486
4d10.5s.11s,1S,0,1,,70545.730,,0.010,L3486
4d10.5s.10d,1D,2,5,,70735.75,,0.18,L3641
4d10.5s.10d,3D,1,3,,70787.850,,0.002,L3486
4d10.5s.10d,3D,2,5,,70788.605,,0.015,L3486
4d10.5s.10d,3D,3,7,,70789.634,,0.020,L3486
4d10.5s.11p,1P*,1,3,,70803.25,,0.18,L3641
4d10.5s.8f,3F*,"2,3,4",21,,70809.7,,0.3,L9542
4d10.5s.12s,3S,1,3,,70961.993,,0.016,L3486
4d10.5s.12s,1S,0,1,,70992.1,,2.5,L3466
4d10.5s.11d,1D,2,5,,71120.77,,0.18,L3641
4d10.5s.11d,3D,1,3,,71158.957,,0.002,L3486
4d10.5s.11d,3D,2,5,,71159.527,,0.015,L3486
4d10.5s.11d,3D,3,7,,71160.319,,0.020,L3486
4d10.5s.12p,1P*,1,3,,71169.73,,0.18,L3641
4d10.5s.9f,3F*,"2,3,4",21,,71174.2,,0.3,L9542
4d10.5s.13s,3S,1,3,,71281.8,,2.5,L3466
4d10.5s.13s,1S,0,1,,71299.0,,2.5,L3466
4d10.5s.12d,3D,1,3,,,,,
4d10.5s.12d,3D,2,5,,71423.930,,0.015,L3486
4d10.5s.12d,3D,3,7,,71424.524,,0.020,L3486
4d10.5s.10f,1F*,3,7,,71433.3,,0.3,L9542
4d10.5s.10f,3F*,"2,3,4",21,,71434.1,,0.3,L9542
4d10.5s.14s,3S,1,3,,71515.6,,2.5,L3466
4d10.5s.14s,1S,0,1,,71528.0,,2.5,L3466
4d10.5s.13d,1D,2,5,,71596.3,,2.5,L3466
4d10.5s.13d,3D,"1,2,3",15,,71618.5,,2.5,L3466
4d10.5s.15s,3S,1,3,,71689.6,,2.5,L3466
4d10.5s.15s,1S,0,1,,71692.4,,2.5,L3466
4d10.5s.14d,1D,2,5,,71748.9,,2.5,L3466
4d10.5s.14d,3D,"1,2,3",15,,71767.2,,2.5,L3466
4d10.5s.16s,3S,1,3,,71818.6,,2.5,L3466
4d10.5s.15d,1D,2,5,,71869.2,,2.5,L3466
4d10.5s.15d,3D,"1,2,3",15,,71880.7,,2.5,L3466
4d10.5s.16d,3D,"1,2,3",15,,71972.1,,2.5,L3466
4d10.5s.17d,3D,"1,2,3",15,,72046.7,,2.5,L3466
4d10.5s.18d,3D,"1,2,3",15,,72108.2,,2.5,L3466
4d10.5s.19d,3D,"1,2,3",15,,72155.7,,2.5,L3466
Cd II (5s 2S<1/2>),Limit,---,,,72540.05,,0.13,L18843
4d10.5p2,3P,0,1,,73996.2,,2.5,L3466
4d10.5p2,3P,1,3,,74745.4,,2.5,L3466
4d10.5p2,3P,2,5,,75860,,5,L3466
4d9.5s2.5p,1P*,1,3,,97800,,20,L3466
4d9.5s2.5p,3P*,1,3,,103420,,20,L3466
4d9.5s2.5p,3D*,1,3,,104351,,20,L3466
4d9.5s2.6p,1P*,1,3,,127464,,20,L3466
4d9.5s2.6p,3P*,1,3,,132698,,20,L3466
4d9.5s2.6p,3D*,1,3,,133044,,20,L3466
4d9.5s2.7p,1P*,1,3,,134196,,20,L3466
4d9.5s2.4f?,3P*?,1,3,,135097,,20,L3466
4d9.5s2.8p,1P*,1,3,,137027,,20,L3466
4d9.5s2.9p,1P*,1,3,,138524,,20,L3466
4d9.5s2.6f?,3P*?,1,3,,138679,,20,L3466
4d9.5s2.10p,1P*,1,3,,139417,,20,L3466
4d9.5s2.7p,3P*,1,3,,139652,,20,L3466
4d9.5s2.11p,1P*,1,3,,139987,,20,L3466
4d9.5s2.12p,1P*,1,3,,140410,,20,L3466
4d9.5s2.13p?,1P*?,1,3,,140655,,20,L3466
4d9.5s2.4f?,1P*,1,3,,140655,,20,L3466
4d9.5s2.8p,3P*,1,3,,142613,,20,L3466
4d9.5s2.5f?,1P*?,1,3,,143203,,20,L3466
4d9.5s2.9p,3P*,1,3,,144134,,20,L3466
4d9.5s2.6f,1P*?,1,3,,144531,,20,L3466
4d9.5s2.10p,3P*,1,3,,145034,,20,L3466
4d9.5s2.7f?,1P*?,1,3,,145314,,20,L3466
4d9.5s2.11p,3P*,1,3,,145603,,20,L3466
4d9.5s2.12p,3P*,1,3,,145993,,20,L3466
4d9.5s2.13p,3P*,1,3,,146281,,20,L3466
4d9.5s2.14p,3P*,1,3,,146446,,20,L3466
