Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d10.6s.14d,3D,1,3,,83266.6,,0.4,,
5d10.6s.14d,3D,2,5,,83267.4,,0.5,,
5d10.6s.14d,3D,3,7,,83269.2,,0.3,,
5d10.6s.12f,3F*,2,5,,83271.0,,0.4,,
5d10.6s.12f,3F*,3,7,,83271.3,,0.4,,
5d10.6s.12f,3F*,4,9,,83271.6,,0.4,,
5d10.6s.12f,1F*,3,7,,83271.4,,0.4,,
5d10.6s.15p,1P*,1,3,,83273.22,,0.05,,
5d10.6s.11g,3G,4,9,,83283.,,5.,,
5d10.6s.11g,1G,4,9,,83283.,,5.,,
5d10.6s.16s,3S,1,3,,83324.7,,0.2,,
5d10.6s.16s,1S,0,1,,83334.5,,0.2,,
5d10.6s.16p,3P*,0,1,,83394.59,,0.05,,
5d10.6s.16p,3P*,1,3,,83395.33,,0.05,,
5d10.6s.16p,3P*,2,5,,83408.34,,0.05,,
5d10.6s.15d,1D,2,5,,83411.7,,0.2,,
5d10.6s.15d,3D,1,3,,83414.1,,0.4,,
5d10.6s.15d,3D,2,5,,83414.8,,0.5,,
5d10.6s.15d,3D,3,7,,83415.6,,0.4,,
5d10.6s.13f,3F*,2,5,,83417.2,,0.4,,
5d10.6s.13f,3F*,3,7,,83417.2,,0.4,,
5d10.6s.13f,3F*,4,9,,83417.6,,0.4,,
5d10.6s.13f,1F*,3,7,,83417.9,,0.4,,
5d10.6s.16p,1P*,1,3,,83418.60,,0.05,,
5d10.6s.17s,3S,1,3,,83458.7,,0.4,,
5d10.6s.17s,1S,0,1,,83466.1,,0.3,,
5d10.6s.17p,3P*,0,1,,83513.28,,0.05,,
5d10.6s.17p,3P*,1,3,,83513.74,,0.05,,
5d10.6s.17p,3P*,2,5,,83524.06,,0.05,,
5d10.6s.16d,1D,2,5,,83526.7,,0.3,,
5d10.6s.16d,3D,1,3,,83528.4,,0.3,,
5d10.6s.16d,3D,2,5,,83529.1,,0.5,,
5d10.6s.16d,3D,3,7,,83529.8,,0.4,,
5d10.6s.14f,3F*,3,7,,83531.1,,0.4,,
5d10.6s.14f,3F*,4,9,,83531.2,,0.4,,
5d10.6s.14f,3F*,2,5,,83531.6,,0.9,,
5d10.6s.14f,1F*,3,7,,83531.4,,0.7,,
5d10.6s.17p,1P*,1,3,,83531.99,,0.05,,
5d10.6s.18s,3S,1,3,,83563.9,,0.3,,
5d10.6s.18s,1S,0,1,,83569.0,,0.3,,
5d10.6s.18p,3P*,0,1,,83607.17,,0.05,,
5d10.6s.18p,3P*,1,3,,83607.35,,0.05,,
5d10.6s.18p,3P*,2,5,,83615.67,,0.05,,
5d10.6s.17d,1D,2,5,,83617.2,,0.2,,
5d10.6s.17d,3D,1,3,,83619.3,,0.4,,
5d10.6s.17d,3D,2,5,,83620.0,,0.5,,
5d10.6s.17d,3D,3,7,,83620.4,,0.4,,
5d10.6s.15f,1F*,3,7,,83620.3,,0.5,,
5d10.6s.15f,3F*,2,5,,,,,,
5d10.6s.15f,3F*,4,9,,,,,,
5d10.6s.15f,3F*,3,7,,83621.8,,0.4,,
5d10.6s.18p,1P*,1,3,,83621.89,,0.05,,
5d10.6s.19s,3S,1,3,,83647.8,,0.4,,
5d10.6s.19s,1S,0,1,,83651.0,,0.3,,
5d10.6s.19p,3P*,0,1,,83682.76,,0.09,,
5d10.6s.19p,3P*,1,3,,83682.76,,0.06,,
5d10.6s.19p,3P*,2,5,,83689.41,,0.05,,
5d10.6s.16f,1F*,3,7,,83690.0,,0.6,,
5d10.6s.18d,1D,2,5,,83690.4,,0.3,,
5d10.6s.18d,3D,2,5,,83692.4,,0.6,,
5d10.6s.18d,3D,1,3,,83692.6,,0.4,,
5d10.6s.18d,3D,3,7,,83694.1,,0.7,,
5d10.6s.16f,3F*,3,7,,83693.9,,0.5,,
5d10.6s.19p,1P*,1,3,,83694.44,,0.05,,
5d10.6s.20s,3S,1,3,,83715.6,,0.5,,
5d10.6s.20s,1S,0,1,,83718.5,,0.3,,
5d10.6s.20p,3P*,1,3,,83744.23,,0.06,,
5d10.6s.20p,3P*,0,1,,83744.23,,0.10,,
5d10.6s.20p,3P*,2,5,,83749.74,,0.05,,
5d10.6s.19d,1D,2,5,,83750.05,,0.26,,
5d10.6s.17f,1F*,3,7,,83752.0,,0.5,,
5d10.6s.19d,3D,2,5,,83752.5,,0.6,,
5d10.6s.19d,3D,3,7,,83752.7,,0.4,,
5d10.6s.19d,3D,1,3,,83753.3,,0.6,,
5d10.6s.20p,1P*,1,3,,83753.80,,0.05,,
5d10.6s.20d,1D,2,5,,83798.1,,0.3,,
5d10.6s.18f,1F*,3,7,,83801.7,,0.5,,
5d10.6s.18f,3F*,3,7,,83802.1,,0.5,,
5d10.6s.18f,3F*,4,9,,83803.4,,0.5,,
5d10.6s.20d,3D,2,5,,83802.4,,0.6,,
5d10.6s.20d,3D,1,3,,83802.8,,0.6,,
