Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f.(2F*) .5d2.(3F).6s (4F)?,*,5,11,,7715.236,,,0.934,  22  3I*             :    14                             (2F*)(3F)(4F) 5G*  ,
4f.(2F*) .5d2.(3F).6s (2F)?,*,5,11,,7841.955,,,1.063,  24  3H*             :    21                             (2F*)(3F)(2F) 3I*  ,
4f.(2F*) .5d2.(1D).6s (2D),*,1,3,,7853.119,,,0.983,  27  1P*             :    16                             (2F*)(3F)(2F) 3D*  ,
4f.(2F*) .5d2.(3F).6s (4F),*,4,9,,7890.429,,,1.242,  25  3F*             :    18                             (2F*)(3F)(4F) 5D*  ,
4f.(2F*) .5d2.(3P).6s (4P),5G*,2,5,,8088.912,,,0.403,  95                  :     3                             (2F*)(3F)(4F) 5G*  ,
4f.(2F*) .5d2.(3P).6s (4P),5G*,3,7,,8307.309,,,0.957,  81                  :     6                             (2F*)(3P)(4P) 3G*  ,
4f.(2F*) .5d2.(3P).6s (4P),5G*,4,9,,8762.126,,,1.054,  50                  :     9                             (2F*)(3F)(2F) 3H*  ,
4f.(2F*) .5d2.(3P).6s (4P),5G*,5,11,,9462.705,,,1.19,  46                  :    12                             (2F*)(3P)(4P) 3G*  ,
4f.(2F*) .5d2.(3P).6s (4P),5G*,6,13,,11030.470,,,1.193,  51                  :    21                             (2F*)(3F)(2F) 3H*  ,
4f.(2F*) .5d2.(3F).6s (4F),5P*,2,5,,8101.187,,,1.735,  85                  :     5                             (2F*)(3F)(4F) 5S*  ,
4f.(2F*) .5d2.(3F).6s (4F),5P*,3,7,,8270.249,,,1.504,  74                  :    11                             (2F*)(3F)(4F) 3D*  ,
4f.(2F*) .5d2.(3F).6s (4F),5P*,1,3,,8430.846,,,2.04,  62                  :    10                             (2F*)(3F)(4F) 3P*  ,
4f2.6s2,3F,2,5,,8235.605,,,0.680,  88                  :     4  4f.5d.(3F*).6s.6p.(1P*)    3F                 ,
4f2.6s2,3F,3,7,,9206.305,,,1.083,  90                  :     4  4f.5d.(3F*).6s.6p.(1P*)    3F                 ,
4f2.6s2,3F,4,9,,9379.148,,,1.139,  55                  :    32                             1G                 ,
4f.(2F*) .5d2.(3F).6s (2F),1S*,0,1,,8351.167,,,,  44                  :    17  4f.5d.6s2                  3P*                ,
4f.(2F*) .5d2.(3F).6s (4F),*,2,5,,8366.098,,,1.525,  33  3P*             :    16                             (2F*)(3F)(4F) 5S*  ,
4f.(2F*) .5d2.(3F).6s (2F),*,5,11,,8400.730,,,0.917,  30  3I*             :    19  4f.5d.6s2                  1H*                ,
4f.(2F*) .5d2.(3F).6s (2F),*,4,9,,8509.209,,,0.954,  20  3H*             :    19                             (2F*)(3P)(4P) 5G*  ,
4f.(2F*) .5d2.(3F).6s (4F),3I*,7,15,,8587.973,,,1.155,  59                  :    24                             (2F*)(1G)(2G) 3I*  ,
4f.(2F*) .5d2.(3F).6s (4F),*,6,13,,8603.531,,,1.225,  36  5G*             :    25                             (2F*)(3F)(4F) 3H*  ,
4f.(2F*) .5d2.(3F).6s (4F),*,1,3,,8695.201,,,1.285,  22  3P*             :    12                             (2F*)(3F)(4F) 5P*  ,
4f.(2F*) .5d2.(3F).6s (2F),*,3,7,,8902.306,,,1.128,  20  1F*             :    14  4f.5d.6s2                  1F*                ,
4f.(2F*) .5d2.(3F).6s (2F),*,5,11,,8991.451,,,1.067,  31  3H*             :    17                             (2F*)(3P)(4P) 5G*  ,
4f.(2F*) .5d2.(3F).6s (4F),*,0,1,,9119.094,,,,  40  3P*             :    32                             (2F*)(3F)(2F) 1S*  ,
4f.(2F*) .5d2.(3P).6s (4P),3D*,3,7,,9135.099,,,1.274,  50                  :    12                             (2F*)(3F)(4F) 5P*  ,
4f.(2F*) .5d2.(3F).6s (2F),*,2,5,,9200.707,,,1.376,  24  3D*             :    21                             (2F*)(3P)(2P) 3D*  ,
4f.(2F*) .5d2.(3F).6s (2F),3I*,6,13,,9333.222,,,1.047,  61                  :    20                             (2F*)(1G)(2G) 3I*  ,
4f.(2F*) .5d2.(3F).6s (2F),3I*,7,15,,11061.551,,,1.141,  79                  :    16                             (2F*)(1G)(2G) 3I*  ,
