Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5s2.5p4.(3P<2>).5f,2[3]*,5/2,6,,79844.300,,0.005,,L3674
5s2.5p4.(3P<2>).5f,2[3]*,7/2,8,,79847.514,,0.005,,L3674
5s2.5p4.(3P<2>).5f,2[5]*,11/2,12,,79858.84,,0.02,,L3674
5s2.5p4.(3P<2>).5f,2[5]*,9/2,10,,79859.401,,0.005,,L3674
5s2.5p4.(3P<2>).5f,2[1]*,3/2,4,,79881.214,,0.005,,L3674
5s2.5p4.(3P<2>).5f,2[1]*,1/2,2,,79881.564,,0.005,,L3674
5s2.5p4.(3P<2>).5g,2[5],9/2,10,,79887.75,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[5],11/2,12,,79887.77,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[4],7/2,8,,79887.84,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[4],9/2,10,,79887.86,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[3],7/2,8,,79895.23,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[3],5/2,6,,79895.43,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[6],11/2,12,,79899.57,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[6],13/2,14,,79899.60,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[2],3/2,4,,79904.57,,0.04,,L821
5s2.5p4.(3P<2>).5g,2[2],5/2,6,,79904.69,,0.04,,L821
5s2.5p4.(3P<2>).9s,2[2],5/2,6,,79914.513,,0.005,1.56,L3674
5s2.5p4.(3P<2>).9s,2[2],3/2,4,,79946.954,,0.005,,L3674
5s2.5p4.(1D<2>).6p,2[2]*,3/2,4,,80039.610,,0.005,1.50,L3674
5s2.5p4.(1D<2>).6p,2[2]*,5/2,6,,80125.28,,0.04,1.05,L13998
5s2.5p4.(1D<2>).5d,2[4],9/2,10,,80597.11,?,0.20,,L13998
5s2.5p4.(3P<2>).9p,2[2]*,3/2,4,,80615.96,,0.04,,L13998
5s2.5p4.(3P<2>).9p,2[2]*,5/2,6,,80624.15,,0.04,,L13998
5s2.5p4.(3P<2>).9p,2[3]*,5/2,6,,80658.86,,0.04,,L13998
5s2.5p4.(3P<2>).9p,2[3]*,7/2,8,,80661.09,,0.04,,L13998
5s2.5p4.(3P<2>).8d,2[3],7/2,8,,80676.00,,0.04,1.40,L13998
5s2.5p4.(3P<2>).8d,2[3],5/2,6,,80679.95,,0.04,1.37,L13998
5s2.5p4.(3P<2>).8d,2[1],3/2,4,,80690.77,,0.04,,L13998
5s2.5p4.(3P<2>).8d,2[1],1/2,2,,80693.80,,0.04,,L13998
5s2.5p4.(3P<2>).9p,2[1]*,1/2,2,,80720.68,,0.04,,L13998
5s2.5p4.(3P<2>).9p,2[1]*,3/2,4,,80797.61,,0.04,,L13998
5s2.5p4.(3P<2>).8d,2[4],9/2,10,,80772.17,,0.04,,L13998
5s2.5p4.(3P<2>).8d,2[4],7/2,8,,80868.99,,0.04,,L13998
5s2.5p4.(3P<2>).8d,2[2],3/2,4,,80782.30,,0.04,1.46,L13998
5s2.5p4.(3P<2>).8d,2[2],5/2,6,,80882.12,,0.04,,L13998
5s2.5p4.nd,A,3/2 or 1/2,4,,80825.42,,0.04,,L13998
5s2.5p4.(1D<2>).5d,2[1],3/2,4,,81072.446,,0.005,,L3674
5s2.5p4.(3P<2>).6f,2[4]*,9/2,10,,81199.57,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[4]*,7/2,8,,81201.49,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[3]*,5/2,6,,81205.22,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[3]*,7/2,8,,81206.97,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[2]*,3/2,4,,81216.49,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[2]*,5/2,6,,81218.98,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[5]*,11/2,12,,81216.86,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[5]*,9/2,10,,81217.33,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[1]*,1/2,2,,81225.72,,0.04,,L13998
5s2.5p4.(3P<2>).6f,2[1]*,3/2,4,,81227.07,,0.04,,L13998
5s2.5p4.(3P<2>).10s,2[2],5/2,6,,81252.28,,0.04,1.53,L13998
5s2.5p4.(3P<2>).10s,2[2],3/2,4,,81374.16,,0.04,,L13998
5s2.5p4.(3P<1>).7p,2[0]*,1/2,2,,81506.63,,0.04,,L13998
5s2.5p4.(3P<0>).7p,2[1]*,1/2,2,,81604.66,,0.04,,L13998
5s2.5p4.(3P<0>).7p,2[1]*,3/2,4,,81722.73,,0.04,1.39,L13998
5s2.5p4.(3P<2>).9d,2[2],5/2,6,,81642.09,,0.04,,L13998
5s2.5p4.(3P<2>).9d,2[2],3/2,4,,81694.04,,0.04,,L13998
5s2.5p4.nd,B,3/2 or 1/2,4,,81665.69,,0.04,,L13998
5s2.5p4.(3P<2>).9d,2[3],7/2,8,,81688.87,,0.04,,L13998
5s2.5p4.(3P<2>).9d,2[3],5/2,6,,81695.84,,0.04,,L13998
5s2.5p4.(3P<2>).10p,2[3]*,5/2,6,,81694.33,,0.04,,L13998
5s2.5p4.(3P<2>).10p,2[3]*,7/2,8,,81697.13,,0.04,,L13998
5s2.5p4.(3P<2>).9d,2[1],3/2,4,,81737.37,,0.04,,L13998
5s2.5p4.(3P<2>).9d,2[1],1/2,2,,81744.68,,0.04,,L13998
5s2.5p4.(3P<2>).9d,2[4],9/2,10,,81760.40,,0.04,,L13998
5s2.5p4.(3P<2>).9d,2[4],7/2,8,,81790.05,,0.04,,L13998
5s2.5p4.(3P<2>).7f,2[4]*,9/2,10,,82024.55,,0.04,,L13998
5s2.5p4.(3P<2>).7f,2[4]*,7/2,8,,82025.79,,0.04,,L13998
