Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f11.(4I*).5d.6s.(3D),*,17/2,18,,21552.02,,,,  34  4K*        :    28                   (4I*)(3D) 6I*        ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<0>),"(13/2,0)",13/2,14,,21584.89,,,,                                                                ,L3974
4f10.(5I).5d2.(3F) (7L).6s,8L,13/2,14,,21980.67,,,,  84             :    14                   (5I)(3F). (7M) 8M    ,L3974
4f11.(4I*).5d.6s.(3D),*,15/2,16,,22014.13,,,,  30  4I*        :    27                   (4I*)(3D) 2K*        ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<1>),"(13/2,1)",13/2,14,,22157.86,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<1>),"(13/2,1)",15/2,16,,22227.34,,,,             or  :    43                   (4I*).6s.6p.(3P*) 6K ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<1>),"(13/2,1)",11/2,12,,22413.14,,,,                                                                ,L3974
4f11.(4I*).5d.6s.(3D),*,9/2,10,,22157.88,,,,  36  4G*        :    31                   (4I*)(3D) 2G*        ,L3974
4f11.(4I*).5d.6s.(3D),*,13/2,14,,22392.88,,,,  36  2I*        :    25                   (4I*)(3D) 4I*        ,L3974
4f10.(5I).5d2.(3F) (7F).6s,,13/2,14,,22414.04,,,,  24  8F         :    20                   (5I)(3F). (7H) 8H    ,L3974
4f10.(5I).5d2.(3F) (7K).6s,,17/2,18,,22476.89,,,,  22  8K         :    18                   (5I)(3F). (7H) 8H    ,L3974
4f10.(5I).5d2.(3F) (7G).6s,,15/2,16,,22500.62,,,,  21  8G         :    20                   (5I)(3F). (7I) 8I    ,L3974
4f11.(4I*).5d.6s.(3D),*,11/2,12,,22518.59,,,,  28  2H*        :    28                   (4I*)(3D) 4H*        ,L3974
4f11.(4G*).6s2,4G*,11/2,12,,22593.53,,,,  55             :    32                   2H2*                 ,L3974
4f10.(5I).5d2.(3F) (7I).6s,,19/2,20,,22866.55,,,,  25  8I         :    20                   (5I)(3F). (7L) 8L    ,L3974
4f10.(5I<5>).5d<5/2>.6s2,"(5,5/2)",13/2,14,,22978.19,,,,             or  :    41                   (5I) 4K              ,L3974
4f10.(5I<5>).5d<5/2>.6s2,"(5,5/2)",11/2,12,,23379.31,,,,             or  :    24                   (5I) 4I              ,L3974
4f10.(5I<5>).5d<5/2>.6s2,"(5,5/2)",15/2,16,,23445.28,,,1.012,             or  :    59                   (5I) 4L              ,L3974
4f10.(5I).5d2.(3F) (7K).6s,,21/2,22,,23366.71,,,,  27  8K         :    17                   (5I)(3F). (5L) 6L    ,L3974
4f10.(5I).5d2.(3F) (7M).6s,8M,15/2,16,,23375.28,,,, 100                                                            ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",7/2,8,,,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",17/2,18,,23498.57,,,,             or  :    59                   (4I*)(3P*) 6K        ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",15/2,16,,23834.94,,,,             or  :    43                   (4I*)(3P*) 6I        ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",9/2,10,,23861.17,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",11/2,12,,23946.16,,,,                                                                ,L3974
4f11.(4I*<13/2>).6s.6p.(3P*<2>),"(13/2,2)",13/2,14,,23955.69,,,,                 :    14  4f10.5d.6s2                           ,L3974
4f11.(4I*).5d.6s.(1D),*,13/2,14,,23585.31,,,,  38  4H*        :    15  4f10.(5I).6s2.6p 6H*                  ,L3974
