Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d10.31s,2S,1/2,2,,62181.48,,0.08,,                                                    ,L10559
3d10.31p,2P*,"1/2,3/2",6,,62186.73,,0.08,,                                                    ,L10559c152
3d10.32s,2S,1/2,2,,62190.56,,0.08,,                                                    ,L10559
3d10.32p,2P*,"1/2,3/2",6,,62195.36,,0.08,,                                                    ,L10559c152
3d10.33s,2S,1/2,2,,62198.73,,0.08,,                                                    ,L10559
3d10.33p,2P*,"1/2,3/2",6,,62203.14,,0.08,,                                                    ,L10559c152
3d10.34s,2S,1/2,2,,62206.27,,0.08,,                                                    ,L10559c152
3d10.34p,2P*,"1/2,3/2",6,,62210.18,,0.08,,                                                    ,L10559c152
3d10.35s,2S,1/2,2,,62212.9,,0.3,,                                                    ,L10559c152
3d10.35p,2P*,"1/2,3/2",6,,62216.53,,0.08,,                                                    ,L10559c152
3d10.36s,2S,1/2,2,,62219.2,,0.3,,                                                    ,L10559c152
3d10.36p,2P*,"1/2,3/2",6,,62222.33,,0.08,,                                                    ,L10559c152
3d10.37s,2S,1/2,2,,62224.5,,0.3,,                                                    ,L10559c152
3d10.37p,2P*,"1/2,3/2",6,,62227.72,,0.08,,                                                    ,L10559
3d10.38s,2S,1/2,2,,62229.8,,0.3,,                                                    ,L10559c152
3d10.38p,2P*,"1/2,3/2",6,,62232.67,,0.08,,                                                    ,L10559c152
3d10.39s,2S,1/2,2,,62234.5,,0.3,,                                                    ,L10559c152
3d10.39p,2P*,"1/2,3/2",6,,62237.20,,0.08,,                                                    ,L10559
3d10.40s,2S,1/2,2,,62238.7,,0.3,,                                                    ,L10559c152
3d10.40p,2P*,"1/2,3/2",6,,62241.35,,0.08,,                                                    ,L10559c152
3d10.41s,2S,1/2,2,,62242.8,,0.3,,                                                    ,L10559c152
3d10.41p,2P*,"1/2,3/2",6,,62245.22,,0.08,,                                                    ,L10559c152
3d10.42p,2P*,"1/2,3/2",6,,62248.79,,0.08,,                                                    ,L10559c152
3d10.43p,2P*,"1/2,3/2",6,,62252.08,,0.08,,                                                    ,L10559c152
3d10.44p,2P*,"1/2,3/2",6,,62255.14,,0.08,,                                                    ,L10559c152
3d10.45p,2P*,"1/2,3/2",6,,62258.05,,0.08,,                                                    ,L10559
3d10.46p,2P*,"1/2,3/2",6,,62260.72,,0.08,,                                                    ,L10559
3d10.47p,2P*,"1/2,3/2",6,,62263.21,,0.08,,                                                    ,L10559c152
3d10.48p,2P*,"1/2,3/2",6,,62265.57,,0.08,,                                                    ,L10559
3d10.49p,2P*,"1/2,3/2",6,,62267.70,,0.08,,                                                    ,L10559c152
3d10.50p,2P*,"1/2,3/2",6,,62269.80,,0.08,,                                                    ,L10559
3d10.51p,2P*,"1/2,3/2",6,,62271.77,,0.08,,                                                    ,L10559c152
3d10.52p,2P*,"1/2,3/2",6,,62273.5,,0.3,,                                                    ,L10559c152
3d10.53p,2P*,"1/2,3/2",6,,62275.2,,0.3,,                                                    ,L10559c152
3d10.54p,2P*,"1/2,3/2",6,,62276.7,,0.3,,                                                    ,L10559c152
3d10.55p,2P*,"1/2,3/2",6,,62278.4,,0.3,,                                                    ,L10559c152
3d10.56p,2P*,"1/2,3/2",6,,62279.8,,0.3,,                                                    ,L10559c152
3d10.57p,2P*,"1/2,3/2",6,,62281.1,,0.3,,                                                    ,L10559c152
Cu II (3d10 1S<0>),Limit,---,,,62317.46,,0.03,,                                                    ,L14897
3d9.4s.(3D).5s,4D,7/2,8,,62403.332,,0.03,1.42, 100                                                ,L10559c152
3d9.4s.(3D).5s,4D,5/2,6,,62948.26,,0.05,,  82             :    12  3d9.4s.(1D).5s       2D   ,L10559c152
3d9.4s.(3D).5s,4D,3/2,4,,63584.65,,0.05,,  73             :    15  3d9.4s.(3D).5s       2D   ,L10559c152
