Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""3d10.4s.7h""","=""(1/2,9/2)*""","=""4""","=""""","=""73528.205""","=""""","=""0.014""","=""""","="" 100     or  :   100   3H*  ""","=""L18491"""
"=""3d10.4s.7i""","=""(1/2,13/2)""","=""7""","=""""","=""73555""","=""""","=""3""","=""""","="" 100     or  :   100   3I   ""","=""L18491"""
"=""3d10.4s.7i""","=""(1/2,13/2)""","=""6""","=""""","=""73555""","=""""","=""3""","=""""","="" 100     or  :    54   1I   ""","="""""
"=""3d10.4s.7i""","=""(1/2,11/2)""","=""6""","=""""","=""73555""","=""""","=""3""","=""""","="" 100     or  :    54   3I   ""","=""L18491"""
"=""3d10.4s.7i""","=""(1/2,11/2)""","=""5""","=""""","=""73555""","=""""","=""3""","=""""","="" 100     or  :   100   3I   ""","=""L18491"""
"=""3d10.4s.10s""","=""3S""","=""1""","=""""","=""73698.6""","=""""","=""0.6""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.9d""","=""1D""","=""2""","=""""","=""73961.87""","=""""","=""0.16""","=""""","=""  97                        ""","=""L3641"""
"=""3d10.4s.10p""","=""3P*""","=""1""","=""""","=""73964.34""","=""""","=""0.16""","=""""","="" 100                        ""","=""L3641"""
"=""3d10.4s.10p""","=""1P*""","=""1""","=""""","=""74013.88""","=""""","=""0.16""","=""""","=""  99                        ""","=""L3641"""
"=""3d10.4s.9d""","=""3D""","=""2""","=""""","=""74015.5""","=""""","=""0.6""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.9d""","=""3D""","=""3""","=""""","=""74015.5""","=""""","=""0.6""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.9d""","=""3D""","=""1""","=""""","=""74015.5""","=""""","=""0.6""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.8f""","=""3F*""","=""""","=""""","=""74025""","=""""","=""3""","=""""","=""                            ""","=""L18491"""
"=""3d10.4s.8g""","=""3G""","=""5""","=""""","=""74040.4""","=""""","=""1.8""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.8g""","=""3G""","=""4""","=""""","=""74040.4""","=""""","=""1.8""","=""""","=""  90                        ""","=""L18491"""
"=""3d10.4s.8g""","=""3G""","=""3""","=""""","=""74040.4""","=""""","=""1.8""","=""""","="" 100                        ""","=""L18491"""
"=""3d10.4s.8g""","=""1G""","=""4""","=""""","=""74040.4""","=""""","=""1.8""","=""""","=""  90                        ""","="""""
"=""3d10.4s.8h""","=""(1/2,9/2)*""","=""5""","=""""","=""74053.531""","=""""","=""0.023""","=""""","="" 100     or  :    55   3H*  ""","=""L18676"""
"=""3d10.4s.8h""","=""(1/2,9/2)*""","=""4""","=""""","=""74053.531""","=""""","=""0.022""","=""""","="" 100     or  :   100   3H*  ""","=""L18676"""
"=""3d10.4s.8h""","=""(1/2,11/2)*""","=""6""","=""""","=""74053.531""","=""""","=""0.022""","=""""","="" 100     or  :   100   3H*  ""","=""L18676"""
"=""3d10.4s.8h""","=""(1/2,11/2)*""","=""5""","=""""","=""74053.531""","=""""","=""0.023""","=""""","="" 100     or  :    55   1H*  ""","=""L18676"""
"=""3d10.4s.8i""","=""(1/2,13/2)""","=""6""","=""""","=""74065""","=""""","=""4""","=""""","="" 100     or  :    55   1I   ""","="""""
"=""3d10.4s.8i""","=""(1/2,13/2)""","=""7""","=""""","=""74065""","=""""","=""4""","=""""","="" 100     or  :   100   3I   ""","="""""
"=""3d10.4s.8i""","=""(1/2,11/2)""","=""5""","=""""","=""74065""","=""""","=""4""","=""""","="" 100     or  :   100   3I   ""","=""L18491"""
"=""3d10.4s.8i""","=""(1/2,11/2)""","=""6""","=""""","=""74065""","=""""","=""4""","=""""","="" 100     or  :    55   3I   ""","=""L18491"""
"=""3d10.4s.11s""","=""3S""","=""1""","=""""","=""74169.0""","=""""","=""0.6""","=""""","="" 100                        ""","=""L3428"""
"=""3d10.4s.10d""","=""1D""","=""2""","=""""","=""74348.17""","=""""","=""0.33""","=""""","=""  98                        ""","=""L3641"""
"=""3d10.4s.11p""","=""3P*""","=""1""","=""""","=""74351.87""","=""""","=""0.17""","=""""","=""                            ""","=""L3641"""
"=""3d10.4s.11p""","=""1P*""","=""1""","=""""","=""74385.78""","=""""","=""0.17""","=""""","=""                            ""","=""L3641"""
"=""3d10.4s.10d""","=""3D""","=""1""","=""""","=""74386.42""","=""""","=""0.19""","=""""","="" 100                        ""","=""L8903"""
"=""3d10.4s.10d""","=""3D""","=""2""","=""""","=""74386.57""","=""""","=""0.21""","=""""","="" 100                        ""","=""L3428"""
