Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
4p6.44d,2D,3/2,4,,33630.5,,0.3,L9039
4p6.44d,2D,5/2,6,,33630.5,,0.3,L9039
4p6.46s,2S,1/2,2,,33631.3,,0.3,L9039
4p6.46p,2P*,1/2,2,,33632.00,,0.06,L9039
4p6.46p,2P*,3/2,4,,33632.00,,0.06,L9039
4p6.45d,2D,3/2,4,,33633.5,,0.3,L9039
4p6.45d,2D,5/2,6,,33633.5,,0.3,L9039
4p6.47s,2S,1/2,2,,33633.9,,0.3,L9039
4p6.47p,2P*,1/2,2,,33635.21,,0.06,L9039
4p6.47p,2P*,3/2,4,,33635.21,,0.06,L9039
4p6.46d,2D,3/2,4,,33635.9,,0.3,L9039
4p6.46d,2D,5/2,6,,33635.9,,0.3,L9039
4p6.48s,2S,1/2,2,,33636.4,,0.3,L9039
4p6.48p,2P*,1/2,2,,33637.63,,0.06,L9039
4p6.48p,2P*,3/2,4,,33637.63,,0.06,L9039
4p6.47d,2D,3/2,4,,33638.3,,0.3,L9039
4p6.47d,2D,5/2,6,,33638.3,,0.3,L9039
4p6.49s,2S,1/2,2,,33638.8,,0.3,L9039
4p6.49p,2P*,1/2,2,,33639.89,,0.06,L9039
4p6.49p,2P*,3/2,4,,33639.89,,0.06,L9039
4p6.48d,2D,3/2,4,,33640.7,,0.3,L9039
4p6.48d,2D,5/2,6,,33640.7,,0.3,L9039
4p6.50s,2S,1/2,2,[,33641.0,],0.3,L9039
4p6.50p,2P*,3/2,4,,33642.01,,0.06,L9039
4p6.50p,2P*,1/2,2,,33642.01,,0.06,L9039
4p6.49d,2D,3/2,4,,33642.5,,0.3,L9039
4p6.49d,2D,5/2,6,,33642.5,,0.3,L9039
4p6.51s,2S,1/2,2,,33643.1,,0.3,L9039
4p6.51p,2P*,1/2,2,,33644.02,,0.06,L9039
4p6.51p,2P*,3/2,4,,33644.02,,0.06,L9039
4p6.50d,2D,3/2,4,,33644.7,,0.3,L9039
4p6.50d,2D,5/2,6,,33644.7,,0.3,L9039
4p6.52s,2S,1/2,2,,33645.0,,0.3,L9039
4p6.52p,2P*,1/2,2,,33645.96,,0.06,L9039
4p6.52p,2P*,3/2,4,,33645.96,,0.06,L9039
4p6.51d,2D,3/2,4,,33646.5,,0.3,L9039
4p6.51d,2D,5/2,6,,33646.5,,0.3,L9039
4p6.53s,2S,1/2,2,,33646.8,,0.3,L9039
4p6.53p,2P*,1/2,2,,33647.72,,0.06,L9039
4p6.53p,2P*,3/2,4,,33647.72,,0.06,L9039
4p6.52d,2D,3/2,4,,33648.3,,0.3,L9039
4p6.52d,2D,5/2,6,,33648.3,,0.3,L9039
4p6.54p,2P*,1/2,2,,33649.33,,0.06,L9039
4p6.54p,2P*,3/2,4,,33649.33,,0.06,L9039
4p6.53d,2D,3/2,4,,33649.7,,0.3,L9039
4p6.53d,2D,5/2,6,,33649.7,,0.3,L9039
4p6.55p,2P*,1/2,2,,33650.95,,0.06,L9039
4p6.55p,2P*,3/2,4,,33650.95,,0.06,L9039
4p6.54d,2D,3/2,4,,33651.5,,0.3,L9039
4p6.54d,2D,5/2,6,,33651.5,,0.3,L9039
4p6.56p,2P*,1/2,2,,33652.41,,0.06,L9039
4p6.56p,2P*,3/2,4,,33652.41,,0.06,L9039
4p6.57p,2P*,1/2,2,,33653.80,,0.06,L9039
4p6.57p,2P*,3/2,4,,33653.80,,0.06,L9039
4p6.58p,2P*,1/2,2,,33655.11,,0.06,L9039
4p6.58p,2P*,3/2,4,,33655.11,,0.06,L9039
4p6.59p,2P*,3/2,4,,33656.39,,0.06,L9039
4p6.59p,2P*,1/2,2,,33656.39,,0.06,L9039
4p6.60p,2P*,1/2,2,,33657.55,,0.06,L9039
4p6.60p,2P*,3/2,4,,33657.55,,0.06,L9039
4p6.61p,2P*,1/2,2,,33658.69,,0.06,L9039
4p6.61p,2P*,3/2,4,,33658.69,,0.06,L9039
4p6.62p,2P*,1/2,2,,33659.80,,0.06,L9039
4p6.62p,2P*,3/2,4,,33659.80,,0.06,L9039
4p6.63p,2P*,1/2,2,,33660.82,,0.06,L9039
4p6.63p,2P*,3/2,4,,33660.82,,0.06,L9039
4p6.64p,2P*,1/2,2,,33661.81,,0.06,L9039
4p6.64p,2P*,3/2,4,,33661.81,,0.06,L9039
4p6.65p,2P*,3/2,4,,33662.73,,0.06,L9039
4p6.65p,2P*,1/2,2,,33662.73,,0.06,L9039
4p6.66p,2P*,3/2,4,,33663.63,,0.06,L9039
4p6.66p,2P*,1/2,2,,33663.63,,0.06,L9039
4p6.67p,2P*,3/2,4,,33664.48,,0.06,L9039
4p6.67p,2P*,1/2,2,,33664.48,,0.06,L9039
4p6.68p,2P*,3/2,4,,33665.28,,0.06,L9039
4p6.68p,2P*,1/2,2,,33665.28,,0.06,L9039
4p6.69p,2P*,3/2,4,,33666.04,,0.06,L9039
4p6.69p,2P*,1/2,2,,33666.04,,0.06,L9039
4p6.70p,2P*,3/2,4,,33666.78,,0.06,L9039
4p6.70p,2P*,1/2,2,,33666.78,,0.06,L9039
4p6.71p,2P*,3/2,4,,33667.49,,0.06,L9039
4p6.71p,2P*,1/2,2,,33667.49,,0.06,L9039
4p6.72p,2P*,3/2,4,,33668.11,,0.06,L9039
4p6.72p,2P*,1/2,2,,33668.11,,0.06,L9039
4p6.73p,2P*,1/2,2,,33668.79,,0.06,L9039
4p6.73p,2P*,3/2,4,,33668.79,,0.06,L9039
4p6.74p,2P*,1/2,2,,33669.36,,0.06,L9039
4p6.74p,2P*,3/2,4,,33669.36,,0.06,L9039
4p6.75p,2P*,1/2,2,,33670.01,,0.06,L9039
4p6.75p,2P*,3/2,4,,33670.01,,0.06,L9039
4p6.76p,2P*,3/2,4,,33670.61,,0.06,L9039
4p6.76p,2P*,1/2,2,,33670.61,,0.06,L9039
4p6.77p,2P*,1/2,2,,33671.07,,0.06,L9039
4p6.77p,2P*,3/2,4,,33671.07,,0.06,L9039
Rb II (4p6 1S<0>),Limit,---,,,33690.81,,0.01,"L4740,L5783"
4p5.5s.5p,4S,3/2,4,,134250.1,,0.4,L9039
4p5.5s.4d,4P*,5/2,6,,136806.4,,0.4,L9039
4p5.4d.(3D).5s,2D*,3/2,4,,148904.,,1.1,L9039
4p5.5s.6s,4P*,5/2,6,,150589.,,1.1,L9039
4p5.5s.6s,4P*,3/2,4,,151310.,,1.1,L9039
4p5.5s.(1P).6s,2P*,1/2,2,,152314.,,1.1,L9039
4p5.5p2,4D*,5/2,6,,153411.,,1.1,L9039
4p5.4d.(1P).5s,2P*,3/2,4,,154044.,,1.2,L9039
