Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d3.(2H).4s.4p.(3P*),w 4G*,9/2,10,,36897.961,,0.002,1.17,  61         :    12  3d4.(3F2).4p          4G*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),w 4G*,11/2,12,,36938.443,,0.006,1.26,  64         :    12  3d4.(3F2).4p          4G*  ,"L15916,L20010,L14162"
3d5,e 4F,3/2,4,,36983.603,,0.005,,  61         :    21  3d4.(5D).4d           4F   ,"L15916,L20010"
3d5,e 4F,5/2,6,,36989.185,,0.0011,,  62         :    21  3d4.(5D).4d           4F   ,"L15916,L20010"
3d5,e 4F,7/2,8,,37025.579,,0.0012,,  62         :    21  3d4.(5D).4d           4F   ,"L15916,L20010"
3d5,e 4F,9/2,10,,37075.563,,0.0013,,  58         :    19  3d4.(5D).4d           4F   ,"L15916,L20010"
3d4.(5D).5s,e 6D,1/2,2,,37116.769,,0.005,3.08,  98         :     2  3d3.4s.(5F).4d        6D   ,"L15916,L20010,L14162"
3d4.(5D).5s,e 6D,3/2,4,,37158.582,,0.004,1.87,  98         :     2  3d3.4s.(5F).4d        6D   ,"L15916,L20010,L14162"
3d4.(5D).5s,e 6D,5/2,6,,37227.489,,0.0010,1.61,  98         :     2  3d3.4s.(5F).4d        6D   ,"L15916,L20010,L14162"
3d4.(5D).5s,e 6D,7/2,8,,37322.170,,0.0013,1.64,  98         :     2  3d3.4s.(5F).4d        6D   ,"L15916,L20010,L14162"
3d4.(5D).5s,e 6D,9/2,10,,37440.777,,0.0015,1.48,  96         :     1  3d3.4s.(5F).4d        6D   ,"L15916,L20010,L14162"
3d4.(3H).4p,v 2G*,7/2,8,,37174.691,,0.002,0.99,  41         :    13  3d3.(2H).4s.4p.(1P*)  2G*  ,"L15916,L20010,L14162"
3d4.(3H).4p,v 2G*,9/2,10,,37361.951,,0.002,1.05,  26         :    16  3d4.(3G).4p           2G*  ,"L15916,L20010,L14162"
3d3.(2H).4s.4p.(3P*),y 2H*,9/2,10,,37180.946,,0.003,0.73,  55         :    14  3d4.(3H).4p           2G*  ,"L15916,L20010,L14162"
