Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
,*,2,5,,39030.25,,0.10,,                                                        ,L12177
,*,1,3,,39183.20,,0.10,1.01,                                                        ,L12177
,*,5,11,,39361.01,,0.10,1.13,                                                        ,L12177
,*,5,11,,39614.05,,0.10,1.20,                                                        ,L12177
,*,1,3,,39636.62,,0.10,1.44,                                                        ,L12177
,*,3,7,,39646.41,,0.10,1.46,                                                        ,L12177
,*,2,5,,39707.02,,0.10,1.00,                                                        ,L12177
5d4.6s.(4H).6p,5H*,7,15,,39709.04,,0.10,,                                                        ,L12177
,*,4,9,,39719.96,,0.10,1.17,                                                        ,L12177
,*,2,5,,40011.50,,0.10,1.0,                                                        ,L12177
,*,4,9,,40233.97,,0.10,1.53,                                                        ,L12177
,*,3,7,,40269.35,,0.10,1.03,                                                        ,L12177
,*,1,3,,40411.12,,0.10,1.58,                                                        ,L12177
,*,5,11,,40476.42,,0.10,1.04,                                                        ,L12177
,*,4,9,,40583.07,,0.10,,                                                        ,L12177
,*,3,7,,40665.85,,0.10,0.96,                                                        ,L12177
,*,1,3,,40770.78,,0.10,1.28,                                                        ,L12177
,*,2,5,,40868.40,,0.10,1.26,                                                        ,L12177
,*,5,11,,40911.98,,0.10,1.03,                                                        ,L12177
,*,3,7,,40923.83,,0.10,1.32,                                                        ,L12177
,*,2,5,,41104.52,,0.10,1.5,                                                        ,L12177
,*,0,1,,41127.38,,0.10,,                                                        ,L12177
,*,6,13,,41171.44,,0.10,,                                                        ,L12177
,*,4,9,,41198.14,,0.10,1.22,                                                        ,L12177
,*,6,13,,41417.52,,0.10,1.23,                                                        ,L12177
,*,3,7,,41499.43,,0.10,1.11,                                                        ,L12177
,*,2,5,,41583.20,,0.10,1.06,                                                        ,L12177
,*,3,7,,41694.34,,0.10,1.28,                                                        ,L12177
,*,2,5,,41734.13,,0.10,1.1,                                                        ,L12177
,*,4,9,,41871.94,,0.10,1.11,                                                        ,L12177
,*,0,1,,41965.24,,0.10,,                                                        ,L12177
,*,2,5,,41978.62,,0.10,0.8,                                                        ,L12177
,*,6,13,,42239.06,,0.10,,                                                        ,L12177
,*,3,7,,42251.51,,0.10,1.32,                                                        ,L12177
,*,1,3,,42262.30,,0.10,1.5,                                                        ,L12177
,*,2,5,,42449.60,,0.10,,                                                        ,L12177
,*,4,9,,42450.24,,0.10,,                                                        ,L12177
,*,3,7,,42514.14,,0.10,1.22,                                                        ,L12177
,*,4,9,,42532.62,,0.10,,                                                        ,L12177
,*,1,3,,42573.49,,0.10,1.3,                                                        ,L12177
,*,3,7,,42601.19,,0.10,1.12,                                                        ,L12177
,*,5,11,,42866.00,,0.10,1.11,                                                        ,L12177
,*,4,9,,42910.74,,0.10,1.18,                                                        ,L12177
,*,5,11,,43034.10,,0.10,,                                                        ,L12177
