Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<5/2>)?,,1,3,,47645.40,,,,"  35  (7/2,5/2)       :    24   (2F*<7/2>)(2D*<5/2>)? (7/2,5/2)       ",
,,3,7,,47646.62,,,1.32,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<3/2>)?,,3,7,,47673.45,,,,"  42  (7/2,3/2)       :    27   (2F*<7/2>)(4D*<1/2>)? (7/2,1/2)       ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<3/2>),"(7/2,3/2)",4,9,,47673.71,,,,"  54                  :    11   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)",4,9,,47772.94,,,1.22,"  47                  :    13   (2F*<7/2>)(4F*<5/2>) (7/2,5/2)        ",
4f14.6p2?,1D?,2,5,,47821.78,,,1.04,                                                                      ,
,*,3?,7,,47843.13,,,,                                                                      ,
,*,1,3,,47859.31,,,1.30,                                                                      ,
4f14.5d2?,3F?,3,7,,47860.28,,,1.02,                                                                      ,
4f14.6s.11s,3S,1,3,,47885.81,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),"(7/2,3/2)",5,11,,47911.48,,,1.21,"  46                  :    12   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
,*,4,9,,47939.10,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)",5,11,,48057.77,,,1.13,"  70                  :     7   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),"(7/2,3/2)",2,5,,48135.60,,,1.37,"  50                  :     6   (2F*<7/2>)(1P*). (2D*<3/2>) (7/2,3/2) ",
,*,3,7,,48154.71,,,,                                                                      ,
4f14.6s.(2S<1/2>).11p<1/2>,"(1/2,1/2)*",0,1,,,,,,                                                                      ,
4f14.6s.(2S<1/2>).11p<1/2>,"(1/2,1/2)*",1,3,,48212.10,,,,                                                                      ,
,*,2,5,,48234.12,,,,                                                                      ,
,*,3,7,,48237.39,,,1.24,                                                                      ,
4f14.6s.(2S<1/2>).11p<3/2>,"(1/2,3/2)*",2,5,,,,,,                                                                      ,
4f14.6s.(2S<1/2>).11p<3/2>,"(1/2,3/2)*",1,3,,48258.47,,,,                                                                      ,
,,1,3,,48309.41,,,,                                                                      ,
,*,2,5,,48324.89,,,,                                                                      ,
,,1,3,,48357.54,,,,                                                                      ,
,,1,3,,48360.43,,,,                                                                      ,
,*,2,5,,48449.27,,,1.15,                                                                      ,
,*,3,7,,48487.98,,,1.23,                                                                      ,
4f14.6s.12s,3S,1,3,,48519.71,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<5/2>),,3,7,,48647.78,,,,"  36  (7/2,5/2)       :    19   (2F*<7/2>)(4F*<9/2>) (7/2,9/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<7/2>),"(7/2,7/2)",6,13,,48688.18,,,,"  55                  :    29   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
,*,2,5,,48701.60,,,,                                                                      ,
4f14.6s.(2S<1/2>).12p<1/2>,"(1/2,1/2)*",1,3,,48719.03,,,,                                                                      ,
4f14.6s.(2S<1/2>).12p<3/2>,"(1/2,3/2)*",1,3,,48761.84,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),"(7/2,5/2)",4,9,,48787.71,,,1.21,"  45                  :    13   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<7/2>),"(7/2,7/2)",6,13,,48806.57,,,1.22,"  47                  :    14   (2F*<7/2>)(4P*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),"(7/2,9/2)",1,3,,48838.33,,,,"  72                  :    11   (2F*<7/2>)(4F*<7/2>) (7/2,7/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),,2,5,,48883.11,,,,"  44  (7/2,9/2)       :    33   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
4f14.6s.13s,3S,1,3,,48943.42,,,,                                                                      ,
,*,2,5,,48965.16,,,,                                                                      ,
,*,1,3,,49005.74,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<5/2>),,5,11,,49079.34,,,,"  41  (7/2,5/2)       :    23   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),,4,9,,49103.64,,,1.04,"  40  (7/2,3/2)       :    15   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
4f14.6s.(2S<1/2>).13p<1/2>,"(1/2,1/2)*",1,3,,49110.07,,,,                                                                      ,
4f14.6s.(2S<1/2>).13p<3/2>,"(1/2,3/2)*",1,3,,49127.38,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),,3,7,,49223.35,,,1.32,"  19  (7/2,9/2)       :    14   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4F*<9/2>),,2,5,,49246.79,,,,"  20  (7/2,9/2)       :    18   (2F*<7/2>)(2D*<5/2>) (7/2,5/2)        ",
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<7/2>),,4,9,,49260.75,,,1.20,"  24  (7/2,7/2)       :    20   (2F*<7/2>)(4P*<3/2>) (7/2,3/2)        ",
,*,4,9,,49282.36,,,,                                                                      ,
4f14.6s.(2S<1/2>).14p<1/2>,"(1/2,1/2)*",1,3,,49352.47,,,,                                                                      ,
4f14.6s.(2S<1/2>).14p<3/2>,"(1/2,3/2)*",1,3,,49360.60,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2D*<3/2>),,3,7,,49444.52,,,,"  23  (7/2,3/2)       :    17   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
4f14.6s.(2S<1/2>).15p<1/2>,"(1/2,1/2)*",1,3,,49536.43,,,,                                                                      ,
4f14.6s.(2S<1/2>).15p<3/2>,"(1/2,3/2)*",1,3,,49546.55,,,,                                                                      ,
4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4D*<7/2>),,5,11,,49638.73,,,,"  36  (7/2,7/2)       :    22   (2F*<7/2>)(4D*<5/2>) (7/2,5/2)        ",
4f14.6s.(2S<1/2>).16p<1/2>,"(1/2,1/2)*",1,3,,49677.59,,,,                                                                      ,
4f14.6s.(2S<1/2>).16p<3/2>,"(1/2,3/2)*",1,3,,49688.55,,,,                                                                      ,
4f14.6s.(2S<1/2>).17p<1/2>,"(1/2,1/2)*",1,3,,49786.39,,,,                                                                      ,
