Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
4d2.(3F).5p,z 4G*,9/2,,29364.111,,0.004,1.18,L7610
4d2.(3F).5p,z 4G*,11/2,,29820.374,,0.013,1.27,L7610
4d3,b 4F,3/2,,29271.979,,0.002,,L7610
4d3,b 4F,5/2,,29420.385,,0.002,,L7610
4d3,b 4F,7/2,,29613.726,,0.001,,L7610
4d3,b 4F,9/2,,29842.640,,0.002,,L7610
4d2.(3F).5p,y 4F*,3/2,,31508.441,,0.005,0.402,L7610
4d2.(3F).5p,y 4F*,5/2,,31680.043,,0.004,1.033,L7610
4d2.(3F).5p,y 4F*,7/2,,31909.164,,0.005,1.242,L7610
4d2.(3F).5p,y 4F*,9/2,,32188.075,,0.004,1.337,L7610
5s2.6s,e 2S,1/2,,31671.539,,0.003,2.03,L7610
4d3,b 4P,1/2,,31977.584,,0.002,,L7610
4d3,b 4P,3/2,,32091.016,,0.003,,L7610
4d3,b 4P,5/2,,32366.409,,0.003,,L7610
4d3 <1>,2D,3/2,,32431.765,,0.003,,L7610
4d3 <1>,2D,5/2,,32821.391,,0.002,,L7610
4d.5s.(3D).6s,e 4D,1/2,,33148.432,,0.002,0.01,L7610
4d.5s.(3D).6s,e 4D,3/2,,33238.011,,0.001,1.28,L7610
4d.5s.(3D).6s,e 4D,5/2,,33411.566,,0.001,1.35,L7610
4d.5s.(3D).6s,e 4D,7/2,,33752.743,,0.001,1.42,L7610
4d2.(3F).5p,y 4D*,1/2,,33215.444,,0.004,-0.04,L7610
4d2.(3F).5p,y 4D*,3/2,,33265.298,,0.001,1.20,L7610
4d2.(3F).5p,y 4D*,5/2,,33357.608,,0.001,1.38,L7610
4d2.(3F).5p,y 4D*,7/2,,33614.445,,0.002,1.40,L7610
4d2.(3F).5p,z 2G*,7/2,,33432.092,,0.001,0.91,L7610
4d2.(3F).5p,z 2G*,9/2,,33788.956,,0.002,1.15,L7610
4d2.(3F).5p,x 2F*,5/2,,33608.312,,0.001,0.985,L7610
4d2.(3F).5p,x 2F*,7/2,,34029.802,,0.002,1.17,L7610
4d3,2P,1/2,,33613.250,,0.002,0.93,L7610
4d3,2P,3/2,,33842.417,,0.001,1.36,L7610
4d2.(3F).5p,x 2D*,3/2,,33906.761,,0.001,0.826,L7610
4d2.(3F).5p,x 2D*,5/2,,34247.727,,0.001,1.186,L7610
5p2.(3P).5s,e 4P,1/2,,33911.692,,0.002,2.58,L7610
5p2.(3P).5s,e 4P,3/2,,34155.912,,0.001,1.47,L7610
5p2.(3P).5s,e 4P,5/2,,34521.221,,0.001,1.46,L7610
5s2.(2D).5d,e 2D,3/2,,34231.544,,0.001,0.94?,L7610
5s2.(2D).5d,e 2D,5/2,,34257.447,,0.001,1.34,L7610
4d2.(3P).5p,z 2S*,1/2,,34438.228,,0.002,1.70,L7610
4d2.(3P).5p,x 4D*,1/2,,35681.338,,0.005,,L7610
4d2.(3P).5p,x 4D*,3/2,,35816.407,,0.003,,L7610
4d2.(3P).5p,x 4D*,5/2,,36060.842,,0.003,1.34,L7610
4d2.(3P).5p,x 4D*,7/2,,36361.145,,0.003,1.38,L7610
4d2.(3P).5p,z 4S*,3/2,,36135.567,,0.002,1.94?,L7610
4d.5s.(3D).6s,f 2D,3/2,,36420.611,,0.002,0.90,L7610
4d.5s.(3D).6s,f 2D,5/2,,36431.165,,0.001,1.21,L7610
4d2.(1D).5p,w 2D*,3/2,,36452.295,,0.002,0.86,L7610
4d2.(1D).5p,w 2D*,5/2,,36750.621,,0.002,,L7610
,,5/2,,36618.50,,,1.32,L3465
4d.5s.(1D).6s,f 2D,3/2,,36860.385,,0.004,,L7610
4d.5s.(1D).6s,f 2D,5/2,,37074.190,,0.002,,L7610
4d2.(3P).5p,y 4P*,1/2,,37039.285,,0.013,2.28,L7610
4d2.(3P).5p,y 4P*,3/2,,37148.377,,0.003,1.58,L7610
4d2.(3P).5p,y 4P*,5/2,,37475.922,,0.004,1.45,L7610
5s2.(1S).6p,2P*,1/2,,37105.723,,0.005,,L7610
5s2.(1S).6p,2P*,3/2,,37283.886,,0.002,,L7610
4d2.(1D).5p,w 2P*,3/2,,37243.782,,0.003,1.32,L7610
4d2.(1D).5p,w 2F*,5/2,,37279.183,,0.008,,L7610
4d2.(1D).5p,w 2F*,7/2,,37619.829,,0.002,1.14,L7610
,,5/2,,37412.90,,,0.86,L3465
4d3 <2>,2D,5/2,,37524.441,,0.008,,L7610
