Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""4s2.4p4.(3P<2>).9d""","=""2[1]""","=""3/2""","=""""","=""93335.31""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).10p""","=""2[3]*""","=""7/2""","=""""","=""93291.38""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10p 4D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).10p""","=""2[1]*""","=""3/2""","=""""","=""93339.31""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).10p 4D*  ""","=""L351"""
"=""4s2.4p4.(3P<2>).9d""","=""2[3]""","=""7/2""","=""""","=""93403.86""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).9d""","=""2[3]""","=""5/2""","=""""","=""93405.91""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9d  4D   ""","=""L351"""
"=""4s2.4p4.(3P<2>).9d""","=""2[4]""","=""9/2""","=""""","=""93411.48""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).9d""","=""2[4]""","=""7/2""","=""""","=""93431.26""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9d  4F   ""","=""L351"""
"=""4s2.4p4.(3P<2>).9d""","=""2[0]""","=""1/2""","=""""","=""93451.49""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).9d  4P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).6d""","=""2[2]""","=""3/2""","=""""","=""93452.77""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  4P   ""","=""L351"""
"=""4s2.4p4.(3P<1>).6d""","=""2[2]""","=""5/2""","=""""","=""93473.77""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).6d  4P   ""","=""L351"""
"=""4s2.4p4.(3P<0>).7p""","=""2[1]*""","=""1/2""","=""""","=""93491.41""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).7p  2P*  ""","=""L351"""
"=""4s2.4p4.(3P<0>).7p""","=""2[1]*""","=""3/2""","=""""","=""93500.15""","=""""","=""""","=""1.32(4)""","=""         or  :        4s2.4p4.(3P).7p  2P*  ""","=""L351,L7301"""
"=""4s2.4p4.(3P<2>).11s""","=""2[2]""","=""5/2""","=""""","=""93544.55""","=""""","=""""","=""""","=""         or  :        4s2.4p4.(3P).11s 4P   ""","=""L351"""
