Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
2s2.2p5.(2P*<3/2>).4f,2[3/2],1,,167052.6415,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4f,2[3/2],2,,167052.6654,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4f,2[9/2],4,,167060.3044,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4f,2[9/2],5,,167060.3115,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4f,2[5/2],3,,167069.0649,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4f,2[5/2],2,,167069.0791,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4f,2[7/2],3,,167076.9837,,0.0010,L8826
2s2.2p5.(2P*<3/2>).4f,2[7/2],4,,167076.9896,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[1/2],1,,167449.4698,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[1/2],0,,167867.1941,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[5/2],3,,167559.0633,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[5/2],2,,167591.2335,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[3/2],1,,167639.5697,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5p,2[3/2],2,,167648.6382,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[5/2]*,2,,167794.9709,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[5/2]*,3,,167795.8966,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[3/2]*,2,,167796.9475,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4d,2[3/2]*,1,,167807.7649,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[7/2],3,,167846.4371,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[7/2],4,,167846.4456,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[5/2],3,,167846.6738,,0.0010,L8826
2s2.2p5.(2P*<1/2>).4f,2[5/2],2,,167846.6854,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[3/2],1,,168355.4583,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[3/2],2,,168378.7113,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[1/2],1,,168358.6202,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5p,2[1/2],0,,168586.8304,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6s,2[3/2]*,2,,168924.6500,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6s,2[3/2]*,1,,168967.3526,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[1/2]*,0,,169482.9862,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[1/2]*,1,,169488.4193,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[7/2]*,4,,169501.6353,,0.0011,L8826
2s2.2p5.(2P*<3/2>).5d,2[7/2]*,3,,169502.2893,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[3/2]*,2,,169508.5627,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[3/2]*,1,,169516.9948,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[5/2]*,2,,169526.2708,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5d,2[5/2]*,3,,169526.8869,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[3/2],1,,169530.4673,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[3/2],2,,169530.4862,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[9/2],4,,169534.3826,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[9/2],5,,169534.3865,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[5/2]*,2,,169536.8397,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[5/2]*,3,,169536.8424,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[11/2]*,5,,169538.2097,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[11/2]*,6,,169538.2168,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[5/2],3,,169538.9668,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[5/2],2,,169538.9794,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[7/2]*,3,,169540.8092,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[7/2]*,4,,169540.8134,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[9/2]*,4,,169542.1973,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5g,2[9/2]*,5,,169542.2039,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[7/2],3,,169542.9742,,0.0010,L8826
2s2.2p5.(2P*<3/2>).5f,2[7/2],4,,169542.9772,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6s,2[1/2]*,0,,169705.9275,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6s,2[1/2]*,1,,169727.6312,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6p,2[1/2],1,,169748.1423,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6p,2[1/2],0,,169976.7100,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6p,2[5/2],3,,169797.1890,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6p,2[5/2],2,,169814.642,,0.002,L8826
2s2.2p5.(2P*<3/2>).6p,2[3/2],1,,169839.4581,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6p,2[3/2],2,,169843.7973,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5d,2[3/2]*,2,,170288.9415,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5d,2[3/2]*,1,,170296.0099,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5d,2[5/2]*,2,,170289.3243,,0.0012,L8826
2s2.2p5.(2P*<1/2>).5d,2[5/2]*,3,,170289.6782,,0.0012,L8826
2s2.2p5.(2P*<1/2>).5f,2[7/2],3,,170317.6829,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5f,2[7/2],4,,170317.6884,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5f,2[5/2],3,,170317.7465,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5f,2[5/2],2,,170317.7594,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5g,2[9/2]*,5,,170320.1034,,0.0010,L8826
2s2.2p5.(2P*<1/2>).5g,2[9/2]*,4,,170320.1041,,0.0011,L8826
2s2.2p5.(2P*<1/2>).5g,2[7/2]*,4,,170320.1185,,0.0011,L8826
2s2.2p5.(2P*<1/2>).5g,2[7/2]*,3,,170320.1301,,0.0011,L8826
2s2.2p5.(2P*<3/2>).7s,2[3/2]*,2,,170532.7169,,0.0010,L8826
2s2.2p5.(2P*<3/2>).7s,2[3/2]*,1,,170557.0484,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6p,2[1/2],1,,170578.3503,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6p,2[1/2],0,,170689.3736,,0.0015,L8826
2s2.2p5.(2P*<1/2>).6p,2[3/2],1,,170585.10,,0.03,L8826
2s2.2p5.(2P*<1/2>).6p,2[3/2],2,,170597.2023,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6d,2[1/2]*,0,,170848.274,,0.005,L8826
2s2.2p5.(2P*<3/2>).6d,2[1/2]*,1,,170851.3105,,0.0012,L8826
2s2.2p5.(2P*<3/2>).6d,2[7/2]*,4,,170858.4673,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6d,2[7/2]*,3,,170858.8729,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6d,2[3/2]*,2,,170862.9893,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6d,2[3/2]*,1,,170867.923,,0.002,L8826
2s2.2p5.(2P*<3/2>).6d,2[5/2]*,2,,170872.8524,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6d,2[5/2]*,3,,170873.2327,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[3/2],1,,170875.7397,,0.0014,L8826
2s2.2p5.(2P*<3/2>).6f,2[3/2],2,,170875.7516,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[9/2],4,,170878.0021,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[9/2],5,,170878.0047,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6g,2[5/2]*,2,,170879.4716,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6g,2[5/2]*,3,,170879.490,,0.005,L8826
2s2.2p5.(2P*<3/2>).6g,2[11/2]*,5,,170880.2759,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6g,2[11/2]*,6,,170880.2830,,0.0013,L8826
2s2.2p5.(2P*<3/2>).6f,2[5/2],3,,170880.7022,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[5/2],2,,170880.7114,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6g,2[7/2]*,4,,170881.7588,,0.0012,L8826
2s2.2p5.(2P*<3/2>).6g,2[7/2]*,3,,170881.7732,,0.0011,L8826
2s2.2p5.(2P*<3/2>).6g,2[9/2]*,4,,170882.5960,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6g,2[9/2]*,5,,170882.6023,,0.0010,L8826
2s2.2p5.(2P*<3/2>).6f,2[7/2],3,,170883.0200,,0.0012,L8826
2s2.2p5.(2P*<3/2>).6f,2[7/2],4,,170883.0230,,0.0013,L8826
2s2.2p5.(2P*<3/2>).7p,2[1/2],1,,171009.21,,0.18,L8826
2s2.2p5.(2P*<3/2>).7p,2[1/2],0,,171148.750,,0.012,L8826
2s2.2p5.(2P*<3/2>).7p,2[5/2],3,,171032.821,,0.014,L8826
2s2.2p5.(2P*<3/2>).7p,2[5/2],2,,171043.69,,0.17,L8826
2s2.2p5.(2P*<3/2>).7p,2[3/2],1,,171058.0,,0.2,L8826
2s2.2p5.(2P*<3/2>).7p,2[3/2],2,,171060.19,,0.13,L8826
2s2.2p5.(2P*<1/2>).7s,2[1/2]*,0,,171312.8413,,0.0010,L8826
2s2.2p5.(2P*<1/2>).7s,2[1/2]*,1,,171324.0107,,0.0010,L8826
2s2.2p5.(2P*<3/2>).8s,2[3/2]*,2,,171473.311,,0.004,L8826
2s2.2p5.(2P*<3/2>).8s,2[3/2]*,1,,171489.486,,0.005,L8826
2s2.2p5.(2P*<1/2>).6d,2[3/2]*,2,,171639.9741,,0.0010,L8826
2s2.2p5.(2P*<1/2>).6d,2[3/2]*,1,,171644.882,,0.003,L8826
2s2.2p5.(2P*<1/2>).6d,2[5/2]*,2,,171642.1580,,0.0013,L8826
2s2.2p5.(2P*<1/2>).6d,2[5/2]*,3,,171642.4494,,0.0015,L8826
2s2.2p5.(2P*<1/2>).6f,2[5/2],3,,171659.7487,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6f,2[5/2],2,,171659.7595,,0.0012,L8826
2s2.2p5.(2P*<1/2>).6f,2[7/2],3,,171659.9337,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6f,2[7/2],4,,171659.9376,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6g,2[7/2]*,4,,171661.4853,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6g,2[7/2]*,3,,171661.4969,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6g,2[9/2]*,4,,171661.5046,,0.0011,L8826
2s2.2p5.(2P*<1/2>).6g,2[9/2]*,5,,171661.5131,,0.0011,L8826
2s2.2p5.(2P*<3/2>).7d,2[1/2]*,0,,171669.172,,0.011,L8826
2s2.2p5.(2P*<3/2>).7d,2[1/2]*,1,,171671.928,,0.011,L8826
2s2.2p5.(2P*<3/2>).7d,2[7/2]*,4,,171675.459,,0.004,L8826
2s2.2p5.(2P*<3/2>).7d,2[7/2]*,3,,171675.728,,0.003,L8826
2s2.2p5.(2P*<3/2>).7d,2[3/2]*,2,,171681.348,,0.006,L8826
2s2.2p5.(2P*<3/2>).7d,2[3/2]*,1,,171682.914,,0.009,L8826
2s2.2p5.(2P*<3/2>).7d,2[5/2]*,2,,171685.289,,0.003,L8826
2s2.2p5.(2P*<3/2>).7d,2[5/2]*,3,,171685.542,,0.004,L8826
2s2.2p5.(2P*<3/2>).7f,2[3/2],2,,171686.567,,0.004,L8826
2s2.2p5.(2P*<3/2>).7f,2[3/2],1,,171686.576,,0.004,L8826
2s2.2p5.(2P*<3/2>).7f,2[9/2],5,,171687.982,,0.003,L8826
2s2.2p5.(2P*<3/2>).7f,2[9/2],4,,171687.986,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[5/2]*,2,,171688.942,,0.011,L8826
2s2.2p5.(2P*<3/2>).7g,2[5/2]*,3,,171688.945,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[11/2]*,5,,171689.431,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[11/2]*,6,,171689.438,,0.003,L8826
2s2.2p5.(2P*<3/2>).7f,2[5/2],3,,171690.028,,0.005,L8826
2s2.2p5.(2P*<3/2>).7f,2[5/2],2,,171690.035,,0.007,L8826
2s2.2p5.(2P*<3/2>).7g,2[7/2]*,4,,171690.464,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[7/2]*,3,,171690.478,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[9/2]*,4,,171690.963,,0.003,L8826
2s2.2p5.(2P*<3/2>).7g,2[9/2]*,5,,171690.969,,0.003,L8826
2s2.2p5.(2P*<3/2>).7f,2[7/2],3,,171691.314,,0.006,L8826
2s2.2p5.(2P*<3/2>).7f,2[7/2],4,,171691.331,,0.004,L8826
2s2.2p5.(2P*<3/2>).8p,2[1/2],1,,171752.24,,0.20,L8826
2s2.2p5.(2P*<3/2>).8p,2[1/2],0,,171831.0,,0.3,L8826
2s2.2p5.(2P*<3/2>).8p,2[5/2],3,,171787.0,,0.3,L8826
2s2.2p5.(2P*<3/2>).8p,2[5/2],2,,171791.6,,0.3,L8826
2s2.2p5.(2P*<3/2>).8p,2[3/2],1,,171798.014,,0.014,L8826
2s2.2p5.(2P*<3/2>).8p,2[3/2],2,,171803.2,,0.2,L8826
2s2.2p5.(2P*<1/2>).7p,2[3/2],1,,171822.233,,0.014,L8826
2s2.2p5.(2P*<1/2>).7p,2[3/2],2,,171827.517,,0.014,L8826
2s2.2p5.(2P*<1/2>).7p,2[1/2],1,,171830.5,,0.3,L8826
2s2.2p5.(2P*<1/2>).7p,2[1/2],0,,171913.45,,0.02,L8826
2s2.2p5.(2P*<3/2>).9s,2[3/2]*,2,,172071.389,,0.007,L8826
2s2.2p5.(2P*<3/2>).9s,2[3/2]*,1,,172080.915,,0.005,L8826
2s2.2p5.(2P*<3/2>).8d,2[1/2]*,0,,172200.33,,0.06,L8826
2s2.2p5.(2P*<3/2>).8d,2[1/2]*,1,,172201.878,,0.011,L8826
2s2.2p5.(2P*<3/2>).8d,2[7/2]*,4,,172205.113,,0.002,L8826
2s2.2p5.(2P*<3/2>).8d,2[7/2]*,3,,172205.272,,0.002,L8826
2s2.2p5.(2P*<3/2>).8d,2[3/2]*,2,,172206.770,,0.011,L8826
2s2.2p5.(2P*<3/2>).8d,2[3/2]*,1,,172209.15,,0.05,L8826
2s2.2p5.(2P*<3/2>).8d,2[5/2]*,2,,172211.107,,0.010,L8826
2s2.2p5.(2P*<3/2>).8d,2[5/2]*,3,,172211.266,,0.006,L8826
2s2.2p5.(2P*<3/2>).8f,2[3/2],2,,172212.66,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[3/2],1,,172212.76,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[9/2],5,,172213.57,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[9/2],4,,172213.58,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[7/2],4,,172215.58,,0.11,L8826
2s2.2p5.(2P*<3/2>).8f,2[7/2],3,,172215.80,,0.11,L8826
2s2.2p5.(2P*<1/2>).8s,2[1/2]*,0,,172254.295,,0.009,L8826
2s2.2p5.(2P*<1/2>).8s,2[1/2]*,1,,172261.741,,0.004,L8826
2s2.2p5.(2P*<3/2>).9p,2[5/2],3,,172282.2,,0.3,L8826
2s2.2p5.(2P*<3/2>).9p,2[5/2],2,,172287.066,,0.015,L8826
2s2.2p5.(2P*<3/2>).9p,2[3/2],1,,172291.2,,0.2,L8826
2s2.2p5.(2P*<3/2>).9p,2[3/2],2,,172292.0,,0.3,L8826
2s2.2p5.(2P*<3/2>).9p,2[1/2],0,,172327.358,,0.010,L8826
2s2.2p5.(2P*<1/2>).7d,2[3/2]*,2,,172457.823,,0.008,L8826
2s2.2p5.(2P*<1/2>).7d,2[3/2]*,1,,172460.966,,0.011,L8826
2s2.2p5.(2P*<1/2>).7d,2[5/2]*,2,,172458.427,,0.007,L8826
2s2.2p5.(2P*<1/2>).7d,2[5/2]*,3,,172458.613,,0.003,L8826
2s2.2p5.(2P*<1/2>).7f,2[7/2],3,,172469.448,,0.004,L8826
2s2.2p5.(2P*<1/2>).7f,2[7/2],4,,172469.450,,0.004,L8826
2s2.2p5.(2P*<1/2>).7f,2[5/2],3,,172469.452,,0.003,L8826
2s2.2p5.(2P*<1/2>).7f,2[5/2],2,,172469.455,,0.006,L8826
2s2.2p5.(2P*<1/2>).7g,2[9/2]*,4,,172470.364,,0.003,L8826
2s2.2p5.(2P*<1/2>).7g,2[9/2]*,5,,172470.373,,0.003,L8826
2s2.2p5.(2P*<1/2>).7g,2[7/2]*,4,,172470.404,,0.003,L8826
2s2.2p5.(2P*<1/2>).7g,2[7/2]*,3,,172470.416,,0.003,L8826
2s2.2p5.(2P*<3/2>).10s,2[3/2]*,2,,172475.321,,0.005,L8826
2s2.2p5.(2P*<3/2>).10s,2[3/2]*,1,,172481.8376,,0.0019,L8826
2s2.2p5.(2P*<1/2>).8p,2[1/2],1,,172562.8,,0.3,L8826
2s2.2p5.(2P*<1/2>).8p,2[1/2],0,,172599.8,,0.3,L8826
2s2.2p5.(2P*<3/2>).9d,2[1/2]*,0,,172564.88,,0.12,L8826
2s2.2p5.(2P*<3/2>).9d,2[1/2]*,1,,172565.93,,0.05,L8826
2s2.2p5.(2P*<3/2>).9d,2[7/2]*,4,,172567.857,,0.005,L8826
2s2.2p5.(2P*<3/2>).9d,2[7/2]*,3,,172568.083,,0.005,L8826
2s2.2p5.(2P*<3/2>).9d,2[3/2]*,2,,172569.40,,0.04,L8826
2s2.2p5.(2P*<3/2>).9d,2[3/2]*,1,,172570.83,,0.05,L8826
2s2.2p5.(2P*<3/2>).9d,2[5/2]*,2,,172572.12,,0.06,L8826
2s2.2p5.(2P*<3/2>).9d,2[5/2]*,3,,172572.22,,0.06,L8826
2s2.2p5.(2P*<1/2>).8p,2[3/2],2,,172573.1,,0.5,L8826
2s2.2p5.(2P*<3/2>).9f,2[9/2],5,,172573.80,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[9/2],4,,172573.86,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[5/2],3,,172574.82,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[5/2],2,,172574.82,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[7/2],3,,172575.36,,0.12,L8826
2s2.2p5.(2P*<3/2>).9f,2[7/2],4,,172575.36,,0.12,L8826
2s2.2p5.(2P*<3/2>).10p,2[1/2],1,,172619.2,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[1/2],0,,172665.1,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[5/2],3,,172623.2,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[3/2],1,,172630.1,,0.3,L8826
2s2.2p5.(2P*<3/2>).10p,2[3/2],2,,172630.4,,0.3,L8826
2s2.2p5.(2P*<3/2>).11s,2[3/2]*,2,,172759.82,,0.06,L8826
2s2.2p5.(2P*<3/2>).11s,2[3/2]*,1,,172764.60,,0.05,L8826
2s2.2p5.(2P*<3/2>).10d,2[1/2]*,0,,172824.57,,0.12,L8826
2s2.2p5.(2P*<3/2>).10d,2[1/2]*,1,,172825.54,,0.13,L8826
2s2.2p5.(2P*<3/2>).10d,2[7/2]*,4,,172827.13,,0.11,L8826
2s2.2p5.(2P*<3/2>).10d,2[7/2]*,3,,172827.35,,0.10,L8826
2s2.2p5.(2P*<3/2>).10d,2[3/2]*,2,,172827.93,,0.08,L8826
2s2.2p5.(2P*<3/2>).10d,2[3/2]*,1,,172829.30,,0.07,L8826
2s2.2p5.(2P*<3/2>).10d,2[5/2]*,2,,172830.20,,0.08,L8826
2s2.2p5.(2P*<3/2>).10d,2[5/2]*,3,,172830.25,,0.08,L8826
2s2.2p5.(2P*<1/2>).9s,2[1/2]*,0,,172852.13,,0.06,L8826
2s2.2p5.(2P*<1/2>).9s,2[1/2]*,1,,172857.00,,0.05,L8826
2s2.2p5.(2P*<3/2>).11p,2[3/2],1,,172871.9,,0.3,L8826
2s2.2p5.(2P*<3/2>).11p,2[3/2],2,,172871.9,,0.3,L8826
2s2.2p5.(2P*<3/2>).12s,2[3/2]*,2,,172968.51,,0.08,L8826
2s2.2p5.(2P*<3/2>).12s,2[3/2]*,1,,172972.289,,0.004,L8826
2s2.2p5.(2P*<1/2>).8d,2[3/2]*,2,,172987.07,,0.08,L8826
2s2.2p5.(2P*<1/2>).8d,2[3/2]*,1,,172988.99,,0.07,L8826
2s2.2p5.(2P*<1/2>).8d,2[5/2]*,2,,172987.204,,0.005,L8826
2s2.2p5.(2P*<1/2>).8d,2[5/2]*,3,,172987.283,,0.005,L8826
2s2.2p5.(2P*<1/2>).8f,2[7/2],4,,172994.59,,0.11,L8826
2s2.2p5.(2P*<1/2>).8f,2[7/2],3,,172994.71,,0.11,L8826
2s2.2p5.(2P*<1/2>).8f,2[5/2],2,,172994.61,,0.11,L8826
2s2.2p5.(2P*<1/2>).8f,2[5/2],3,,172994.61,,0.11,L8826
2s2.2p5.(2P*<3/2>).11d,2[1/2]*,0,,173017.39,,0.12,L8826
2s2.2p5.(2P*<3/2>).11d,2[1/2]*,1,,173017.98,,0.13,L8826
2s2.2p5.(2P*<3/2>).11d,2[7/2]*,3,,173018.85,,0.11,L8826
2s2.2p5.(2P*<3/2>).11d,2[7/2]*,4,,173018.89,,0.11,L8826
2s2.2p5.(2P*<3/2>).11d,2[3/2]*,2,,173020.06,,0.12,L8826
2s2.2p5.(2P*<3/2>).11d,2[3/2]*,1,,173020.89,,0.18,L8826
