Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5p2.(3P<1>).4f,2[2]*,5/2,,65568.312,,0.005,,  99                              ,L10083
5p2.(1S).6s,2S,1/2?,,65654.41,,0.02,,  82             :     7  5p2.6d  ,L10083
5p2.(3P<0>).9p,"(0,1/2)*",1/2,,65863.3,,0.6,,  93                              ,L6684
5p2.(3P).8s,2P,1/2?,,65945.699,,0.005,,                                  ,"L10083,L6231"
5p2.(3P).8s,2P,1/2,,66009.712,,0.005,,                                  ,L10083
5p2.(3P).8d,2D?,3/2,,66023.102,,0.005,,                                  ,L10083
5p2.(3P<0>).9p,"(0,3/2)*",3/2,,66029.79,,0.05,,  83             :     7  5p2.6p  ,L10083
5p2.(3P<0>).6f,2[3]*,5/2,,66317.676,,0.005,,                                  ,L10083
5p2.(3P<0>).6f,2[3]*,7/2,,66321.252,,0.005,,                                  ,L10083
5p2.(3P<2>).7p,"(2,1/2)*",5/2,,66361.632,,0.005,,  73                              ,L10083
5p2.(3P<2>).7p,"(2,1/2)*",3/2,,66541.554,,0.005,,  46                              ,L10083
5p2.(3P<2>).7p,"(2,3/2)*",7/2,,66405.382,,0.005,,  84                              ,L10083
5p2.(3P<2>).7p,"(2,3/2)*",1/2,,66685.1,,0.1,,  53             :    21  5p2.8p  ,L6684
5p2.(3P<2>).7p,"(2,3/2)*",5/2,,66837.572,,0.005,,  74                              ,L10083
5p2.(3P<2>).7p,"(2,3/2)*",3/2,,66957.805,,0.005,,  27             :    28  5p2.8p  ,L10083
,66535,"3/2,5/2",,66535.19,,0.05,,                                  ,L10083
,66829,3/2,,66829.329,,0.005,,                                  ,L10083
,67053,3/2,,67053.132,,0.005,,                                  ,L10083
5p2.(3P).9d,2D?,5/2,,67055.189,,0.005,,                                  ,L10083
5p2.(3P<0>).7f,2[3]*,5/2,,67164.126,,0.005,,                                  ,L10083
5p2.(3P<0>).7f,2[3]*,7/2,,67165.417,,0.005,,                                  ,L10083
5p2.(3P<1>).8p,"(1,1/2)*",1/2,,67192.0,,0.1,,  93             :     7  5p2.7p  ,L6684
5p2.(3P<1>).8p,"(1,1/2)*",3/2,,67375.229,,0.005,,  53             :     9  5p2.7p  ,L10083
5p2.(3P).6d,2D?,3/2,,67268.493,,0.005,,  57             :     4  5p2.5d  ,L10083
5p2.(3P<1>).8p,"(1,3/2)*",5/2,,67307.0,,0.1,,  97                              ,L6684
5p2.(3P<1>).8p,"(1,3/2)*",1/2,,67401.6,,0.1,,  84             :    12  5p2.7p  ,L6684
5p2.(3P<1>).8p,"(1,3/2)*",3/2,,67465.1,,0.1,,  45             :     9  5p2.7p  ,L6684
5p2.(3P).7d,4F,7/2,,67358.201,,0.005,,                                  ,L10083
5p2.(3P).7d,,1/2,,67427.025,,0.005,,                                  ,L10083
5p2.(3P).7d,4P,3/2,,67506.133,,0.005,,                                  ,L10083
5p2.(3P).10d,2D,3/2?,,67533.170,,0.005,,                                  ,L10083
5p2.(3P).6d,4D?,5/2,,67794.7,,0.3,,                                  ,"L6231,L4893"
5p2.(3P).7d,4P?,5/2,,67841.2,,0.4,,                                  ,L6231
5p2.(3P<1>).5f,2[3]*,5/2,,67994.381,,0.005,,  93             :     7  5p2.4f  ,L10083
5p2.(3P<1>).5f,2[3]*,7/2,,67997.025,,0.005,,  93             :     7  5p2.4f  ,L10083
5p2.(3P).11d,2D,3/2?,,68015.267,,0.005,,                                  ,"L10083,L6231"
5p2.(3P).11d,2D,5/2,,68045.6,,0.3,,                                  ,"L6231,L4893"
5p2.(3P<1>).5f,2[2]*,5/2,,68023.866,,0.005,,  56             :    44  5p2.4f  ,L10083
5p2.(3P<1>).5f,2[2]*,3/2,,68024.691,,0.005,,  56             :    44  5p2.4f  ,L10083
5p2.(3P<2>).4f,2[1]*,3/2,,68070.1,,0.1,,  85                              ,L6684
,68141,3/2,,68141.5,?,0.4,,                                  ,L3466
5p2.(3P<2>).4f,2[3]*,5/2,,68148.219,,0.005,,  77             :     7  5p2.5f  ,L10083
5p2.(3P<2>).4f,2[2]*,5/2,,68157.110,,0.005,,  47             :    44  5p2.5f  ,L10083
5p2.(3P<2>).4f,2[4]*,7/2,,68164.052,,0.005,,  59             :    28  5p2.5f  ,L10083
5p2.(3P).13d,2D,"3/2,5/2",,68501.7,,0.4,,                                  ,"L6231,L3466"
5p2.(3P<1>).9p,"(1,1/2)*",1/2,,68945.7,,0.2,,  93                              ,L6684
5p2.(3P<1>).9p,"(1,1/2)*",3/2,,68966.9,,0.2,,  88                              ,L6684
5p2.(3P).8d,,5/2?,,68991.8,,0.3,,                                  ,"L6231,L3466"
5p2.(3P<1>).9p,"(1,3/2)*",5/2,,69037.3,,0.2,, 100                              ,L6684
5p2.(3P<1>).9p,"(1,3/2)*",1/2,,69042.3,,0.2,,  91                              ,L6684
5p2.(3P<1>).9p,"(1,3/2)*",3/2,,69053.8,,0.2,,  89                              ,L6684
Sb II (5s2.5p2 3P<0>),Limit,---,,69431.34,,0.10,,                                  ,"L8844,L6684"
5p2.(3P).9d,,1/2?,,69893.0,,0.4,,                                  ,"L6231,L3466"
5p2.(3P).11d,4P,5/2,,71086.7,,0.4,,                                  ,L6231
