Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
1s2.2s.7d,1D,2,,73017.55,,0.07,L9172
1s2.2s.8s,3S,1,,73088.4,,1.5,L9172
1s2.2s.8s,1S,0,,73146.67,,0.19,L9172
1s2.2s.8p,3P*,2,,73309.15,,0.06,L9172
1s2.2s.8p,3P*,1,,73309.16,,0.07,L9172
1s2.2s.8p,3P*,0,,73309.17,,0.09,L9172
1s2.2s.8p,1P*,1,[,73309.7,],0.5,L9172
1s2.2s.8d,3D,3,,73429.34,,0.13,L9172
1s2.2s.8d,3D,2,,73429.42,,0.14,L9172
1s2.2s.8d,3D,1,,73429.43,,0.17,L9172
1s2.2s.8d,1D,2,,73519.92,,0.09,L9172
1s2.2s.9s,1S,0,,73608.6,,0.3,L9172
1s2.2s.9p,1P*,1,[,73719.4,],0.5,L9172
1s2.2s.9d,3D,1,,73801,,3,L9172
1s2.2s.9d,3D,2,,73801.8,,2.4,L9172
1s2.2s.9d,3D,3,,73803.6,,2.0,L9172
1s2.2s.9d,1D,2,,73866.95,,0.10,L9172
1s2.2s.10s,1S,0,,73930.5,,0.3,L9172
1s2.2s.10p,1P*,1,[,74009.2,],0.5,L9172
1s2.2s.10d,3D,1,,74069.3,,2.1,L9172
1s2.2s.10d,3D,2,,74070,,2,L9172
1s2.2s.10d,3D,3,,74071,,3,L9172
1s2.2s.10d,1D,2,,74115.98,,0.20,L9172
1s2.2s.11s,1S,0,,74163.5,,0.3,L9172
1s2.2s.11p,1P*,1,[,74221.1,],0.5,L9172
1s2.2s.11d,3D,1,,74267.4,,2.1,L9172
1s2.2s.11d,3D,2,,74268,,2,L9172
1s2.2s.11d,3D,3,,74269,,3,L9172
1s2.2s.11d,1D,2,,74301.5,,0.3,L9172
1s2.2s.12p,1P*,1,[,74380.7,],0.5,L9172
1s2.2s.12d,3D,1,,74414.6,,2.1,L9172
1s2.2s.12d,3D,2,,74415,,2,L9172
1s2.2s.12d,3D,3,,74416,,3,L9172
1s2.2s.12d,1D,2,,74443.4,,0.3,L9172
1s2.2s.13p,1P*,1,[,74504.1,],0.5,L9172
Be II (2s 2S<1/2>),Limit,---,,75192.64,,0.06,L5964
1s2.2p2,1S,0,,76190,a,6,L9172
1s2.2p.3s,3P*,0,,85553.94,,0.11,L9172
1s2.2p.3s,3P*,1,,85556.03,,0.07,L9172
1s2.2p.3s,3P*,2,,85560.01,,0.07,L9172
1s2.2p.3s,1P*,1,,88200,a,800,L9172
1s2.2p.3p,1P,1,,89121.19,,0.05,L9172
1s2.2p.3p,3P,0,,92014.81,,0.12,L9172
1s2.2p.3p,3P,1,,92015.98,,0.10,L9172
1s2.2p.3p,3P,2,,92018.09,,0.12,L9172
1s2.2p.3d,1D*,2,,93394.09,,0.07,L9172
1s2.2p.3d,3D*,1,,94188.53,,0.09,L9172
1s2.2p.3d,3D*,2,,94189.24,,0.09,L9172
1s2.2p.3d,3D*,3,,94190.36,,0.10,L9172
1s2.2p.3d,1P*,1,,95644,a,5,L9172
1s2.2p.4s,1P*,1,,97600,a,500,L9172
1s2.2p.4p,1P,1,,98192.07,,0.09,L9172
1s2.2p.4p,3P,0,,99163.59,,0.23,L9172
1s2.2p.4p,3P,1,,99164.71,,0.22,L9172
1s2.2p.4p,3P,2,,99166.77,,0.22,L9172
1s2.2p.4d,1D*,2,,99668.5,,0.9,L9172
1s2.2p.4d,3D*,1,,99983.33,,0.22,L9172
1s2.2p.4d,3D*,2,,99983.97,,0.20,L9172
1s2.2p.4d,3D*,3,,99985.29,,0.22,L9172
1s2.2p.4f,1F,3,,100092.54,?,0.21,L9172
1s2.2p.4f,3F,3,,100230.55,?,0.23,L9172
1s2.2p.4f,3F,4,,100231.84,?,0.3,L9172
1s2.2p.4d,1P*,1,[,100568,a],5,L9172
1s2.2p.5s,1P*,1,,101400,a,100,L9172
1s2.2p.5p,1P,1,,101749.32,,0.20,L9172
1s2.2p.5p,3P,0,,102195.75,,0.3,L9172
1s2.2p.5p,3P,1,,102197.66,,0.23,L9172
1s2.2p.5p,3P,2,,102199.38,,0.24,L9172
1s2.2p.5d,1D*,2,,102442.0,,0.4,L9172
1s2.2p.5d,3D*,,,102596.2,,1.2,L9172
1s2.2p.5f,1F,3,,102641.11,?,0.21,L9172
1s2.2p.5d,1P*,1,,102891,a,5,L9172
1s2.2p.6s,1P*,1,,103330,a,110,L9172
1s2.2p.6p,1P,1,,103529.17,,0.21,L9172
1s2.2p.6d,1P*,1,,104181,a,5,L9172
1s2.2p.7s,1P*,1,,104410,a,110,L9172
1s2.2p.7d,1P*,1,,104959,a,5,L9172
1s2.2p.8s,1P*,1,,105090,a,110,L9172
1s2.2p.8d,1P*,1,,105468,,5,L9172
1s2.2p.9s,1P*,1,,105520,a,110,L9172
1s2.2p.9d,1P*,1,,105809,,5,L9172
1s2.2p.10s,1P*,1,,105830,a,110,L9172
1s2.2p.10d,1P*,1,,106057,,5,L9172
1s2.2p.11s,1P*,1,,106080,,110,L9172
1s2.2p.12s,1P*,1,,106220,,110,L9172
1s2.2p.11d,1P*,1,,106246,,5,L9172
1s2.2p.13s,1P*,1,,106370,,110,L9172
1s2.2p.12d,1P*,1,,106384,,5,L9172
1s2.2p.13d,1P*,1,,106491,,5,L9172
1s2.2p.14d,1P*,1,,106578,,5,L9172
1s2.2p.15d,1P*,1,,106649,,5,L9172
1s2.2p.16d,1P*,1,,106708,,5,L9172
Be II (2p 2P*<1/2>),Limit,---,,107121.38,,0.06,L9172
Be II (2p 2P*<3/2>),Limit,---,,107127.96,,0.06,L9172
1s2.3s.3p,1P*,1,,142630,a,100,L9172
1s2.3s.4p,1P*,1,,151910,a,120,L9172
1s2.3s.7p?,1P*?,1,,159670,a,130,L9172
1s2.3s.8p?,1P*?,1,,160620,a,130,L9172
1s2.3s.9p?,1P*?,1,,161260,a,130,L9172
1s2.3s.10p?,1P*?,1,,161680,a,130,L9172
Be II (3s 2S<1/2>),Limit,---,,163424.6,,0.3,L9172
1s.2s2.2p,3P*,1,,921900,a,800,L9172
1s.2s2.2p,3P*,2,,921900,a,800,L9172
1s.2s2.2p,3P*,0,,921900,a,800,L9172
1s.2s2.2p,1P*,1,,931300,a,400,L9172
1s.(2S).2s.2p2.(4P),5P,2,,931800,+x,300,L9172
1s.(2S).2s.2p2.(4P),5P,3,,931800,+x,300,L9172
1s.(2S).2s.2p2.(4P),5P,1,,931800,+x,300,L9172
1s.(2S).2s.2p2.(4P),3P,0,,953000,a,800,L9172
1s.(2S).2s.2p2.(4P),3P,1,,953000,a,800,L9172
1s.(2S).2s.2p2.(4P),3P,2,,953000,a,800,L9172
1s.(2S).2s.2p2.(2D),3D,1,,954300,a,600,L9172
1s.(2S).2s.2p2.(2D),3D,2,,954300,a,800,L9172
1s.(2S).2s.2p2.(2D),3D,3,,954300,a,1100,L9172
1s.(2S).2s.2p2.(2S),3S,1,,967160,a,180,L9172
1s.(2S).2s.2p2.(2P),3P,2,,977400,a,300,L9172
1s.(2S).2s.2p2.(2P),3P,0,,977400,a,400,L9172
1s.(2S).2s.2p2.(2P),3P,1,,977400,a,300,L9172
1s.2s2.3p,1P*,1,,979140,a,190,L9172
1s.(2S).2p3.(4S*),5S*,2,,984170,+x,300,L9172
1s.(2S).2s.2p2.(2P),1P,1,,985900,a,1600,L9172
1s.2s2.4p?,1P*?,1,,988140,a,200,L9172
1s.2s2.5p?,1P*?,1,,991500,a,500,L9172
1s.(2S).2s.2p.(3P*).3p,5P,3,,991620,+y,300,L9172
1s.(2S).2s.2p.(3P*).3p,5P,1,,991620,+y,300,L9172
1s.(2S).2s.2p.(3P*).3p,5P,2,,991620,+y,300,L9172
Be II (1s.2s2 2S<1/2>),Limit,---,,997200,,800,L9172
1s.(2S).2s.2p.(3P*).4p,5P,3,,1000700,+z,300,L9172
1s.(2S).2s.2p.(3P*).4p,5P,1,,1000700,+z,300,L9172
1s.(2S).2s.2p.(3P*).4p,5P,2,,1000700,+z,300,L9172
1s.(2S).2s.2p.(3P*).3s,1P*,1,,1009400,a,1000,L9172
1s.(2S).2s.2p.(3P*).3d?,1P*?,1,,1013600,?,500,L9172
1s.(2S).2s.2p.(3P*).4d?,1P*?,1,,1020700,?,500,L9172
1s.(2S).2s.2p.(3P*).4s?,1P*?,1,,1021900,?a,500,L9172
1s.(2S).2s.2p.(1P*).3s,1P*,1,,1026300,a,500,L9172
1s.(2S).2s.2p.(1P*).3d?,1P*?,1,,1028400,?a,500,L9172
Be II (1s.(2S).2s.2p.(3P*) 2P*),Limit,---,,1032960,,100,L9172
1s.(2S).2p2.(3P).3p,5S*,2,,1035601,+y,300,L9172
1s.(2S).2s.2p.(1P*).4s,1P*,1,,1038500,a,500,L9172
1s.(2S).2p2.(3P).4p,5S*,2,,1044052,+z,300,L9172
Be II (1s.(2S).2s.2p.(1P*) 2P*),Limit,---,,1051000,,300,L9172
1s.2s.(3S).3s.3p.(3P*)?,1P*?,1,,1084600,?,400,L9172
1s.2s.(3S).3s.4p.(3P*)?,1P*?,1,,1102900,?,600,L9172
1s.2s.(1S).3s.3p.(1P*)?,1P*?,1,,1108200,?,400,L9172
1s.2s.(1S).3s.4p.(1P*)?,1P*?,1,,1121600,?,600,L9172
