Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
5s.5f,3F*,4,,41366.67,,0.23,L15350
5s.5f,1F*,3,,41519.04,,0.19,L15350
5s.8p,3P*,0,,41712.05,,0.05,L4542
5s.8p,3P*,1,,41719.71,,0.05,L4542
5s.8p,3P*,2,,41735.98,,0.05,L4542
5s.7d,1D,2,,41831.448,,0.021,L15350
5s.7d,3D,1,,41864.354,,0.008,L15350
5s.7d,3D,2,,41869.270,,0.010,L15350
5s.7d,3D,3,,41874.859,,0.010,L15350
5s.9s,3S,1,,42451.16,,0.35,L15350
5s.8p,1P*,1,,42462.136,,0.014,L15350
5s.9s,1S,0,,42596.572,,0.022,L15350
5s.6f,3F*,2,,42777.023,,0.022,L15350
5s.6f,3F*,3,,42777.547,,0.018,L15350
5s.6f,3F*,4,,42778.121,,0.009,L15350
5s.6f,1F*,3,,42839.589,,0.026,L15350
5s.9p,3P*,0,,42985.86,,0.07,L4542
5s.9p,3P*,1,,42990.26,,0.07,L4542
5s.9p,3P*,2,,42999.79,,0.07,L4542
5s.8d,1D,2,,43021.058,,0.023,L15350
5s.8d,3D,2,,43070.268,,0.009,L15350
5s.8d,3D,3,,43074.728,,0.010,L15350
5s.9p,1P*,1,,43328.04,,0.07,L15350
5s.10s,3S,1,,43427.44,,0.19,L15350
5s.10s,1S,0,,43512.1658,,0.0010,L5644
5s.7f,3F*,2,,43623.896,,0.026,L15350
5s.7f,3F*,3,,43624.205,,0.028,L15350
5s.7f,3F*,4,,43624.479,,0.009,L15350
5s.7f,1F*,3,,43656.219,,0.028,L15350
5s.9d,1D,2,,43755.755,,0.025,L15350
5s.10p,3P*,0,,43758.65,,0.07,L4542
5s.10p,3P*,1,,43761.47,,0.07,L4542
5s.10p,3P*,2,,43767.58,,0.07,L4542
5s.9d,3D,2,,43804.890,,0.025,L15350
5s.10p,1P*,1,,43938.201,,0.025,L15350
5s.11s,3S,1,,44043.35,,0.20,L15350
5s.11s,1S,0,,44097.1224,,0.0010,L5644
5s.8f,3F*,2,,44170.80,,0.03,L15350
5s.8f,3F*,3,,44170.99,,0.03,L15350
5s.8f,3F*,4,,44171.32,,0.03,L15350
5s.8f,1F*,3,,44189.889,,0.029,L15350
5s.10d,1D,2,,44239.4549,,0.0010,L5644
5s.11p,3P*,0,,44262.70,,0.07,L4542
5s.11p,3P*,1,,44264.52,,0.07,L4542
5s.11p,3P*,2,,44268.72,,0.07,L4542
5s.10d,3D,2,,44286.91,,0.20,L9511
5s.11p,1P*,1,,44366.42,,0.03,L15350
5s.12s,3S,1,,44456.25,,0.21,L15350
5s.12s,1S,0,,44492.8348,,0.0010,L5644
4d2,3P,0,,44525.838,,0.010,L15350
4d2,3P,1,,44595.920,,0.009,L15350
4d2,3P,2,,44729.627,,0.010,L15350
5s.9f,3F*,2,,44544.27,,0.03,L15350
5s.9f,3F*,3,,44544.44,,0.03,L15350
5s.9f,3F*,4,,44544.63,,0.03,L15350
5s.9f,1F*,3,,44556.48,,0.03,L15350
5s.11d,1D,2,,44578.6890,,0.0010,L5644
5s.12p,3P*,0,,44609.51,,0.04,L4542
5s.12p,3P*,1,,44610.85,,0.04,L4542
5s.12p,3P*,2,,44613.78,,0.04,L4542
5s.11d,3D,2,,44619.84,,0.20,L9511
5s.12p,1P*,1,,44675.737,,0.029,L15350
5s.13s,3S,1,,44747.65,,0.15,L5578
5s.13s,1S,0,,44773.6707,,0.0010,L5644
5s.10f,3F*,2,,44810.53,,0.04,L15350
5s.10f,3F*,3,,44810.56,,0.04,L15350
5s.10f,3F*,4,,44810.72,,0.04,L15350
5s.10f,1F*,3,,44818.77,,0.03,L15350
5s.12d,1D,2,,44829.6648,,0.0010,L5644
5s.12d,3D,1,,44854.02,,0.15,L5578
5s.12d,3D,2,,44860.06,,0.15,L5578
5s.12d,3D,3,,44865.22,,0.15,L5578
5s.13p,3P*,0,,44858.33,,0.03,L4542
5s.13p,3P*,1,,44859.32,,0.03,L4542
5s.13p,3P*,2,,44861.46,,0.03,L4542
5s.13p,1P*,1,,44903.50,,0.03,L15350
5s.14s,3S,1,,44960.22,,0.15,L5578
5s.14s,1S,0,,44979.4540,,0.0010,L5644
5s.11f,3F*,2,,45006.93,,0.04,L15350
5s.11f,3F*,3,,45006.98,,0.04,L15350
5s.11f,3F*,4,,45007.11,,0.04,L15350
5s.13d,1D,2,,45012.0249,,0.0010,L5644
5s.11f,1F*,3,,45012.82,,0.03,L15350
5s.13d,3D,1,,45028.55,,0.15,L5578
5s.13d,3D,2,,45036.95,,0.15,L5578
5s.13d,3D,3,,45043.79,,0.15,L5578
5s.14p,3P*,0,,45043.18,,0.02,L4542
5s.14p,3P*,1,,45043.89,,0.02,L4542
5s.14p,3P*,2,,45045.54,,0.02,L4542
5s.14p,1P*,1,,45075.29,,0.03,L15350
5s.15s,3S,1,,45120.41,,0.15,L5578
5s.15s,1S,0,,45134.9242,,0.0010,L5644
5s.14d,1D,2,,45153.2785,,0.0010,L5644
5s.12f,3F*,2,,45155.92,,0.04,L15350
5s.12f,3F*,3,,45156.01,,0.04,L15350
5s.12f,3F*,4,,45156.08,,0.04,L15350
5s.14d,3D,1,,45159.60,,0.15,L5578
5s.14d,3D,2,,45171.49,,0.15,L5578
5s.14d,3D,3,,45180.44,,0.15,L5578
5s.12f,1F*,3,,45160.29,,0.03,L15350
5s.15p,3P*,0,,45183.93,,0.02,L4542
5s.15p,3P*,1,,45184.54,,0.02,L4542
5s.15p,3P*,2,,45185.79,,0.02,L4542
5s.15p,1P*,1,,45207.83,,0.04,L15350
5s.16s,3S,1,,45243.88,,0.15,L5578
5s.16s,1S,0,,45255.2295,,0.0010,L5644
5s.15d,3D,1,,45260.84,,0.15,L5578
5s.15d,3D,2,,45276.65,,0.15,L5578
5s.15d,3D,3,,45286.53,,0.15,L5578
5s.15d,1D,2,,45263.6196,,0.0010,L5644
5s.13f,3F*,3,,45271.69,,0.04,L15350
5s.13f,3F*,2,,45271.72,,0.04,L15350
5s.13f,3F*,4,,45271.78,,0.04,L15350
5s.13f,1F*,3,,45274.97,,0.03,L15350
5s.16p,3P*,1,,45294.22,,0.02,L4542
5s.16p,3P*,2,,45295.21,,0.02,L4542
5s.16p,1P*,1,,45311.99,,0.04,L15350
5s.17s,3S,1,,45341.28,,0.15,L5578
5s.16d,3D,1,,45341.36,,0.15,L5578
5s.16d,3D,2,,45350.35,,0.15,L5578
5s.16d,3D,3,,45370.76,,0.15,L5578
5s.17s,1S,0,,45350.2296,,0.0010,L5644
5s.16d,1D,2,,45362.1272,,0.0010,L5644
5s.14f,3F*,2,,45363.22,,0.04,L15350
5s.14f,3F*,4,,45363.35,,0.04,L15350
5s.14f,3F*,3,,45363.43,,0.04,L15350
5s.14f,1F*,3,,45365.90,,0.03,L15350
5s.17p,3P*,1,,45381.46,,0.03,L4542
5s.17p,3P*,2,,45382.26,,0.03,L4542
5s.17p,1P*,1,,45395.34,,0.04,L15350
5s.17d,3D,1,,45414.43,,0.15,L5578
5s.17d,3D,2,,45420.84,,0.15,L5578
5s.17d,3D,3,,45439.08,,0.15,L5578
5s.18s,3S,1,,45419.29,,0.15,L5578
5s.18s,1S,0,,45426.5505,,0.0010,L5644
5s.17d,1D,2,,45433.2717,,0.0010,L5644
5s.15f,3F*,2,,45437.09,,0.04,L15350
5s.15f,3F*,3,,45437.10,,0.04,L15350
5s.15f,3F*,4,,45437.11,,0.04,L15350
5s.15f,1F*,3,,45439.16,,0.03,L15350
5s.18p,3P*,1,,45451.87,,0.01,L4542
5s.18p,3P*,2,,45452.53,,0.01,L4542
5s.18p,1P*,1,,45463.02,,0.05,L15350
5s.18d,3D,1,,45475.35,,0.15,L5578
5s.18d,3D,2,,45479.88,,0.15,L5578
5s.18d,3D,3,,45495.02,,0.15,L5578
5s.19s,3S,1,,45482.89,,0.01,L11277
5s.19s,1S,0,,45488.7860,,0.0010,L5644
5s.18d,1D,2,,45492.6101,,0.0010,L5644
5s.16f,3F*,2,,45497.42,,0.04,L15350
5s.16f,3F*,3,,45497.43,,0.04,L15350
5s.16f,3F*,4,,45497.49,,0.04,L15350
5s.16f,1F*,3,,45499.11,,0.03,L15350
5s.19p,3P*,1,,45509.65,,0.02,L4542
5s.19p,3P*,2,,45510.20,,0.02,L4542
5s.19p,1P*,1,,45518.64,,0.03,L15350
5s.19d,3D,1,,45527.10,,0.15,L5578
5s.19d,3D,2,,45530.18,,0.15,L5578
5s.19d,3D,3,,45542.30,,0.04,L11277
5s.20s,3S,1,,45535.32,,0.01,L11277
5s.20s,1S,0,,45540.2024,,0.0010,L5644
5s.19d,1D,2,,45542.2955,,0.0010,L5644
5s.17f,3F*,2,,45547.30,,0.04,L15350
5s.17f,3F*,4,,45547.39,,0.04,L15350
5s.17f,3F*,3,,45547.41,,0.04,L15350
5s.17f,1F*,3,,45548.76,,0.03,L15350
5s.20p,3P*,1,,45557.62,,0.02,L4542
5s.20p,3P*,2,,45558.00,,0.02,L4542
5s.20p,1P*,1,,45565.00,,0.03,L15350
5s.20d,3D,1,,45570.97,,0.04,L5578
5s.20d,3D,2,,45573.28,,0.04,L5578
5s.20d,3D,3,,45582.36,,0.04,L11277
5s.20d,1D,2,,45584.1831,,0.0010,L5644
5s.18f,3F*,2,,45589.11,,0.04,L15350
5s.18f,3F*,4,,45589.23,,0.04,L15350
5s.18f,3F*,3,,45589.25,,0.04,L15350
5s.18f,1F*,3,,45590.32,,0.03,L15350
5s.19f,3F*,4,,45624.43,,0.04,L15350
5s.19f,3F*,2,,45624.48,,0.04,L15350
5s.19f,3F*,3,,45624.53,,0.04,L15350
5s.19f,1F*,3,,45625.48,,0.03,L15350
5s.20f,3F*,3,,45654.56,,0.04,L15350
5s.20f,3F*,4,,45654.70,,0.04,L15350
5s.20f,1F*,3,,45655.49,,0.03,L15350
Sr II (5s 2S<1/2>),Limit,---,,45932.2036,,0.0010,"L15350,L5644"
5p2,1D,2,,46380.1,,2.0,L9352
4d.6p,3D*,1,,49409.86,,0.14,L15350
4d.6p,3D*,2,,49558.30,,0.12,L15350
4d.6p,3D*,3,,49665.77,,0.14,L15350
4d.6p,3P*,1,,49547,,5.,L7603
4d.6p,3P*,2,,49732.0,,0.5,L15350
4d.5d,3F,2,,51036.49,,0.05,L2631
4d.5d,3F,3,,51150.30,,0.05,L2631
4d.5d,3F,4,,51254.06,,0.05,L2631
4d.6p,1P*,1,,51099,,5.,L7603
4d.5d,1D,2,,51356.00,,0.24,L2631
4d.5d,3P,1,,51439.66,,0.17,L2631
4d.5d,3P,2,,51555.06,,0.10,L2631
4d.(2D<3/2>).4f,2[3/2]*,1,,53253.0,,0.6,L7603
4d.(2D<3/2>).4f,2[7/2]*,3,,53294.4,,0.2,L13135
4d.(2D<3/2>).4f,2[5/2]*,3,,53392.6,,0.2,L13135
4d.(2D<5/2>).4f,2[3/2]*,1,,53546.2,,0.6,L7603
4d.(2D<5/2>).4f,2[7/2]*,3,,53572.3,,0.2,L13135
4d.(2D<5/2>).4f,2[5/2]*,3,,53632.8,,0.2,L13135
4d.6d,"(3/2,3/2)",1,,54139.2,,0.2,L16320
4d.6d,"(3/2,3/2)",2,,54891.30,,0.20,L2631
4d.6d,"(3/2,3/2)",0,,54999.9,,0.2,L10938
4d.6d,"(3/2,5/2)",2,,54140.5,,0.2,L16320
4d.6d,"(3/2,5/2)",1,,54308.5,,0.2,L16320
4d.6d,"(5/2,5/2)",1,,54469.5,,0.2,L16320
4d.6d,"(5/2,5/2)",4,,55119.40,,0.15,L2631
4d.6d,"(5/2,5/2)",2,,55234.2,,0.2,L16320
4d.6d,"(5/2,5/2)",0,,55428.3,,0.2,L10938
4d.(2D<3/2>).7p,2[3/2]*,1,,54728.7,,0.6,L7603
4d.6d,"(5/2,3/2)",3,,55033.33,,0.05,L2631
4d.6d,"(5/2,3/2)",2,,55088.2,,0.2,L16320
4d.6d,"(5/2,3/2)",1,,55113.7,,0.2,L16320
4d.(2D<5/2>).7p,2[3/2]*,1,,55195.6,,1.2,L413
4d.8s,"(3/2,1/2)",1,,55557.5,,0.6,L16321
4d.8s,"(3/2,1/2)",2,,55560,,5.,L16320
4d.8s,"(5/2,1/2)",2,,55802,,30,L16320
4d.8s,"(5/2,1/2)",3,,55824.4,,0.6,L14119
4d.5f,"(3/2,5/2)*",1,,55847.3,,0.6,L7603
4d.5f,"(3/2,5/2)*",3,,55873.6,,0.2,L13135
4d.5f,"(3/2,7/2)*",3,,55972.5,,0.2,L13135
4d.(2D<3/2>).5g,2[5/2],2,,56063.0,,0.2,L16320
4d.5f,"(5/2,5/2)*",1,,56107.7,,0.6,L7603
4d.5f,"(5/2,5/2)*",3,,56145.4,,0.2,L13135
4d.5f,"(5/2,7/2)*",1,,56169.6,,0.6,L7603
4d.5f,"(5/2,7/2)*",3,,56211.9,,0.2,L13135
4d.(2D<5/2>).5g,2[5/2],2,,56341.9,,0.2,L16320
4d.(2D<5/2>).5g,2[3/2],2,,56352.4,,0.2,L16320
4d.7d,"(3/2,3/2)",1,,56366.9,,0.2,L16320
4d.7d,"(3/2,3/2)",2,,56769.0,,0.2,L16320
4d.7d,"(3/2,3/2)",0,,56795.4,,0.2,L10938
4d.(2D<3/2>).8p,2[3/2]*,1,,56408.2,,0.6,L7603
4d.7d,"(3/2,5/2)",2,,56485.4,,0.2,L16320
4d.(2D<3/2>).8p,2[1/2]*,1,,56610.1,,0.6,L7603
4d.7d,"(5/2,5/2)",1,,56676.0,,0.2,L16320
4d.7d,"(5/2,5/2)",2,,57069.6,,0.2,L16320
4d.7d,"(5/2,5/2)",0,,57142.9,,0.2,L10938
4d.(2D<5/2>).8p,2[5/2]*,3,,56721.0,,0.2,L13135
4d.(2D<5/2>).8p,2[3/2]*,1,,56940.5,,1.8,L413
4d.7d,"(5/2,3/2)",2,,56950.5,,0.2,L16320
4d.6f,"(3/2,5/2)*",1,,57235.5,,0.7,L7603
4d.6f,"(3/2,5/2)*",3,,57269.8,,0.2,L13135
4d.6f,"(3/2,7/2)*",3,,57364.1,,0.2,L13135
4d.(2D<3/2>).6g,2[5/2],2,,57409.9,,0.2,L16320
4d.6f,"(5/2,5/2)*",1,,57477.1,,0.7,L7603
4d.6f,"(5/2,5/2)*",3,,57535.3,,0.2,L13135
4d.6f,"(5/2,7/2)*",1,,57569.5,,0.7,L7603
4d.6f,"(5/2,7/2)*",3,,57591.9,,0.2,L13135
4d.8d,"(3/2,5/2)",1,,57639.3,,0.2,L16320
4d.8d,"(3/2,5/2)",2,,57658.5,,0.2,L16320
4d.9p,"(3/2,3/2)*",1,,57646.7,,0.7,L7603
4d.8d,"(3/2,3/2)",1,,57683.8,,0.2,L16320
4d.8d,"(3/2,3/2)",2,,57819.9,,0.2,L16320
4d.8d,"(3/2,3/2)",0,,57844.2,,0.2,L10938
4d.(2D<5/2>).6g,2[5/2],2,,57691.4,,0.2,L16320
4d.(2D<5/2>).6g,2[3/2],2,,57695.3,,0.2,L16320
4d.(2D<5/2>).6g,2[3/2],1,,57699.5,,0.2,L16320
4d.9p,"(3/2,1/2)*",1,,57743.2,,0.7,L7603
4d.8d,"(5/2,5/2)",1,,57836.4,,0.2,L16320
4d.8d,"(5/2,5/2)",2,,58117.2,,0.2,L16320
4d.8d,"(5/2,5/2)",0,,58154.8,,0.2,L10938
4d.9p,"(5/2,1/2)*",3,,57845.9,,0.2,L13135
4d.9p,"(5/2,3/2)*",3,,57917.0,,0.2,L13135
4d.9p,"(5/2,3/2)*",1,,58081.8,,1.3,L413
4d.8d,"(5/2,3/2)",1,,57975.5,,0.2,L16320
4d.8d,"(5/2,3/2)",2,,58021.8,,0.2,L16320
4d.7f,"(3/2,5/2)*",1,,58021.5,,0.7,L7603
4d.7f,"(3/2,5/2)*",3,,58106.7,,0.2,L13135
4d.10s,"(3/2,1/2)",1,,58095.2,,0.2,L16320
4d.7f,"(3/2,7/2)*",3,,58198.9,,0.2,L13135
4d.7f,"(5/2,5/2)*",1,,58287.0,,0.7,L7603
4d.7f,"(5/2,5/2)*",3,,58379.9,,0.2,L13135
4d.9d,"(3/2,3/2)",1,,58378.1,,0.2,L16320
4d.9d,"(3/2,3/2)",0,,58431.1,,0.2,L10938
4d.9d,"(3/2,3/2)",2,,58498.0,,0.2,L16320
4d.(2D<3/2>).10p,2[1/2]*,1,,58396.2,,0.7,L7603
4d.9d,"(3/2,5/2)",1,,58417.1,,0.2,L16320
4d.9d,"(3/2,5/2)",2,,58443.4,,0.2,L16320
4d.7f,"(5/2,7/2)*",1,,58422.3,,0.7,L7603
4d.7f,"(5/2,7/2)*",3,,58444.5,,0.2,L13135
4d.(2D<3/2>).10p,2[3/2]*,1,,58459.8,,0.7,L7603
4d.(2D<5/2>).7g,2[5/2],2,,58508.3,,0.2,L16320
4d.(2D<5/2>).7g,2[3/2],2,,58510.6,,0.2,L16320
4d.(2D<3/2>).8f,2[3/2]*,1,,58618.3,,0.7,L7603
4d.9d,"(5/2,5/2)",1,,58642.0,,0.2,L16320
4d.9d,"(5/2,5/2)",0,,58709.9,,0.2,L10938
4d.9d,"(5/2,5/2)",2,,58763.8,,0.2,L16320
4d.(2D<5/2>).10p,2[7/2]*,3,,58646.9,,0.2,L13135
4d.9d,"(5/2,3/2)",1,,58666.5,,0.2,L16320
4d.9d,"(5/2,3/2)",2,,58687.0,,0.2,L16320
4d.(2D<5/2>).10p,2[3/2]*,1,,58713.2,,0.7,L7603
4d.(2D<3/2>).8f,2[5/2]*,3,,58740.3,,0.2,L13135
4d.(2D<3/2>).8g,2[5/2],2,,58755.1,,0.2,L16320
4d.10d,"(3/2,5/2)",1,,58821.2,,0.2,L16320
4d.10d,"(3/2,5/2)",2,,58889.7,,0.2,L16320
4d.10d,"(3/2,3/2)",0,,58856.2,,0.2,L10938
4d.10d,"(3/2,3/2)",1,,58859.0,,0.2,L16320
4d.10d,"(3/2,3/2)",2,,58939.7,,0.2,L16320
4d.(2D<5/2>).8f,2[1/2]*,1,,58926.5,,0.7,L7603
4d.11s,"(5/2,1/2)",2,,58929.8,,2.,L16320
4d.(2D<5/2>).8f,2[3/2]*,1,,58970.7,,0.7,L7603
4d.11s,"(3/2,1/2)",2,,59027.7,,0.2,L16320
4d.(2D<3/2>).9f,2[3/2]*,1,,59032.9,,0.7,L7603
4d.(2D<5/2>).8g,2[5/2],2,,59037.1,,0.2,L16320
4d.(2D<5/2>).8g,2[3/2],2,,59038.3,,0.2,L16320
4d.10d,"(5/2,3/2)",2,,59087.5,,0.2,L16320
4d.10d,"(5/2,3/2)",1,,59165.1,,0.2,L16320
4d.(2D<3/2>).9f,2[7/2]*,3,,59105.6,,0.2,L13135
4d.(2D<3/2>).9g,2[5/2],2,,59119.4,,0.2,L16320
4d.10d,"(5/2,5/2)",1,,59137.4,,0.2,L16320
4d.10d,"(5/2,5/2)",2,,59223.5,,0.2,L16320
4d.10d,"(5/2,5/2)",0,,59258.8,,0.2,L10938
4d.(2D<5/2>).9f,2[1/2]*,1,,59238.5,,0.7,L7603
4d.(2D<3/2>).10f,2[3/2]*,1,,59360.5,,0.7,L7603
4d.(2D<5/2>).9f,2[3/2]*,1,,59360.5,,0.7,L7603
4d.(2D<5/2>).9g,2[5/2],2,,59400.6,,0.2,L16320
4d.(2D<5/2>).9g,2[3/2],2,,59401.5,,0.2,L16320
4d.(2D<5/2>).10f,2[3/2]*,1,,59661.2,,0.7,L7603
4d.(2D<5/2>).10g,2[5/2],2,,59661.3,,0.2,L16320
4d.(2D<5/2>).10g,2[3/2],2,,59661.7,,0.2,L16320
Sr II (4d 2D<3/2>),Limit,---,,60488.09,,0.20,L4447
Sr II (4d 2D<5/2>),Limit,---,,60768.43,,0.20,L4447
