obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""283.3472""","=""0.0008""","=""283.3481""","=""0.0003""","=""8500""","=""3.2e+07""",D+,"=""13236.418""","=""48518.32""","=""6d2""","=""3F""","=""2""","=""5f.6d""","=""3D*""","=""1""",,"=""T10463""","=""L7344""",
"=""284.7160""","=""0.0008""","=""284.71601""","=""0.00016""","=""100000hl""","=""2.68e+08""",C+,"=""9087.517""","=""44199.914""","=""6d.7s""","=""1D""","=""2""","=""7s.7p""","=""1P*""","=""1""",,"=""T10463""","=""L7344""",
"=""285.6730""","=""0.0013""","=""285.6715""","=""0.0004""","=""6800h""","=""1.73e+08""",C+,"=""22180.533""","=""57175.49""","=""7s.7p""","=""3P*""","=""1""","=""7p2""","=""3P""","=""1""",,"=""T10463""","=""L7344""",
"=""286.4110""","=""0.0013""","=""286.4116""","=""0.0007""","=""1800h""","=""6.3e+07""",C+,"=""29250.366""","=""64154.91?""","=""6d.7p""","=""1P*""","=""1""","=""6d.7d""","=""1D""","=""2""",,"=""T10463""","=""L7344""",
"=""289.5200""","=""0.0008""","=""289.5195""","=""0.0003""","=""8800""","=""2.7e+07""",C,"=""14949.173""","=""49479.04""","=""6d2""","=""3F""","=""3""","=""5f.6d""","=""3D*""","=""2""",,"=""T10463""","=""L7344""",
"=""289.6820""","=""0.0008""","=""289.68171""","=""0.00019""","=""40000c""","=""3.09e+07""",C+,"=""7426.489""","=""41937.021""","=""6d.7s""","=""3D""","=""3""","=""6d.7p""","=""1F*""","=""3""",,"=""T10463""","=""L7344""",
"=""290.5810""","=""0.0013""","=""290.5790""","=""0.0004""","=""2800h""","=""5.9e+07""",C+,"=""29881.055""","=""64285.02""","=""6d.7p""","=""3F*""","=""3""","=""6d.7d""","=""3F""","=""4""",,"=""T10463""","=""L7344""",
"=""292.3019""","=""0.0009""","=""292.3011""","=""0.0003""","=""36000""","=""1.76e+07""",C+,"=""7426.489""","=""41627.78""","=""6d.7s""","=""3D""","=""3""","=""5f.6d""","=""1G*""","=""4""",,"=""T10463""","=""L7344""",
"=""292.4121""","=""0.0009""","=""292.41234""","=""0.00026""","=""7200""","=""""",,"=""9087.517""","=""43275.794""","=""6d.7s""","=""1D""","=""2""","=""5f.6d""","=""3F*""","=""3""",,"=""""","=""L7344""",
"=""293.1460""","=""0.0013""","=""293.1445""","=""0.0005""","=""7100hl""","=""1.87e+08""",C+,"=""28201.120""","=""62304.01""","=""7s.7p""","=""3P*""","=""2""","=""6d.7d""","=""3D""","=""2""",,"=""T10463""","=""L7344""",
"=""293.5800""","=""0.0009""","=""293.5802""","=""0.0004""","=""2500""","=""4.4e+06""",E,"=""19202.962""","=""53255.25""","=""6d2""","=""3P""","=""2""","=""5f.6d""","=""1F*""","=""3""",,"=""T10463""","=""L7344""",
"=""294.4421""","=""0.0009""","=""294.4410""","=""0.0006""","=""2300""","=""8.6e+07""",C+,"=""22199.428""","=""56152.16""","=""6d2""","=""1D""","=""2""","=""5f.6d""","=""1P*""","=""1""",,"=""T10463""","=""L7344""",
"=""295.8490""","=""0.0013""","=""295.8480""","=""0.0006""","=""3400hl""","=""1.05e+08""",C+,"=""26446.928""","=""60238.20""","=""6d.7p""","=""3F*""","=""2""","=""6d.7d""","=""3F""","=""2""",,"=""T10463""","=""L7344""",
"=""296.6449""","=""0.0009""","=""296.6444""","=""0.0003""","=""2100h""","=""6.1e+07""",C+,"=""29881.055""","=""63581.61""","=""6d.7p""","=""3F*""","=""3""","=""6d.7d""","=""3F""","=""3""",,"=""T10463""","=""L7344""",
"=""297.2491""","=""0.0009""","=""297.24926""","=""0.00019""","=""4000c""","=""4.8e+06""",E,"=""4739.631""","=""38371.612""","=""6d.7s""","=""3D""","=""1""","=""6d.7p""","=""3P*""","=""2""",,"=""T10463""","=""L7344""",
"=""299.4170""","=""0.0009""","=""299.4165""","=""0.0004""","=""160000""","=""2.82e+08""",C+,"=""0.00""","=""33388.554""","=""7s2""","=""1S""","=""0""","=""6d.7p""","=""3D*""","=""1""",,"=""T10463""","=""L7344""",
"=""299.6682""","=""0.0009""","=""299.66749""","=""0.00027""","=""5400hl""","=""1.70e+08""",C+,"=""26446.928""","=""59807.52""","=""6d.7p""","=""3F*""","=""2""","=""6d.7d""","=""1F""","=""3""",,"=""T10463""","=""L7344""",
"=""300.1877""","=""0.0009""","=""300.1872""","=""0.0004""","=""11000""","=""3.16e+07""",C+,"=""16756.847""","=""50059.68""","=""6d2""","=""3F""","=""4""","=""5f.6d""","=""3D*""","=""3""",,"=""T10463""","=""L7344""",
"=""301.5400""","=""0.0013""","=""301.5393""","=""0.0004""","=""2800h""","=""2.44e+07""",C,"=""22180.533""","=""55334.05""","=""7s.7p""","=""3P*""","=""1""","=""5f.7p""","=""3F""","=""2""",,"=""T10463""","=""L7344""",
"=""301.9868""","=""0.0009""","=""301.98610""","=""0.00017""","=""110000c""","=""7.3e+07""",C+,"=""5267.147""","=""38371.612""","=""6d.7s""","=""3D""","=""2""","=""6d.7p""","=""3P*""","=""2""",,"=""T10463""","=""L7344""",
"=""303.0459""","=""0.0009""","=""303.0453""","=""0.0003""","=""2400hl""","=""8.7e+06""",D+,"=""29881.055""","=""62869.82""","=""6d.7p""","=""3F*""","=""3""","=""5f.7p""","=""1G""","=""4""",,"=""T10463""","=""L7344""",
"=""304.3301""","=""0.0009""","=""304.33006""","=""0.00020""","=""270000""","=""2.44e+08""",C+,"=""9087.517""","=""41937.021""","=""6d.7s""","=""1D""","=""2""","=""6d.7p""","=""1F*""","=""3""",,"=""T10463""","=""L7344""",
"=""306.4251""","=""0.0009""","=""306.4252""","=""0.0004""","=""9800hl""","=""1.04e+08""",C+,"=""26446.928""","=""59071.84""","=""6d.7p""","=""3F*""","=""2""","=""5f.7p""","=""1F""","=""3""",,"=""T10463""","=""L7344""",
"=""306.9361""","=""0.0009""","=""306.9362""","=""0.0003""","=""76000""","=""1.80e+08""",C+,"=""13236.418""","=""45807.01""","=""6d2""","=""3F""","=""2""","=""5f.6d""","=""3G*""","=""3""",,"=""T10463""","=""L7344""",
"=""307.6171""","=""0.0009""","=""307.6170""","=""0.0004""","=""3600""","=""1.7e+07""",E,"=""17737.032""","=""50235.55""","=""6d2""","=""3P""","=""0""","=""5f.6d""","=""3P*""","=""1""",,"=""T10463""","=""L7344""",
"=""307.6871""","=""0.0009""","=""307.6877""","=""0.0003""","=""11000""","=""1.13e+07""",D+,"=""9087.517""","=""41578.56""","=""6d.7s""","=""1D""","=""2""","=""5f.6d""","=""3F*""","=""2""",,"=""T10463""","=""L7344""",
"=""307.8068""","=""0.0009""","=""307.8070""","=""0.0003""","=""65000""","=""1.72e+08""",C+,"=""14949.173""","=""47427.63""","=""6d2""","=""3F""","=""3""","=""5f.6d""","=""3G*""","=""4""",,"=""T10463""","=""L7344""",
"=""308.0541""","=""0.0009""","=""308.05351""","=""0.00028""","=""2600h""","=""1.0e+07""",E,"=""22180.533""","=""54633.000""","=""7s.7p""","=""3P*""","=""1""","=""6d.8s""","=""3D""","=""2""",,"=""T10463""","=""L7344""",
"=""308.4849""","=""0.0010""","=""308.4852""","=""0.0005""","=""6800*""","=""5.4e+07""",C+,"=""20848.198""","=""53255.25""","=""6d2""","=""1G""","=""4""","=""5f.6d""","=""1F*""","=""3""",,"=""T10463""","=""L7344""",
"=""308.4849""","=""0.0010""","=""308.4853""","=""0.0003""","=""6800*""","=""2.04e+07""",C+,"=""31174.565""","=""63581.61""","=""5f.7s""","=""1F*""","=""3""","=""6d.7d""","=""3F""","=""3""",,"=""T10463""","=""L7344""",
"=""308.6039""","=""0.0010""","=""308.6029""","=""0.0005""","=""60000""","=""1.86e+08""",C+,"=""16756.847""","=""49151.54""","=""6d2""","=""3F""","=""4""","=""5f.6d""","=""3G*""","=""5""",,"=""T10463""","=""L7344""",
"=""308.7371""","=""0.0010""","=""308.7379""","=""0.0003""","=""90000""","=""3.66e+07""",C+,"=""7426.489""","=""39807.02""","=""6d.7s""","=""3D""","=""3""","=""5f.6d""","=""3H*""","=""4""",,"=""T10463""","=""L7344""",
"=""310.0628""","=""0.0010""","=""310.0626""","=""0.0005""","=""4800""","=""1.0e+07""",E,"=""19015.283""","=""51257.48""","=""6d2""","=""3P""","=""1""","=""5f.6d""","=""3P*""","=""2""",,"=""T10463""","=""L7344""",
"=""311.2830""","=""0.0010""","=""311.28246""","=""0.00021""","=""140000""","=""1.90e+08""",C+,"=""4739.631""","=""36855.480""","=""6d.7s""","=""3D""","=""1""","=""6d.7p""","=""3P*""","=""1""",,"=""T10463""","=""L7344""",
"=""311.8781""","=""0.0010""","=""311.8781""","=""0.0004""","=""11000""","=""7.5e+07""",C+,"=""19202.962""","=""51257.48""","=""6d2""","=""3P""","=""2""","=""5f.6d""","=""3P*""","=""2""",,"=""T10463""","=""L7344""",
"=""312.0157""","=""0.0010""","=""312.0157""","=""0.0003""","=""84000""","=""3.45e+08""",C+,"=""4739.631""","=""36780.01""","=""6d.7s""","=""3D""","=""1""","=""6d.7p""","=""3P*""","=""0""",,"=""T10463""","=""L7344""",
"=""313.2040""","=""0.0013""","=""""","=""""","=""1400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""315.3092""","=""0.0010""","=""315.30877""","=""0.00020""","=""300000c""","=""2.69e+08""",C+,"=""5267.147""","=""36972.910""","=""6d.7s""","=""3D""","=""2""","=""6d.7p""","=""3D*""","=""3""",,"=""T10463""","=""L7344""",
"=""315.4149""","=""0.0010""","=""315.4133""","=""0.0003""","=""2200""","=""8.3e+07""",C+,"=""31174.565""","=""62869.82""","=""5f.7s""","=""1F*""","=""3""","=""5f.7p""","=""1G""","=""4""",,"=""T10463""","=""L7344""",
"=""315.4410""","=""0.0006""","=""315.44087""","=""0.00024""","=""330000c""","=""3.01e+08""",C+,"=""7426.489""","=""39118.975""","=""6d.7s""","=""3D""","=""3""","=""6d.7p""","=""3F*""","=""4""",,"=""T10463""","=""L7344""",
"=""315.8880""","=""0.0013""","=""""","=""""","=""1900hl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""316.3010""","=""0.0006""","=""316.3001""","=""0.0003""","=""1500h""","=""3.30e+07""",C+,"=""28201.120""","=""59807.52""","=""7s.7p""","=""3P*""","=""2""","=""6d.7d""","=""1F""","=""3""",,"=""T10463""","=""L7344""",
"=""316.4810""","=""0.0006""","=""316.48098""","=""0.00020""","=""130000cs""","=""1.32e+08""",C+,"=""5267.147""","=""36855.480""","=""6d.7s""","=""3D""","=""2""","=""6d.7p""","=""3P*""","=""1""",,"=""T10463""","=""L7344""",
"=""317.6830""","=""0.0006""","=""317.68244""","=""0.00024""","=""5800""","=""8.9e+06""",D,"=""13236.418""","=""44705.290""","=""6d2""","=""3F""","=""2""","=""5f.6d""","=""1D*""","=""2""",,"=""T10463""","=""L7344""",
"=""319.3680""","=""0.0013""","=""""","=""""","=""1100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""320.2120""","=""0.0006""","=""320.2122""","=""0.0004""","=""5200""","=""6.4e+07""",C+,"=""19015.283""","=""50235.55""","=""6d2""","=""3P""","=""1""","=""5f.6d""","=""3P*""","=""1""",,"=""T10463""","=""L7344""",
"=""320.4870""","=""0.0006""","=""320.4874""","=""0.0004""","=""8300cs""","=""2.21e+08""",C+,"=""22180.533""","=""53373.99""","=""7s.7p""","=""3P*""","=""1""","=""7s.8s""","=""1S""","=""0""",,"=""T10463""","=""L7344""",
"=""321.1990""","=""0.0013""","=""321.1990""","=""0.0013""","=""11000""","=""8.0e+07""",C+,"=""28201.120""","=""59325.48?""","=""7s.7p""","=""3P*""","=""2""","=""7s.7d""","=""3D""","=""3""",,"=""T10463""","=""L7344""",
"=""321.9080""","=""0.0006""","=""321.9078""","=""0.0005""","=""19000h""","=""1.51e+08""",C+,"=""22199.428""","=""53255.25""","=""6d2""","=""1D""","=""2""","=""5f.6d""","=""1F*""","=""3""",,"=""T10463""","=""L7344""",
"=""322.1491""","=""0.0006""","=""322.1489""","=""0.0004""","=""4200""","=""5.9e+07""",C+,"=""19202.962""","=""50235.55""","=""6d2""","=""3P""","=""2""","=""5f.6d""","=""3P*""","=""1""",,"=""T10463""","=""L7344""",
"=""322.6140""","=""0.0013""","=""322.6141""","=""0.0007""","=""1900""","=""1.17e+08""",C+,"=""29250.366""","=""60238.20""","=""6d.7p""","=""1P*""","=""1""","=""6d.7d""","=""3F""","=""2""",,"=""T10463""","=""L7344""",
"=""322.8670""","=""0.0006""","=""322.86774""","=""0.00024""","=""1400""","=""""",,"=""13236.418""","=""44199.914""","=""6d2""","=""3F""","=""2""","=""7s.7p""","=""1P*""","=""1""",,"=""""","=""L7344""",
"=""323.0591""","=""0.0006""","=""323.05944""","=""0.00020""","=""140000cs""","=""1.36e+08""",C+,"=""7426.489""","=""38371.612""","=""6d.7s""","=""3D""","=""3""","=""6d.7p""","=""3P*""","=""2""",,"=""T10463""","=""L7344""",
"=""323.7700""","=""0.0006""","=""323.77071""","=""0.00018""","=""65000cs""","=""2.19e+07""",C+,"=""5267.147""","=""36144.291""","=""6d.7s""","=""3D""","=""2""","=""5f.7s""","=""3F*""","=""3""",,"=""T10463""","=""L7344""",
"=""323.8390""","=""0.0006""","=""323.8381""","=""0.0004""","=""820h""","=""2.9e+06""",E,"=""28201.120""","=""59071.84""","=""7s.7p""","=""3P*""","=""2""","=""5f.7p""","=""1F""","=""3""",,"=""T10463""","=""L7344""",
"=""323.9731""","=""0.0006""","=""323.9733""","=""0.0003""","=""4200""","=""1.38e+07""",C,"=""14949.173""","=""45807.01""","=""6d2""","=""3F""","=""3""","=""5f.6d""","=""3G*""","=""3""",,"=""T10463""","=""L7344""",
"=""323.9860""","=""0.0006""","=""323.9850""","=""0.0003""","=""17000""","=""1.31e+08""",C+,"=""19202.962""","=""50059.68""","=""6d2""","=""3P""","=""2""","=""5f.6d""","=""3D*""","=""3""",,"=""T10463""","=""L7344""",
"=""324.7790""","=""0.0006""","=""324.7790""","=""0.0004""","=""4100""","=""8.8e+07""",C+,"=""17737.032""","=""48518.32""","=""6d2""","=""3P""","=""0""","=""5f.6d""","=""3D*""","=""1""",,"=""T10463""","=""L7344""",
"=""324.9480""","=""0.0006""","=""324.9480""","=""0.0006""","=""2500c""","=""1.40e+08""",C+,"=""19015.283""","=""49780.56""","=""6d2""","=""3P""","=""1""","=""5f.6d""","=""3P*""","=""0""",,"=""T10463""","=""L7344""",
"=""325.3840""","=""0.0009""","=""325.3827""","=""0.0005""","=""4300cl""","=""4.6e+07""",C+,"=""20956.42""","=""51680.60""","=""7s.7p""","=""3P*""","=""0""","=""7s.8s""","=""3S""","=""1""",,"=""T10463""","=""L7344""",
"=""325.9490""","=""0.0006""","=""325.9492""","=""0.0003""","=""4400""","=""1.30e+07""",C+,"=""16756.847""","=""47427.63""","=""6d2""","=""3F""","=""4""","=""5f.6d""","=""3G*""","=""4""",,"=""T10463""","=""L7344""",
"=""326.0910""","=""0.0006""","=""326.09060""","=""0.00022""","=""220000""","=""2.39e+08""",C+,"=""4739.631""","=""35397.115""","=""6d.7s""","=""3D""","=""1""","=""5f.7s""","=""3F*""","=""2""",,"=""T10463""","=""L7344""",
"=""328.1650""","=""0.0006""","=""328.1644""","=""0.0003""","=""9800""","=""1.10e+08""",C+,"=""19015.283""","=""49479.04""","=""6d2""","=""3P""","=""1""","=""5f.6d""","=""3D*""","=""2""",,"=""T10463""","=""L7344""",
"=""329.7140""","=""0.0013""","=""329.7146""","=""0.0007""","=""900h""","=""8.6e+07""",C+,"=""38371.612""","=""68692.14""","=""6d.7p""","=""3P*""","=""2""","=""7p2""","=""1D""","=""2""",,"=""T10463""","=""L7344""",
"=""330.1930""","=""0.0006""","=""330.1922""","=""0.0003""","=""1800c""","=""8.0e+07""",C+,"=""33304.935""","=""63581.61""","=""6d.7p""","=""3D*""","=""2""","=""6d.7d""","=""3F""","=""3""",,"=""T10463""","=""L7344""",
"=""331.1600""","=""0.0013""","=""""","=""""","=""1100h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""331.8010""","=""0.0006""","=""331.79999""","=""0.00021""","=""67000c""","=""3.06e+07""",C+,"=""5267.147""","=""35397.115""","=""6d.7s""","=""3D""","=""2""","=""5f.7s""","=""3F*""","=""2""",,"=""T10463""","=""L7344""",
"=""332.2290""","=""0.0006""","=""332.2287""","=""0.0003""","=""9300""","=""1.15e+07""",C+,"=""14949.173""","=""45040.26""","=""6d2""","=""3F""","=""3""","=""5f.6d""","=""3F*""","=""4""",,"=""T10463""","=""L7344""",
"=""332.8010""","=""0.0006""","=""332.8007""","=""0.0003""","=""7200""","=""9.7e+06""",C,"=""13236.418""","=""43275.794""","=""6d2""","=""3F""","=""2""","=""5f.6d""","=""3F*""","=""3""",,"=""T10463""","=""L7344""",
"=""333.1500""","=""0.0006""","=""333.1490""","=""0.0003""","=""4600""","=""1.27e+08""",C+,"=""29881.055""","=""59889.02""","=""6d.7p""","=""3F*""","=""3""","=""5f.7p""","=""3F""","=""4""",,"=""T10463""","=""L7344""",
"=""334.1250""","=""0.0013""","=""334.1258""","=""0.0008""","=""1400hl""","=""5.8e+07""",C+,"=""28201.120""","=""58121.36""","=""7s.7p""","=""3P*""","=""2""","=""7s.7d""","=""3D""","=""2""",,"=""T10463""","=""L7344""",
"=""334.2310""","=""0.0013""","=""""","=""""","=""1400h""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""334.3041""","=""0.0006""","=""334.3039""","=""0.0003""","=""2500h""","=""9.1e+07""",C+,"=""32965.512""","=""62869.82""","=""5f.7s""","=""3F*""","=""4""","=""5f.7p""","=""1G""","=""4""",,"=""T10463""","=""L7344""",
"=""335.9680""","=""0.0006""","=""335.9688""","=""0.0003""","=""1300""","=""5.1e+06""",E,"=""14949.173""","=""44705.290""","=""6d2""","=""3F""","=""3""","=""5f.6d""","=""1D*""","=""2""",,"=""T10463""","=""L7344""",
"=""336.119""","=""0.003""","=""336.1125""","=""0.0003""","=""2000h""","=""2.42e+07""",C+,"=""28201.120""","=""57944.517""","=""7s.7p""","=""3P*""","=""2""","=""5f.7p""","=""3F""","=""3""",,"=""T10463""","=""L7344""",
"=""338.3530""","=""0.0006""","=""338.35332""","=""0.00023""","=""69000""","=""3.97e+07""",C+,"=""7426.489""","=""36972.910""","=""6d.7s""","=""3D""","=""3""","=""6d.7p""","=""3D*""","=""3""",,"=""T10463""","=""L7344""",
"=""338.8511""","=""0.0006""","=""338.8509""","=""0.0005""","=""1200""","=""2.3e+07""",C,"=""19015.283""","=""48518.32""","=""6d2""","=""3P""","=""1""","=""5f.6d""","=""3D*""","=""1""",,"=""T10463""","=""L7344""",
"=""338.8850""","=""0.0009""","=""338.8850""","=""0.0006""","=""2500c""","=""1.00e+08""",C+,"=""22180.533""","=""51680.60""","=""7s.7p""","=""3P*""","=""1""","=""7s.8s""","=""3S""","=""1""",,"=""T10463""","=""L7344""",
"=""339.6920""","=""0.0013""","=""339.6907""","=""0.0007""","=""3900hl""","=""8.1e+07""",C+,"=""28201.120""","=""57631.22""","=""7s.7p""","=""3P*""","=""2""","=""6d.8s""","=""3D""","=""3""",,"=""T10463""","=""L7344""",
"=""340.2110""","=""0.0006""","=""340.2102""","=""0.0003""","=""1300h""","=""3.55e+07""",C+,"=""32965.512""","=""62350.67""","=""5f.7s""","=""3F*""","=""4""","=""6d.7d""","=""3D""","=""3""",,"=""T10463""","=""L7344""",
"=""341.3840""","=""0.0006""","=""341.38437""","=""0.00021""","=""100000""","=""1.15e+08""",C+,"=""9087.517""","=""38371.612""","=""6d.7s""","=""1D""","=""2""","=""6d.7p""","=""3P*""","=""2""",,"=""T10463""","=""L7344""",
"=""341.7771""","=""0.0006""","=""341.7780""","=""0.0004""","=""190000""","=""1.11e+08""",C+,"=""0.00""","=""29250.366""","=""7s2""","=""1S""","=""0""","=""6d.7p""","=""1P*""","=""1""",,"=""T10463""","=""L7344""",
"=""343.9250""","=""0.0013""","=""""","=""""","=""1900""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7344""",
"=""344.0400""","=""0.0006""","=""344.0401""","=""0.0005""","=""4800""","=""5.2e+07""",C+,"=""22199.428""","=""51257.48""","=""6d2""","=""1D""","=""2""","=""5f.6d""","=""3P*""","=""2""",,"=""T10463""","=""L7344""",
"=""346.0770""","=""0.0013""","=""346.0759""","=""0.0005""","=""9000""","=""1.00e+08""",C+,"=""26446.928""","=""55334.05""","=""6d.7p""","=""3F*""","=""2""","=""5f.7p""","=""3F""","=""2""",,"=""T10463""","=""L7344""",
"=""348.1161""","=""0.0006""","=""348.11641""","=""0.00021""","=""230000c""","=""1.31e+08""",C+,"=""7426.489""","=""36144.291""","=""6d.7s""","=""3D""","=""3""","=""5f.7s""","=""3F*""","=""3""",,"=""T10463""","=""L7344""",
