"=""27.3940""","=""0.0003""","=""27.39400""","=""0.00015""","=""12""","=""""",,"=""0.00""","=""365043.5""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""""","=""L914""",
"=""27.4023""","=""0.0003""","=""27.40243""","=""0.00015""","=""12""","=""""",,"=""0.00""","=""364931.1""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L914""",
"=""27.4931""","=""0.0003""","=""27.49324""","=""0.00016""","=""20""","=""""",,"=""0.00""","=""363725.8""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""""","=""L914""",
"=""27.5003""","=""0.0003""","=""27.50034""","=""0.00016""","=""20""","=""""",,"=""0.00""","=""363631.9""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L914""",
"=""27.5218""","=""0.0003""","=""27.52187""","=""0.00016""","=""5""","=""""",,"=""0.00""","=""363347.4""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""""","=""L914""",
"=""28.1691""","=""0.0003""","=""28.16919""","=""0.00016""","=""25""","=""""",,"=""0.00""","=""354997.8""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""""","=""L914""",
"=""28.1788""","=""0.0003""","=""28.17882""","=""0.00016""","=""25""","=""""",,"=""0.00""","=""354876.5""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""""","=""L914""",
"=""28.2709""","=""0.0003""","=""28.27100""","=""0.00016""","=""35""","=""""",,"=""0.00""","=""353719.3""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""""","=""L914""",
"=""28.2803""","=""0.0003""","=""28.28049""","=""0.00016""","=""35""","=""""",,"=""0.00""","=""353600.6""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""",,"=""""","=""L914""",
"=""28.3258""","=""0.0003""","=""28.32597""","=""0.00017""","=""15""","=""""",,"=""0.00""","=""353032.9""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""""","=""L914""",
"=""30.0153""","=""0.0003""","=""30.0153""","=""0.0010""","=""160""","=""1.2e+09""",D,"=""0.00""","=""333162.94""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T7663""","=""L914""",
"=""30.0202""","=""0.0003""","=""30.0203""","=""0.0010""","=""160""","=""4.0e+08""",D,"=""0.00""","=""333107.74""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""",,"=""T7663c80""","=""L914""",
"=""30.1318""","=""0.0003""","=""30.1319""","=""0.0010""","=""90""","=""3.62e+08""",D,"=""0.00""","=""331873.93""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""",,"=""T7663c79""","=""L914""",
"=""30.1436""","=""0.0003""","=""30.1436""","=""0.0010""","=""100""","=""3.3e+09""",D+,"=""0.00""","=""331745.06""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",,"=""T6036""","=""L914""",
"=""30.2446""","=""0.0003""","=""30.2447""","=""0.0010""","=""60""","=""5.95e+07""",B,"=""0.00""","=""330636.75""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",,"=""T7663""","=""L914""",
"=""""","=""""","=""33.3218""","=""0.0010""","=""""","=""1.60e+04""",B,"=""0.00""","=""300103.92""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3p""","=""3P""","=""2""",E2,"=""T7663""","=""""",
"=""""","=""""","=""33.4236""","=""0.0010""","=""""","=""4.50e+04""",B+,"=""0.00""","=""299189.96""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3p""","=""1D""","=""2""",E2,"=""T7663""","=""""",
"=""""","=""""","=""33.5981""","=""0.0010""","=""""","=""6.40e+03""",C+,"=""0.00""","=""297635.61""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.3p""","=""3D""","=""2""",E2,"=""T7663""","=""""",
"=""36.5584""","=""0.0003""","=""""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L914""",
