"=""454.3483""","=""""","=""715""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""460.2427""","=""""","=""615""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""462.9787""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""470.7586""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""473.067""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""488.8557""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""510.558""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""510.755""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""523.138""","=""""","=""425""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""533.123""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""549.7727""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""555.809""","=""""","=""425""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""565.132""","=""""","=""425""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""611.007""","=""""","=""425""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""617.027""","=""""","=""500""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""651.174""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""709.227""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""710.272""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""799.053""","=""""","=""340""","=""""",,"=""""","=""""",,"=""""","=""L820""",
"=""817.451""","=""""","=""300""","=""""",,"=""""","=""""",,"=""""","=""L820""",
