obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
186.8624,0.0005,186.86256,53515.31,2,,,148686.714,202201.982,4p5.4d,3F*,2,4p5.(2P*<3/2>).5f,2[5/2],3,5,7,,,L2590,
187.9384,0.0005,187.93871,53208.92,25,,,156737.011,209945.847,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<3/2>).8d,2[7/2]*,3,5,7,,,L2590,
188.6650,0.0010,188.66515,53004.0,1,,,156561.61,209565.57,4p5.4d,3D*,2,4p5.(2P*<1/2>).5f,2[5/2],2,5,5,,,L2590,
188.7203,0.0005,188.72061,52988.47,30,,,156895.486,209883.87,4p5.(2P*<3/2>).5p,2[5/2],3,4p5.(2P*<3/2>).8d,2[7/2]*,4,7,9,,,L2590,
188.8180,0.0005,188.81808,52961.05,15,,,156561.61,209522.64,4p5.4d,3D*,2,4p5.(2P*<1/2>).5f,2[7/2],3,5,7,,,L2590,
188.8327,0.0005,188.83298,52956.93,100,,,156561.61,209518.46,4p5.4d,3D*,2,4p5.(2P*<1/2>).5f,2[5/2],3,5,7,,,L2590,
188.9416,0.0005,188.94174,52926.41,500,,,138794.380,191720.748,4p5.(2P*<1/2>).5s,2[1/2]*,0,4p5.(2P*<3/2>).4f,2[3/2],1,1,3,,,L2590,
189.6056,0.0010,189.60598,52741.1,1,,,134869.751,187610.704,4p5.(2P*<3/2>).5s,2[3/2]*,1,4p5.(2P*<3/2>).6p,2[5/2],2,3,5,,,L2590,
189.8519,0.0005,189.85189,52672.64,10,,,155063.53,207736.17,4p5.4d,1D*,2,4p5.(2P*<3/2>).6f,2[7/2],3,5,7,,,L2590,
190.1582,0.0005,190.15826,52587.79,75,,,146832.593,199420.37,4p5.4d,3F*,3,4p5.(2P*<1/2>).4f,2[7/2],4,7,9,,,L2590,
190.2155,0.0010,190.21559,52572.0,1,,,146832.593,199404.52,4p5.4d,3F*,3,4p5.(2P*<1/2>).4f,2[5/2],3,7,7,,,L2590,
190.6909,0.0010,190.69086,52440.9,1,,,156737.011,209177.91,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<3/2>).9s,2[3/2]*,1,5,3,,,L2590,
190.7355,0.0010,190.73526,52428.6,1*u,,,157136.88,209565.57,4p5.4d,1F*,3,4p5.(2P*<1/2>).5f,2[5/2],2,7,5,,,L2590,
190.7397,0.0005,,52427.47,20,,,,,,,,,,,1,1,,,L2590,
190.8658,0.0005,190.86592,52392.83,150,,,157136.88,209529.68,4p5.4d,1F*,3,4p5.(2P*<1/2>).5f,2[7/2],4,7,9,,,L2590,
190.9068,0.0005,190.90680,52381.58,4,,,157136.88,209518.46,4p5.4d,1F*,3,4p5.(2P*<1/2>).5f,2[5/2],3,7,7,,,L2590,
190.9129,0.0005,190.91293,52379.91,5,,,155308.820,207688.72,4p5.4d,3D*,1,4p5.(2P*<3/2>).6f,2[5/2],2,3,5,,,L2590,
191.4742,0.0005,191.47409,52226.36,5,,,156895.486,209121.874,4p5.(2P*<3/2>).5p,2[5/2],3,4p5.(2P*<3/2>).9s,2[3/2]*,2,7,5,,,L2590,
192.8399,0.0005,,51856.49,3,,,,,,,,,,,1,1,,,L2590,
193.9331,0.0005,193.93292,51564.17,75,,,140610.047,192174.269,4p5.(2P*<1/2>).5s,2[1/2]*,1,4p5.(2P*<3/2>).4f,2[5/2],2,3,5,,,L2590,
194.3205,0.0005,194.32043,51461.37,30,,,154273.980,205735.373,4p5.(2P*<3/2>).5p,2[1/2],1,4p5.(2P*<1/2>).6d,2[3/2]*,2,3,5,,,L2590,
194.5286,0.0005,194.52842,51406.32,20,,,154273.980,205680.350,4p5.(2P*<3/2>).5p,2[1/2],1,4p5.(2P*<1/2>).6d,2[5/2]*,2,3,5,,,L2590,
194.6123,0.0005,,51384.21,7,,,,,,,,,,,1,1,,,L2590,
194.7717,0.0005,194.77129,51342.16,15,,,158711.854,210054.124,4p5.(2P*<3/2>).5p,2[3/2],2,4p5.(2P*<3/2>).8d,2[5/2]*,3,5,7,,,L2590,
194.9423,0.0010,194.94211,51297.2,1,,,143955.871,195253.15,4p5.4d,3P*,2,4p5.(2P*<1/2>).6p,2[3/2],2,5,5,,,L2590,
195.3088,0.0005,195.30877,51200.97,10,,,143955.871,195156.85,4p5.4d,3P*,2,4p5.(2P*<1/2>).6p,2[1/2],1,5,3,,,L2590,
195.4235,0.0005,195.42340,51170.92,500,,,140610.047,191780.993,4p5.(2P*<1/2>).5s,2[1/2]*,1,4p5.(2P*<3/2>).4f,2[3/2],2,3,5,,,L2590,
195.6540,0.0005,195.65374,51110.63,300,,,140610.047,191720.748,4p5.(2P*<1/2>).5s,2[1/2]*,1,4p5.(2P*<3/2>).4f,2[3/2],1,3,3,,,L2590,
195.6614,0.0005,195.66117,51108.70,4,,,156561.61,207670.37,4p5.4d,3D*,2,4p5.(2P*<3/2>).6f,2[5/2],3,5,7,,,L2590,
196.9308,0.0010,196.93057,50779.3,1,,,148686.714,199466.033,4p5.4d,3F*,2,4p5.(2P*<1/2>).4f,2[5/2],2,5,5,,,L2590,
197.1419,0.0005,197.14181,50724.88,200,,,148686.714,199411.62,4p5.4d,3F*,2,4p5.(2P*<1/2>).4f,2[7/2],3,5,7,,,L2590,
198.0686,0.0005,198.06863,50487.56,3,,,157136.88,207624.43,4p5.4d,1F*,3,4p5.(2P*<3/2>).6f,2[9/2],4,7,9,,,L2590,
198.3191,0.0005,198.31898,50423.79,500,,,151877.03,202300.847,4p5.4d,3D*,3,4p5.(2P*<3/2>).5f,2[7/2],4,7,9,,,L2590,
198.3731,0.0010,198.37326,50410.1,1,,,158711.854,209121.874,4p5.(2P*<3/2>).5p,2[3/2],2,4p5.(2P*<3/2>).9s,2[3/2]*,2,5,5,,,L2590,
198.7086,0.0005,198.70858,50324.95,75,,,151877.03,202201.982,4p5.4d,3D*,3,4p5.(2P*<3/2>).5f,2[5/2],3,7,7,,,L2590,
198.7747,0.0005,198.77483,50308.21,25,,,154273.980,204582.161,4p5.(2P*<3/2>).5p,2[1/2],1,4p5.(2P*<3/2>).8s,2[3/2]*,2,3,5,,,L2590,
199.1472,0.0005,199.14724,50214.11,100,,,151877.03,202091.132,4p5.4d,3D*,3,4p5.(2P*<3/2>).5f,2[9/2],4,7,9,,,L2590,
199.4042,0.0010,199.40428,50149.4,1,,,151877.03,202026.405,4p5.4d,3D*,3,4p5.(2P*<3/2>).5f,2[3/2],2,7,5,,,L2590,
200.8860,0.0005,,49779.47,4,,,,,,,,,,,1,1,,,L2590,
202.4425,0.0005,202.44226,49396.74,5,,,156737.011,206133.811,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<3/2>).7d,2[5/2]*,3,5,7,,,L2590,
202.6886,0.0005,,49336.77,4,,,,,,,,,,,1,1,,,L2590,
203.0940,0.0005,203.09383,49238.27,10,,,156895.486,206133.811,4p5.(2P*<3/2>).5p,2[5/2],3,4p5.(2P*<3/2>).7d,2[5/2]*,3,7,7,,,L2590,
203.1370,0.0005,203.13663,49227.87,15,,,156737.011,205964.962,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<3/2>).7d,2[7/2]*,3,5,7,,,L2590,
203.4560,0.0005,203.45579,49150.67,50,,,156737.011,205887.739,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<1/2>).6d,2[5/2]*,3,5,7,,,L2590,
204.1140,0.0005,204.11390,48992.22,40,,,156895.486,205887.739,4p5.(2P*<3/2>).5p,2[5/2],3,4p5.(2P*<1/2>).6d,2[5/2]*,3,7,7,,,L2590,
204.2882,0.0005,204.28821,48950.46,300,,,156895.486,205845.937,4p5.(2P*<3/2>).5p,2[5/2],3,4p5.(2P*<3/2>).7d,2[7/2]*,4,7,9,,,L2590,
205.1036,0.0005,205.10348,48755.85,50,,,140610.047,189365.923,4p5.(2P*<1/2>).5s,2[1/2]*,1,4p5.(2P*<3/2>).6p,2[1/2],0,3,1,,,L2590,
205.2870,0.0005,205.28699,48712.28,300,,,143461.977,192174.269,4p5.4d,3P*,1,4p5.(2P*<3/2>).4f,2[5/2],2,3,5,,,L2590,
205.3456,0.0005,205.34550,48698.40,500,,,143022.335,191720.748,4p5.4d,3P*,0,4p5.(2P*<3/2>).4f,2[3/2],1,1,3,,,L2590,
206.0259,0.0005,,48537.59,3,,,,,,,,,,,1,1,,,L2590,
206.5240,0.0005,206.52385,48420.53,10,,,146832.593,195253.15,4p5.4d,3F*,3,4p5.(2P*<1/2>).6p,2[3/2],2,7,5,,,L2590,
206.6085,0.0005,,48400.72,50,,,,,,,,,,,1,1,,,L2590,
206.9581,0.0005,206.95786,48318.97,2000,,,143461.977,191780.993,4p5.4d,3P*,1,4p5.(2P*<3/2>).4f,2[3/2],2,3,5,,,L2590,
207.2164,0.0005,207.21622,48258.73,1000,,,143461.977,191720.748,4p5.4d,3P*,1,4p5.(2P*<3/2>).4f,2[3/2],1,3,3,,,L2590,
207.3897,0.0005,207.38972,48218.39,100,,,143955.871,192174.269,4p5.4d,3P*,2,4p5.(2P*<3/2>).4f,2[5/2],2,5,5,,,L2590,
207.4887,0.0005,,48195.40,40,,,,,,,,,,,1,1,,,L2590,
207.5793,0.0005,,48174.37,50,,,,,,,,,,,1,1,,,L2590,
207.6616,0.0005,207.66146,48155.27,10000,,,143955.871,192111.172,4p5.4d,3P*,2,4p5.(2P*<3/2>).4f,2[5/2],3,5,7,,,L2590,
208.5216,0.0005,208.52151,47956.67,45,,,156737.011,204693.695,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<3/2>).8s,2[3/2]*,1,5,3,,,L2590,
209.0079,0.0005,209.00760,47845.09,30,,,156737.011,204582.161,4p5.(2P*<3/2>).5p,2[5/2],2,4p5.(2P*<3/2>).8s,2[3/2]*,2,5,5,,,L2590,
209.0952,0.0005,209.09513,47825.11,1000,,,143955.871,191780.993,4p5.4d,3P*,2,4p5.(2P*<3/2>).4f,2[3/2],2,5,5,,,L2590,
209.1468,0.0005,,47813.31,100,,,,,,,,,,,1,1,,,L2590,
209.3590,0.0005,209.35886,47764.84,100,,,143955.871,191720.748,4p5.4d,3P*,2,4p5.(2P*<3/2>).4f,2[3/2],1,5,3,,,L2590,
209.4350,0.0005,,47747.50,10,,,,,,,,,,,1,1,,,L2590,
209.7021,0.0005,209.70219,47686.70,150,,,156895.486,204582.161,4p5.(2P*<3/2>).5p,2[5/2],3,4p5.(2P*<3/2>).8s,2[3/2]*,2,7,5,,,L2590,
210.1561,0.0010,210.15597,47583.68,1,,,158151.666,205735.373,4p5.(2P*<3/2>).5p,2[3/2],1,4p5.(2P*<1/2>).6d,2[3/2]*,2,3,5,,,L2590,
210.3345,0.0005,210.33440,47543.32,4,,,151877.03,199420.37,4p5.4d,3D*,3,4p5.(2P*<1/2>).4f,2[7/2],4,7,9,,,L2590,
210.8728,0.0005,210.87278,47421.95,200,,,158711.854,206133.811,4p5.(2P*<3/2>).5p,2[3/2],2,4p5.(2P*<3/2>).7d,2[5/2]*,3,5,7,,,L2590,
211.7169,0.0005,211.71685,47232.89,300,,,155063.53,202296.426,4p5.4d,1D*,2,4p5.(2P*<3/2>).5f,2[7/2],3,5,7,,,L2590,
211.9424,0.0005,211.94223,47182.62,20,,,155063.53,202246.199,4p5.4d,1D*,2,4p5.(2P*<3/2>).5f,2[5/2],2,5,5,,,L2590,
211.9726,0.0010,211.97271,47175.90,1,,,158711.854,205887.739,4p5.(2P*<3/2>).5p,2[3/2],2,4p5.(2P*<1/2>).6d,2[5/2]*,3,5,7,,,L2590,
212.1414,0.0005,212.14104,47138.38,15,,,155063.53,202201.982,4p5.4d,1D*,2,4p5.(2P*<3/2>).5f,2[5/2],3,5,7,,,L2590,
212.5069,0.0005,,47057.29,2,,,,,,,,,,,1,1,,,L2590,
212.5919,0.0005,212.59202,47038.49,1000,,,145276.118,192314.573,4p5.4d,3F*,4,4p5.(2P*<3/2>).4f,2[7/2],4,9,9,,,L2590,
212.6179,0.0005,212.61776,47032.74,30,,,145276.118,192308.877,4p5.4d,3F*,4,4p5.(2P*<3/2>).4f,2[7/2],3,9,7,,,L2590,
212.6595,0.0005,212.65954,47023.53,60,,,158711.854,205735.373,4p5.(2P*<3/2>).5p,2[3/2],2,4p5.(2P*<1/2>).6d,2[3/2]*,2,5,5,,,L2590,
212.7630,0.0005,212.76298,47000.66,150,,,140610.047,187610.704,4p5.(2P*<1/2>).5s,2[1/2]*,1,4p5.(2P*<3/2>).6p,2[5/2],2,3,5,,,L2590,
212.9088,0.0005,212.90867,46968.46,3,,,158711.854,205680.350,4p5.(2P*<3/2>).5p,2[3/2],2,4p5.(2P*<1/2>).6d,2[5/2]*,2,5,5,,,L2590,
