obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
,16.6343,0.0010,601170,,6.1947e+08,AAA,0.0000,[601169],1s2,1S,0,1s.7p,1P*,1,1,3,,T8636c73,,
16.721,16.7242,0.0010,598100,,9.8247e+08,AAA,0.0000,[597936.4],1s2,1S,0,1s.6p,1P*,1,1,3,,T8636c73,L7397,
,16.7257,0.0010,597880,,1.6424e+04,AAA,0.0000,[597881.65],1s2,1S,0,1s.6d,1D,2,1,5,E2,T7378,,
,16.7319,0.0010,597660,,1.56e+00,B,0.0000,[597662.53],1s2,1S,0,1s.6p,3P*,2,1,5,M2,T5612,,
16.874,16.8743,0.0010,592600,,1.6943e+09,AAA,0.0000,[592618.4],1s2,1S,0,1s.5p,1P*,1,1,3,,T8636c73,L7397,
,16.8773,0.0010,592510,,2.6846e+04,AAA,0.0000,[592513.56],1s2,1S,0,1s.5d,1D,2,1,5,E2,T7378,,
,16.8881,0.0010,592130,,2.78e+00,B,0.0000,[592133.83],1s2,1S,0,1s.5p,3P*,2,1,5,M2,T5612,,
17.158,17.1575,0.0010,582800,,3.2984e+09,AAA,0.0000,[582836.5],1s2,1S,0,1s.4p,1P*,1,1,3,,T8636c73,L7397,
,17.1635,0.0010,582630,,4.6897e+04,AAA,0.0000,[582630.08],1s2,1S,0,1s.4d,1D,2,1,5,E2,T7378,,
,17.1855,0.0010,581890,,5.33e+00,B,0.0000,[581885.83],1s2,1S,0,1s.4p,3P*,2,1,5,M2,T5612,,
17.802,17.8015,0.0010,561700,,7.7630e+09,AAA,0.0000,[561751.95],1s2,1S,0,1s.3p,1P*,1,1,3,,T8636c73,L7397,
,17.8166,0.0010,561270,,8.2665e+04,AAA,0.0000,[561272.75],1s2,1S,0,1s.3d,1D,2,1,5,E2,T7378,,
,17.8731,0.0010,559500,,1.20e+01,B,0.0000,[559500.55],1s2,1S,0,1s.3p,3P*,2,1,5,M2,T5612,,
19.928,19.9280,0.0010,501800,,2.5569e+10,AAA,0.0000,[501807.72],1s2,1S,0,1s.2p,1P*,1,1,3,,T8636c73,L7397,
