obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
242.76038,242.760393,41192.882,100,,,28929.419,70122.300,4d8.(3F).5s,4F,5/2,4d8.(3F).5p,4D*,3/2,6,4,,,L11331,
243.16631,243.166298,41124.118,100,,,29948.151,71072.271,4d8.(3F).5s,4F,3/2,4d8.(3F).5p,4G*,5/2,4,6,,,L11331,
243.38407,243.384067,41087.324,100,,,44508.604,85595.928,4d8.(1G).5s,2G,9/2,4d8.(1G).5p,2H*,11/2,10,12,,,L11331,
243.60597,243.605965,41049.897,100,,,32280.538,73330.436,4d8.(3F).5s,2F,7/2,4d8.(3F).5p,4F*,7/2,8,8,,,L11331,
244.69300,244.692994,40867.537,150,,,27097.084,67964.621,4d8.(3F).5s,4F,7/2,4d8.(3F).5p,4D*,5/2,8,6,,,L11331,
244.74545,244.745456,40858.778,75,,,41201.082,82059.859,4d8.(1D).5s,2D,5/2,4d8.(1D).5p,2D*,5/2,6,6,,,L11331,
244.89004,244.890045,40834.653,80,,,32280.538,73115.191,4d8.(3F).5s,2F,7/2,4d8.(3F).5p,2D*,5/2,8,6,,,L11331,
245.80009,245.800088,40683.467,100,,,28929.419,69612.887,4d8.(3F).5s,4F,5/2,4d8.(3F).5p,4G*,7/2,6,8,,,L11331,
245.84778,245.847779,40675.575,60,,,34424.689,75100.265,4d8.(3F).5s,2F,5/2,4d8.(3F).5p,4F*,3/2,6,4,,,L11331,
245.85350,245.853496,40674.629,60,,,75756.251,116430.881,4d8.(3F).5p,2F*,5/2,4d8.(3F).5d,2D,5/2,6,6,,,L11331,
246.99982,246.999817,40485.860,150,,,36284.285,76770.145,4d8.(3P).5s,4P,5/2,4d8.(3P).5p,4P*,5/2,6,6,,,L11331,
247.07531,247.075296,40473.490,80,,,36284.285,76757.777,4d8.(3P).5s,4P,5/2,4d8.(3P).5p,4P*,3/2,6,4,,,L11331,
247.18985,247.189853,40454.735,100,,,32280.538,72735.273,4d8.(3F).5s,2F,7/2,4d8.(3F).5p,4F*,5/2,8,6,,,L11331,
247.32492,247.324927,40432.642,50,,,43942.864,84375.505,4d8.(3P).5s,2P,1/2,4d8.(3P).5p,2D*,3/2,2,4,,,L11331,
248.72765,248.727646,40204.618,250,,,27097.084,67301.702,4d8.(3F).5s,4F,7/2,4d8.(3F).5p,2G*,9/2,8,10,,,L11331,
248.96656,248.966546,40166.036,300,,,25084.270,65250.309,4d8.(3F).5s,4F,9/2,4d8.(3F).5p,4D*,7/2,10,8,,,L11331,
249.03540,249.035399,40154.934,75,,,43650.509,83805.443,4d8.(3P).5s,2P,3/2,4d8.(3P).5p,2D*,5/2,4,6,,,L11331,
249.95302,249.953015,40007.518,200,,,32280.538,72288.057,4d8.(3F).5s,2F,7/2,4d8.(3F).5p,4G*,9/2,8,10,,,L11331,
250.64842,250.648427,39896.521,150,,,34424.689,74321.209,4d8.(3F).5s,2F,5/2,4d8.(3F).5p,2G*,7/2,6,8,,,L11331,
251.52306,251.523073,39757.786,50,,,41201.082,80958.866,4d8.(1D).5s,2D,5/2,4d8.(1D).5p,2P*,3/2,6,4,,,L11331,
253.53622,253.536228,39442.097,80,,,37367.964,76810.059,4d8.(3P).5s,4P,3/2,4d8.(3P).5p,4P*,1/2,4,2,,,L11331,
254.00932,254.009315,39368.634,50,,,65250.309,104618.944,4d8.(3F).5p,4D*,7/2,4d8.(3F).6s,4F,9/2,8,10,,,L11331,
255.26109,255.261097,39175.575,150,,,44616.592,83792.166,4d8.(1G).5s,2G,7/2,4d8.(1G).5p,2H*,9/2,8,10,,,L11331,
256.62734,256.627343,38967.009,150,,,32280.538,71247.547,4d8.(3F).5s,2F,7/2,4d8.(3F).5p,2F*,7/2,8,8,,,L11331,
257.03143,257.031435,38905.748,100,,,34424.689,73330.436,4d8.(3F).5s,2F,5/2,4d8.(3F).5p,4F*,7/2,6,8,,,L11331,
259.40118,259.401158,38550.326,60,,,44508.604,83058.933,4d8.(1G).5s,2G,9/2,4d8.(3P).5p,4D*,7/2,10,8,,,L11331,
262.90244,262.902437,38036.923,50,,,36284.285,74321.209,4d8.(3P).5s,4P,5/2,4d8.(3F).5p,2G*,7/2,6,8,,,L11331,
263.67186,263.671840,37925.927,70,,,34424.689,72350.620,4d8.(3F).5s,2F,5/2,4d8.(3F).5p,2D*,3/2,6,4,,,L11331,
265.95112,265.951123,37600.895,150,,,32280.538,69881.432,4d8.(3F).5s,2F,7/2,4d8.(3F).5p,4F*,9/2,8,10,,,L11331,
277.74791,277.747904,36003.871,150,,,68615.072,104618.944,4d8.(3F).5p,4G*,11/2,4d8.(3F).6s,4F,9/2,12,10,,,L11331,
278.85750,278.857499,35860.610,100,,,72288.057,108148.667,4d8.(3F).5p,4G*,9/2,4d8.(3F).6s,4F,7/2,10,8,,,L11331,
280.12819,280.128193,35697.943,30,,,69612.887,105310.829,4d8.(3F).5p,4G*,7/2,4d8.(3F).6s,2F,7/2,8,8,,,L11331,
280.15812,280.158110,35694.129,20,,,82453.158,118147.288,4d8.(3P).5p,4D*,5/2,4d8.(3P).6s,4P,3/2,6,4,,,L11331,
280.82037,280.820373,35609.953,50,,,74321.209,109931.161,4d8.(3F).5p,2G*,7/2,4d8.(3F).6s,2F,5/2,8,6,,,L11331,
285.54162,285.541623,35021.164,200,,,32280.538,67301.702,4d8.(3F).5s,2F,7/2,4d8.(3F).5p,2G*,9/2,8,10,,,L11331,
287.20586,287.205861,34818.231,100,,,73330.436,108148.667,4d8.(3F).5p,4F*,7/2,4d8.(3F).6s,4F,7/2,8,8,,,L11331,
287.87322,287.873236,34737.514,100,,,69881.432,104618.944,4d8.(3F).5p,4F*,9/2,4d8.(3F).6s,4F,9/2,10,10,,,L11331,
298.150,298.152065,33540.2,50,,,34424.689,67964.621,4d8.(3F).5s,2F,5/2,4d8.(3F).5p,4D*,5/2,6,6,,,L3327,
