obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""96.907""","=""0.003""","=""96.91183""","=""0.00003""","=""1100""","=""1.4e+07""",D+,"=""43350.5817""","=""146537.16""","=""5s.5p""","=""3P*""","=""1""","=""5s.12s""","=""3S""","=""1""",,"=""T9131""","=""L1143""",
"=""96.993""","=""0.003""","=""96.98663""","=""0.00004""","=""1600""","=""4.6e+07""",D+,"=""42275.995245348""","=""145382.99""","=""5s.5p""","=""3P*""","=""0""","=""5s.10d""","=""3D""","=""1""",,"=""T9131""","=""L1143""",
"=""97.293""","=""0.003""","=""97.30797""","=""0.00019""","=""850*""","=""""",,"=""45829.256""","=""148595.76""","=""5s.5p""","=""3P*""","=""2""","=""5s.13d""","=""3D""","=""3""",,"=""""","=""L1143""",
"=""97.293""","=""0.003""","=""97.31126""","=""0.00017""","=""850*""","=""""",,"=""45829.256""","=""148592.29""","=""5s.5p""","=""3P*""","=""2""","=""5s.13d""","=""3D""","=""2""",,"=""""","=""L1143""",
"=""97.293""","=""0.003""","=""97.31369""","=""0.00019""","=""850*""","=""""",,"=""45829.256""","=""148589.72""","=""5s.5p""","=""3P*""","=""2""","=""5s.13d""","=""3D""","=""1""",,"=""""","=""L1143""",
"=""97.348""","=""0.003""","=""97.35772""","=""0.00003""","=""1400bl""","=""1.6e+07""",D+,"=""42275.995245348""","=""144989.99""","=""5s.5p""","=""3P*""","=""0""","=""5s.11s""","=""3S""","=""1""",,"=""T9131""","=""L1143""",
"=""97.454""","=""0.003""","=""97.45485""","=""0.00007""","=""390""","=""9.e+06""",D+,"=""45829.256""","=""148440.88""","=""5s.5p""","=""3P*""","=""2""","=""5s.14s""","=""3S""","=""1""",,"=""T9131""","=""L1143""",
"=""97.899""","=""0.003""","=""97.89623""","=""0.00006""","=""810""","=""""",,"=""43350.5817""","=""145499.56""","=""5s.5p""","=""3P*""","=""1""","=""5s.10d""","=""1D""","=""2""",,"=""""","=""L1143""",
"=""98.021""","=""0.003""","=""98.00355""","=""0.00005""","=""2800*""","=""6.e+07""",D+,"=""43350.5817""","=""145387.70""","=""5s.5p""","=""3P*""","=""1""","=""5s.10d""","=""3D""","=""2""",,"=""T9131""","=""L1143""",
"=""98.021""","=""0.003""","=""98.00808""","=""0.00004""","=""2800*""","=""3.3e+07""",D+,"=""43350.5817""","=""145382.99""","=""5s.5p""","=""3P*""","=""1""","=""5s.10d""","=""3D""","=""1""",,"=""T9131""","=""L1143""",
"=""98.021""","=""0.003""","=""98.02863""","=""0.00018""","=""2800*""","=""""",,"=""45829.256""","=""147840.27""","=""5s.5p""","=""3P*""","=""2""","=""5s.12d""","=""3D""","=""3""",,"=""""","=""L1143""",
"=""98.043""","=""0.003""","=""98.03246""","=""0.00016""","=""1900""","=""""",,"=""45829.256""","=""147836.29""","=""5s.5p""","=""3P*""","=""2""","=""5s.12d""","=""3D""","=""2""",,"=""""","=""L1143""",
"=""98.231""","=""0.003""","=""98.22666""","=""0.00006""","=""800""","=""1.3e+07""",D+,"=""45829.256""","=""147634.61""","=""5s.5p""","=""3P*""","=""2""","=""5s.13s""","=""3S""","=""1""",,"=""T9131""","=""L1143""",
"=""98.305""","=""0.003""","=""98.29394""","=""0.00004""","=""790""","=""8.e+05""",E,"=""43350.5817""","=""145086.25""","=""5s.5p""","=""3P*""","=""1""","=""5s.11s""","=""1S""","=""0""",,"=""T9131""","=""L1143""",
"=""98.405""","=""0.003""","=""98.38703""","=""0.00003""","=""1200""","=""4.5e+07""",D+,"=""43350.5817""","=""144989.99""","=""5s.5p""","=""3P*""","=""1""","=""5s.11s""","=""3S""","=""1""",,"=""T9131""","=""L1143""",
"=""99.019""","=""0.003""","=""98.987874""","=""0.000024""","=""2900*""","=""2.0e+07""",C,"=""42275.995245348""","=""143298.47""","=""5s.5p""","=""3P*""","=""0""","=""5s.9d""","=""3D""","=""1""",,"=""T6137""","=""L1143""",
"=""99.019""","=""0.003""","=""99.01839""","=""0.00013""","=""2900*""","=""""",,"=""45829.256""","=""146820.60""","=""5s.5p""","=""3P*""","=""2""","=""5s.11d""","=""3D""","=""3""",,"=""""","=""L1143""",
"=""99.019""","=""0.003""","=""99.02364""","=""0.00009""","=""2900*""","=""""",,"=""45829.256""","=""146815.24""","=""5s.5p""","=""3P*""","=""2""","=""5s.11d""","=""3D""","=""2""",,"=""""","=""L1143""",
