obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""334.0080""","=""0.0020""","=""334.00994""","=""0.00018""","=""15""","=""""",,"=""41434.119""","=""71364.741""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d8.(3F).6p""","=""(3,3/2)*""","=""3/2""",,"=""""","=""L11529""",
"=""334.3299""","=""0.0020""","=""334.33015""","=""0.00017""","=""52""","=""""",,"=""75184.933""","=""105086.890""","=""5d8.(1G).6p""","=""(4,1/2)*""","=""7/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""7/2""",,"=""""","=""L11529""",
"=""334.52554""","=""0.00020""","=""334.52532""","=""0.00008""","=""540""","=""""",,"=""71314.622""","=""101199.134""","=""5d8.(3F).6p""","=""(3,3/2)*""","=""7/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L10146""",
"=""335.0882""","=""0.0020""","=""335.08731""","=""0.00016""","=""160""","=""""",,"=""71364.741""","=""101199.134""","=""5d8.(3F).6p""","=""(3,3/2)*""","=""3/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""335.1940""","=""0.0020""","=""335.19417""","=""0.00016""","=""42""","=""""",,"=""76610.092""","=""106434.974""","=""5d8.6p""","=""76610*""","=""3/2""","=""5d8.(3F).6d""","=""(4,5/2)""","=""5/2""",,"=""""","=""L11529""",
"=""337.6328""","=""0.0020""","=""337.6343""","=""0.0003""","=""16""","=""""",,"=""82824.016""","=""112433.359""","=""5d8.(3F).6p""","=""82824*""","=""3/2""","=""5d8.(3P).7s""","=""(1,1/2)""","=""3/2""",,"=""""","=""L11529""",
"=""338.0992""","=""0.0020""","=""338.09865""","=""0.00016""","=""250""","=""""",,"=""71948.954""","=""101517.630""","=""5d7.(4F).6s.6p.(3P*)""","=""71948*""","=""5/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""3/2""",,"=""""","=""L11529""",
"=""338.3812""","=""0.0020""","=""338.38116""","=""0.00009""","=""33""","=""""",,"=""36484.069""","=""66028.059""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d8.(3P).6p""","=""(2,3/2)*""","=""3/2""",,"=""""","=""L11529""",
"=""338.4819""","=""0.0020""","=""338.48410""","=""0.00024""","=""4""","=""""",,"=""46046.461""","=""75581.466""","=""5d7.6s2""","=""4P""","=""1/2""","=""5d8.6p""","=""75581*""","=""3/2""",,"=""""","=""L11529""",
"=""338.8768""","=""0.0020""","=""338.8745""","=""0.0003""","=""44""","=""""",,"=""76461.582""","=""105962.560""","=""5d7.6s.6p""","=""76461*""","=""5/2""","=""5d8.(3F).7s""","=""(3,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""339.1378""","=""0.0020""","=""339.1376""","=""0.0003""","=""26p""","=""""",,"=""64003.938""","=""93482.030""","=""5d7.6s2""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""93482*""","=""7/2""",,"=""""","=""L11529""",
"=""340.5889""","=""0.0020""","=""340.58913""","=""0.00014""","=""38""","=""""",,"=""76610.092""","=""105962.560""","=""5d8.6p""","=""76610*""","=""3/2""","=""5d8.(3F).7s""","=""(3,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""340.82373""","=""0.00012""","=""340.82382""","=""0.00007""","=""190bl(Pt I)""","=""""",,"=""27255.720""","=""56587.977""","=""5d8.6s""","=""2P""","=""1/2""","=""5d8.(3P).6p""","=""(2,1/2)*""","=""3/2""",,"=""""","=""L10146""",
"=""341.20248""","=""0.00020""","=""341.20253""","=""0.00016""","=""16""","=""""",,"=""80858.512""","=""110158.213""","=""5d7.6s.6p""","=""80858*""","=""5/2""","=""5d8.(3F).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L11529""",
"=""341.7803""","=""0.0004""","=""341.78021""","=""0.00016""","=""540p""","=""""",,"=""71948.954""","=""101199.134""","=""5d7.(4F).6s.6p.(3P*)""","=""71948*""","=""5/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""5/2""",,"=""""","=""L10146""",
"=""343.3790""","=""0.0020""","=""343.3776""","=""0.0005""","=""3""","=""""",,"=""92537.11""","=""121651.220""","=""5d7.6s.6p""","=""92537*""","=""9/2""","=""5d7.6s.7s""","=""121651""","=""9/2""",,"=""""","=""L11529""",
"=""344.77633""","=""0.00012""","=""344.77611""","=""0.00006""","=""350""","=""""",,"=""24879.522""","=""53875.543""","=""5d7.6s2""","=""4F""","=""9/2""","=""5d8.(3F).6p""","=""(4,1/2)*""","=""9/2""",,"=""""","=""L10146""",
"=""345.3847""","=""0.0013""","=""345.38423""","=""0.00012""","=""280""","=""""",,"=""41434.119""","=""70379.088""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d8.(3P).6p""","=""(1,3/2)*""","=""5/2""",,"=""""","=""L3539c164""",
"=""345.57881""","=""0.00020""","=""345.57888""","=""0.00018""","=""8""","=""""",,"=""48591.109""","=""77519.775""","=""5d7.6s2""","=""2H""","=""11/2""","=""5d7.6s.6p""","=""77519*""","=""9/2""",,"=""""","=""L11529""",
"=""347.7661""","=""0.0013""","=""347.76375""","=""0.00008""","=""170""","=""""",,"=""32918.605""","=""61665.5284""","=""5d8.6s""","=""2D""","=""5/2""","=""5d8.(3F).6p""","=""(4,3/2)*""","=""7/2""",,"=""""","=""L3539c164""",
"=""350.0887""","=""0.0004""","=""350.0886""","=""0.0004""","=""22p""","=""""",,"=""85700.33""","=""114256.361""","=""5d7.6s.6p""","=""85700*""","=""9/2""","=""5d8.(3F).6d""","=""(3,3/2)""","=""7/2""",,"=""""","=""L11529""",
"=""350.5398""","=""0.0020""","=""350.54007""","=""0.00015""","=""3""","=""""",,"=""41434.119""","=""69953.370""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d8.(3F).6p""","=""(3,3/2)*""","=""5/2""",,"=""""","=""L11529""",
"=""350.5850""","=""0.0020""","=""350.5837""","=""0.0007""","=""8""","=""""",,"=""88173.38""","=""116689.079""","=""5d7.6s.6p""","=""88173*""","=""7/2""","=""5d7.6s.7s""","=""116689""","=""9/2""",,"=""""","=""L11529""",
"=""350.88500""","=""0.00020""","=""350.88505""","=""0.00011""","=""860""","=""""",,"=""73026.417""","=""101517.630""","=""5d8.(3F).6p""","=""(2,3/2)*""","=""3/2""","=""5d8.(3P).7s""","=""(2,1/2)""","=""3/2""",,"=""""","=""L11529""",
