obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""146.85551""","=""0.00020""","=""146.85553""","=""0.00009""","=""1200""","=""""",,"=""41434.119""","=""109528.25""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""109528*""","=""3/2""",,"=""""","=""L11529""",
"=""146.92036""","=""0.00020""","=""146.92033""","=""0.00009""","=""2200""","=""""",,"=""36484.069""","=""104548.17""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""104548*""","=""3/2""",,"=""""","=""L11529""",
"=""147.01835""","=""0.00020""","=""147.01838""","=""0.00009""","=""1100""","=""""",,"=""37877.855""","=""105896.56""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""105896*""","=""3/2""",,"=""""","=""L11529""",
"=""147.05363""","=""0.00020""","=""147.05356""","=""0.00006""","=""370""","=""""",,"=""32237.050""","=""100239.486""","=""5d8.6s""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""100239*""","=""5/2""",,"=""""","=""L10146""",
"=""147.09141""","=""0.00020""","=""147.09150""","=""0.00006""","=""2500""","=""""",,"=""32918.605""","=""100903.50""","=""5d8.6s""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""100903*""","=""7/2""",,"=""""","=""L10146""",
"=""147.10423""","=""0.00020""","=""147.10417""","=""0.00011""","=""1500""","=""""",,"=""43737.431""","=""111716.47""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d8.7p""","=""111716*""","=""7/2""",,"=""""","=""L11529""",
"=""147.32503""","=""0.00020""","=""147.32495""","=""0.00004""","=""2900""","=""""",,"=""32918.605""","=""100795.772""","=""5d8.6s""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""100795*""","=""3/2""",,"=""""","=""L10146""",
"=""147.33251""","=""0.00020""","=""147.33225""","=""0.00011""","=""2400*""","=""""",,"=""41434.119""","=""109307.92""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""109307*""","=""7/2""",,"=""""","=""L11529""",
"=""147.33251""","=""0.00020""","=""147.33272""","=""0.00007""","=""2400*""","=""""",,"=""34647.266""","=""102520.85""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.(2G).6s.6p.(3P*)""","=""102520*""","=""7/2""",,"=""""","=""L11529""",
"=""147.3884""","=""0.0004""","=""147.38773""","=""0.00009""","=""300l""","=""""",,"=""37877.855""","=""105726.11""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""105726*""","=""1/2""",,"=""""","=""L11529""",
"=""147.53526""","=""0.00020""","=""147.535123""","=""0.000013""","=""140""","=""""",,"=""0.000""","=""67780.470""","=""5d9""","=""2D""","=""5/2""","=""5d7.(4F).6s.6p.(3P*)""","=""(9/2,1)*""","=""7/2""",,"=""""","=""L11529""",
"=""147.56319""","=""0.00020""","=""147.56300""","=""0.00005""","=""13000""","=""""",,"=""34647.266""","=""102414.933""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""102414*""","=""5/2""",,"=""""","=""L10146""",
"=""147.62492""","=""0.00020""","=""147.62481""","=""0.00013""","=""1800""","=""""",,"=""46046.461""","=""113785.75""","=""5d7.6s2""","=""4P""","=""1/2""","=""5d6.(5D).6s2.6p""","=""6D*""","=""1/2""",,"=""""","=""L11529""",
"=""147.66290""","=""0.00020""","=""147.66290""","=""0.00013""","=""1200""","=""""",,"=""42031.892""","=""109753.71""","=""5d7.6s2""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""109753*""","=""5/2""",,"=""""","=""L11529""",
"=""147.66796""","=""0.00020""","=""147.66799""","=""0.00007""","=""470""","=""""",,"=""37877.855""","=""105597.34""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""105597*""","=""5/2""",,"=""""","=""L11529""",
"=""147.72556""","=""0.00020""","=""147.72547""","=""0.00005""","=""3300""","=""""",,"=""32918.605""","=""100611.739""","=""5d8.6s""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""100611*""","=""3/2""",,"=""""","=""L10146""",
"=""147.7659""","=""0.0010""","=""147.76579""","=""0.00009""","=""70""","=""""",,"=""36484.069""","=""104158.73""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""104158*""","=""5/2""",,"=""""","=""L11529""",
"=""147.80338""","=""0.00020""","=""147.80308""","=""0.00009""","=""4900""","=""""",,"=""24879.522""","=""92537.11""","=""5d7.6s2""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""92537*""","=""9/2""",,"=""""","=""L11529""",
"=""147.82534""","=""0.00020""","=""147.82521""","=""0.00007""","=""640""","=""""",,"=""24879.522""","=""92526.98""","=""5d7.6s2""","=""4F""","=""9/2""","=""5d7.(2H).6s.6p.(3P*)""","=""92526*""","=""11/2""",,"=""""","=""L11529""",
"=""147.89117""","=""0.00020""","=""147.89115""","=""0.00011""","=""3300""","=""""",,"=""43737.431""","=""111354.73""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d7.6s.6p""","=""111354*""","=""7/2""",,"=""""","=""L11529""",
"=""147.9209""","=""0.0010""","=""147.92058""","=""0.00011""","=""160*""","=""""",,"=""18097.764""","=""85701.61""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""85701*""","=""5/2""",,"=""""","=""L11529,L9479""",
"=""147.9209""","=""0.0010""","=""147.92338""","=""0.00007""","=""160*""","=""""",,"=""18097.764""","=""85700.33""","=""5d8.6s""","=""2F""","=""7/2""","=""5d7.6s.6p""","=""85700*""","=""9/2""",,"=""""","=""L11529,L9479""",
"=""147.98588""","=""0.00020""","=""147.98580""","=""0.00009""","=""160""","=""""",,"=""27255.720""","=""94829.77""","=""5d8.6s""","=""2P""","=""1/2""","=""5d7.6s.6p""","=""94829*""","=""1/2""",,"=""""","=""L11529""",
"=""148.01490""","=""0.00020""","=""148.01488""","=""0.00005""","=""590""","=""""",,"=""32237.050""","=""99797.827""","=""5d8.6s""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""99797*""","=""5/2""",,"=""""","=""L10146""",
"=""148.15602""","=""0.00020""","=""148.15614""","=""0.00009""","=""440""","=""""",,"=""42031.892""","=""109528.25""","=""5d7.6s2""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""109528*""","=""3/2""",,"=""""","=""L11529""",
"=""148.28270""","=""0.00020""","=""148.28254""","=""0.00007""","=""40000""","=""""",,"=""34647.266""","=""102086.09""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""102086*""","=""9/2""",,"=""""","=""L10146""",
"=""148.35530""","=""0.00020""","=""148.35533""","=""0.00011""","=""520""","=""""",,"=""16820.9342""","=""84226.67""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.(4F).6s.6p.(3P*)""","=""84226*""","=""5/2""",,"=""""","=""L11529,L9479""",
"=""148.37704""","=""0.00020""","=""148.37748""","=""0.00009""","=""120""","=""""",,"=""23875.570""","=""91271.24""","=""5d8.6s""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""91271*""","=""5/2""",,"=""""","=""L11529""",
"=""148.5424""","=""0.0010""","=""148.54232""","=""0.00004""","=""160""","=""""",,"=""32918.605""","=""100239.486""","=""5d8.6s""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""100239*""","=""5/2""",,"=""""","=""L11529""",
"=""148.60308""","=""0.00020""","=""148.60294""","=""0.00009""","=""4700""","=""""",,"=""41434.119""","=""108727.54""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""108727*""","=""7/2""",,"=""""","=""L11529""",
"=""148.62117""","=""0.00020""","=""148.62124""","=""0.00009""","=""110""","=""""",,"=""23461.548""","=""90746.68""","=""5d8.6s""","=""2F""","=""5/2""","=""5d7.6s.6p""","=""90746*""","=""5/2""",,"=""""","=""L11529""",
"=""148.73425""","=""0.00020""","=""148.73434""","=""0.00007""","=""270""","=""""",,"=""32237.050""","=""99471.02""","=""5d8.6s""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""99471*""","=""1/2""",,"=""""","=""L11529""",
"=""148.79804""","=""0.00020""","=""148.79807""","=""0.00009""","=""2400""","=""""",,"=""41434.119""","=""108639.29""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""108639*""","=""5/2""",,"=""""","=""L11529""",
"=""148.85058""","=""0.00020""","=""148.85057""","=""0.00003""","=""180""","=""""",,"=""15791.309""","=""82972.777""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""82972*""","=""3/2""",,"=""""","=""L11529""",
"=""148.88805""","=""0.00020""","=""148.88801""","=""0.00009""","=""1500""","=""""",,"=""37877.855""","=""105042.43""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""105042*""","=""5/2""",,"=""""","=""L11529""",
"=""148.94179""","=""0.00020""","=""148.94179""","=""0.00007""","=""700""","=""""",,"=""37877.855""","=""105018.18""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""105018*""","=""3/2""",,"=""""","=""L11529""",
"=""149.1803""","=""0.0004""","=""149.17994""","=""0.00009""","=""1700*""","=""""",,"=""36484.069""","=""103517.21""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""103517*""","=""7/2""",,"=""""","=""L11529""",
"=""149.1803""","=""0.0004""","=""149.18091""","=""0.00005""","=""1700*""","=""""",,"=""15791.309""","=""82824.016""","=""5d9""","=""2D""","=""3/2""","=""5d8.(3F).6p""","=""82824*""","=""3/2""",,"=""""","=""L11529""",
"=""149.19735""","=""0.00020""","=""149.19717""","=""0.00009""","=""5800""","=""""",,"=""43737.431""","=""110762.83""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d8.(3F).7p""","=""4F*""","=""9/2""",,"=""""","=""L11529""",
"=""149.29990""","=""0.00020""","=""149.29990""","=""0.00007""","=""3100""","=""""",,"=""36484.069""","=""103463.35""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""103463*""","=""5/2""",,"=""""","=""L10146""",
"=""149.31597""","=""0.00020""","=""149.31611""","=""0.00007""","=""1600""","=""""",,"=""32237.050""","=""99209.06""","=""5d8.6s""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""99209*""","=""5/2""",,"=""""","=""L10146""",
"=""149.37402""","=""0.00020""","=""149.374006""","=""0.000016""","=""640""","=""""",,"=""8419.840""","=""75365.892""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""75365*""","=""5/2""",,"=""""","=""L11529""",
"=""149.38391""","=""0.00020""","=""149.38401""","=""0.00009""","=""210""","=""""",,"=""21168.729""","=""88110.30""","=""5d8.6s""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""88110*""","=""3/2""",,"=""""","=""L11529""",
"=""149.47256""","=""0.00020""","=""149.47254""","=""0.00005""","=""46000""","=""""",,"=""34647.266""","=""101549.185""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""101549*""","=""9/2""",,"=""""","=""L11529""",
"=""149.50297""","=""0.00020""","=""149.50291""","=""0.00009""","=""1200""","=""""",,"=""41434.119""","=""108322.45""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""108322*""","=""7/2""",,"=""""","=""L11529""",
"=""149.52335""","=""0.00020""","=""149.52327""","=""0.00005""","=""250""","=""""",,"=""32918.605""","=""99797.827""","=""5d8.6s""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""99797*""","=""5/2""",,"=""""","=""L10146""",
"=""149.54014""","=""0.00020""","=""149.54002""","=""0.00011""","=""2800""","=""""",,"=""43737.431""","=""110609.16""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d7.6s.6p""","=""110609*""","=""9/2""",,"=""""","=""L11529""",
"=""149.54796""","=""0.00020""","=""149.54815""","=""0.00005""","=""580""","=""""",,"=""13329.277""","=""80197.371""","=""5d8.6s""","=""4P""","=""5/2""","=""5d8.(1G).6p""","=""(4,3/2)*""","=""7/2""",,"=""""","=""L11529""",
"=""149.56544""","=""0.00020""","=""149.56538""","=""0.00013""","=""180""","=""""",,"=""21168.729""","=""88029.12""","=""5d8.6s""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""88029*""","=""1/2""",,"=""""","=""L11529,L9479""",
"=""149.59363""","=""0.00020""","=""149.59371""","=""0.00009""","=""1900""","=""""",,"=""29262.0099""","=""96109.74""","=""5d8.6s""","=""2G""","=""9/2""","=""5d7.(4F).6s.6p""","=""96109*""","=""11/2""",,"=""""","=""L11529""",
"=""149.62958""","=""0.00020""","=""149.62953""","=""0.00004""","=""1300""","=""""",,"=""32237.050""","=""99068.777""","=""5d8.6s""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""99068*""","=""3/2""",,"=""""","=""L11529""",
"=""149.72192""","=""0.00020""","=""149.72196""","=""0.00009""","=""750""","=""""",,"=""24879.522""","=""91669.99""","=""5d7.6s2""","=""4F""","=""9/2""","=""5d7.6s.6p""","=""91669*""","=""7/2""",,"=""""","=""L11529""",
"=""149.81118""","=""0.00020""","=""149.81129""","=""0.00007""","=""24000""","=""""",,"=""34647.266""","=""101397.91""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""101397*""","=""5/2""",,"=""""","=""L10146""",
"=""149.82508""","=""0.00020""","=""149.825005""","=""0.000020""","=""420""","=""""",,"=""15791.309""","=""82535.842""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""82535*""","=""5/2""",,"=""""","=""L11529""",
"=""149.87213""","=""0.00020""","=""149.87210""","=""0.00007""","=""480""","=""""",,"=""29030.529""","=""95754.09""","=""5d8.6s""","=""2G""","=""7/2""","=""5d7.6s.6p""","=""95754*""","=""5/2""",,"=""""","=""L11529""",
"=""149.88389""","=""0.00020""","=""149.88391""","=""0.00020""","=""1900""","=""""",,"=""48591.109""","=""115309.41""","=""5d7.6s2""","=""2H""","=""11/2""","=""5d7.(2H).6s.6p""","=""115309*""","=""9/2""",,"=""""","=""L11529,L9479""",
"=""149.93717""","=""0.00020""","=""149.93710""","=""0.00007""","=""42000""","=""""",,"=""34647.266""","=""101341.90""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""101341*""","=""7/2""",,"=""""","=""L10146""",
"=""149.99177""","=""0.00020""","=""149.99179""","=""0.00009""","=""510""","=""""",,"=""37877.855""","=""104548.17""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""104548*""","=""3/2""",,"=""""","=""L11529""",
"=""150.05854""","=""0.00020""","=""150.05854""","=""0.00011""","=""1700""","=""""",,"=""42031.892""","=""108672.55""","=""5d7.6s2""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""108672*""","=""1/2""",,"=""""","=""L11529""",
"=""150.13350""","=""0.00020""","=""150.13347""","=""0.00009""","=""2400""","=""""",,"=""42031.892""","=""108639.29""","=""5d7.6s2""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""108639*""","=""5/2""",,"=""""","=""L11529""",
"=""150.14245""","=""0.00020""","=""150.14115""","=""0.00011""","=""2100*""","=""""",,"=""41434.119""","=""108038.11""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""108038*""","=""5/2""",,"=""""","=""L11529c153""",
"=""150.14245""","=""0.00020""","=""150.14296""","=""0.00007""","=""2100*""","=""""",,"=""41434.119""","=""108037.31""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""108037*""","=""7/2""",,"=""""","=""L11529""",
"=""150.30516""","=""0.00020""","=""150.30498""","=""0.00007""","=""170""","=""""",,"=""16820.9342""","=""83352.33""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""83352*""","=""7/2""",,"=""""","=""L10146""",
"=""150.3127""","=""0.0010""","=""150.312720""","=""0.000016""","=""170""","=""4.e+06""",E,"=""4786.6527""","=""71314.622""","=""5d8.6s""","=""4F""","=""9/2""","=""5d8.(3F).6p""","=""(3,3/2)*""","=""7/2""",,"=""T8261""","=""L11529""",
"=""150.45514""","=""0.00020""","=""150.45524""","=""0.00009""","=""1300""","=""""",,"=""43737.431""","=""110202.38""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d7.6s.6p""","=""110202*""","=""7/2""",,"=""""","=""L11529""",
"=""150.52454""","=""0.00020""","=""150.524468""","=""0.000016""","=""33000""","=""8.1e+07""",C+,"=""0.000""","=""66434.382""","=""5d9""","=""2D""","=""5/2""","=""5d8.(3P).6p""","=""(2,3/2)*""","=""7/2""",,"=""T8261""","=""L10146""",
"=""150.62923""","=""0.00020""","=""150.62922""","=""0.00007""","=""25000""","=""""",,"=""36484.069""","=""102872.25""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""102872*""","=""7/2""",,"=""""","=""L11529""",
"=""150.7041""","=""0.0010""","=""150.70436""","=""0.00007""","=""74""","=""""",,"=""29262.0099""","=""95617.09""","=""5d8.6s""","=""2G""","=""9/2""","=""5d7.6s.6p""","=""95617*""","=""7/2""",,"=""""","=""L11529""",
"=""150.74987""","=""0.00020""","=""150.74988""","=""0.00003""","=""480""","=""""",,"=""8419.840""","=""74754.886""","=""5d9""","=""2D""","=""3/2""","=""5d8.(3F).6p""","=""(2,3/2)*""","=""1/2""",,"=""""","=""L10146""",
"=""150.76288""","=""0.00020""","=""150.76287""","=""0.00011""","=""7400""","=""""",,"=""43737.431""","=""110066.76""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d8.(3F).7p""","=""4F*""","=""9/2""",,"=""""","=""L11529""",
"=""150.80257""","=""0.00020""","=""150.80269""","=""0.00014""","=""160""","=""""",,"=""21717.305""","=""88029.12""","=""5d8.6s""","=""4P""","=""1/2""","=""5d7.6s.6p""","=""88029*""","=""1/2""",,"=""""","=""L11529,L9479""",
"=""150.85109""","=""0.00020""","=""150.85128""","=""0.00007""","=""2500""","=""""",,"=""32918.605""","=""99209.06""","=""5d8.6s""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""99209*""","=""5/2""",,"=""""","=""L10146""",
"=""150.87309""","=""0.00020""","=""150.87308""","=""0.00009""","=""1400""","=""""",,"=""37877.855""","=""104158.73""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""104158*""","=""5/2""",,"=""""","=""L11529""",
"=""150.87932""","=""0.00020""","=""150.879071""","=""0.000020""","=""1300""","=""""",,"=""13329.277""","=""79607.522""","=""5d8.6s""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""79607*""","=""5/2""",,"=""""","=""L10146""",
"=""150.92935""","=""0.00020""","=""150.92919""","=""0.00007""","=""150000""","=""""",,"=""34647.266""","=""100903.50""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""100903*""","=""7/2""",,"=""""","=""L10146""",
"=""151.02478""","=""0.00020""","=""151.02488""","=""0.00009""","=""100""","=""""",,"=""37877.855""","=""104092.11""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""104092*""","=""3/2""",,"=""""","=""L11529""",
"=""151.05936""","=""0.00020""","=""151.058960""","=""0.000021""","=""740""","=""""",,"=""8419.840""","=""74619.157""","=""5d9""","=""2D""","=""3/2""","=""5d8.6p""","=""74619*""","=""5/2""",,"=""""","=""L10146""",
"=""151.07023""","=""0.00020""","=""151.07046""","=""0.00005""","=""1000""","=""""",,"=""36484.069""","=""102678.346""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""102678*""","=""3/2""",,"=""""","=""L11529""",
"=""151.12021""","=""0.00020""","=""151.12020""","=""0.00016""","=""1900""","=""""",,"=""48591.109""","=""114763.60""","=""5d7.6s2""","=""2H""","=""11/2""","=""5d7.(2H).6s.6p""","=""114763*""","=""11/2""",,"=""""","=""L11529,L9479""",
"=""151.16233""","=""0.00020""","=""151.16235""","=""0.00009""","=""910""","=""""",,"=""41434.119""","=""107588.16""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""107588*""","=""3/2""",,"=""""","=""L11529""",
"=""151.20895""","=""0.00020""","=""151.20891""","=""0.00016""","=""1600""","=""""",,"=""50564.651""","=""116698.32""","=""5d7.6s2""","=""2G""","=""7/2""","=""5d7.6s.6p""","=""116698*""","=""9/2""",,"=""""","=""L11529,L9479""",
"=""151.3560""","=""0.0010""","=""151.35607""","=""0.00011""","=""140""","=""""",,"=""50564.651""","=""116634.02""","=""5d7.6s2""","=""2G""","=""7/2""","=""5d7.6s.6p""","=""116633*""","=""7/2""",,"=""""","=""L11529,L9479""",
"=""151.4311""","=""0.0004""","=""151.43076""","=""0.00007""","=""160p""","=""""",,"=""36484.069""","=""102520.85""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.(2G).6s.6p.(3P*)""","=""102520*""","=""7/2""",,"=""""","=""L11529""",
"=""151.4333""","=""0.0004""","=""151.43333""","=""0.00016""","=""170p""","=""""",,"=""21168.729""","=""87204.39""","=""5d8.6s""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""87204*""","=""3/2""",,"=""""","=""L11529""",
"=""151.45077""","=""0.00020""","=""151.450764""","=""0.000016""","=""3300""","=""""",,"=""0.000""","=""66028.059""","=""5d9""","=""2D""","=""5/2""","=""5d8.(3P).6p""","=""(2,3/2)*""","=""3/2""",,"=""""","=""L10146""",
"=""151.50089""","=""0.00020""","=""151.50088""","=""0.00011""","=""2600""","=""""",,"=""42031.892""","=""108038.11""","=""5d7.6s2""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""108038*""","=""5/2""",,"=""""","=""L11529""",
"=""151.52502""","=""0.00020""","=""151.52507""","=""0.00011""","=""2700""","=""""",,"=""43737.431""","=""109733.11""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d8.(3F).7p""","=""4D*""","=""7/2""",,"=""""","=""L11529""",
"=""151.59776""","=""0.00020""","=""151.59775""","=""0.00014""","=""320""","=""""",,"=""29262.0099""","=""95226.05""","=""5d8.6s""","=""2G""","=""9/2""","=""5d7.6s.6p""","=""95226*""","=""9/2""",,"=""""","=""L11529""",
"=""151.67413""","=""0.00020""","=""151.67403""","=""0.00005""","=""3600""","=""""",,"=""36484.069""","=""102414.933""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""102414*""","=""5/2""",,"=""""","=""L10146""",
"=""151.74676""","=""0.00020""","=""151.74691""","=""0.00005""","=""4200""","=""""",,"=""32918.605""","=""98817.807""","=""5d8.6s""","=""2D""","=""5/2""","=""5d7.6s.6p""","=""98817*""","=""7/2""",,"=""""","=""L10146""",
"=""151.9480""","=""0.0010""","=""151.94795""","=""0.00007""","=""79""","=""""",,"=""29030.529""","=""94842.54""","=""5d8.6s""","=""2G""","=""7/2""","=""5d7.6s.6p""","=""94842*""","=""7/2""",,"=""""","=""L11529""",
"=""151.95970""","=""0.00020""","=""151.95973""","=""0.00016""","=""2000""","=""""",,"=""46046.461""","=""111853.37""","=""5d7.6s2""","=""4P""","=""1/2""","=""5d7.6s.6p""","=""111853*""","=""3/2""",,"=""""","=""L11529,L9479""",
"=""152.06130""","=""0.00020""","=""152.061372""","=""0.000018""","=""140""","=""""",,"=""13329.277""","=""79092.198""","=""5d8.6s""","=""4P""","=""5/2""","=""5d8.(3P).6p""","=""79092*""","=""3/2""",,"=""""","=""L11529""",
"=""152.06947""","=""0.00020""","=""152.06943""","=""0.00009""","=""1000""","=""""",,"=""37877.855""","=""103637.29""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.(4P).6s.6p""","=""103637*""","=""1/2""",,"=""""","=""L11529""",
"=""152.07414""","=""0.00020""","=""152.07414""","=""0.00009""","=""7300""","=""""",,"=""41434.119""","=""107191.52""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d7.6s.6p""","=""107191*""","=""5/2""",,"=""""","=""L11529""",
"=""152.13206""","=""0.00020""","=""152.13195""","=""0.00007""","=""430""","=""""",,"=""23875.570""","=""89607.98""","=""5d8.6s""","=""4P""","=""3/2""","=""5d7.6s.6p""","=""89607*""","=""5/2""",,"=""""","=""L10146""",
"=""152.1730""","=""0.0010""","=""152.172472""","=""0.000021""","=""120""","=""""",,"=""16820.9342""","=""82535.842""","=""5d8.6s""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""82535*""","=""5/2""",,"=""""","=""L11529""",
"=""152.36106""","=""0.00020""","=""152.36112""","=""0.00009""","=""220""","=""""",,"=""23461.548""","=""89095.09""","=""5d8.6s""","=""2F""","=""5/2""","=""5d7.6s.6p""","=""89095*""","=""3/2""",,"=""""","=""L11529""",
"=""152.43266""","=""0.00020""","=""152.43263""","=""0.00006""","=""160""","=""""",,"=""29030.529""","=""94633.282""","=""5d8.6s""","=""2G""","=""7/2""","=""5d7.6s.6p""","=""94633*""","=""5/2""",,"=""""","=""L11529""",
"=""152.45723""","=""0.00020""","=""152.45711""","=""0.00005""","=""33000""","=""""",,"=""34647.266""","=""100239.486""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""100239*""","=""5/2""",,"=""""","=""L10146""",
"=""152.47295""","=""0.00020""","=""152.47274""","=""0.00007""","=""210000*""","=""""",,"=""37877.855""","=""103463.35""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""103463*""","=""5/2""",,"=""""","=""L11529""",
"=""152.47295""","=""0.00020""","=""152.47286""","=""0.00007""","=""210000*""","=""""",,"=""34647.266""","=""100232.71""","=""5d7.6s2""","=""4F""","=""7/2""","=""5d7.6s.6p""","=""100232*""","=""9/2""",,"=""""","=""L11529""",
"=""152.48543""","=""0.00020""","=""152.48543""","=""0.00003""","=""1400""","=""""",,"=""8419.840""","=""73999.874""","=""5d9""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""73999*""","=""5/2""",,"=""""","=""L11529""",
"=""152.50764""","=""0.00020""","=""152.50763""","=""0.00012""","=""1500""","=""""",,"=""43737.431""","=""109307.92""","=""5d7.6s2""","=""2G""","=""9/2""","=""5d7.6s.6p""","=""109307*""","=""7/2""",,"=""""","=""L11529""",
"=""152.52635""","=""0.00020""","=""152.52633""","=""0.00012""","=""1100""","=""""",,"=""41434.119""","=""106996.57""","=""5d7.6s2""","=""4P""","=""5/2""","=""5d8.7p""","=""106996*""","=""7/2""",,"=""""","=""L11529""",
"=""152.55656""","=""0.00020""","=""152.55642""","=""0.00007""","=""140""","=""""",,"=""32237.050""","=""97786.57""","=""5d8.6s""","=""2D""","=""3/2""","=""5d7.6s.6p""","=""97786*""","=""3/2""",,"=""""","=""L11529""",
"=""152.57082""","=""0.00020""","=""152.57077""","=""0.00009""","=""550""","=""""",,"=""37877.855""","=""103421.21""","=""5d7.6s2""","=""4F""","=""3/2""","=""5d7.6s.6p""","=""103421*""","=""3/2""",,"=""""","=""L11529""",
"=""152.64320""","=""0.00020""","=""152.64318""","=""0.00007""","=""140""","=""""",,"=""27255.720""","=""92767.98""","=""5d8.6s""","=""2P""","=""1/2""","=""5d7.6s.6p""","=""92767*""","=""3/2""",,"=""""","=""L11529""",
"=""152.82846""","=""0.00020""","=""152.82824""","=""0.00007""","=""17000""","=""""",,"=""36484.069""","=""101917.00""","=""5d7.6s2""","=""4F""","=""5/2""","=""5d7.6s.6p""","=""101916*""","=""5/2""",,"=""""","=""L10146""",
