"=""298.0962""","=""298.098+""","=""15""","=""""",,"=""78390.9""","=""111927.1""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.4f""","=""3D""","=""3""",,"=""""","=""L3304,L16370""",
"=""303.401""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""304.0669""","=""304.066+""","=""12*""","=""""",,"=""72389.7""","=""105267.7""","=""5s2.5p.5d""","=""1D*""","=""2""","=""5s2.5p.4f""","=""1F""","=""3""",,"=""""","=""L3304,L16370""",
"=""304.0669""","=""304.065+""","=""12*""","=""""",,"=""78390.9""","=""111269.0""","=""5s.5p3""","=""3P*""","=""2""","=""5s2.5p.4f""","=""3G""","=""3""",,"=""""","=""L3304,L16370""",
"=""324.1280""","=""324.118+""","=""20""","=""""",,"=""81083.0""","=""111927.1""","=""5s2.5p.5d""","=""3F*""","=""4""","=""5s2.5p.4f""","=""3D""","=""3""",,"=""""","=""L3304,L16370""",
"=""349.846""","=""349.845+""","=""15""","=""""",,"=""76691.8""","=""105267.7""","=""5s2.5p.5d""","=""3F*""","=""2""","=""5s2.5p.4f""","=""1F""","=""3""",,"=""""","=""L3304,L16370""",
"=""352.0474""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""385.022""","=""385.014+""","=""20""","=""""",,"=""67887.5""","=""93853.2""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.6p""","=""1D""","=""2""",,"=""""","=""L3304,L16370""",
"=""413.363""","=""413.363+""","=""20""","=""""",,"=""88259.7""","=""112444.7""","=""5s2.5p.5d""","=""3D*""","=""3""","=""5s2.5p.4f""","=""1G""","=""4""",,"=""""","=""L3304,L16370""",
"=""414.054""","=""414.061+""","=""15""","=""""",,"=""66502.3""","=""90646.5""","=""5s.5p3""","=""3D*""","=""2""","=""5s2.5p.6p""","=""3P""","=""1""",,"=""""","=""L3304,L16370""",
"=""419.517""","=""419.512+""","=""15""","=""""",,"=""67887.5""","=""91718.0""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.6p""","=""3P""","=""2""",,"=""""","=""L3304,L16370""",
"=""421.907""","=""421.90+""","=""20""","=""""",,"=""67887.5""","=""91583.2""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.6p""","=""3D""","=""3""",,"=""""","=""L3304,L16370""",
"=""431.432""","=""431.43+""","=""20""","=""""",,"=""88259.7""","=""111432.0""","=""5s2.5p.5d""","=""3D*""","=""3""","=""5s2.5p.4f""","=""3G""","=""4""",,"=""""","=""L3304,L16370""",
"=""434.483""","=""434.48+""","=""12""","=""""",,"=""88259.7""","=""111269.0""","=""5s2.5p.5d""","=""3D*""","=""3""","=""5s2.5p.4f""","=""3G""","=""3""",,"=""""","=""L3304,L16370""",
"=""441.142""","=""441.13+""","=""12*""","=""""",,"=""104722.7""","=""127385.2""","=""5s2.5p.6d""","=""3D*""","=""2""","=""5s.5p2.(4P).6s""","=""3P""","=""1""",,"=""""","=""L3304,L16370""",
"=""441.142""","=""441.15+""","=""12*""","=""""",,"=""90323.2""","=""112984.9""","=""5s2.5p.5d""","=""1P*""","=""1""","=""5s2.5p.4f""","=""3D""","=""1""",,"=""""","=""L3304,L16370""",
"=""444.648""","=""444.65+""","=""12""","=""""",,"=""91360.1""","=""113843.2""","=""5s2.5p.5d""","=""3P*""","=""1""","=""5s2.5p.7p""","=""3P""","=""2""",,"=""""","=""L3304,L16370""",
"=""450.692""","=""450.68+""","=""12""","=""""",,"=""69535.7""","=""91718.0""","=""5s2.5p.6s""","=""3P*""","=""1""","=""5s2.5p.6p""","=""3P""","=""2""",,"=""""","=""L3304,L16370""",
"=""451.450""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""459.690""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""459.909""","=""459.92+""","=""20""","=""""",,"=""90323.2""","=""112060.0""","=""5s2.5p.5d""","=""1P*""","=""1""","=""5s2.5p.4f""","=""1D""","=""2""",,"=""""","=""L3304,L16370""",
"=""460.477""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""464.7316""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""467.5745""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""471.126""","=""471.13+""","=""40""","=""""",,"=""91225.0""","=""112444.7""","=""5s2.5p.5d""","=""1F*""","=""3""","=""5s2.5p.4f""","=""1G""","=""4""",,"=""""","=""L3304""",
"=""473.544""","=""473.56+""","=""12""","=""""",,"=""69535.7""","=""90646.5""","=""5s2.5p.6s""","=""3P*""","=""1""","=""5s2.5p.6p""","=""3P""","=""1""",,"=""""","=""L3304""",
"=""475.781""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""476.536""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""476.691""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""478.403""","=""478.42+""","=""30""","=""""",,"=""83826.4""","=""104722.7""","=""5s2.5p.6p""","=""3D""","=""1""","=""5s2.5p.6d""","=""3D*""","=""2""",,"=""""","=""L3304""",
"=""480.201""","=""480.20+""","=""20""","=""""",,"=""91241.3""","=""112060.0""","=""5s2.5p.5d""","=""3P*""","=""2""","=""5s2.5p.4f""","=""1D""","=""2""",,"=""""","=""L3304,L16370""",
"=""483.282""","=""483.29+""","=""20""","=""""",,"=""91241.3""","=""111927.1""","=""5s2.5p.5d""","=""3P*""","=""2""","=""5s2.5p.4f""","=""3D""","=""3""",,"=""""","=""L3304""",
"=""487.724""","=""487.74+""","=""20""","=""""",,"=""85094.1""","=""105591.1""","=""5s2.5p.5d""","=""3D*""","=""1""","=""5s2.5p.4f""","=""3F""","=""2""",,"=""""","=""L3304,L16370""",
"=""494.740""","=""494.74+""","=""15""","=""""",,"=""91225.0""","=""111432.0""","=""5s2.5p.5d""","=""1F*""","=""3""","=""5s2.5p.4f""","=""3G""","=""4""",,"=""""","=""L3304""",
"=""504.456""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""516.632""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""517.655""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""523.894""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""535.424""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""546.408""","=""546.41+""","=""15""","=""""",,"=""67887.5""","=""86183.6""","=""5s.5p3""","=""3D*""","=""3""","=""5s2.5p.6p""","=""3D""","=""2""",,"=""""","=""L3304,L16370""",
"=""556.813""","=""556.82+""","=""15""","=""""",,"=""75898.9""","=""93853.2""","=""5s2.5p.6s""","=""1P*""","=""1""","=""5s2.5p.6p""","=""1D""","=""2""",,"=""""","=""L3304,L16370""",
"=""563.975""","=""563.97+""","=""30""","=""""",,"=""75274.5""","=""93000.9""","=""5s2.5p.6s""","=""3P*""","=""2""","=""5s2.5p.6p""","=""3S""","=""1""",,"=""""","=""L3304,L16370""",
"=""589.509""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""600.5210""","=""600.51+""","=""100""","=""""",,"=""69535.7""","=""86183.6""","=""5s2.5p.6s""","=""3P*""","=""1""","=""5s2.5p.6p""","=""3D""","=""2""",,"=""""","=""L3304,L16370""",
"=""605.3411""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304,L16370""",
"=""607.9797""","=""607.97+""","=""30""","=""""",,"=""75274.5""","=""91718.0""","=""5s2.5p.6s""","=""3P*""","=""2""","=""5s2.5p.6p""","=""3P""","=""2""",,"=""""","=""L3304,L16370""",
"=""613.004""","=""612.98+""","=""50*""","=""""",,"=""76691.8""","=""93000.9""","=""5s2.5p.5d""","=""3F*""","=""2""","=""5s2.5p.6p""","=""3S""","=""1""",,"=""""","=""L3304,L16370""",
"=""613.0043""","=""613.00+""","=""50*""","=""""",,"=""75274.5""","=""91583.2""","=""5s2.5p.6s""","=""3P*""","=""2""","=""5s2.5p.6p""","=""3D""","=""3""",,"=""""","=""L3304,L16370""",
"=""615.4945""","=""615.50+""","=""20""","=""""",,"=""91583.2""","=""107825.6""","=""5s2.5p.6p""","=""3D""","=""3""","=""5s2.5p.7s""","=""3P*""","=""2""",,"=""""","=""L3304,L16370""",
"=""630.2764""","=""630.28+""","=""12""","=""""",,"=""77139.4""","=""93000.9""","=""5s.5p3""","=""3P*""","=""1""","=""5s2.5p.6p""","=""3S""","=""1""",,"=""""","=""L3304,L16370""",
"=""664.744""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""668.801""","=""""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
"=""680.667""","=""""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3304""",
