obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
636.1957,0.0003,636.1957,15718.433,150h,4.8e+06,,126941.844,142660.277,5d10.8p,2P*,1/2,5d10.10d,2D,3/2,2,4,,T7226,L11760,
639.6658,0.0003,639.6655,15633.164,55000,1.8e+07,,123411.351,139044.521,5d10.5f,2F*,5/2,5d10.6g,2G,7/2,6,8,,T7226,L11760,
644.2327,0.0003,644.2328,15522.341,30h,1.8e+05,,124614.794,140137.134,5d9.6s.6p,"(2D<3/2>,1P<1>)*",3/2,5d9.6s.7s,"[(2D<5/2>,1/2)<2>,1/2]",5/2,4,6,,T7226,L11760,
652.2894,0.0003,652.2896,15330.619,150000c,1.6e+07,,106086.013,121416.626,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,5d10.8s,2S,1/2,4,2,,T7226,L11760,
664.85194,0.00010,664.85193,15040.9427,1300,,,35514.624,50555.567,5d9.6s2,2D,5/2,5d9.6s2,2D,3/2,6,4,UT,,L11760,
670.3880,0.0003,670.3882,14916.734,170h,5.3e+06,,127795.481,142712.211,5d10.8p,2P*,3/2,5d10.10d,2D,5/2,4,6,,T7226,L11760,
694.7390,0.0003,694.7389,14393.895,120h,2.2e+06,,121416.626,135810.522,5d10.8s,2S,1/2,5d10.9p,2P*,3/2,2,4,,T7226,L11760,
734.8532,0.0003,734.8526,13608.160,600000E,5.3e+07,,111971.464,125579.636,5d10.7p,2P*,3/2,5d10.7d,2D,5/2,4,6,,T7226,L11760,
739.7659,0.0003,,13517.790,1200h,,,,,,,,,,,1,1,,,L11760,
741.3894,0.0003,741.3893,13488.189,600w,1.1e+07,,125325.531,138813.721,5d10.7d,2D,3/2,5d10.7f,2F*,5/2,4,6,,T7226,L11760,
741.9907,0.0004,741.9916,13477.258,18000c,1.2e+07,,95714.406,109191.648,5d10.7s,2S,1/2,5d9.6s.6p,"(2D<3/2>,3P<2>)*",3/2,2,4,,T7226,L11760,
748.8360,0.0003,748.8355,13354.060,6500w,8.5e+06,,111971.464,125325.531,5d10.7p,2P*,3/2,5d10.7d,2D,3/2,4,4,,T7226,L11760,
756.6617,0.0003,756.6617,13215.946,12000h,1.1e+07,,125579.636,138795.581,5d10.7d,2D,5/2,5d10.7f,2F*,7/2,6,8,,T7226,L11760,
762.2861,0.0003,762.2856,13118.434,60000h,4.0e+07,,108298.183,121416.626,5d10.7p,2P*,1/2,5d10.8s,2S,1/2,2,2,,T7226,L11760,
777.4090,0.0004,,12863.242,2000w,,,,,,,,,,,1,1,,,L11760,
788.3202,0.0002,788.3203,12685.201,110h,9.5e+06,,126941.844,139627.043,5d10.8p,2P*,1/2,5d10.9d,2D,3/2,2,4,,T7226,L11760,
794.6740,0.0002,794.6740,12583.776,25000000,4.3e+07,,95714.406,108298.183,5d10.7s,2S,1/2,5d10.7p,2P*,1/2,2,2,,T7226,L11760,
840.8429,0.0003,840.8430,11892.828,100c,9.8e+06,,127795.481,139688.308,5d10.8p,2P*,3/2,5d10.9d,2D,5/2,4,6,,T7226,L11760,
855.1013,0.0003,855.1018,11694.521,1000c,2.0e+07,,121960.399,133654.913,5d9.6s.6p,"(2D<3/2>,1P<1>)*",5/2,5d10.5g,2G,7/2,6,8,,T7226,L11760,
952.2810,0.0004,952.2808,10501.103,600000h,7.2e+07,,123153.775,133654.879,5d10.5f,2F*,7/2,5d10.5g,2G,9/2,8,10,,T7226,L11760,
964.1704,0.0004,964.1707,10371.611,180000c,7.2e+06,,95714.406,106086.013,5d10.7s,2S,1/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2,2,4,,T7226,L11760,
976.2233,0.0004,976.2229,10243.558,20000w,5.1e+07,,123411.351,133654.913,5d10.5f,2F*,5/2,5d10.5g,2G,7/2,6,8,,T7226,L11760,
