obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
307.99369,0.00003,307.993654,0.000006,32468.198,100,,,4113.35932,36581.5608,6d.(2D).7s2,,5/2,6d2.(3F).7p,*,3/2,6,4,,,L5951,
308.078193,0.000022,308.078191,0.000006,32459.2919,200,,,6691.38730,39150.6794,5f.6d.(3F*).7s,4F*,3/2,5f.6d.(3F*).7p,,3/2,4,4,,,L5951,
308.111159,0.000006,308.111161,0.000005,32455.8189,3100,,,10189.06681,42644.8856,5f.6d.(3H*).7s,4H*,11/2,5f.6d.(3H*).7p,,13/2,12,14,,,L5951,
308.16249,0.00013,308.162461,0.000006,32450.413,55,,,9238.02035,41688.4362,5f.6d.(1G*).7s,*,9/2,5f2.6d+5f.6d.7p,,7/2,10,8,,,L2372,
308.17288,0.00013,308.172806,0.000005,32449.318,350,,,6168.35582,38617.6823,5f.6d.(3H*).7s,4H*,7/2,5f.7s.(1F*).7p,,9/2,8,10,,,L2372,
308.19269,0.00003,308.192677,0.000019,32447.233,160,,,13250.50912,45697.7434,6d2.(1D).7s,,5/2,6d.7s.(1D).7p,*,3/2,6,4,,,L5951,
308.255453,0.000017,308.255459,0.000007,32440.6265,320,,,13248.70938,45689.3352,6d3,4F,9/2,6d2.(3F).7p,*,7/2,10,8,,,L5951,
308.287600,0.000010,308.287607,0.000003,32437.2437,840,,,4146.57708,36583.8200,6d2.(3F).7s,4F,7/2,6d2.(1D).7p,*,7/2,8,8,,,L5951,
308.304811,0.000012,308.304829,0.000007,32435.4329,650,,,13468.96833,45904.3993,5f.6d.(3G*).7s,4G*,9/2,5f2.6d+5f.6d.7p,,9/2,10,10,,,L5951,
308.309027,0.000013,308.309013,0.000007,32434.9893,550,,,13818.33810,46253.3289,5f.6d.(3F*).7s,*,7/2,5f2.6d+5f.6d.7p,,9/2,8,10,,,L5951,
308.35013,0.00013,308.349998,0.000008,32430.666,13,,,14275.57661,46706.2562,5f.(2F*).6d2.(3F),4I*,9/2,5f2.6d+5f.6d.7p,,7/2,10,8,,,L2372,
308.388858,0.000015,308.388848,0.000008,32426.5931,430,,,12472.17734,44898.7714,5f.6d.(3F*).7s,2F*,5/2,5f2.6d+5f.6d.7p,,7/2,6,8,,,L5951,
308.390124,0.000020,308.390149,0.000007,32426.4599,240,,,14484.32431,46910.7816,5f.6d.(3H*).7s,2H*,11/2,5f.6d.(3H*).7p,,13/2,12,14,,,L5951,
308.419270,0.000012,308.419271,0.000008,32423.3956,640,,,10673.13832,43096.5338,5f.6d.(3F*).7s,*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L5951,
308.45195,0.00013,308.451921,0.000010,32419.960,52,,,16033.14845,48453.1119,5f.6d.(3D*).7s,*,5/2,5f2.6d+5f.6d.7p,,7/2,6,8,,,L2372,
308.46727,0.00013,308.467261,0.000008,32418.351,6,,,15453.03596,47871.3872,5f.6d.(3D*).7s,4D*,7/2,5f2.6d+5f.6d.7p,,7/2,8,8,,,L2372,
308.47406,0.00013,308.474130,0.000011,32417.637,130,,,12472.17734,44889.8067,5f.6d.(3F*).7s,2F*,5/2,5f2.6d,,3/2,6,4,,,L2372,
308.51747,0.00013,308.517353,0.000008,32413.075,13,,,12485.68373,44898.7714,5f.(2F*).6d2.(3F),*,7/2,5f2.6d+5f.6d.7p,,7/2,8,8,,,L2372,
308.52307,0.00013,308.522895,0.000014,32412.487,19,,,17460.62698,49873.1324,5f.6d.(3P*).7s,4P*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L2372,
308.540410,0.000023,308.540374,0.000009,32410.6654,190,,,26762.27344,59172.9427,5f2.(3F).7s,,3/2,,*,3/2 or 5/2,4,4,,,L5951,
308.54198,0.00013,308.542146,0.000008,32410.501,13,,,12488.28836,44898.7714,5f.6d.(3F*).7s,4F*,9/2,5f2.6d+5f.6d.7p,,7/2,10,8,,,L2372,
308.55848,0.00013,308.558150,0.000014,32408.767,6,,,22513.2927,54922.0947,5f.(2F*).6d2.(3P),*,5/2,5f.6d.7p,,3/2,6,4,,,L2372,
308.60609,0.00013,308.606001,0.000013,32403.767,24,,,12902.37757,45306.1545,5f.6d.(3D*).7s,*,3/2,5f.6d.7p,,3/2,4,4,,,L2372,
308.70432,0.00013,308.70425,0.00006,32393.457,12,,,27593.96780,59987.432,5f2.(3F).7s,,5/2,5f.7p2? ,*,3/2,6,4,,,L2372,
308.72576,0.00004,308.725731,0.000017,32391.207,84,,,22106.43260,54497.6426,6d3,2F,5/2,6d.7s.(3D).7p,*,7/2,6,8,,,L5951,
308.73623,0.00013,308.736273,0.000010,32390.109,18,,,14545.55724,46935.6613,5f.6d.(3D*).7s,4D*,5/2,5f2.6d,,3/2,6,4,,,L2372,
308.76008,0.00003,308.760087,0.000013,32387.606,140,,,33209.3969,65597.0027,5f.7s.(3F*).7p,,7/2,,*,5/2 or 7/2,8,6,,,L5951,
308.79634,0.00013,308.796334,0.000006,32383.803,12,,,10572.04139,42955.8455,5f.6d.(3H*).7s,*,9/2,5f.6d.(3H*).7p,,9/2,10,10,,,L2372,
308.81712,0.00004,308.817140,0.000009,32381.625,72,,,15349.88002,47731.5024,5f.6d.(3G*).7s,4G*,11/2,5f2.6d+5f.6d.7p,,9/2,12,10,,,L5951,
308.83079,0.00004,308.830827,0.000004,32380.191,78,,,1521.89632,33902.0835,6d2.(3F).7s,4F,5/2,6d2.(1G).7p,*,7/2,6,8,,,L5951,
308.84144,0.00003,308.841447,0.000014,32379.074,120,,,29431.84884,61810.9226,5f2.(3F).7s,4F,7/2,,*,7/2,8,8,,,L5951,
308.85870,0.00004,308.858726,0.000007,32377.266,70,,,14484.32431,46861.5867,5f.6d.(3H*).7s,2H*,11/2,5f.6d.(3G*).7p,,11/2,12,12,,,L5951,
308.936626,0.000009,308.936630,0.000005,32369.0982,1500,,,7331.48541,39700.5832,5f.6d.(3F*).7s,4F*,5/2,5f.6d.(3H*).7p,,5/2,6,6,,,L5951,
308.94236,0.00003,308.942304,0.000006,32368.498,97,,,6700.18627,39068.6896,5f.6d.(3H*).7s,*,9/2,5f2.(3F).6d,,7/2,10,8,,,L5951,
308.97336,0.00003,308.973369,0.000012,32365.249,150,,,8460.35308,40825.6020,6d3,,3/2,6d2.(3F).7p,4D*,1/2,4,2,,,L5951,
308.98639,0.00013,308.986278,0.000023,32363.885,25,,,17121.62038,49485.5171,5f.(2F*).6d2.(1D),*,3/2,5f.6d.(3D*).7p,,1/2,4,2,,,L2372,
309.052309,0.000022,309.052332,0.000009,32356.9820,210,,,14545.55724,46902.5368,5f.6d.(3D*).7s,4D*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L5951,
309.05961,0.00013,309.05971,0.00006,32356.218,6,,,27631.22501,59987.432,5f.7s.(3F*).7p,,3/2,5f.7p2? ,*,3/2,4,4,,,L2372,
309.09717,0.00003,309.097167,0.000012,32352.286,120,,,30452.72533,62805.0115,5f.6d.(3H*).7p,,9/2,,*,7/2 or 9/2,10,8,,,L5951,
309.099078,0.000011,309.099074,0.000004,32352.0861,720,,,1859.93843,34212.0250,6d2.(3F).7s,4F,3/2,6d.7s.(3D).7p,*,5/2,4,6,,,L5951,
309.10823,0.00004,309.108221,0.000010,32351.128,78,,,9585.40432,41936.5335,5f.6d.(3G*).7s,4G*,5/2,5f2.(3F).6d,,3/2,6,4,,,L5951,
309.21875,0.00013,309.21899,0.00007,32339.566,6,,,18568.2655,50907.806,5f.(2F*).6d2.(3F),*,1/2,5f.6d.(3D*).7p,,3/2,2,4,,,L2372,
