obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
153.6276,0.0002,153.62765+,65092.47,15,3.61e+08,,48749.85,113842.301,4s.4p,3P*,2,4s.4d,3D,2,5,5,,T8042,L12180,
153.6898,0.0002,153.69002+,65066.13,11,4.0e+07,,48749.85,113815.885,4s.4p,3P*,2,4s.4d,3D,1,5,3,,T8042,L12180,
153.9930,0.0002,153.99310+,64938.02,11,,,70701.427,135639.40,4s.4p,1P*,1,4p2,1S,0,3,1,,,L12180,
158.6298,0.0002,158.6300+,63039.86,7,,,70701.427,133741.20,4s.4p,1P*,1,4s.6s,1S,0,3,1,,,L12180,
166.9268,0.0003,166.92651+,59906.50,6,,,47814.114,107720.716,4s.4p,3P*,1,4p2,1D,2,3,5,,,L12180,
169.5756,0.0002,169.5753+,58970.75,8,,,48749.85,107720.716,4s.4p,3P*,2,4p2,1D,2,5,5,,,L12180,
169.9295,0.0006,169.92854+,58847.93,2,,,47814.114,106662.379,4s.4p,3P*,1,4s.5s,1S,0,3,1,,,L12180,
179.9306,0.0002,179.9304+,55576.98,13,,,47367.55,102944.595,4s.4p,3P*,0,4s.5s,3S,1,1,3,,,L12180,
180.2251,0.0002,180.2250+,55486.17,15,1.46e+09,,70701.427,126187.61,4s.4p,1P*,1,4s.4d,1D,2,3,5,,T8042,L12180,
181.3878,0.0002,181.38786+,55130.50,16,,,47814.114,102944.595,4s.4p,3P*,1,4s.5s,3S,1,3,3,,,L12180,
184.5199,0.0002,184.5197+,54194.70,18,,,48749.85,102944.595,4s.4p,3P*,2,4s.5s,3S,1,5,3,,,L12180,
205.7167,0.0009,205.717+,48610.53,0,,,107720.716,156331.2,4p2,1D,2,4s.7f,1F*,3,5,7,,,L12180,
209.143269,0.000010,209.14327+,47814.1134,20hfs,4.09e+05,,0.000,47814.114,3d10.4s2,1S,0,4s.4p,3P*,1,1,3,,T8042,L12180,
220.0772,0.0003,220.0778+,45438.60,5,,,70701.427,116139.90,4s.4p,1P*,1,4p2,3P,2,3,5,,,L12180,
220.8048,0.0001,220.8049+,45288.862,2hfs,,,107720.716,153009.57,4p2,1D,2,4s.6f,1F*,3,5,7,,,L12180,
220.8433,0.0003,220.8436+,45280.97,0hfs,,,107720.716,153001.63,4p2,1D,2,4s.6f,3F*,3,5,7,,,L12180,
231.7983,0.0009,231.79873+,43140.95,0,,,70701.427,113842.301,4s.4p,1P*,1,4s.4d,3D,2,3,5,,,L12180,
231.9405,0.0009,231.94076+,43114.50,0,,,70701.427,113815.885,4s.4p,1P*,1,4s.4d,3D,1,3,3,,,L12180,
235.6044,0.0009,235.6035+,42444.04,0,,,113883.193,156327.39,4s.4d,3D,3,4s.7f,3F*,4,7,9,,,L12180,
251.42930,0.00004,251.42931+,39772.613,3hfs,,,107720.716,147493.327,4p2,1D,2,4s.5f,1F*,3,5,7,,,L12180,
251.47904,0.00008,251.47901+,39764.746,2hfs,,,107720.716,147485.466,4p2,1D,2,4s.5f,3F*,3,5,7,,,L12180,
255.203,0.005,255.20495+,39184.6,2,,,113815.885,153000.078,4s.4d,3D,1,4s.6f,3F*,2,3,5,,,L12180,
255.364,0.005,255.3670+,39159.8,3,,,113842.301,153001.63,4s.4d,3D,2,4s.6f,3F*,3,5,7,,,L12180,
255.605,0.005,255.60553+,39122.9,4,,,113883.193,153005.977,4s.4d,3D,3,4s.6f,3F*,4,7,9,,,L12180,
270.129453,0.000010,270.12945+,37019.2879,7,,,70701.427,107720.716,4s.4p,1P*,1,4p2,1D,2,3,5,,,L12180,
278.07940,0.00002,278.07940+,35960.952,6,,,70701.427,106662.379,4s.4p,1P*,1,4s.5s,1S,0,3,1,,,L12180,
288.7256,0.0009,288.7257+,34634.96,1hfs,,,118429.967,153064.92,4s.5p,3P*,0,4s.7d,3D,1,1,3,,,L12180,
289.4370,0.0006,289.4369+,34549.83,1hfs,,,118518.461,153068.30,4s.5p,3P*,1,4s.7d,3D,2,3,5,,,L12180,
289.4653,0.0009,289.4653+,34546.45,0,,,118518.461,153064.92,4s.5p,3P*,1,4s.7d,3D,1,3,3,,,L12180,
291.1579,0.0004,291.1579+,34345.62,3hfs,,,118727.870,153073.50,4s.5p,3P*,2,4s.7d,3D,3,5,7,,,L12180,
291.2021,0.0009,291.2019+,34340.42,0,,,118727.870,153068.30,4s.5p,3P*,2,4s.7d,3D,2,5,5,,,L12180,
297.01385,0.00010,297.0139+,33668.464,6hfs,,,113815.885,147484.34,4s.4d,3D,1,4s.5f,3F*,2,3,5,,,L12180,
297.1677,0.0002,297.16776+,33651.029,4hfs,,,113842.301,147493.327,4s.4d,3D,2,4s.5f,1F*,3,5,7,,,L12180,
297.2373,0.0001,297.23720+,33643.158,5hfs,,,113842.301,147485.466,4s.4d,3D,2,4s.5f,3F*,3,5,7,,,L12180,
297.2468,0.0004,297.2471+,33642.08,3hfs,,,113842.301,147484.34,4s.4d,3D,2,4s.5f,3F*,2,5,5,,,L12180,
297.5286,0.0006,297.52931+,33610.21,2hfs,,,113883.193,147493.327,4s.4d,3D,3,4s.5f,1F*,3,7,7,,,L12180,
297.54825,0.00005,297.54820+,33607.995,6hfs,,,113883.193,147491.193,4s.4d,3D,3,4s.5f,3F*,4,7,9,,,L12180,
